Feb 12 17:14:46 np0000000049 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 12 17:14:46 np0000000049 dstat.sh[58910]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 12 17:14:46 np0000000049 dstat.sh[58910]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 12 17:15:37 np0000000049 dstat.sh[58910]: 12-02 17:15:37| 48   8  43   1   0|1466M 1041M  166M 5076M|  29k   23k|   0  1067k|   0  51.1 |8434    12k|1.99 1.10 0.57|4.0   0 132|   0     0 |           | 11   28    0   39    0
Feb 12 17:15:38 np0000000049 dstat.sh[58910]: 12-02 17:15:38| 65  15  19   0   0|1520M  987M  166M 5076M|4799B 1684B|   0   216k|   0  12.0 |4153  2394 |1.99 1.10 0.57|6.0   0 182|   0     0 |           | 11   28    0   34    0
Feb 12 17:15:39 np0000000049 dstat.sh[58910]: 12-02 17:15:39| 46   6  47   0   0|1562M  946M  166M 5076M|  28k   24k|   0   243k|   0  19.9 |6956    15k|1.99 1.10 0.57|3.0   0  22|   0     0 |           | 11   31    0   35    0
Feb 12 17:15:40 np0000000049 dstat.sh[58910]: 12-02 17:15:40| 59  18  22   0   0|1507M 1001M  166M 5076M|  11k 6735B|   0   264k|   0  18.0 |5429  5183 |1.99 1.10 0.57|3.0   0 287|   0     0 |           | 11   28    0   38    0
Feb 12 17:15:41 np0000000049 dstat.sh[58910]: 12-02 17:15:41| 51   6  43   0   0|1559M  948M  166M 5077M|  20k   16k|   0   140k|   0  8.02 |4306  3613 |1.99 1.10 0.57|3.0   0   0|   0     0 |           | 11   31    0   38    0
Feb 12 17:15:42 np0000000049 dstat.sh[58910]: 12-02 17:15:42| 52  12  35   0   0|1466M 1041M  166M 5077M|  16k   12k|   0  1040k|   0  46.0 |6847  8080 |1.99 1.12 0.58|3.0   0 112|   0     0 |           | 11   28    0   35    0
Feb 12 17:15:43 np0000000049 dstat.sh[58910]: 12-02 17:15:43| 53   6  39   0   0|1540M  967M  166M 5077M|  16k   13k|   0   212k|   0  8.00 |3867  2967 |1.99 1.12 0.58|3.0   0   0|   0     0 |           | 11   31    0   35    0
Feb 12 17:15:44 np0000000049 dstat.sh[58910]: 12-02 17:15:44| 50  17  33   0   0|1438M 1069M  166M 5077M|  18k   15k|   0  1620k|   0   117 |7675    10k|1.99 1.12 0.58|6.0   0 377|   0     0 |           | 11   28    0   37    0
Feb 12 17:15:45 np0000000049 dstat.sh[58910]: 12-02 17:15:45| 79  21   0   0   0|1570M  937M  166M 5077M|4646B 1872B|   0  2432k|   0   108 |5688  4826 |1.99 1.12 0.58|7.0   0 405|   0     0 |           | 11   28    0   37    0
Feb 12 17:15:46 np0000000049 dstat.sh[58910]: 12-02 17:15:46| 82  17   1   0   0|1703M  804M  166M 5077M|  29k   27k|   0   144k|   0  14.0 |6954  6972 |1.99 1.12 0.58|6.0   0 410|   0     0 |           | 11   32    0   37    0
Feb 12 17:15:47 np0000000049 dstat.sh[58910]: 12-02 17:15:47| 76  20   3   0   0|1707M  799M  166M 5077M|  39k   35k|   0   983k|   0  45.0 |9377    12k|2.31 1.20 0.61|6.0   0 439|   0     0 |           | 11   29    0   38    0
Feb 12 17:15:48 np0000000049 dstat.sh[58910]: 12-02 17:15:48| 83  16   0   0   0|1598M  908M  166M 5077M|  12k 9587B|   0   288k|   0  19.0 |6021  4829 |2.31 1.20 0.61|5.0   0 224|   0     0 |           | 11   29    0   38    0
Feb 12 17:15:49 np0000000049 dstat.sh[58910]: 12-02 17:15:49| 73   8  19   0   0|1653M  853M  166M 5077M|  35k   32k|   0   108k|   0  7.99 |7693  9772 |2.31 1.20 0.61|3.0   0   0|   0     0 |           | 11   32    0   39    0
Feb 12 17:15:50 np0000000049 dstat.sh[58910]: 12-02 17:15:50| 50  20  29   0   0|1428M 1078M  166M 5078M|  27k   22k|   0   168k|   0  12.0 |8562    12k|2.31 1.20 0.61|2.0   0 544|   0     0 |           | 11   28    0   43    0
Feb 12 17:15:51 np0000000049 dstat.sh[58910]: 12-02 17:15:51| 28  33  37   0   0|1438M 1068M  166M 5078M|4764B 1661B|   0   252k|   0  26.0 |6585  6309 |2.31 1.20 0.61|7.0   0 898|   0     0 |           | 11   28    0   43    0
Feb 12 17:15:52 np0000000049 dstat.sh[58910]: 12-02 17:15:52| 72  16  11   0   0|1551M  955M  166M 5078M|  12k 9312B|   0   140k|   0  11.0 |5118  3403 |2.45 1.24 0.63|3.0   0 161|   0     0 |           | 11   31    0   43    0
Feb 12 17:15:53 np0000000049 dstat.sh[58910]: 12-02 17:15:53| 58  10  33   0   0|1539M  967M  166M 5078M|  29k   25k|   0   859k|   0  70.2 |7802    11k|2.45 1.24 0.63|4.0   0 112|   0     0 |           | 11   29    0   46    0
Feb 12 17:15:54 np0000000049 dstat.sh[58910]: 12-02 17:15:54| 78  17   5   0   0|1517M  989M  166M 5078M|9233B 4708B|   0   280k|   0  21.0 |5484  3633 |2.45 1.24 0.63|5.0   0 156|   0     0 |           | 11   29    0   47    0
Feb 12 17:15:55 np0000000049 dstat.sh[58910]: 12-02 17:15:55| 59   7  33   0   0|1553M  953M  166M 5078M|  33k   27k|   0   148k|   0  8.00 |6399  8835 |2.45 1.24 0.63|3.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 12 17:15:56 np0000000049 dstat.sh[58910]: 12-02 17:15:56| 51   6  42   0   0|1529M  976M  166M 5078M|  47k   40k|   0   340k|   0  35.0 |  14k   23k|2.45 1.24 0.63|5.0   0  30|   0     0 |           | 11   30    0   45    0
Feb 12 17:15:57 np0000000049 dstat.sh[58910]: 12-02 17:15:57| 77  16   7   0   0|1525M  980M  166M 5078M|  12k 7562B|   0   853k|   0  40.0 |6779  6362 |2.57 1.29 0.65|4.0   0  91|   0     0 |           | 11   28    0   45    0
Feb 12 17:15:58 np0000000049 dstat.sh[58910]: 12-02 17:15:58| 64   7  28   0   0|1573M  932M  166M 5078M|  27k   23k|   0  1931k|   0  47.7 |5851  6490 |2.57 1.29 0.65|6.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 12 17:15:59 np0000000049 dstat.sh[58910]: 12-02 17:15:59| 51   7  40   0   0|1575M  930M  166M 5079M|  45k   40k|   0   140k|   0  9.98 |  13k   20k|2.57 1.29 0.65|4.0   0   0|   0     0 |           | 11   31    0   46    0
Feb 12 17:16:00 np0000000049 dstat.sh[58910]: 12-02 17:16:00| 68  19  13   0   0|1444M 1060M  166M 5079M|  21k   17k|   0   121k|   0  7.06 |7750  8960 |2.57 1.29 0.65|4.0   0 262|   0     0 |           | 11   28    0   49    0
Feb 12 17:16:01 np0000000049 dstat.sh[58910]: 12-02 17:16:01| 72   9  19   0   0|1569M  936M  166M 5079M|  16k   13k|   0   119k|   0  7.95 |4688  3105 |2.57 1.29 0.65|5.0   0   0|   0     0 |           | 11   32    0   49    0
Feb 12 17:16:02 np0000000049 dstat.sh[58910]: 12-02 17:16:02| 55   9  34   0   0|1566M  938M  166M 5079M|  38k   33k|   0   108k|   0  7.98 |9452    15k|2.45 1.28 0.65|7.0   0  34|   0     0 |           | 11   30    0   51    0
Feb 12 17:16:03 np0000000049 dstat.sh[58910]: 12-02 17:16:03| 75  18   7   0   0|1524M  980M  166M 5079M|  13k 9769B|   0   408k|   0  42.4 |6210  6376 |2.45 1.28 0.65|4.0   0  95|   0     0 |           | 11   28    0   51    0
Feb 12 17:16:04 np0000000049 dstat.sh[58910]: 12-02 17:16:04| 63   7  29   0   0|1594M  910M  166M 5079M|  22k   20k|   0   332k|   0  33.0 |5339  5193 |2.45 1.28 0.65|4.0   0 6.0|   0     0 |           | 11   30    0   53    0
Feb 12 17:16:05 np0000000049 dstat.sh[58910]: 12-02 17:16:05| 67  14  18   0   0|1581M  923M  166M 5079M|  26k   20k|   0   227k|   0  11.9 |5791  9991 |2.45 1.28 0.65|5.0   0 119|   0     0 |           | 11   30    0   53    0
Feb 12 17:16:06 np0000000049 dstat.sh[58910]: 12-02 17:16:06| 63  13  24   0   0|1597M  907M  166M 5080M|  29k   25k|   0   160k|   0  8.00 |6629  9775 |2.45 1.28 0.65|6.0   0 141|   0     0 |           | 11   30    0   55    0
Feb 12 17:16:07 np0000000049 dstat.sh[58910]: 12-02 17:16:07| 72  13  15   0   0|1542M  962M  166M 5080M|  18k   16k|   0   149k|   0  9.04 |5249  5784 |2.57 1.33 0.67|2.0   0  87|   0     0 |           | 11   30    0   57    0
Feb 12 17:16:08 np0000000049 dstat.sh[58910]: 12-02 17:16:08| 66  11  22   0   0|1516M  988M  166M 5080M|  23k   19k|   0   811k|   0  13.0 |5965  6562 |2.57 1.33 0.67|4.0   0  63|   0     0 |           | 11   30    0   59    0
Feb 12 17:16:09 np0000000049 dstat.sh[58910]: 12-02 17:16:09| 70  11  19   0   0|1643M  860M  166M 5080M|  23k   17k|   0   396k|   0  44.0 |6773  8264 |2.57 1.33 0.67|3.0   0 6.0|   0     0 |           | 11   31    0   61    0
Feb 12 17:16:10 np0000000049 dstat.sh[58910]: 12-02 17:16:10| 51  14  34   0   0|1438M 1066M  166M 5080M|  16k   12k|   0   457k|   0  45.1 |5330  5451 |2.57 1.33 0.67|5.0   0 201|   0     0 |           | 11   32    0   63    0
Feb 12 17:16:11 np0000000049 dstat.sh[58910]: 12-02 17:16:11| 53  12  34   0   0|1515M  988M  166M 5080M|  11k 8463B|   0   148k|   0  8.98 |4019  2752 |2.57 1.33 0.67|2.0   0  58|   0     0 |           | 11   34    0   60    0
Feb 12 17:16:12 np0000000049 dstat.sh[58910]: 12-02 17:16:12| 45   9  44   0   0|1502M 1001M  166M 5080M|  25k   21k|   0   256k|   0  17.0 |6124  7849 |2.52 1.34 0.68|2.0   0  96|   0     0 |           | 11   34    0   61    0
Feb 12 17:16:13 np0000000049 dstat.sh[58910]: 12-02 17:16:13| 55  11  34   0   0|1495M 1008M  166M 5080M|  14k   10k|   0   217k|   0  13.0 |5569  5315 |2.52 1.34 0.68|4.0   0  88|   0     0 |           | 11   33    0   63    0
Feb 12 17:16:14 np0000000049 dstat.sh[58910]: 12-02 17:16:14| 51   7  40   0   0|1487M 1016M  166M 5080M|  18k   15k|   0   216k|   0  17.0 |4716  4991 |2.52 1.34 0.68|3.0   0  57|   0     0 |           | 11   34    0   64    0
Feb 12 17:16:15 np0000000049 dstat.sh[58910]: 12-02 17:16:15| 31   3  63   0   0|1484M 1019M  166M 5080M|  19k   15k|   0   382k|   0  35.9 |6170  8230 |2.52 1.34 0.68|4.0   0  30|   0     0 |           | 11   32    0   64    0
Feb 12 17:16:16 np0000000049 dstat.sh[58910]: 12-02 17:16:16| 38  13  48   0   0|1404M 1099M  166M 5080M|4617B 1619B|   0  4377k|   0   164 |3491  2118 |2.52 1.34 0.68|3.0   0 135|   0     0 |           | 11   32    0   64    0
Feb 12 17:16:17 np0000000049 dstat.sh[58910]: 12-02 17:16:17| 30   4  64   0   0|1427M 1076M  166M 5080M|  17k   14k|   0   149k|   0  10.0 |3589  3570 |2.32 1.32 0.67|1.0   0 1.0|   0     0 |           | 11   34    0   64    0
Feb 12 17:16:18 np0000000049 dstat.sh[58910]: 12-02 17:16:18| 36  13  51   0   0|1408M 1095M  166M 5081M|  10k 6417B|   0  1021k|   0  52.0 |5266  5388 |2.32 1.32 0.67|3.0   0 138|   0     0 |           | 11   32    0   66    0
Feb 12 17:16:19 np0000000049 dstat.sh[58910]: 12-02 17:16:19| 36   5  58   0   0|1432M 1071M  166M 5081M|  14k   12k|   0  1829k|   0   116 |3176  2890 |2.32 1.32 0.67|3.0   0   0|   0     0 |           | 11   34    0   60    0
Feb 12 17:16:20 np0000000049 dstat.sh[58910]: 12-02 17:16:20| 32   9  57   0   0|1351M 1152M  166M 5081M|  12k 8352B|   0   688k|   0  53.0 |4525  5175 |2.32 1.32 0.67|3.0   0  65|   0     0 |           | 11   32    0   62    0
Feb 12 17:16:21 np0000000049 dstat.sh[58910]: 12-02 17:16:21| 38   7  53   0   0|1454M 1049M  166M 5081M|9237B 6482B|   0   124k|   0  7.99 |2666  1669 |2.32 1.32 0.67|3.0   0   0|   0     0 |           | 11   33    0   62    0
Feb 12 17:16:22 np0000000049 dstat.sh[58910]: 12-02 17:16:22| 30   6  63   0   0|1427M 1076M  166M 5081M|  20k   17k|   0   132k|   0  8.02 |5507  6768 |2.22 1.31 0.67|2.0   0  43|   0     0 |           | 11   33    0   63    0
Feb 12 17:16:23 np0000000049 dstat.sh[58910]: 12-02 17:16:23| 40   9  50   0   0|1399M 1103M  166M 5081M|6481B 2956B|   0   351k|   0  26.9 |3430  2563 |2.22 1.31 0.67|4.0   0 5.0|   0     0 |           | 11   32    0   62    0
Feb 12 17:16:24 np0000000049 dstat.sh[58910]: 12-02 17:16:24| 33   5  62   0   0|1430M 1072M  166M 5081M|  19k   16k|   0   125k|   0  6.03 |3999  4372 |2.22 1.31 0.67|1.0   0   0|   0     0 |           | 11   34    0   62    0
Feb 12 17:16:25 np0000000049 dstat.sh[58910]: 12-02 17:16:25| 25  12  61   0   0|1386M 1117M  166M 5081M|  13k 9053B|   0   315k|   0  32.9 |6251  7026 |2.22 1.31 0.67|2.0   0 282|   0     0 |           | 11   32    0   64    0
Feb 12 17:16:26 np0000000049 dstat.sh[58910]: 12-02 17:16:26| 19   2  78   0   0|1378M 1125M  166M 5081M|7000B 3965B|   0   176k|   0  9.99 |1752  1459 |2.22 1.31 0.67|2.0   0   0|   0     0 |           | 11   33    0   64    0
