Jun 16 19:55:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 16 19:55:59 ubuntu dstat.sh[65628]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 16 19:55:59 ubuntu dstat.sh[65628]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 16 19:56:14 ubuntu dstat.sh[65628]: 16-06 19:56:14| 17  10  73   0   0|1160M 1066M  170M 5335M|5154B 1569B|   0     0 |   0     0 |3273  2100 |1.54 1.02 0.54|1.0   0 120|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:15 ubuntu dstat.sh[65628]: 16-06 19:56:15|  8  21  68   0   0|1111M 1115M  170M 5335M|5475B 1619B|   0   660k|   0  11.0 |5452  3718 |1.54 1.02 0.54|2.0   0 311|   0     0 |           | 11    4    0   19    0
Jun 16 19:56:16 ubuntu dstat.sh[65628]: 16-06 19:56:16| 11  22  65   0   0|1088M 1138M  170M 5336M|6403B 1619B|   0    12M|   0  74.0 |6215  5605 |1.50 1.02 0.55|1.0   0 308|   0     0 |           | 11    4    0   15    0
Jun 16 19:56:17 ubuntu dstat.sh[65628]: 16-06 19:56:17| 30  15  54   0   0|1138M 1088M  170M 5336M|6643B 1510B|   0  4090B|   0  1.00 |5152  5412 |1.50 1.02 0.55|2.0   0 192|   0     0 |           | 11    5    0   15    0
Jun 16 19:56:18 ubuntu dstat.sh[65628]: 16-06 19:56:18| 44   6  49   0   0|1226M 1000M  170M 5336M|7795B 1569B|   0  2252k|   0  50.1 |2876  1405 |1.50 1.02 0.55|2.0   0   0|   0     0 |           | 11    5    0   15    0
Jun 16 19:56:19 ubuntu dstat.sh[65628]: 16-06 19:56:19| 42   9  48   0   0|1245M  980M  170M 5336M|6573B 1456B|   0   487k|   0  13.0 |2999  1902 |1.50 1.02 0.55|2.0   0 1.0|   0     0 |           | 11    5    0   15    0
Jun 16 19:56:20 ubuntu dstat.sh[65628]: 16-06 19:56:20| 28  11  60   0   0|1264M  959M  170M 5339M|5938B 1514B|   0  1202k|   0  54.1 |4410  4730 |1.50 1.02 0.55|  0   0 118|   0     0 |           | 11    4    0   14    0
Jun 16 19:56:21 ubuntu dstat.sh[65628]: 16-06 19:56:21| 10   6  84   0   0|1289M  934M  170M 5339M|6170B 1660B|   0    12M|   0   153 |1979  1879 |1.38 1.01 0.54|1.0   0  23|   0     0 |           | 11    4    0   14    0
Jun 16 19:56:22 ubuntu dstat.sh[65628]: 16-06 19:56:22| 21   4  73   0   0|1344M  879M  170M 5339M|4589B 1025B|   0     0 |   0     0 |1719  1335 |1.38 1.01 0.54|2.0   0   0|   0     0 |           | 11    4    0   14    0
Jun 16 19:56:23 ubuntu dstat.sh[65628]: 16-06 19:56:23| 24   2  74   0   0|1356M  868M  170M 5339M|4846B 1566B|   0  8192B|   0  2.00 |1691  1058 |1.38 1.01 0.54|2.0   0   0|   0     0 |           | 11    6    0   14    0
Jun 16 19:56:24 ubuntu dstat.sh[65628]: 16-06 19:56:24| 22   5  71   1   0|1256M  967M  170M 5339M|4645B 1460B|   0  3369k|   0   222 |4119  5027 |1.38 1.01 0.54|2.0   0  43|   0     0 |           | 11    4    0   16    0
Jun 16 19:56:25 ubuntu dstat.sh[65628]: 16-06 19:56:25| 23   3  74   0   0|1311M  912M  170M 5339M|5240B 1621B|   0     0 |   0     0 |1735  1129 |1.38 1.01 0.54|2.0   0   0|   0     0 |           | 11    4    0   16    0
Jun 16 19:56:26 ubuntu dstat.sh[65628]: 16-06 19:56:26| 18   4  76   0   0|1332M  890M  170M 5339M|8756B 5592B|   0    33M|   0   226 |2896  2906 |1.35 1.01 0.55|3.0   0 1.0|   0     0 |           | 11   17    0   16    0
Jun 16 19:56:27 ubuntu dstat.sh[65628]: 16-06 19:56:27| 22   3  74   1   0|1284M  939M  170M 5339M|9140B 6116B| 268k 3163k|66.1   147 |2649  2628 |1.35 1.01 0.55|1.0   0 2.0|   0     0 |           | 11   28    0   17    0
Jun 16 19:56:28 ubuntu dstat.sh[65628]: 16-06 19:56:28| 20   6  73   0   0|1312M  910M  170M 5339M|4528B 1511B|   0  2570k|   0  20.0 |2248  1586 |1.35 1.01 0.55|1.0   0  43|   0     0 |           | 11   28    0   16    0
Jun 16 19:56:29 ubuntu dstat.sh[65628]: 16-06 19:56:29| 19   3  78   0   0|1332M  890M  170M 5339M|  11k 8553B|   0    60k|   0  5.01 |2068  1704 |1.35 1.01 0.55|1.0   0 1.0|   0     0 |           | 11   28    0   17    0
Jun 16 19:56:30 ubuntu dstat.sh[65628]: 16-06 19:56:30| 31  14  54   0   0|1402M  820M  170M 5339M|5119B 1685B|   0    12k|   0  3.00 |3693  2316 |1.35 1.01 0.55|3.0   0 156|   0     0 |           | 11   28    0   17    0
Jun 16 19:56:31 ubuntu dstat.sh[65628]: 16-06 19:56:31| 41   8  50   0   0|1480M  742M  170M 5339M|  13k 9513B|   0   236k|   0  2.00 |4035    14k|1.40 1.02 0.56|4.0   0  36|   0     0 |           | 11   30    0   18    0
Jun 16 19:56:32 ubuntu dstat.sh[65628]: 16-06 19:56:32| 35  12  52   0   0|1426M  796M  170M 5340M|  16k   12k|   0   236k|   0  21.0 |7096  8820 |1.40 1.02 0.56|4.0   0 196|   0     0 |           | 11   28    0   17    0
Jun 16 19:56:33 ubuntu dstat.sh[65628]: 16-06 19:56:33| 71  27   1   0   0|1522M  699M  170M 5340M|4875B 1457B|   0  2862k|   0   132 |5372  4092 |1.40 1.02 0.56|7.0   0 382|   0     0 |           | 11   28    0   17    0
Jun 16 19:56:34 ubuntu dstat.sh[65628]: 16-06 19:56:34| 85  13   0   0   0|1737M  484M  170M 5340M|  14k   13k|   0   164k|   0  8.01 |5590  3692 |1.40 1.02 0.56|4.0   0   0|   0     0 |           | 11   32    0   17    0
Jun 16 19:56:35 ubuntu dstat.sh[65628]: 16-06 19:56:35| 80   9  10   0   0|1775M  446M  170M 5340M|  36k   30k|   0   456k|   0  50.0 |8333    13k|1.40 1.02 0.56|5.0   0   0|   0     0 |           | 11   30    0   21    0
Jun 16 19:56:36 ubuntu dstat.sh[65628]: 16-06 19:56:36| 40  17  42   0   0|1531M  690M  170M 5340M|8256B 4306B|   0    90M|   0   531 |5607  5714 |1.69 1.09 0.58|3.0   0 310|   0     0 |           | 11   28    0   23    0
Jun 16 19:56:37 ubuntu dstat.sh[65628]: 16-06 19:56:37| 19   2  77   0   0|1524M  698M  170M 5340M|6837B 3898B|   0  1761k|   0  11.0 |1621  1146 |1.69 1.09 0.58|  0   0   0|   0     0 |           | 11   29    0   23    0
Jun 16 19:56:38 ubuntu dstat.sh[65628]: 16-06 19:56:38| 19   3  77   0   0|1471M  751M  170M 5340M|  10k 6129B|   0  1604k|   0  24.1 |2917  3155 |1.69 1.09 0.58|2.0   0 7.0|   0     0 |           | 11   28    0   24    0
Jun 16 19:56:39 ubuntu dstat.sh[65628]: 16-06 19:56:39| 20   7  73   0   0|1455M  767M  170M 5340M|4749B 1455B|   0   148k|   0  7.98 |2541  1813 |1.69 1.09 0.58|1.0   0  62|   0     0 |           | 11   28    0   24    0
Jun 16 19:56:40 ubuntu dstat.sh[65628]: 16-06 19:56:40| 19   2  77   0   0|1465M  757M  170M 5340M|9437B 6005B|   0   148k|   0  10.0 |2394  2303 |1.69 1.09 0.58|2.0   0   0|   0     0 |           | 11   29    0   24    0
Jun 16 19:56:41 ubuntu dstat.sh[65628]: 16-06 19:56:41| 13  13  72   0   0|1409M  812M  170M 5340M|8437B 4052B|   0  7739k|   0   459 |4703  3946 |1.55 1.07 0.58|2.0   0 231|   0     0 |           | 11   28    0   25    0
Jun 16 19:56:42 ubuntu dstat.sh[65628]: 16-06 19:56:42| 11  28  59   0   0|1391M  831M  170M 5340M|6015B 1457B|   0   496k|   0  15.0 |5949  4407 |1.55 1.07 0.58|3.0   0 545|   0     0 |           | 11   28    0   25    0
Jun 16 19:56:43 ubuntu dstat.sh[65628]: 16-06 19:56:43| 77  23   0   0   0|1545M  676M  170M 5340M|5243B 1459B|   0   228k|   0  15.0 |5002  3078 |1.55 1.07 0.58|5.0   0 262|   0     0 |           | 11   28    0   25    0
Jun 16 19:56:44 ubuntu dstat.sh[65628]: 16-06 19:56:44| 79  10  11   0   0|1696M  526M  170M 5340M|  23k   20k|   0   631k|   0  38.0 |5807  4714 |1.55 1.07 0.58|5.0   0   0|   0     0 |           | 11   33    0   25    0
Jun 16 19:56:45 ubuntu dstat.sh[65628]: 16-06 19:56:45| 69   8  22   0   0|1646M  575M  170M 5340M|  36k   31k|   0   504k|   0  65.0 |  11k   16k|1.55 1.07 0.58|6.0   0  48|   0     0 |           | 11   28    0   26    0
Jun 16 19:56:46 ubuntu dstat.sh[65628]: 16-06 19:56:46| 78  22   0   0   0|1530M  691M  170M 5340M|4683B 1621B|   0   300k|   0  15.0 |5304  3717 |1.83 1.14 0.60|6.0   0 262|   0     0 |           | 11   28    0   26    0
Jun 16 19:56:47 ubuntu dstat.sh[65628]: 16-06 19:56:47| 88  11   0   0   0|1755M  465M  170M 5340M|  14k   11k|   0   224k|   0  11.0 |5248  3112 |1.83 1.14 0.60|5.0   0   0|   0     0 |           | 11   31    0   26    0
Jun 16 19:56:48 ubuntu dstat.sh[65628]: 16-06 19:56:48| 75   9  15   0   0|1779M  442M  171M 5341M|  46k   43k|   0   720k|   0  42.0 |9726    15k|1.83 1.14 0.60|6.0   0   0|   0     0 |           | 11   32    0   28    0
Jun 16 19:56:49 ubuntu dstat.sh[65628]: 16-06 19:56:49| 64  16  19   0   0|1546M  674M  171M 5341M|  17k   12k|   0  2526k|   0   122 |6886  8620 |1.83 1.14 0.60|2.0   0 299|   0     0 |           | 11   28    0   30    0
Jun 16 19:56:50 ubuntu dstat.sh[65628]: 16-06 19:56:50| 40   6  52   0   0|1555M  665M  171M 5341M|7036B 3908B|   0   152k|   0  6.00 |2903  1851 |1.83 1.14 0.60|2.0   0   0|   0     0 |           | 11   29    0   30    0
Jun 16 19:56:51 ubuntu dstat.sh[65628]: 16-06 19:56:51| 33   8  59   0   0|1512M  709M  171M 5341M|  17k   13k|   0   304k|   0  25.0 |5315  6030 |1.76 1.13 0.60|3.0   0 108|   0     0 |           | 11   29    0   31    0
Jun 16 19:56:52 ubuntu dstat.sh[65628]: 16-06 19:56:52| 65  19  15   0   0|1521M  700M  171M 5341M|7549B 3721B|   0   231k|   0  12.0 |5099  3768 |1.76 1.13 0.60|4.0   0 269|   0     0 |           | 11   28    0   32    0
Jun 16 19:56:53 ubuntu dstat.sh[65628]: 16-06 19:56:53| 53   8  40   0   0|1581M  640M  171M 5341M|  21k   18k|   0   160k|   0  7.02 |5351  5361 |1.76 1.13 0.60|3.0   0 6.0|   0     0 |           | 11   31    0   28    0
Jun 16 19:56:54 ubuntu dstat.sh[65628]: 16-06 19:56:54| 58  17  23   0   0|1483M  737M  171M 5341M|  17k   12k|   0  1596k|   0   177 |7235  8515 |1.76 1.13 0.60|5.0   0 258|   0     0 |           | 11   28    0   29    0
Jun 16 19:56:55 ubuntu dstat.sh[65628]: 16-06 19:56:55| 77  11  11   0   0|1619M  601M  171M 5341M|  11k 8172B|   0  3712k|   0   175 |4993  3044 |1.76 1.13 0.60|3.0   0   0|   0     0 |           | 11   31    0   29    0
Jun 16 19:56:56 ubuntu dstat.sh[65628]: 16-06 19:56:56| 64   7  28   0   0|1619M  600M  171M 5341M|  36k   32k|   0   733k|   0  30.1 |8460    13k|1.78 1.15 0.61|6.0 1.0   0|   0     0 |           | 11   29    0   31    0
Jun 16 19:56:57 ubuntu dstat.sh[65628]: 16-06 19:56:57| 63  22  15   0   0|1518M  701M  171M 5341M|8233B 4407B|   0   276k|   0  21.0 |4886  3979 |1.78 1.15 0.61|3.0   0 324|   0     0 |           | 11   28    0   29    0
Jun 16 19:56:58 ubuntu dstat.sh[65628]: 16-06 19:56:58| 54   7  39   0   0|1594M  626M  171M 5341M|  16k   13k|   0   272k|   0  14.0 |3894  2678 |1.78 1.15 0.61|2.0   0   0|   0     0 |           | 11   31    0   29    0
Jun 16 19:56:59 ubuntu dstat.sh[65628]: 16-06 19:56:59| 48  16  36   0   0|1514M  705M  171M 5342M|  24k   18k|   0   236k|   0  32.0 |8219    11k|1.78 1.15 0.61|3.0   0 300|   0     0 |           | 11   28    0   31    0
Jun 16 19:57:00 ubuntu dstat.sh[65628]: 16-06 19:57:00| 65  11  24   0   0|1557M  662M  171M 5342M|6495B 1620B|   0   220k|   0  9.00 |3822  1458 |1.78 1.15 0.61|3.0   0   0|   0     0 |           | 11   28    0   31    0
Jun 16 19:57:01 ubuntu dstat.sh[65628]: 16-06 19:57:01| 44   6  48   0   0|1587M  633M  171M 5342M|  29k   24k|   0   172k|   0  10.0 |6473  7852 |1.88 1.18 0.62|4.0   0   0|   0     0 |           | 11   31    0   31    0
Jun 16 19:57:02 ubuntu dstat.sh[65628]: 16-06 19:57:02| 55  20  24   0   0|1482M  737M  171M 5342M|  11k 6810B|   0   903k|   0  57.0 |5832  5316 |1.88 1.18 0.62|3.0   0 287|   0     0 |           | 11   28    0   34    0
Jun 16 19:57:03 ubuntu dstat.sh[65628]: 16-06 19:57:03| 56   7  37   0   0|1590M  629M  171M 5342M|  15k   11k|   0   160k|   0  13.0 |4321  2973 |1.88 1.18 0.62|3.0   0   0|   0     0 |           | 11   31    0   34    0
Jun 16 19:57:04 ubuntu dstat.sh[65628]: 16-06 19:57:04| 54   8  37   0   0|1525M  694M  171M 5342M|  21k   17k|   0   320k|   0  37.0 |6914  8539 |1.88 1.18 0.62|3.0   0  50|   0     0 |           | 11   28    0   36    0
Jun 16 19:57:05 ubuntu dstat.sh[65628]: 16-06 19:57:05| 61  14  25   0   0|1511M  708M  171M 5342M|5035B 1694B|   0   164k|   0  11.0 |3825  1799 |1.88 1.18 0.62|2.0   0  62|   0     0 |           | 11   29    0   34    0
Jun 16 19:57:06 ubuntu dstat.sh[65628]: 16-06 19:57:06| 47   7  46   0   0|1553M  666M  171M 5342M|  26k   22k|   0   147k|   0  7.96 |5255  6736 |1.89 1.19 0.63|2.0   0   0|   0     0 |           | 11   30    0   35    0
Jun 16 19:57:07 ubuntu dstat.sh[65628]: 16-06 19:57:07| 53  22  25   0   0|1504M  715M  171M 5342M|8874B 4567B|   0   703k|   0  66.3 |6313  6327 |1.89 1.19 0.63|7.0   0 430|   0     0 |           | 11   28    0   36    0
Jun 16 19:57:08 ubuntu dstat.sh[65628]: 16-06 19:57:08| 77  23   0   0   0|1630M  589M  171M 5342M|6460B 3668B|   0   220k|   0  14.0 |5515  4266 |1.89 1.19 0.63|6.0   0 342|   0     0 |           | 11   29    0   36    0
Jun 16 19:57:09 ubuntu dstat.sh[65628]: 16-06 19:57:09| 77  20   2   0   0|1772M  447M  171M 5343M|  20k   18k|   0   196k|   0  8.01 |6594  6739 |1.89 1.19 0.63|5.0   0 338|   0     0 |           | 11   33    0   36    0
Jun 16 19:57:10 ubuntu dstat.sh[65628]: 16-06 19:57:10| 74  23   3   0   0|1762M  456M  171M 5343M|  44k   38k|   0  1062k|   0  76.9 |8071    11k|1.89 1.19 0.63|7.0   0 498|   0     0 |           | 11   29    0   37    0
Jun 16 19:57:11 ubuntu dstat.sh[65628]: 16-06 19:57:11| 78  22   0   0   0|1555M  663M  171M 5343M|  10k 7636B|   0   304k|   0  22.0 |5724  4830 |2.22 1.27 0.66|5.0   0 249|   0     0 |           | 11   28    0   37    0
Jun 16 19:57:12 ubuntu dstat.sh[65628]: 16-06 19:57:12| 84  10   5   0   0|1700M  518M  171M 5343M|  17k   14k|   0   543k|   0  72.9 |4906  3055 |2.22 1.27 0.66|2.0   0   0|   0     0 |           | 11   32    1   37    0
Jun 16 19:57:13 ubuntu dstat.sh[65628]: 16-06 19:57:13| 71  10  19   0   0|1679M  539M  171M 5343M|  43k   39k|   0   120k|   0  10.0 |9392    16k|2.22 1.27 0.66|5.0   0  97|   0     0 |           | 11   31    0   39    0
Jun 16 19:57:14 ubuntu dstat.sh[65628]: 16-06 19:57:14| 34  22  43   0   0|1482M  736M  171M 5343M|  10k 6620B|   0   168k|   0  12.0 |6055  5710 |2.22 1.27 0.66|1.0   0 450|   0     0 |           | 11   28    0   42    0
Jun 16 19:57:15 ubuntu dstat.sh[65628]: 16-06 19:57:15| 16  30  52   0   0|1479M  739M  171M 5343M|4781B 1452B|   0   211k|   0  16.9 |6093  4741 |2.22 1.27 0.66|4.0   0 575|   0     0 |           | 11   28    0   42    0
Jun 16 19:57:16 ubuntu dstat.sh[65628]: 16-06 19:57:16| 69  27   5   0   0|1532M  686M  171M 5343M|7210B 3919B|   0    20k|   0  5.02 |4972  3702 |2.44 1.33 0.68|3.0   0 480|   0     0 |           | 11   29    0   42    0
Jun 16 19:57:17 ubuntu dstat.sh[65628]: 16-06 19:57:17| 67   9  23   0   0|1622M  596M  171M 5343M|  28k   24k|   0   304k|   0  29.0 |6067  7820 |2.44 1.33 0.68|4.0   0   0|   0     0 |           | 11   31    0   43    0
Jun 16 19:57:18 ubuntu dstat.sh[65628]: 16-06 19:57:18| 72  18  10   0   0|1511M  707M  171M 5343M|  13k 9297B|   0   516k|   0  53.0 |6652  7722 |2.44 1.33 0.68|4.0   0 268|   0     0 |           | 11   28    0   46    0
Jun 16 19:57:19 ubuntu dstat.sh[65628]: 16-06 19:57:19| 75  11  13   0   0|1599M  619M  171M 5343M|  17k   14k|   0   180k|   0  10.0 |4998  3465 |2.44 1.33 0.68|3.0   0 1.0|   0     0 |           | 11   31    0   46    0
Jun 16 19:57:20 ubuntu dstat.sh[65628]: 16-06 19:57:20| 57   7  35   0   0|1612M  605M  171M 5344M|  37k   33k|   0   180k|   0  9.99 |  11k   16k|2.44 1.33 0.68|2.0   0 2.0|   0     0 |           | 11   32    0   46    0
Jun 16 19:57:21 ubuntu dstat.sh[65628]: 16-06 19:57:21| 62  10  27   0   0|1517M  700M  171M 5344M|  34k   28k|   0   456k|   0  50.0 |  11k   17k|2.49 1.36 0.70|4.0   0  79|   0     0 |           | 11   29    0   46    0
Jun 16 19:57:22 ubuntu dstat.sh[65628]: 16-06 19:57:22| 80  15   5   0   0|1557M  661M  171M 5344M|8383B 5794B|   0   558k|   0  25.9 |5063  3198 |2.49 1.36 0.70|4.0   0  41|   0     0 |           | 11   29    0   45    0
Jun 16 19:57:23 ubuntu dstat.sh[65628]: 16-06 19:57:23| 64   8  27   0   0|1612M  605M  171M 5344M|  34k   30k|   0   225k|   0  12.0 |8444    11k|2.49 1.36 0.70|4.0   0   0|   0     0 |           | 11   32    0   45    0
Jun 16 19:57:24 ubuntu dstat.sh[65628]: 16-06 19:57:24| 53   6  39   0   0|1611M  605M  171M 5344M|  43k   38k|   0   172k|   0  9.97 |  13k   19k|2.49 1.36 0.70|3.0   0   0|   0     0 |           | 11   30    0   47    0
Jun 16 19:57:25 ubuntu dstat.sh[65628]: 16-06 19:57:25| 74  19   7   0   0|1495M  722M  171M 5344M|  13k 9400B|   0  3656k|   0   140 |6441  6173 |2.49 1.36 0.70|4.0   0 260|   0     0 |           | 11   28    0   49    0
Jun 16 19:57:26 ubuntu dstat.sh[65628]: 16-06 19:57:26| 75  11  14   0   0|1615M  602M  171M 5344M|  15k   13k|   0  1477k|   0  26.0 |4820  3285 |2.61 1.41 0.71|5.0   0 1.0|   0     0 |           | 11   33    0   47    0
Jun 16 19:57:27 ubuntu dstat.sh[65628]: 16-06 19:57:27| 60   9  29   0   0|1599M  617M  171M 5345M|  39k   34k|   0   200k|   0  15.0 |  11k   17k|2.61 1.41 0.71|4.0   0  35|   0     0 |           | 11   34    0   49    0
Jun 16 19:57:28 ubuntu dstat.sh[65628]: 16-06 19:57:28| 80  14   5   0   0|1506M  710M  171M 5345M|  12k 7687B|   0   292k|   0  31.0 |5682  5036 |2.61 1.41 0.71|5.0   0  94|   0     0 |           | 11   32    0   49    0
Jun 16 19:57:29 ubuntu dstat.sh[65628]: 16-06 19:57:29| 69   9  22   0   0|1588M  628M  171M 5345M|  23k   19k|   0   284k|   0  28.0 |4900  4269 |2.61 1.41 0.71|3.0   0 1.0|   0     0 |           | 11   35    0   50    0
Jun 16 19:57:30 ubuntu dstat.sh[65628]: 16-06 19:57:30| 71  14  15   0   0|1636M  580M  171M 5345M|  24k   20k|   0  1851k|   0   175 |7097    11k|2.61 1.41 0.71|3.0   0 122|   0     0 |           | 11   34    0   49    0
Jun 16 19:57:31 ubuntu dstat.sh[65628]: 16-06 19:57:31| 69  13  18   0   0|1624M  592M  171M 5345M|  28k   24k|   0   152k|   0  9.99 |7687    18k|2.72 1.45 0.73|4.0   0 150|   0     0 |           | 11   34    0   52    0
Jun 16 19:57:32 ubuntu dstat.sh[65628]: 16-06 19:57:32| 78  13   9   0   0|1628M  588M  171M 5345M|  16k   13k|   0   176k|   0  13.0 |5464  6613 |2.72 1.45 0.73|4.0   0  70|   0     0 |           | 11   32    0   54    0
Jun 16 19:57:33 ubuntu dstat.sh[65628]: 16-06 19:57:33| 72  12  15   0   0|1637M  579M  171M 5345M|  20k   17k|   0   136k|   0  8.00 |5617  5492 |2.72 1.45 0.73|3.0   0  43|   0     0 |           | 11   34    0   55    0
Jun 16 19:57:34 ubuntu dstat.sh[65628]: 16-06 19:57:34| 71  11  17   0   0|1598M  618M  171M 5345M|  22k   18k|   0   112k|   0  6.97 |5941  6607 |2.72 1.45 0.73|4.0   0  68|   0     0 |           | 11   34    0   54    0
Jun 16 19:57:35 ubuntu dstat.sh[65628]: 16-06 19:57:35| 70  12  18   0   0|1525M  691M  171M 5345M|  17k   13k|   0   398k|   0  41.2 |5277  5608 |2.72 1.45 0.73|3.0   0 139|   0     0 |           | 11   34    0   56    0
Jun 16 19:57:36 ubuntu dstat.sh[65628]: 16-06 19:57:36| 53  11  34   0   0|1478M  738M  171M 5345M|  15k   11k|   0   399k|   0  35.9 |4604  4351 |2.66 1.46 0.74|4.0   0 120|   0     0 |           | 11   33    0   58    0
Jun 16 19:57:37 ubuntu dstat.sh[65628]: 16-06 19:57:37| 56  11  32   0   0|1517M  699M  171M 5346M|  12k 8357B|   0   224k|   0  17.0 |4881  4754 |2.66 1.46 0.74|3.0   0  91|   0     0 |           | 11   33    0   59    0
Jun 16 19:57:38 ubuntu dstat.sh[65628]: 16-06 19:57:38| 56   8  34   0   0|1525M  690M  171M 5346M|  23k   19k|   0   188k|   0  7.99 |5574  7120 |2.66 1.46 0.74|4.0   0 5.0|   0     0 |           | 11   33    0   54    0
Jun 16 19:57:39 ubuntu dstat.sh[65628]: 16-06 19:57:39| 53  13  34   0   0|1564M  651M  171M 5346M|  14k   11k|   0   216k|   0  14.0 |5200  4988 |2.66 1.46 0.74|3.0   0  87|   0     0 |           | 11   33    0   55    0
Jun 16 19:57:40 ubuntu dstat.sh[65628]: 16-06 19:57:40| 45   9  44   0   0|1608M  607M  171M 5346M|  18k   13k|   0   152k|   0  12.0 |4442  3899 |2.66 1.46 0.74|2.0   0  86|   0     0 |           | 11   34    0   56    0
