Feb 19 00:47:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 00:47:59 ubuntu dstat.sh[59131]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 00:47:59 ubuntu dstat.sh[59131]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 00:48:09 ubuntu dstat.sh[59131]: 19-02 00:48:09| 39   6  54   1   0|1257M 1345M  161M 4997M| 169k 8880B|   0  3156k|   0   102 |3014  1924 |1.39 0.95 0.53|2.0   0 1.0|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:10 ubuntu dstat.sh[59131]: 19-02 00:48:10| 45   6  46   2   0|1236M 1341M  162M 5017M|5760B 1620B|   0    10M|   0   599 |4183  3820 |1.39 0.95 0.53|4.0   0  16|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:11 ubuntu dstat.sh[59131]: 19-02 00:48:11| 45   5  48   0   0|1266M 1293M  162M 5034M|5520B 1620B|   0  1276k|   0  82.0 |3039  1856 |1.39 0.95 0.53|2.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:12 ubuntu dstat.sh[59131]: 19-02 00:48:12| 39  12  48   2   0|1248M 1293M  163M 5048M|6288B 1503B|   0  7396k|   0   541 |5184  4145 |1.39 0.95 0.53|2.0   0 240|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:13 ubuntu dstat.sh[59131]: 19-02 00:48:13| 34  21  42   1   0|1246M 1264M  164M 5075M|5295B 1617B|   0    10M|   0   591 |7790  8111 |1.39 0.95 0.53|2.0   0 541|   0     0 |           | 11    6    0   19    2
Feb 19 00:48:14 ubuntu dstat.sh[59131]: 19-02 00:48:14| 52  15  33   1   0|1262M 1252M  165M 5070M|  11k 4349B|7714k 1478k|79.1  50.1 |5771    17k|1.36 0.95 0.53|3.0   0 230|   0     0 |           | 11    5    0   20    0
Feb 19 00:48:15 ubuntu dstat.sh[59131]: 19-02 00:48:15| 66   8  25   0   0|1307M 1207M  165M 5070M|5288B 2042B|  20k  112k|3.99  8.98 |3802  1591 |1.36 0.95 0.53|2.0   0  35|   0     0 |           | 11    6    0   13    0
Feb 19 00:48:16 ubuntu dstat.sh[59131]: 19-02 00:48:16| 62   9  29   0   0|1328M 1179M  165M 5077M|9856B 3473B| 492k 2060k|4.00  45.0 |3536  1566 |1.36 0.95 0.53|3.0   0 2.0|   0     0 |           | 11    5    0   13    0
Feb 19 00:48:17 ubuntu dstat.sh[59131]: 19-02 00:48:17| 43  10  47   0   0|1369M 1128M  165M 5085M|  11k 4490B|   0  2614k|   0  90.1 |4373  4515 |1.36 0.95 0.53|1.0   0 136|   0     0 |           | 11    5    0   14    0
Feb 19 00:48:18 ubuntu dstat.sh[59131]: 19-02 00:48:18| 28   8  62   0   0|1383M 1114M  166M 5085M|4894B 1836B|   0  1580k|   0  45.0 |  11k   20k|1.36 0.95 0.53|2.0   0  36|   0     0 |           | 11    4    0   14    0
Feb 19 00:48:19 ubuntu dstat.sh[59131]: 19-02 00:48:19| 42  11  46   0   0|1473M 1023M  166M 5085M|4825B 1661B|   0    14M|   0  96.0 |  12k   20k|1.41 0.97 0.54|2.0   0  19|   0     0 |           | 11    4    0   14    0
Feb 19 00:48:20 ubuntu dstat.sh[59131]: 19-02 00:48:20| 44   6  49   1   0|1426M 1082M  166M 5074M|4677B 1462B|   0  2956k|   0  34.1 |3358  2146 |1.41 0.97 0.54|2.0   0  27|   0     0 |           | 11   10    0   14    0
Feb 19 00:48:21 ubuntu dstat.sh[59131]: 19-02 00:48:21| 31   7  59   1   0|1387M 1121M  166M 5074M|4607B 1616B|   0  3829k|   0   316 |4631  5270 |1.41 0.97 0.54|2.0   0  92|   0     0 |           | 11    4    0   16    0
Feb 19 00:48:22 ubuntu dstat.sh[59131]: 19-02 00:48:22| 19   2  78   0   0|1409M 1098M  166M 5075M|7660B 4346B| 493k  689k|25.0  7.01 |1873  1386 |1.41 0.97 0.54|1.0   0 1.0|   0     0 |           | 11    9    0   16    0
Feb 19 00:48:23 ubuntu dstat.sh[59131]: 19-02 00:48:23| 21   2  75   1   0|1391M 1116M  166M 5075M|9710B 7093B| 268k 1211k|65.9  31.0 |2845  2922 |1.41 0.97 0.54|  0   0 3.0|   0     0 |           | 11   29    0   16    0
Feb 19 00:48:24 ubuntu dstat.sh[59131]: 19-02 00:48:24| 20   6  73   0   0|1360M 1147M  166M 5075M|6116B 2606B|   0    11M|   0  66.0 |2541  2057 |1.38 0.97 0.55|1.0   0  43|   0     0 |           | 11   28    0   17    0
Feb 19 00:48:25 ubuntu dstat.sh[59131]: 19-02 00:48:25| 18   2  79   0   0|1376M 1131M  166M 5075M|  11k 8468B|   0     0 |   0     0 |2006  1674 |1.38 0.97 0.55|1.0   0   0|   0     0 |           | 11   28    0   18    0
Feb 19 00:48:26 ubuntu dstat.sh[59131]: 19-02 00:48:26| 35  12  52   0   0|1400M 1107M  166M 5075M|4329B 1624B|   0    12k|   0  3.01 |3690  2484 |1.38 0.97 0.55|3.0   0 156|   0     0 |           | 11   28    0   18    0
Feb 19 00:48:27 ubuntu dstat.sh[59131]: 19-02 00:48:27| 33   4  63   0   0|1430M 1077M  166M 5075M|  19k   16k|   0  1250k|   0  7.01 |4816  5756 |1.38 0.97 0.55|1.0   0   0|   0     0 |           | 11   30    0   18    0
Feb 19 00:48:28 ubuntu dstat.sh[59131]: 19-02 00:48:28| 49  25  26   0   0|1428M 1079M  166M 5075M|9004B 5503B|   0  5296k|   0   145 |6897  7616 |1.38 0.97 0.55|6.0   0 556|   0     0 |           | 11   28    0   17    0
Feb 19 00:48:29 ubuntu dstat.sh[59131]: 19-02 00:48:29| 85  14   1   0   0|1654M  853M  166M 5075M|8167B 6558B|   0    20M|   0   170 |4973  2842 |1.75 1.06 0.58|4.0   0  22|   0     0 |           | 11   31    0   17    0
Feb 19 00:48:30 ubuntu dstat.sh[59131]: 19-02 00:48:30| 80   9  10   0   0|1703M  803M  166M 5075M|  42k   37k|   0   431k|   0  39.9 |9927    13k|1.75 1.06 0.58|5.0   0   0|   0     0 |           | 11   31    0   20    0
Feb 19 00:48:31 ubuntu dstat.sh[59131]: 19-02 00:48:31| 42  15  42   0   0|1532M  974M  166M 5075M|9429B 5549B|   0   416k|   0  37.0 |5249  5945 |1.75 1.06 0.58|1.0   0 310|   0     0 |           | 11   28    0   23    0
Feb 19 00:48:32 ubuntu dstat.sh[59131]: 19-02 00:48:32| 19   2  78   0   0|1528M  979M  166M 5075M|9755B 6177B|   0   156k|   0  8.02 |2272  2254 |1.75 1.06 0.58|1.0   0 1.0|   0     0 |           | 11   29    0   23    0
Feb 19 00:48:33 ubuntu dstat.sh[59131]: 19-02 00:48:33| 15   7  76   0   0|1478M 1028M  166M 5075M|7660B 4010B|   0   491k|   0  33.9 |3137  3025 |1.75 1.06 0.58|1.0   0  68|   0     0 |           | 11   28    0   24    0
Feb 19 00:48:34 ubuntu dstat.sh[59131]: 19-02 00:48:34| 19   3  78   0   0|1469M 1037M  166M 5075M|8822B 5571B|   0  1924k|   0  8.00 |1898  1568 |1.61 1.04 0.57|1.0   0   0|   0     0 |           | 11   29    0   24    0
Feb 19 00:48:35 ubuntu dstat.sh[59131]: 19-02 00:48:35| 13  11  74   0   0|1429M 1078M  166M 5075M|8739B 4689B|   0  1448k|   0  69.2 |4665  4806 |1.61 1.04 0.57|1.0   0 272|   0     0 |           | 11   28    0   25    0
Feb 19 00:48:36 ubuntu dstat.sh[59131]: 19-02 00:48:36| 38  30  31   0   0|1413M 1093M  166M 5076M|5253B 1512B|   0   144k|   0  19.0 |6472  5769 |1.61 1.04 0.57|5.0   0 767|   0     0 |           | 11   28    0   25    0
Feb 19 00:48:37 ubuntu dstat.sh[59131]: 19-02 00:48:37| 85  11   3   0   0|1620M  887M  166M 5076M|  15k   11k|   0   140k|   0  9.99 |5097  3015 |1.61 1.04 0.57|5.0   0   0|   0     0 |           | 11   31    0   25    0
Feb 19 00:48:38 ubuntu dstat.sh[59131]: 19-02 00:48:38| 70   9  19   0   0|1630M  876M  166M 5076M|  42k   38k|   0   404k|   0  52.9 |9766    16k|1.61 1.04 0.57|6.0   0  60|   0     0 |           | 11   29    0   26    0
Feb 19 00:48:39 ubuntu dstat.sh[59131]: 19-02 00:48:39| 78  22   1   0   0|1571M  935M  166M 5076M|6841B 3643B|   0  7017k|   0   240 |6174  6156 |1.96 1.12 0.60|6.0   0 250|   0     0 |           | 11   28    0   26    0
Feb 19 00:48:40 ubuntu dstat.sh[59131]: 19-02 00:48:40| 86  10   4   0   0|1713M  793M  166M 5076M|  26k   22k|   0   292k|   0  8.99 |6116  5346 |1.96 1.12 0.60|7.0   0   0|   0     0 |           | 11   33    0   26    0
Feb 19 00:48:41 ubuntu dstat.sh[59131]: 19-02 00:48:41| 75  14  11   0   0|1699M  806M  166M 5076M|  44k   39k|   0   488k|   0  34.0 |9865    17k|1.96 1.12 0.60|3.0   0 168|   0     0 |           | 11   29    0   30    0
Feb 19 00:48:42 ubuntu dstat.sh[59131]: 19-02 00:48:42| 50  10  39   0   0|1474M 1031M  166M 5076M|  10k 6797B|   0   223k|   0  9.95 |4056  3328 |1.96 1.12 0.60|2.0   0 130|   0     0 |           | 11   29    0   31    0
Feb 19 00:48:43 ubuntu dstat.sh[59131]: 19-02 00:48:43| 31   9  59   0   0|1447M 1058M  166M 5077M|  18k   16k|   0  2486k|   0   102 |5684  6974 |1.96 1.12 0.60|3.0   0 164|   0     0 |           | 11   29    0   32    0
Feb 19 00:48:44 ubuntu dstat.sh[59131]: 19-02 00:48:44| 65  18  16   0   0|1512M  993M  166M 5077M|6011B 2943B|   0    92M|   0  1018 |5373  4636 |2.12 1.17 0.62|3.0   0 215|   0     0 |           | 11   28    0   33    0
Feb 19 00:48:45 ubuntu dstat.sh[59131]: 19-02 00:48:45| 45   6  49   0   0|1539M  966M  166M 5077M|  28k   26k|   0  1881k|   0  18.0 |6875  8911 |2.12 1.17 0.62|2.0   0   0|   0     0 |           | 11   31    0   33    0
Feb 19 00:48:46 ubuntu dstat.sh[59131]: 19-02 00:48:46| 70  21  10   0   0|1488M 1017M  166M 5077M|9444B 5128B|   0   496k|   0  41.0 |6348  5580 |2.12 1.17 0.62|4.0   0 258|   0     0 |           | 11   28    0   34    0
Feb 19 00:48:47 ubuntu dstat.sh[59131]: 19-02 00:48:47| 69   6  24   0   0|1575M  930M  166M 5077M|  23k   21k|   0   192k|   0  12.0 |5499  4965 |2.12 1.17 0.62|2.0   0   0|   0     0 |           | 11   32    0   34    0
Feb 19 00:48:48 ubuntu dstat.sh[59131]: 19-02 00:48:48| 58  17  24   0   0|1476M 1029M  166M 5077M|  26k   22k|   0  2737k|   0   201 |9051    13k|2.12 1.17 0.62|3.0   0 325|   0     0 |           | 11   28    0   36    0
Feb 19 00:48:49 ubuntu dstat.sh[59131]: 19-02 00:48:49| 55   7  38   0   0|1516M  989M  166M 5077M|  15k   11k|   0   909k|   0  12.0 |4079  2824 |2.11 1.18 0.63|3.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 19 00:48:50 ubuntu dstat.sh[59131]: 19-02 00:48:50| 51  14  35   0   0|1438M 1067M  166M 5077M|  24k   20k|   0   473k|   0  38.1 |7718    10k|2.11 1.18 0.63|4.0   0 276|   0     0 |           | 11   28    0   38    0
Feb 19 00:48:51 ubuntu dstat.sh[59131]: 19-02 00:48:51| 60  12  27   0   0|1552M  952M  166M 5077M|8564B 6991B|   0   223k|   0  9.97 |3688  1761 |2.11 1.18 0.63|1.0   0  25|   0     0 |           | 11   31    0   38    0
Feb 19 00:48:52 ubuntu dstat.sh[59131]: 19-02 00:48:52| 44   6  49   0   0|1517M  988M  166M 5078M|  27k   22k|   0   241k|   0  21.1 |7472  9562 |2.11 1.18 0.63|5.0   0  30|   0     0 |           | 11   29    0   36    0
Feb 19 00:48:53 ubuntu dstat.sh[59131]: 19-02 00:48:53| 62  19  19   0   0|1524M  980M  166M 5078M|6525B 2786B|   0   212k|   0  14.0 |4842  3462 |2.11 1.18 0.63|3.0   0 258|   0     0 |           | 11   28    0   37    0
Feb 19 00:48:54 ubuntu dstat.sh[59131]: 19-02 00:48:54| 46   5  49   0   0|1559M  945M  166M 5078M|  25k   23k|   0   227k|   0  18.0 |5437  6477 |2.19 1.21 0.64|4.0   0   0|   0     0 |           | 11   31    0   37    0
Feb 19 00:48:55 ubuntu dstat.sh[59131]: 19-02 00:48:55| 57  16  27   0   0|1497M 1007M  166M 5078M|  10k 5364B|   0   923k|   0  35.1 |5351  4638 |2.19 1.21 0.64|3.0   0 112|   0     0 |           | 11   28    0   39    0
Feb 19 00:48:56 ubuntu dstat.sh[59131]: 19-02 00:48:56| 50   5  43   0   0|1558M  945M  166M 5078M|  21k   18k|   0   172k|   0  8.99 |4939  4628 |2.19 1.21 0.64|3.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 19 00:48:57 ubuntu dstat.sh[59131]: 19-02 00:48:57| 60  26  15   1   0|1467M 1036M  166M 5078M|  16k   11k|   0  1597k|   0   113 |7832  9612 |2.19 1.21 0.64|8.0   0 516|   0     0 |           | 11   28    0   38    0
Feb 19 00:48:58 ubuntu dstat.sh[59131]: 19-02 00:48:58| 80  19   0   0   0|1641M  862M  166M 5078M|4980B 1620B|   0    12k|   0  3.00 |5526  4631 |2.19 1.21 0.64|8.0   0 420|   0     0 |           | 11   28    0   38    0
Feb 19 00:48:59 ubuntu dstat.sh[59131]: 19-02 00:48:59| 73  19   6   0   0|1713M  791M  166M 5078M|  49k   46k|   0   300k|   0  19.0 |7945  9188 |2.41 1.28 0.66|7.0   0 439|   0     0 |           | 11   33    0   38    0
Feb 19 00:49:00 ubuntu dstat.sh[59131]: 19-02 00:49:00| 73  26   2   0   0|1531M  972M  166M 5078M|  24k   19k|   0   689k|   0  56.1 |8294    10k|2.41 1.28 0.66|6.0   0 434|   0     0 |           | 11   28    0   39    0
Feb 19 00:49:01 ubuntu dstat.sh[59131]: 19-02 00:49:01| 81  13   6   0   0|1640M  863M  166M 5078M|  12k   11k|   0   156k|   0  7.98 |4927  2723 |2.41 1.28 0.66|3.0   0  45|   0     0 |           | 11   32    0   39    0
Feb 19 00:49:02 ubuntu dstat.sh[59131]: 19-02 00:49:02| 69   8  23   0   0|1656M  847M  166M 5079M|  46k   41k|   0     0 |   0     0 |  10k   15k|2.41 1.28 0.66|3.0   0   0|   0     0 |           | 11   32    0   40    0
Feb 19 00:49:03 ubuntu dstat.sh[59131]: 19-02 00:49:03| 35  24  40   0   0|1480M 1023M  166M 5079M|  12k 8417B|   0    20k|   0  5.00 |6889  6938 |2.41 1.28 0.66|1.0   0 568|   0     0 |           | 11   28    0   44    0
Feb 19 00:49:04 ubuntu dstat.sh[59131]: 19-02 00:49:04| 17  31  51   0   0|1456M 1047M  166M 5079M|4748B 1665B|   0    36k|   0  9.01 |6124  4834 |2.46 1.30 0.68|5.0   0 627|   0     0 |           | 11   28    0   44    0
Feb 19 00:49:05 ubuntu dstat.sh[59131]: 19-02 00:49:05| 70  24   6   0   0|1549M  954M  166M 5079M|9187B 6284B|   0   316k|   0  20.0 |5087  3906 |2.46 1.30 0.68|3.0   0 410|   0     0 |           | 11   30    0   42    0
Feb 19 00:49:06 ubuntu dstat.sh[59131]: 19-02 00:49:06| 59   8  31   0   0|1570M  933M  166M 5079M|  28k   25k|   0   240k|   0  28.0 |5929  8351 |2.46 1.30 0.68|3.0   0  67|   0     0 |           | 11   30    0   44    0
Feb 19 00:49:07 ubuntu dstat.sh[59131]: 19-02 00:49:07| 74  19   7   0   0|1532M  971M  166M 5079M|  10k 6508B|   0   497k|   0  46.1 |5817  6124 |2.46 1.30 0.68|3.0   0 201|   0     0 |           | 11   28    1   46    0
Feb 19 00:49:08 ubuntu dstat.sh[59131]: 19-02 00:49:08| 64   6  29   0   0|1574M  928M  166M 5079M|  29k   26k|   0   184k|   0  7.99 |5615  7310 |2.46 1.30 0.68|4.0   0   0|   0     0 |           | 11   32    0   46    0
Feb 19 00:49:09 ubuntu dstat.sh[59131]: 19-02 00:49:09| 52   6  40   0   0|1575M  928M  166M 5079M|  46k   40k|   0  2989k|   0   136 |  14k   22k|2.50 1.33 0.69|3.0   0   0|   0     0 |           | 11   31    0   46    0
Feb 19 00:49:10 ubuntu dstat.sh[59131]: 19-02 00:49:10| 74  17   9   0   0|1512M  990M  166M 5079M|  15k 9967B|   0   484k|   0  48.0 |7319  8044 |2.50 1.33 0.69|4.0   0 126|   0     0 |           | 11   28    0   46    0
Feb 19 00:49:11 ubuntu dstat.sh[59131]: 19-02 00:49:11| 67   8  25   0   0|1594M  908M  166M 5079M|  26k   22k|   0   164k|   0  11.0 |5717  5549 |2.50 1.33 0.69|4.0   0   0|   0     0 |           | 11   32    0   46    0
Feb 19 00:49:12 ubuntu dstat.sh[59131]: 19-02 00:49:12| 51   7  40   0   0|1596M  906M  166M 5080M|  46k   41k|   0  1981k|   0   130 |  14k   21k|2.50 1.33 0.69|2.0   0 2.0|   0     0 |           | 11   32    0   46    0
Feb 19 00:49:13 ubuntu dstat.sh[59131]: 19-02 00:49:13| 66  20  13   0   0|1468M 1033M  166M 5080M|  22k   17k|   0   155k|   0  8.95 |7490  9005 |2.50 1.33 0.69|4.0   0 260|   0     0 |           | 11   28    0   50    0
Feb 19 00:49:14 ubuntu dstat.sh[59131]: 19-02 00:49:14| 76  13  12   0   0|1604M  898M  166M 5080M|  19k   16k|   0   120k|   0  7.03 |5141    13k|2.70 1.39 0.71|5.0   0  36|   0     0 |           | 11   32    0   51    0
Feb 19 00:49:15 ubuntu dstat.sh[59131]: 19-02 00:49:15| 61   9  30   0   0|1576M  926M  166M 5080M|  38k   33k|   0  1871k|   0  50.1 |  11k   16k|2.70 1.39 0.71|4.0   0  34|   0     0 |           | 11   30    0   53    0
Feb 19 00:49:16 ubuntu dstat.sh[59131]: 19-02 00:49:16| 76  15   8   0   0|1555M  946M  166M 5080M|  13k 9515B|   0   321k|   0  34.1 |5600  5191 |2.70 1.39 0.71|4.0   0  94|   0     0 |           | 11   29    0   53    0
Feb 19 00:49:17 ubuntu dstat.sh[59131]: 19-02 00:49:17| 66  10  23   0   0|1522M  979M  166M 5080M|  23k   20k|   0   664k|   0  80.0 |5565  6229 |2.70 1.39 0.71|4.0   0  70|   0     0 |           | 11   30    0   54    0
Feb 19 00:49:18 ubuntu dstat.sh[59131]: 19-02 00:49:18| 67  11  20   0   0|1568M  933M  166M 5081M|  29k   24k|   0   187k|   0  9.97 |6901    11k|2.70 1.39 0.71|6.0   0  52|   0     0 |           | 11   31    0   54    0
Feb 19 00:49:19 ubuntu dstat.sh[59131]: 19-02 00:49:19| 65  14  22   0   0|1575M  926M  166M 5081M|  29k   25k|   0   152k|   0  9.01 |7035  9541 |2.89 1.45 0.74|3.0   0 141|   0     0 |           | 11   29    0   57    0
Feb 19 00:49:20 ubuntu dstat.sh[59131]: 19-02 00:49:20| 76  14  11   0   0|1567M  934M  166M 5081M|  13k   10k|   0  1663k|   0  16.0 |4922  3197 |2.89 1.45 0.74|3.0   0  86|   0     0 |           | 11   30    0   58    0
Feb 19 00:49:21 ubuntu dstat.sh[59131]: 19-02 00:49:21| 68  11  20   0   0|1519M  982M  166M 5081M|  26k   23k|   0   151k|   0  6.98 |6281  7621 |2.89 1.45 0.74|2.0   0  68|   0     0 |           | 11   30    0   57    0
Feb 19 00:49:22 ubuntu dstat.sh[59131]: 19-02 00:49:22| 67  14  19   0   0|1492M 1008M  166M 5081M|  20k   16k|   0   424k|   0  40.0 |6373  7306 |2.89 1.45 0.74|2.0   0 138|   0     0 |           | 11   30    0   59    0
Feb 19 00:49:23 ubuntu dstat.sh[59131]: 19-02 00:49:23| 50  11  38   0   0|1476M 1025M  166M 5081M|  16k   12k|   0   525k|   0  49.1 |5018  5041 |2.89 1.45 0.74|3.0   0  94|   0     0 |           | 11   31    0   61    0
Feb 19 00:49:24 ubuntu dstat.sh[59131]: 19-02 00:49:24| 54  11  34   0   0|1527M  974M  166M 5081M|  13k   10k|   0   240k|   0  21.0 |5042  5210 |2.81 1.46 0.74|4.0   0  65|   0     0 |           | 11   33    0   62    0
Feb 19 00:49:25 ubuntu dstat.sh[59131]: 19-02 00:49:25| 54   8  37   0   0|1578M  922M  166M 5081M|  21k   17k|   0   192k|   0  11.0 |6221  7602 |2.81 1.46 0.74|3.0   0  60|   0     0 |           | 11   33    0   62    0
Feb 19 00:49:26 ubuntu dstat.sh[59131]: 19-02 00:49:26| 53  13  35   0   0|1535M  965M  166M 5081M|  14k   11k|   0   360k|   0  17.0 |5481  5632 |2.81 1.46 0.74|3.0   0  86|   0     0 |           | 11   33    0   63    0
Feb 19 00:49:27 ubuntu dstat.sh[59131]: 19-02 00:49:27| 39   6  53   0   0|1544M  956M  166M 5081M|  21k   18k|   0   211k|   0  9.97 |5472  6000 |2.81 1.46 0.74|2.0   0  86|   0     0 |           | 11   34    0   64    0
Feb 19 00:49:28 ubuntu dstat.sh[59131]: 19-02 00:49:28| 31  11  57   0   0|1414M 1086M  166M 5082M|  12k 9203B|   0   329k|   0  33.1 |5651  6346 |2.81 1.46 0.74|2.0   0 128|   0     0 |           | 11   32    0   66    0
Feb 19 00:49:29 ubuntu dstat.sh[59131]: 19-02 00:49:29| 39   7  53   0   0|1459M 1041M  166M 5082M|9483B 6380B|   0   152k|   0  11.0 |2759  1778 |2.67 1.45 0.74|2.0   0 7.0|   0     0 |           | 11   33    0   64    0
Feb 19 00:49:30 ubuntu dstat.sh[59131]: 19-02 00:49:30| 32   7  60   0   0|1437M 1063M  166M 5082M|  18k   14k|   0   216k|   0  16.0 |4487  5837 |2.67 1.45 0.74|2.0   0  34|   0     0 |           | 11   33    0   65    0
Feb 19 00:49:31 ubuntu dstat.sh[59131]: 19-02 00:49:31| 37  10  53   0   0|1459M 1040M  166M 5082M|  10k 6602B|   0   320k|   0  15.0 |3749  2613 |2.67 1.45 0.74|2.0   0 104|   0     0 |           | 11   33    0   66    0
Feb 19 00:49:32 ubuntu dstat.sh[59131]: 19-02 00:49:32| 35   9  56   0   0|1438M 1062M  166M 5082M|  11k 8172B|   0   344k|   0  30.0 |3964  3625 |2.67 1.45 0.74|2.0   0  60|   0     0 |           | 11   33    0   67    0
Feb 19 00:49:33 ubuntu dstat.sh[59131]: 19-02 00:49:33| 35   5  58   0   0|1458M 1041M  166M 5082M|  13k 9606B|   0   251k|   0  22.9 |4251  4462 |2.67 1.45 0.74|2.0   0 6.0|   0     0 |           | 11   33    0   61    0
Feb 19 00:49:34 ubuntu dstat.sh[59131]: 19-02 00:49:34| 37   5  56   0   0|1480M 1020M  166M 5082M|  17k   13k|   0   144k|   0  7.99 |4347  4654 |2.54 1.45 0.75|3.0   0   0|   0     0 |           | 11   33    0   62    0
Feb 19 00:49:35 ubuntu dstat.sh[59131]: 19-02 00:49:35| 37   8  54   0   0|1470M 1029M  166M 5082M|  14k 9840B|   0   811k|   0  30.1 |3807  3814 |2.54 1.45 0.75|2.0   0  43|   0     0 |           | 11   32    0   63    0
Feb 19 00:49:36 ubuntu dstat.sh[59131]: 19-02 00:49:36| 37   7  55   0   0|1480M 1019M  166M 5082M|  14k 9519B|   0   252k|   0  9.99 |3205  3008 |2.54 1.45 0.75|2.0   0 5.0|   0     0 |           | 11   33    0   63    0
Feb 19 00:49:37 ubuntu dstat.sh[59131]: 19-02 00:49:37| 25  12  61   0   0|1409M 1090M  166M 5082M|  18k   15k|   0   212k|   0  21.0 |5953  6742 |2.54 1.45 0.75|3.0   0 183|   0     0 |           | 11   33    0   63    0
Feb 19 00:49:38 ubuntu dstat.sh[59131]: 19-02 00:49:38| 22   8  68   0   0|1341M 1158M  166M 5082M|6146B 2527B|   0   335k|   0  23.0 |2952  2722 |2.54 1.45 0.75|1.0   0  99|   0     0 |           | 11   32    0   64    0
Feb 19 00:49:39 ubuntu dstat.sh[59131]: 19-02 00:49:39| 18   3  79   0   0|1361M 1138M  166M 5082M|  13k 9753B|   0  3636k|   0   172 |2829  3117 |2.41 1.44 0.75|  0   0   0|   0     0 |           | 11   33    0   64    0
Feb 19 00:49:40 ubuntu dstat.sh[59131]: 19-02 00:49:40| 12  13  72   1   0|1353M 1146M  167M 5082M|8015B 4196B|   0  2182k|   0   133 |4725  4648 |2.41 1.44 0.75|2.0   0 197|   0     0 |           | 11   32    0   65    0
