Jul 19 15:15:03 jammy-provider-cloud-0000007373 systemd[1]: Started Devstack devstack@dstat.service.
Jul 19 15:15:03 jammy-provider-cloud-0000007373 dstat.sh[57801]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 19 15:15:03 jammy-provider-cloud-0000007373 dstat.sh[57801]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 19 15:15:18 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:18| 14  18  68   0   0|1062M 1747M  161M 4779M|5311B 1695B|   0    20k|   0  5.00 |3100  4692 |1.83 1.04 0.53|1.0   0 238|   0     0 |   0     0 | 10    4    3   13    0
Jul 19 15:15:19 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:19| 38  12  49   0   0|1142M 1667M  161M 4779M|5649B 1617B|   0     0 |   0     0 |3174  5121 |1.83 1.04 0.53|2.0   0 165|   0     0 |   0     0 | 10    5    3   13    0
Jul 19 15:15:20 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:20| 48   2  49   0   0|1205M 1604M  161M 4780M|  10k 1621B|   0  8200B|   0  1.00 |1102  1070 |1.83 1.04 0.53|2.0   0   0|   0     0 |   0     0 | 10    5    3   13    0
Jul 19 15:15:21 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:21| 37  12  51   0   0|1242M 1564M  161M 4782M|9023B 1622B|   0    12M|   0  61.1 |1949  6172 |1.83 1.04 0.53|1.0   0 101|   0     0 |   0     0 | 10    4    3   13    0
Jul 19 15:15:22 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:22|  2   2  95   0   0|1242M 1563M  161M 4782M|  10k 1510B|   0  1674k|   0  37.0 |1055  1732 |1.68 1.03 0.52|  0   0  19|   0     0 |   0     0 | 10    4    3   13    0
Jul 19 15:15:23 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:23|  4   2  94   0   0|1252M 1554M  161M 4782M|9828B 1566B|   0    28k|   0  4.00 |1069  1382 |1.68 1.03 0.52|1.0   0  21|   0     0 |   0     0 | 10    4    3   12    0
Jul 19 15:15:24 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:24| 23   3  73   0   0|1324M 1482M  161M 4782M|6882B 1619B|   0     0 |   0     0 | 909  1127 |1.68 1.03 0.52|1.0   0   0|   0     0 |   0     0 | 10    4    3   12    0
Jul 19 15:15:25 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:25| 23   3  73   0   0|1344M 1462M  161M 4782M|7130B 1624B|   0  3814k|   0   184 |1458  2190 |1.68 1.03 0.52|1.0   0 1.0|   0     0 |   0     0 | 10   10    3   12    0
Jul 19 15:15:26 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:26| 24   4  71   1   0|1282M 1524M  161M 4782M|5419B 1617B|   0    35M|   0   352 |2690  4852 |1.68 1.03 0.52|1.0   0  42|   0     0 |   0     0 | 10    4    3   14    0
Jul 19 15:15:27 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:27| 23   3  73   0   0|1319M 1486M  161M 4783M|7316B 1694B| 232k 1744k|58.0  16.0 |1552  2517 |1.63 1.03 0.53|1.0   0 2.0|   0     0 |   0     0 | 10   27    3   14    0
Jul 19 15:15:28 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:28| 22   5  73   0   0|1308M 1496M  161M 4783M|6136B 1696B|   0   885k|   0  8.01 |1299  1806 |1.63 1.03 0.53|1.0   0  44|   0     0 |   0     0 | 10   28    3   14    0
Jul 19 15:15:29 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:29| 28   8  64   0   0|1313M 1492M  161M 4783M|4454B 1512B|   0    12k|   0  3.00 |1822  2756 |1.63 1.03 0.53|2.0   0 156|   0     0 |   0     0 | 10   28    3   14    0
Jul 19 15:15:30 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:30| 45   5  49   0   0|1392M 1412M  161M 4783M|7857B 1691B|   0   148k|   0  9.98 |2512  5117 |1.63 1.03 0.53|2.0   0   0|   0     0 |   0     0 | 10   30    3   15    0
Jul 19 15:15:31 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:31| 62  17  22   0   0|1411M 1393M  161M 4783M|  42k 1663B|   0  7439k|   0  67.1 |3274  6746 |1.63 1.03 0.53|6.0   0 448|   0     0 |   0     0 | 10   28    3   15    0
Jul 19 15:15:32 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:32| 84  12   3   0   0|1590M 1213M  161M 4783M|5128B 1620B|   0   216k|   0  9.00 |4100  8306 |1.98 1.11 0.56|6.0   0 133|   0     0 |   0     0 | 10   31    3   15    0
Jul 19 15:15:33 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:33| 73  11  16   0   0|1407M 1396M  161M 4784M|5484B 1619B|   0   468k|   0  51.0 |3381  7609 |1.98 1.11 0.56|2.0   0 200|   0     0 |   0     0 | 10   29    3   15    0
Jul 19 15:15:34 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:34| 23   7  70   0   0|1329M 1474M  161M 4784M|5274B 1712B|   0   256k|   0  21.0 |2034  3413 |1.98 1.11 0.56|1.0   0 110|   0     0 |   0     0 | 10   28    3   13    0
Jul 19 15:15:35 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:35| 22   4  73   0   0|1299M 1505M  161M 4784M|5934B 1694B|   0   176k|   0  17.0 |1980  3513 |1.98 1.11 0.56|1.0   0  68|   0     0 |   0     0 | 10   28    3   13    0
Jul 19 15:15:36 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:36| 24   4  72   0   0|1351M 1452M  161M 4784M|6091B 1600B|   0    64M|   0   149 |2008  3401 |1.98 1.11 0.56|1.0   0   0|   0     0 |   0     0 | 10   29    3   13    0
Jul 19 15:15:37 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:37| 11  18  69   0   0|1293M 1510M  161M 4784M|5924B 1621B|   0  1453k|   0  35.0 |3072  4980 |1.90 1.11 0.56|1.0   0 434|   0     0 |   0     0 | 10   28    3   13    0
Jul 19 15:15:38 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:38| 60  21  18   0   0|1456M 1347M  161M 4784M|5254B 1621B|   0   240k|   0  20.0 |2783  4702 |1.90 1.11 0.56|5.0   0 597|   0     0 |   0     0 | 10   28    3   13    0
Jul 19 15:15:39 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:39| 81  11   8   0   0|1578M 1224M  161M 4784M|4589B 1566B|   0   860k|   0  57.0 |5082    13k|1.90 1.11 0.56|4.0   0 7.0|   0     0 |   0     0 | 10   31    3   14    0
Jul 19 15:15:40 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:40| 86  12   3   0   0|1432M 1370M  161M 4785M|4476B 1620B|   0  3304k|   0   151 |3958  9034 |1.90 1.11 0.56|5.0   0 134|   0     0 |   0     0 | 10   28    3   15    0
Jul 19 15:15:41 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:41| 78  15   5   0   0|1575M 1227M  161M 4785M|5447B 1620B|   0   216k|   0  13.0 |5864    15k|1.90 1.11 0.56|5.0   0 176|   0     0 |   0     0 | 10   31    3   15    0
Jul 19 15:15:42 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:42| 75  13  12   0   0|1407M 1394M  161M 4785M|5945B 1617B|   0  2127k|   0  17.0 |5522    13k|2.39 1.22 0.60|2.0   0 202|   0     0 |   0     0 | 10   28    3   15    0
Jul 19 15:15:43 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:43| 42   9  48   0   0|1354M 1448M  161M 4785M|5181B 1586B|   0   440k|   0  35.0 |3415  6921 |2.39 1.22 0.60|2.0   0  98|   0     0 |   0     0 | 10   28    3   16    0
Jul 19 15:15:44 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:44| 42  12  46   0   0|1354M 1447M  161M 4785M|6476B 1624B|   0   265k|   0  25.1 |3717  8111 |2.39 1.22 0.60|3.0   0 187|   0     0 |   0     0 | 10   29    3   16    0
Jul 19 15:15:45 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:45| 67  11  21   0   0|1464M 1337M  161M 4786M|6172B 1619B|   0   200k|   0  11.0 |2093  3380 |2.39 1.22 0.60|3.0   0 191|   0     0 |   0     0 | 10   28    3   16    0
Jul 19 15:15:46 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:46| 65  13  22   0   0|1379M 1422M  161M 4786M|5709B 1620B|   0   416k|   0  46.0 |3807    11k|2.39 1.22 0.60|4.0   0 258|   0     0 |   0     0 | 10   28    3   20    0
Jul 19 15:15:47 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:47| 78  10  12   0   0|1531M 1269M  161M 4786M|7996B 1566B|   0   200k|   0  10.0 |3406  7839 |2.52 1.27 0.62|2.0   0   0|   0     0 |   0     0 | 10   32    3   22    0
Jul 19 15:15:48 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:48| 68  15  15   0   0|1394M 1406M  161M 4787M|5143B 1662B|   0   432k|   0  38.0 |4839    11k|2.52 1.27 0.62|3.0   0 324|   0     0 |   0     0 | 10   28    3   19    0
Jul 19 15:15:49 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:49| 62   7  30   0   0|1418M 1382M  161M 4787M|4914B 1620B|   0   356k|   0  24.0 |4111    10k|2.52 1.27 0.62|3.0   0  14|   0     0 |   0     0 | 10   30    3   24    0
Jul 19 15:15:50 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:50| 66  13  19   0   0|1456M 1344M  161M 4787M|4299B 1512B|   0   452k|   0  34.0 |2644  4704 |2.52 1.27 0.62|3.0   0 285|   0     0 |   0     0 | 10   28    3   23    0
Jul 19 15:15:51 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:51| 60  14  26   0   0|1328M 1472M  161M 4787M|8217B 1620B|   0   276k|   0  22.0 |5995    12k|2.52 1.27 0.62|5.0   0 284|   0     0 |   0     0 | 10   28    3   25    0
Jul 19 15:15:52 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:52| 64   8  27   0   0|1474M 1325M  161M 4787M|5944B 1690B|   0  5005k|   0   352 |2535  4258 |2.56 1.30 0.63|5.0   0 5.0|   0     0 |   0     0 | 10   31    3   26    0
Jul 19 15:15:53 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:53| 63  11  26   0   0|1414M 1385M  161M 4787M|6158B 1623B|   0   409k|   0  38.1 |3804  7463 |2.56 1.30 0.63|3.0   0 112|   0     0 |   0     0 | 10   28    3   26    0
Jul 19 15:15:54 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:54| 63  15  22   0   0|1324M 1475M  161M 4788M|5737B 1620B|   0   472k|   0  45.0 |4006  9930 |2.56 1.30 0.63|5.0   0 267|   0     0 |   0     0 | 10   28    3   28    0
Jul 19 15:15:55 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:55| 82  15   2   0   0|1537M 1262M  161M 4788M|8219B 1566B|   0  1392k|   0  20.0 |2809  4539 |2.56 1.30 0.63|6.0   0 216|   0     0 |   0     0 | 10   29    3   28    0
Jul 19 15:15:56 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:56| 82  16   1   0   0|1446M 1352M  161M 4788M|  11k 1845B|   0  1187k|   0  72.9 |4550  9143 |2.56 1.30 0.63|6.0   0 317|   0     0 |   0     0 | 10   28    4   28    0
Jul 19 15:15:57 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:57| 81  15   3   0   0|1543M 1256M  161M 4788M|7578B 1587B|   0  1021k|   0  36.0 |4156  8963 |2.91 1.39 0.66|6.0   0 182|   0     0 |   0     0 | 10   29    4   28    0
Jul 19 15:15:58 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:58| 74  20   6   0   0|1449M 1349M  161M 4789M|7378B 1620B|   0   276k|   0  15.0 |6209    15k|2.91 1.39 0.66|4.0   0 396|   0     0 |   0     0 | 10   28    4   28    0
Jul 19 15:15:59 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:15:59| 50  25  24   0   0|1353M 1445M  161M 4789M|5421B 1861B|   0   220k|   0  11.0 |6946    16k|2.91 1.39 0.66|2.0   0 758|   0     0 |   0     0 | 10   28    4   28    0
Jul 19 15:16:00 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:00| 14  27  59   0   0|1291M 1507M  161M 4789M|5197B 1758B|   0   228k|   0  13.0 |3393  5571 |2.91 1.39 0.66|2.0   0 595|   0     0 |   0     0 | 10   28    4   25    0
Jul 19 15:16:01 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:01| 71  22   7   0   0|1484M 1314M  161M 4789M|  47k 1704B|   0  5175k|   0   137 |2817  5670 |2.91 1.39 0.66|5.0   0 719|   0     0 |   0     0 | 10   28    4   25    0
Jul 19 15:16:02 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:02| 78  14   8   0   0|1404M 1393M  161M 4789M|7742B 1714B|   0  1984k|   0   109 |5315    14k|3.00 1.44 0.68|3.0 1.0 205|   0     0 |   0     0 | 10   29    4   27    0
Jul 19 15:16:03 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:03| 82  11   6   0   0|1515M 1282M  161M 4789M|7043B 1640B|   0   272k|   0  25.0 |4366  9198 |3.00 1.44 0.68|3.0   0  75|   0     0 |   0     0 | 10   31    4   28    0
Jul 19 15:16:04 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:04| 64  10  25   0   0|1478M 1319M  161M 4790M|5588B 1620B|   0  2016k|   0   129 |9596    24k|3.00 1.44 0.68|4.0   0  64|   0     0 |   0     0 | 10   30    4   35    0
Jul 19 15:16:05 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:05| 83  12   5   0   0|1471M 1325M  161M 4791M|5002B 1512B|   0   332k|   0  34.0 |3847  7758 |3.00 1.44 0.68|4.0   0  90|   0     0 |   0     0 | 10   28    4   35    0
Jul 19 15:16:06 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:06| 69   8  23   0   0|1534M 1262M  161M 4791M|4876B 1713B|   0   112k|   0  7.00 |5184    16k|3.00 1.44 0.68|2.0   0   0|   0     0 |   0     0 | 10   32    4   38    0
Jul 19 15:16:07 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:07| 62  12  25   0   0|1393M 1401M  161M 4792M|4233B 1621B|   0   148k|   0  10.0 |6837    18k|3.00 1.46 0.70|4.0   0 175|   0     0 |   0     0 | 10   29    4   44    0
Jul 19 15:16:08 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:08| 84  13   4   0   0|1525M 1269M  161M 4792M|4969B 1620B|   0   132k|   0  7.00 |3172  6033 |3.00 1.46 0.70|4.0   0  92|   0     0 |   0     0 | 10   30    3   44    0
Jul 19 15:16:09 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:09| 73  11  17   0   0|1383M 1410M  161M 4793M|4379B 1620B|   0   224k|   0  21.0 |5546    13k|3.00 1.46 0.70|4.0   0 132|   0     0 |   0     0 | 10   28    3   50    0
Jul 19 15:16:10 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:10| 85  10   5   0   0|1483M 1310M  161M 4793M|4360B 1621B|   0   388k|   0  43.0 |3313  6276 |3.00 1.46 0.70|4.0   0  60|   0     0 |   0     0 | 10   29    3   48    0
Jul 19 15:16:11 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:11| 78  15   6   0   0|1457M 1334M  161M 4795M|6076B 1639B|   0   196k|   0  13.0 |5785    11k|3.00 1.46 0.70|4.0   0 129|   0     0 |   0     0 | 10   29    3   48    0
Jul 19 15:16:12 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:12| 75  13  12   0   0|1379M 1413M  161M 4795M|6522B 1512B|   0   192k|   0  13.0 |4784    12k|3.16 1.52 0.72|4.0   0 191|   0     0 |   0     0 | 10   28    3   51    0
Jul 19 15:16:13 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:13| 85   9   6   0   0|1504M 1287M  161M 4795M|5114B 1620B|   0  2404k|   0  11.0 |3041  5324 |3.16 1.52 0.72|4.0   0  34|   0     0 |   0     0 | 10   29    3   51    0
Jul 19 15:16:14 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:14| 70  13  17   0   0|1359M 1432M  161M 4796M|  10k 1714B|   0   568k|   0  60.0 |4272    11k|3.16 1.52 0.72|3.0   0 206|   0     0 |   0     0 | 10   28    3   52    0
Jul 19 15:16:15 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:15| 66  10  25   0   0|1480M 1311M  161M 4796M|6642B 1620B|   0   232k|   0  17.0 |2781  7039 |3.16 1.52 0.72|3.0   0  55|   0     0 |   0     0 | 10   29    3   56    0
Jul 19 15:16:16 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:16| 62  13  25   0   0|1434M 1357M  161M 4796M|8141B 1662B|   0   196k|   0  11.0 |3180  5603 |3.16 1.52 0.72|3.0   0 181|   0     0 |   0     0 | 10   28    3   56    0
Jul 19 15:16:17 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:17| 64   9  26   0   0|1407M 1383M  161M 4796M|9542B 1620B|   0  6769k|   0   211 |4232  9788 |3.15 1.55 0.73|3.0   0  65|   0     0 |   0     0 | 10   29    3   58    0
Jul 19 15:16:18 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:18| 65   9  25   0   0|1469M 1321M  161M 4796M|5831B 1618B|   0   256k|   0  20.0 |3609  7576 |3.15 1.55 0.73|3.0   0  67|   0     0 |   0     0 | 10   29    3   59    0
Jul 19 15:16:19 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:19| 65  11  24   0   0|1416M 1374M  161M 4796M|7770B 1460B|   0   320k|   0  27.0 |3636  6419 |3.15 1.55 0.73|3.0   0  82|   0     0 |   0     0 | 10   28    3   59    0
Jul 19 15:16:20 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:20| 64   9  26   0   0|1398M 1392M  161M 4797M|6770B 1620B|   0   388k|   0  37.0 |5168    10k|3.15 1.55 0.73|3.0   0  77|   0     0 |   0     0 | 10   29    3   59    0
Jul 19 15:16:21 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:21| 64  11  25   0   0|1469M 1321M  161M 4797M|7609B 1619B|   0   340k|   0  31.0 |3092  6864 |3.15 1.55 0.73|5.0   0  60|   0     0 |   0     0 | 10   29    3   60    0
Jul 19 15:16:22 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:22| 57  18  25   0   0|1377M 1412M  161M 4797M|7341B 1622B|   0   733k|   0  75.1 |4236  9525 |3.13 1.57 0.74|4.0   0 425|   0     0 |   0     0 | 10   28    3   61    0
Jul 19 15:16:23 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:23| 63  11  26   0   0|1423M 1366M  161M 4797M|8517B 1620B|   0   260k|   0  16.0 |3531  9007 |3.13 1.57 0.74|7.0   0  79|   0     0 |   0     0 | 10   30    3   62    0
Jul 19 15:16:24 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:24| 32  14  55   0   0|1348M 1441M  161M 4797M|5017B 1620B|   0   372k|   0  25.0 |3547  6866 |3.13 1.57 0.74|2.0   0 330|   0     0 |   0     0 | 10   28    3   62    0
Jul 19 15:16:25 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:25| 23   3  72   0   0|1359M 1430M  161M 4798M|5557B 1616B|   0   180k|   0  8.98 |2754  7290 |3.13 1.57 0.74|1.0   0   0|   0     0 |   0     0 | 10   29    3   63    0
Jul 19 15:16:26 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:26| 13  18  69   0   0|1297M 1491M  161M 4798M|5178B 1622B|   0   605k|   0  36.1 |2622  3900 |3.13 1.57 0.74|2.0   0 303|   0     0 |   0     0 | 10   28    3   63    0
Jul 19 15:16:27 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:27| 27  16  56   0   0|1376M 1412M  161M 4798M|7399B 1572B|   0   399k|   0  29.0 |2534  3898 |3.04 1.58 0.75|2.0   0 292|   0     0 |   0     0 | 10   28    3   63    0
Jul 19 15:16:28 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:28| 43   7  50   1   0|1482M 1304M  162M 4800M|4665B 1623B|   0  5832k|   0   485 |3185  5913 |3.04 1.58 0.75|2.0   0  29|   0     0 |   0     0 | 10   32    3   63    0
Jul 19 15:16:29 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:29| 43   7  44   7   0|1428M 1350M  163M 4805M|4703B 1620B|   0    46M|   0  3992 |  12k   29k|3.04 1.58 0.75|2.0   0 109|   0     0 |   0     0 | 10   32    3   63    0
Jul 19 15:16:30 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:30| 44   7  45   4   0|1451M 1327M  163M 4806M|4743B 1713B|   0    19M|   0  1631 |5493    13k|3.04 1.58 0.75|2.0   0  16|   0     0 |   0     0 | 10   28    3   63    0
Jul 19 15:16:31 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:31| 46   5  47   3   0|1438M 1339M  163M 4806M|  43k 1621B|   0  3854k|   0   688 |4783  9187 |3.04 1.58 0.75|2.0   0 2.0|   0     0 |   0     0 | 10   30    3   62    0
Jul 19 15:16:32 jammy-provider-cloud-0000007373 dstat.sh[57801]: 19-07 15:16:32| 41   6  45   6   0|1488M 1289M  164M 4806M|6414B 1659B|   0    15M|   0  2082 |  11k   24k|2.96 1.58 0.76|2.0   0 4.0|   0     0 |   0     0 | 10   28    3   62    0
