May 26 16:39:54 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 26 16:39:55 ubuntu dstat.sh[64893]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 26 16:39:55 ubuntu dstat.sh[64893]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 26 16:40:11 ubuntu dstat.sh[64893]: 26-05 16:40:11| 41  11  47   0   0|1185M 1027M  171M 5351M|5735B 1458B|   0    12k|   0  3.00 |3813  2691 |1.65 1.01 0.57|2.0   0 131|   0     0 |           | 11    5    0   19    0
May 26 16:40:12 ubuntu dstat.sh[64893]: 26-05 16:40:12| 48   3  49   0   0|1211M 1000M  171M 5352M|4440B 1620B|   0  1592k|   0  81.0 |2722  1151 |1.65 1.01 0.57|2.0   0 1.0|   0     0 |           | 11    5    0   19    0
May 26 16:40:13 ubuntu dstat.sh[64893]: 26-05 16:40:13| 47  12  40   0   0|1214M  994M  171M 5354M|4169B 1462B|   0  4107B|   0  1.00 |4307    19k|1.65 1.01 0.57|2.0   0  59|   0     0 |           | 11    4    0   20    0
May 26 16:40:14 ubuntu dstat.sh[64893]: 26-05 16:40:14| 10   8  80   0   0|1249M  960M  171M 5354M|4506B 1454B|   0    17M|   0   156 |3141  3092 |1.60 1.01 0.57|1.0   0 117|   0     0 |           | 11    4    0   20    0
May 26 16:40:15 ubuntu dstat.sh[64893]: 26-05 16:40:15| 22   4  73   0   0|1322M  887M  171M 5354M|3876B 1079B|   0   875k|   0  58.9 |1886  1566 |1.60 1.01 0.57|1.0   0   0|   0     0 |           | 11    4    0   20    0
May 26 16:40:16 ubuntu dstat.sh[64893]: 26-05 16:40:16| 25   1  74   0   0|1343M  866M  171M 5354M|4944B 1351B|   0     0 |   0     0 |1743  1111 |1.60 1.01 0.57|1.0   0   0|   0     0 |           | 11    6    0   20    0
May 26 16:40:17 ubuntu dstat.sh[64893]: 26-05 16:40:17| 20   5  71   1   0|1280M  929M  171M 5354M|5098B 1624B|   0  1443k|   0   219 |4007  5115 |1.60 1.01 0.57|1.0   0  43|   0     0 |           | 11    4    0   21    0
May 26 16:40:18 ubuntu dstat.sh[64893]: 26-05 16:40:18| 22   3  73   0   0|1327M  881M  171M 5355M|5681B 2228B| 144k 2570k|6.98   148 |1913  1624 |1.60 1.01 0.57|  0   0   0|   0     0 |           | 11    5    0   21    0
May 26 16:40:19 ubuntu dstat.sh[64893]: 26-05 16:40:19| 19   4  75   1   0|1327M  881M  171M 5355M|9284B 5099B| 224k   16M|55.0   334 |3015  3012 |1.55 1.01 0.57|1.0   0 1.0|   0     0 |           | 11   17    0   21    0
May 26 16:40:20 ubuntu dstat.sh[64893]: 26-05 16:40:20| 18   5  74   0   0|1331M  877M  171M 5355M|9887B 6091B|  44k 1107k|11.0  17.0 |2775  2243 |1.55 1.01 0.57|1.0   0  45|   0     0 |           | 11   28    0   22    0
May 26 16:40:21 ubuntu dstat.sh[64893]: 26-05 16:40:21| 19   3  76   0   0|1383M  825M  171M 5355M|6804B 3853B|   0  1655k|   0  4.98 |1748  1199 |1.55 1.01 0.57|  0   0   0|   0     0 |           | 11   29    0   16    0
May 26 16:40:22 ubuntu dstat.sh[64893]: 26-05 16:40:22| 19   9  71   0   0|1389M  819M  171M 5355M|  10k 6323B|   0   862k|   0   125 |3593  2792 |1.55 1.01 0.57|3.0   0 151|   0     0 |           | 11   28    0   17    0
May 26 16:40:23 ubuntu dstat.sh[64893]: 26-05 16:40:23| 42   8  49   0   0|1429M  779M  171M 5355M|4477B 2219B|   0     0 |   0     0 |2899  1472 |1.55 1.01 0.57|1.0   0 6.0|   0     0 |           | 11   29    0   17    0
May 26 16:40:24 ubuntu dstat.sh[64893]: 26-05 16:40:24| 31   6  63   0   0|1435M  773M  171M 5355M|  22k   19k|   0    34M|   0   234 |6042  7802 |1.43 1.00 0.57|1.0   0   0|   0     0 |           | 11   29    0   18    0
May 26 16:40:25 ubuntu dstat.sh[64893]: 26-05 16:40:25| 57  24  18   0   0|1461M  747M  171M 5355M|5889B 2167B|   0   874k|   0  35.1 |6104  5730 |1.43 1.00 0.57|6.0   0 579|   0     0 |           | 11   28    0   18    0
May 26 16:40:26 ubuntu dstat.sh[64893]: 26-05 16:40:26| 87  13   0   0   0|1677M  531M  171M 5355M|  11k 9200B|   0   152k|   0  8.00 |5504  3485 |1.43 1.00 0.57|6.0   0   0|   0     0 |           | 11   30    0   18    0
May 26 16:40:27 ubuntu dstat.sh[64893]: 26-05 16:40:27| 82   9   7   0   0|1758M  449M  171M 5355M|  34k   30k|   0   363k|   0  38.9 |8987    11k|1.43 1.00 0.57|5.0   0   0|   0     0 |           | 11   32    0   20    0
May 26 16:40:28 ubuntu dstat.sh[64893]: 26-05 16:40:28| 48  16  36   0   0|1535M  672M  171M 5356M|  14k   10k|   0  3075k|   0   109 |6932  8132 |1.43 1.00 0.57|1.0   0 310|   0     0 |           | 11   28    0   24    0
May 26 16:40:29 ubuntu dstat.sh[64893]: 26-05 16:40:29| 22   4  73   0   0|1520M  687M  171M 5356M|5914B 3573B|   0  4027k|   0   196 |2261  2208 |1.39 1.00 0.57|  0   0   0|   0     0 |           | 11   29    0   23    0
May 26 16:40:30 ubuntu dstat.sh[64893]: 26-05 16:40:30| 17   2  80   0   0|1499M  709M  171M 5356M|9867B 6485B|   0   436k|   0  26.0 |2865  3323 |1.39 1.00 0.57|1.0   0   0|   0     0 |           | 11   28    0   24    0
May 26 16:40:31 ubuntu dstat.sh[64893]: 26-05 16:40:31| 19   8  72   0   0|1456M  752M  171M 5356M|4569B 1674B|   0  1644k|   0  79.0 |2746  2135 |1.39 1.00 0.57|1.0   0  68|   0     0 |           | 11   28    0   24    0
May 26 16:40:32 ubuntu dstat.sh[64893]: 26-05 16:40:32| 17   2  80   0   0|1460M  747M  171M 5356M|9997B 7292B|   0     0 |   0     0 |2241  2164 |1.39 1.00 0.57|  0   0 1.0|   0     0 |           | 11   29    0   24    0
May 26 16:40:33 ubuntu dstat.sh[64893]: 26-05 16:40:33| 12  15  72   1   0|1411M  796M  171M 5356M|5985B 2645B|   0   180k|   0  25.0 |4996  4334 |1.39 1.00 0.57|1.0   0 327|   0     0 |           | 11   28    0   24    0
May 26 16:40:34 ubuntu dstat.sh[64893]: 26-05 16:40:34| 22  32  45   0   0|1389M  818M  171M 5356M|4075B 1569B|   0   265k|   0  20.0 |5906  4689 |1.76 1.08 0.60|5.0   0 642|   0     0 |           | 11   28    0   24    0
May 26 16:40:35 ubuntu dstat.sh[64893]: 26-05 16:40:35| 82  17   0   0   0|1611M  596M  171M 5356M|6122B 3346B|   0    83M|   0   512 |5418  3682 |1.76 1.08 0.60|4.0   0  77|   0     0 |           | 11   29    1   24    0
May 26 16:40:36 ubuntu dstat.sh[64893]: 26-05 16:40:36| 71   8  19   0   0|1673M  534M  171M 5356M|  36k   33k|   0  1999k|   0  36.9 |7893    10k|1.76 1.08 0.60|2.0   0   0|   0     0 |           | 11   33    0   24    0
May 26 16:40:37 ubuntu dstat.sh[64893]: 26-05 16:40:37| 67  18  14   0   0|1509M  698M  171M 5356M|  22k   17k|   0   512k|   0  71.0 |8800    12k|1.76 1.08 0.60|7.0   0 300|   0     0 |           | 11   28    0   25    0
May 26 16:40:38 ubuntu dstat.sh[64893]: 26-05 16:40:38| 86  15   0   0   0|1648M  559M  171M 5356M|7041B 3868B|   0   232k|   0  15.0 |4979  2863 |1.76 1.08 0.60|7.0   0  10|   0     0 |           | 11   29    0   25    0
May 26 16:40:39 ubuntu dstat.sh[64893]: 26-05 16:40:39| 82  12   4   0   0|1751M  455M  171M 5356M|  38k   35k|   0   148k|   0  9.97 |6941  9400 |2.02 1.14 0.62|7.0   0   0|   0     0 |           | 11   34    0   25    0
May 26 16:40:40 ubuntu dstat.sh[64893]: 26-05 16:40:40| 68  15  16   0   0|1565M  641M  171M 5357M|  33k   28k|   0  1943k|   0  44.1 |9835    14k|2.02 1.14 0.62|4.0   0 254|   0     0 |           | 11   28    0   30    0
May 26 16:40:41 ubuntu dstat.sh[64893]: 26-05 16:40:41| 42   8  49   0   0|1539M  667M  171M 5357M|6359B 3582B|   0   160k|   0  8.99 |3078  1778 |2.02 1.14 0.62|1.0   0  44|   0     0 |           | 11   29    0   30    0
May 26 16:40:42 ubuntu dstat.sh[64893]: 26-05 16:40:42| 33   4  62   0   0|1539M  667M  171M 5357M|  17k   13k|   0   265k|   0  21.1 |4516  5451 |2.02 1.14 0.62|2.0   0 1.0|   0     0 |           | 11   29    0   31    0
May 26 16:40:43 ubuntu dstat.sh[64893]: 26-05 16:40:43| 52  21  25   0   0|1495M  711M  171M 5357M|8183B 5335B|   0  2832k|   0   138 |5723  5023 |2.02 1.14 0.62|3.0   0 378|   0     0 |           | 11   28    0   32    0
May 26 16:40:44 ubuntu dstat.sh[64893]: 26-05 16:40:44| 53   6  40   0   0|1563M  643M  171M 5357M|  18k   16k|   0     0 |   0     0 |4115  3244 |2.02 1.16 0.63|  0   0   0|   0     0 |           | 11   31    0   32    0
May 26 16:40:45 ubuntu dstat.sh[64893]: 26-05 16:40:45| 50  16  32   0   0|1479M  727M  171M 5357M|  20k   15k|   0  1098k|   0  47.1 |8253    11k|2.02 1.16 0.63|4.0   0 258|   0     0 |           | 11   28    0   32    0
May 26 16:40:46 ubuntu dstat.sh[64893]: 26-05 16:40:46| 79  11  10   0   0|1602M  604M  171M 5357M|  12k 9337B|   0   184k|   0  10.0 |4692  1998 |2.02 1.16 0.63|2.0   0 1.0|   0     0 |           | 11   32    0   32    0
May 26 16:40:47 ubuntu dstat.sh[64893]: 26-05 16:40:47| 63   7  30   0   0|1580M  626M  172M 5357M|  36k   33k|   0   324k|   0  28.0 |9205    13k|2.02 1.16 0.63|5.0   0 1.0|   0     0 |           | 11   30    0   34    0
May 26 16:40:48 ubuntu dstat.sh[64893]: 26-05 16:40:48| 63  20  16   0   0|1493M  712M  172M 5357M|6680B 2185B|   0   336k|   0  24.0 |4842  3724 |2.02 1.16 0.63|5.0   0 323|   0     0 |           | 11   28    0   35    0
May 26 16:40:49 ubuntu dstat.sh[64893]: 26-05 16:40:49| 53   6  40   0   0|1541M  664M  172M 5357M|  19k   16k|   0   224k|   0  11.0 |4886  4378 |2.10 1.19 0.65|2.0   0   0|   0     0 |           | 11   31    0   31    0
May 26 16:40:50 ubuntu dstat.sh[64893]: 26-05 16:40:50| 50  19  31   0   0|1433M  772M  172M 5357M|  19k   15k|   0  4470k|   0   301 |7830  9554 |2.10 1.19 0.65|3.0   0 299|   0     0 |           | 11   28    0   33    0
May 26 16:40:51 ubuntu dstat.sh[64893]: 26-05 16:40:51| 56   8  36   0   0|1546M  659M  172M 5357M|  13k   10k|   0   264k|   0  13.0 |3776  2058 |2.10 1.19 0.65|3.0   0   0|   0     0 |           | 11   31    0   33    0
May 26 16:40:52 ubuntu dstat.sh[64893]: 26-05 16:40:52| 55   8  35   0   0|1456M  749M  172M 5358M|  25k   20k|   0   309k|   0  28.1 |7363  9761 |2.10 1.19 0.65|4.0   0  99|   0     0 |           | 11   28    0   36    0
May 26 16:40:53 ubuntu dstat.sh[64893]: 26-05 16:40:53| 60  17  22   0   0|1506M  699M  172M 5358M|3764B  864B|   0   288k|   0  16.0 |3868  2208 |2.10 1.19 0.65|3.0   0 189|   0     0 |           | 11   28    0   33    0
May 26 16:40:54 ubuntu dstat.sh[64893]: 26-05 16:40:54| 45   6  48   0   0|1538M  667M  172M 5358M|  28k   24k|   0   420k|   0  39.0 |6004  7959 |2.09 1.20 0.65|3.0   0   0|   0     0 |           | 11   29    0   34    0
May 26 16:40:55 ubuntu dstat.sh[64893]: 26-05 16:40:55| 61  13  25   0   0|1505M  700M  172M 5358M|6995B 3742B|   0  1464k|   0  96.0 |4863  3764 |2.09 1.20 0.65|3.0   0 112|   0     0 |           | 11   28    0   35    0
May 26 16:40:56 ubuntu dstat.sh[64893]: 26-05 16:40:56| 52   6  41   0   0|1556M  648M  172M 5358M|  20k   17k|   0   116k|   0  9.97 |4733  4247 |2.09 1.20 0.65|3.0   0   0|   0     0 |           | 11   31    0   35    0
May 26 16:40:57 ubuntu dstat.sh[64893]: 26-05 16:40:57| 58  23  17   0   0|1446M  758M  172M 5358M|  15k   11k|   0   321k|   0  43.1 |7744  9401 |2.09 1.20 0.65|6.0   0 493|   0     0 |           | 11   28    0   37    0
May 26 16:40:58 ubuntu dstat.sh[64893]: 26-05 16:40:58| 81  19   0   0   0|1629M  575M  172M 5358M|4984B 1621B|   0   208k|   0  11.0 |5475  4418 |2.09 1.20 0.65|8.0   0 403|   0     0 |           | 11   28    0   37    0
May 26 16:40:59 ubuntu dstat.sh[64893]: 26-05 16:40:59| 77  20   3   0   0|1736M  469M  172M 5358M|  29k   27k|   0   211k|   0  11.0 |6484  6595 |2.56 1.32 0.69|6.0   0 417|   0     0 |           | 11   33    0   37    0
May 26 16:41:00 ubuntu dstat.sh[64893]: 26-05 16:41:00| 73  21   6   0   0|1638M  567M  172M 5358M|  41k   36k|   0   982k|   0  72.2 |8838    11k|2.56 1.32 0.69|5.0   0 349|   0     0 |           | 11   29    0   38    0
May 26 16:41:01 ubuntu dstat.sh[64893]: 26-05 16:41:01| 83  17   0   0   0|1616M  588M  172M 5359M|8148B 3959B|   0   328k|   0  22.0 |5472  3827 |2.56 1.32 0.69|4.0   0 194|   0     0 |           | 11   28    1   38    0
May 26 16:41:02 ubuntu dstat.sh[64893]: 26-05 16:41:02| 71   8  19   0   0|1672M  532M  172M 5359M|  37k   33k|   0   184k|   0  9.98 |8217    10k|2.56 1.32 0.69|4.0   0 1.0|   0     0 |           | 11   33    0   36    0
May 26 16:41:03 ubuntu dstat.sh[64893]: 26-05 16:41:03| 61  19  20   0   0|1535M  669M  172M 5359M|  30k   25k|   0   156k|   0  13.0 |8892    13k|2.56 1.32 0.69|3.0   0 440|   0     0 |           | 11   28    0   41    0
May 26 16:41:04 ubuntu dstat.sh[64893]: 26-05 16:41:04| 18  32  49   0   0|1481M  722M  172M 5359M|4458B 1500B|   0   200k|   0  17.0 |6533  5548 |2.60 1.35 0.71|5.0   0 741|   0     0 |           | 11   28    0   41    0
May 26 16:41:05 ubuntu dstat.sh[64893]: 26-05 16:41:05| 72  23   4   0   0|1561M  643M  172M 5359M|7059B 5478B|   0   312k|   0  12.0 |5080  3942 |2.60 1.35 0.71|2.0   0 422|   0     0 |           | 11   29    1   41    0
May 26 16:41:06 ubuntu dstat.sh[64893]: 26-05 16:41:06| 63   9  27   0   0|1599M  605M  172M 5359M|  29k   24k|   0   520k|   0  49.0 |6315  8191 |2.60 1.35 0.71|4.0   0  18|   0     0 |           | 11   30    0   43    0
May 26 16:41:07 ubuntu dstat.sh[64893]: 26-05 16:41:07| 73  20   8   0   0|1509M  695M  172M 5359M|  11k 6856B|   0   512k|   0  49.0 |6352  6302 |2.60 1.35 0.71|4.0   0 250|   0     0 |           | 11   28    0   45    0
May 26 16:41:08 ubuntu dstat.sh[64893]: 26-05 16:41:08| 69   8  22   0   0|1605M  598M  172M 5359M|  24k   21k|   0   228k|   0  11.0 |5603  5837 |2.60 1.35 0.71|3.0   0   0|   0     0 |           | 11   32    0   45    0
May 26 16:41:09 ubuntu dstat.sh[64893]: 26-05 16:41:09| 54   6  38   0   0|1605M  598M  172M 5359M|  40k   34k|   0   176k|   0  8.99 |  11k   17k|2.55 1.36 0.71|4.0   0   0|   0     0 |           | 11   32    0   45    0
May 26 16:41:10 ubuntu dstat.sh[64893]: 26-05 16:41:10| 68  13  18   0   0|1551M  652M  172M 5360M|  27k   21k|   0   577k|   0  60.1 |9040    13k|2.55 1.36 0.71|4.0   0  90|   0     0 |           | 11   28    0   45    0
May 26 16:41:11 ubuntu dstat.sh[64893]: 26-05 16:41:11| 77  11  13   0   0|1593M  610M  172M 5360M|  15k   11k|   0   184k|   0  10.0 |4652  2711 |2.55 1.36 0.71|3.0   0  30|   0     0 |           | 11   31    0   45    0
May 26 16:41:12 ubuntu dstat.sh[64893]: 26-05 16:41:12| 56   7  34   0   0|1607M  595M  172M 5360M|  42k   37k|   0   184k|   0  12.0 |  11k   18k|2.55 1.36 0.71|1.0   0 1.0|   0     0 |           | 11   32    0   45    0
May 26 16:41:13 ubuntu dstat.sh[64893]: 26-05 16:41:13| 59  14  26   0   0|1548M  654M  172M 5360M|  34k   28k|   0   180k|   0  13.0 |  10k   25k|2.55 1.36 0.71|5.0   0 180|   0     0 |           | 11   29    0   49    0
May 26 16:41:14 ubuntu dstat.sh[64893]: 26-05 16:41:14| 78  15   6   0   0|1560M  642M  172M 5360M|9490B 7342B|   0  3878k|   0   128 |5032  3106 |2.59 1.38 0.73|3.0   0 118|   0     0 |           | 11   30    0   49    0
May 26 16:41:15 ubuntu dstat.sh[64893]: 26-05 16:41:15| 65   8  26   0   0|1580M  622M  172M 5360M|  34k   30k|   0   152k|   0  10.0 |8920    11k|2.59 1.38 0.73|3.0   0   0|   0     0 |           | 11   32    0   49    0
May 26 16:41:16 ubuntu dstat.sh[64893]: 26-05 16:41:16| 68  12  18   0   0|1546M  656M  172M 5361M|  27k   21k|   0  1718k|   0  38.9 |9514    13k|2.59 1.38 0.73|4.0   0  98|   0     0 |           | 11   28    0   51    0
May 26 16:41:17 ubuntu dstat.sh[64893]: 26-05 16:41:17| 77  11  11   0   0|1599M  603M  172M 5361M|  13k   10k|   0   227k|   0  25.9 |4875  2803 |2.59 1.38 0.73|3.0   0  30|   0     0 |           | 11   31    0   51    0
May 26 16:41:18 ubuntu dstat.sh[64893]: 26-05 16:41:18| 65  13  21   0   0|1600M  601M  172M 5361M|  27k   23k|   0  2564k|   0   161 |7754    11k|2.59 1.38 0.73|2.0   0 121|   0     0 |           | 11   30    0   51    0
May 26 16:41:19 ubuntu dstat.sh[64893]: 26-05 16:41:19| 72  11  17   0   0|1642M  559M  172M 5361M|  30k   24k|   0   248k|   0  23.0 |6773    10k|2.62 1.41 0.74|3.0   0  77|   0     0 |           | 11   31    1   53    0
May 26 16:41:20 ubuntu dstat.sh[64893]: 26-05 16:41:20| 72  13  14   0   0|1627M  574M  172M 5361M|  21k   17k|   0   176k|   0  13.0 |6208  8026 |2.62 1.41 0.74|4.0   0 109|   0     0 |           | 11   33    0   54    0
May 26 16:41:21 ubuntu dstat.sh[64893]: 26-05 16:41:21| 74  13  13   0   0|1624M  578M  172M 5361M|  18k   15k|   0   308k|   0  48.0 |5275  5020 |2.62 1.41 0.74|3.0   0  43|   0     0 |           | 11   34    0   55    0
May 26 16:41:22 ubuntu dstat.sh[64893]: 26-05 16:41:22| 72  12  15   0   0|1610M  591M  172M 5361M|  22k   18k|   0   176k|   0  11.0 |5586  6952 |2.62 1.41 0.74|3.0   0  71|   0     0 |           | 11   34    0   55    0
May 26 16:41:23 ubuntu dstat.sh[64893]: 26-05 16:41:23| 63  12  24   0   0|1556M  645M  172M 5361M|  23k   19k|   0   360k|   0  36.0 |5896  6841 |2.62 1.41 0.74|2.0   0 138|   0     0 |           | 11   34    0   57    0
May 26 16:41:24 ubuntu dstat.sh[64893]: 26-05 16:41:24| 54  12  34   0   0|1451M  750M  172M 5361M|  10k 6742B|   0   352k|   0  34.0 |5035  4572 |2.57 1.42 0.75|3.0   0 120|   0     0 |           | 11   33    0   59    0
May 26 16:41:25 ubuntu dstat.sh[64893]: 26-05 16:41:25| 53   7  39   0   0|1504M  697M  172M 5361M|  20k   17k|   0   216k|   0  16.0 |4980  4990 |2.57 1.42 0.75|4.0   0 4.0|   0     0 |           | 11   34    0   60    0
May 26 16:41:26 ubuntu dstat.sh[64893]: 26-05 16:41:26| 53  13  33   0   0|1508M  693M  172M 5361M|  18k   14k|   0   168k|   0  12.0 |6609  8202 |2.57 1.42 0.75|3.0   0 135|   0     0 |           | 11   32    0   61    0
May 26 16:41:27 ubuntu dstat.sh[64893]: 26-05 16:41:27| 58  10  32   0   0|1512M  689M  172M 5362M|  10k 7733B|   0   269k|   0  14.0 |4357  3175 |2.57 1.42 0.75|1.0   0  43|   0     0 |           | 11   33    1   61    0
May 26 16:41:28 ubuntu dstat.sh[64893]: 26-05 16:41:28| 44   7  48   0   0|1523M  678M  172M 5362M|  23k   20k|   0   172k|   0  14.0 |6066  7370 |2.57 1.42 0.75|  0   0  86|   0     0 |           | 11   34    0   62    0
May 26 16:41:29 ubuntu dstat.sh[64893]: 26-05 16:41:29| 33  11  56   0   0|1468M  733M  172M 5362M|  14k 8913B|   0   413k|   0  35.0 |5465  5890 |2.52 1.43 0.75|3.0   0 135|   0     0 |           | 11   32    0   64    0
May 26 16:41:30 ubuntu dstat.sh[64893]: 26-05 16:41:30| 39   5  56   0   0|1515M  685M  172M 5362M|  11k 8360B|   0   184k|   0  11.0 |2793  1716 |2.52 1.43 0.75|1.0   0   0|   0     0 |           | 11   34    0   57    0
May 26 16:41:31 ubuntu dstat.sh[64893]: 26-05 16:41:31| 33   8  56   0   0|1503M  698M  172M 5362M|  16k   12k|   0   360k|   0  23.0 |5576  6698 |2.52 1.43 0.75|2.0   0 104|   0     0 |           | 11   32    0   59    0
May 26 16:41:32 ubuntu dstat.sh[64893]: 26-05 16:41:32| 41   9  49   0   0|1457M  743M  172M 5362M|4978B 1619B|   0   196k|   0  7.00 |2938  1641 |2.52 1.43 0.75|2.0   0  35|   0     0 |           | 11   32    0   59    0
May 26 16:41:33 ubuntu dstat.sh[64893]: 26-05 16:41:33| 32   4  63   0   0|1461M  739M  172M 5362M|  19k   16k|   0   320k|   0  32.0 |4573  5146 |2.52 1.43 0.75|1.0   0   0|   0     0 |           | 11   33    0   60    0
May 26 16:41:34 ubuntu dstat.sh[64893]: 26-05 16:41:34| 37  10  52   0   0|1428M  772M  172M 5362M|6585B 3179B|   0   942k|   0  65.9 |3753  3235 |2.48 1.44 0.76|2.0   0  65|   0     0 |           | 11   32    0   60    0
May 26 16:41:35 ubuntu dstat.sh[64893]: 26-05 16:41:35| 37   6  57   0   0|1490M  710M  172M 5362M|  14k   11k|   0   108k|   0  8.02 |3459  2814 |2.48 1.44 0.76|2.0   0 6.0|   0     0 |           | 11   34    0   60    0
May 26 16:41:36 ubuntu dstat.sh[64893]: 26-05 16:41:36| 33   7  57   0   0|1389M  811M  172M 5362M|  17k   13k|   0   363k|   0  24.9 |5961  7159 |2.48 1.44 0.76|3.0   0  48|   0     0 |           | 11   32    0   62    0
May 26 16:41:37 ubuntu dstat.sh[64893]: 26-05 16:41:37| 39   6  55   0   0|1465M  735M  172M 5362M|7638B 5442B|   0   156k|   0  11.0 |2690  1355 |2.48 1.44 0.76|  0   0   0|   0     0 |           | 11   34    0   62    0
May 26 16:41:38 ubuntu dstat.sh[64893]: 26-05 16:41:38| 34   4  61   1   0|1462M  738M  172M 5362M|  23k   19k|   0   253k|   0  21.1 |5954  7381 |2.48 1.44 0.76|3.0   0   0|   0     0 |           | 11   33    0   63    0
