Jun 04 12:44:02 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 04 12:44:03 ubuntu dstat.sh[65062]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 04 12:44:03 ubuntu dstat.sh[65062]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 04 12:44:13 ubuntu dstat.sh[65062]: 04-06 12:44:13| 40   8  48   2   0|1222M  979M  169M 5362M|8476B 2627B|   0    16M|   0   864 |4907  5949 |1.58 1.00 0.55|3.0   0  40|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:14 ubuntu dstat.sh[65062]: 04-06 12:44:14| 45   9  46   0   0|1256M  943M  169M 5364M|6646B 1566B|   0  1156k|   0  28.0 |  11k   18k|1.58 1.00 0.55|2.0   0  13|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:15 ubuntu dstat.sh[65062]: 04-06 12:44:15| 42  11  44   0   0|1235M  964M  169M 5364M|5907B 1581B|   0  7981k|   0   349 |  11k   19k|1.58 1.00 0.55|3.0   0  29|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:16 ubuntu dstat.sh[65062]: 04-06 12:44:16| 43   7  49   0   0|1195M 1012M  169M 5357M|5063B 1460B|   0   841k|   0  23.0 |3070  1679 |1.58 1.00 0.55|2.0   0  26|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:17 ubuntu dstat.sh[65062]: 04-06 12:44:17| 28  12  60   0   0|1089M 1118M  169M 5357M|4625B 1609B|   0  4098B|   0  1.00 |4059  2662 |1.61 1.02 0.55|2.0   0 194|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:18 ubuntu dstat.sh[65062]: 04-06 12:44:18|  9  21  69   0   0|1046M 1161M  169M 5357M|4339B 1458B|   0    24k|   0  6.00 |5331  3769 |1.61 1.02 0.55|1.0   0 310|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:19 ubuntu dstat.sh[65062]: 04-06 12:44:19| 12  19  66   0   0|1031M 1176M  169M 5357M|4349B 1511B|   0    24k|   0  6.00 |5471  5357 |1.61 1.02 0.55|1.0   0 285|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:20 ubuntu dstat.sh[65062]: 04-06 12:44:20| 35  16  47   0   0|1092M 1115M  169M 5357M|4695B 1457B|   0  8387k|   0  61.0 |4961  5199 |1.61 1.02 0.55|3.0   0 193|   0     0 |           | 11    5    0   19    0
Jun 04 12:44:21 ubuntu dstat.sh[65062]: 04-06 12:44:21| 46   4  48   0   0|1164M 1042M  169M 5358M|4834B 1562B|   0   934k|   0  42.9 |2650  1224 |1.61 1.02 0.55|3.0   0   0|   0     0 |           | 11    5    0   19    0
Jun 04 12:44:22 ubuntu dstat.sh[65062]: 04-06 12:44:22| 43   8  49   0   0|1204M 1002M  169M 5358M|4320B 1467B|   0   551k|   0  28.2 |2867  1979 |1.64 1.04 0.56|8.0   0   0|   0     0 |           | 11    5    0   19    0
Jun 04 12:44:23 ubuntu dstat.sh[65062]: 04-06 12:44:23| 18   8  72   0   0|1219M  985M  169M 5360M|4867B 1455B|   0  1652k|   0  70.8 |4021  4843 |1.64 1.04 0.56|1.0   0 118|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:24 ubuntu dstat.sh[65062]: 04-06 12:44:24| 19   6  75   0   0|1283M  921M  169M 5360M|4395B 1457B|   0     0 |   0     0 |2007  1677 |1.64 1.04 0.56|1.0   0  23|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:25 ubuntu dstat.sh[65062]: 04-06 12:44:25| 23   4  73   0   0|1318M  886M  169M 5360M|4788B 1607B|   0    16M|   0  77.0 |2021  1458 |1.64 1.04 0.56|1.0   0   0|   0     0 |           | 11    4    0   19    0
Jun 04 12:44:26 ubuntu dstat.sh[65062]: 04-06 12:44:26| 23   2  72   1   0|1351M  853M  169M 5360M|4198B 1619B|   0  2043k|   0   188 |3544  4557 |1.64 1.04 0.56|1.0   0 1.0|   0     0 |           | 11   10    0   13    0
Jun 04 12:44:27 ubuntu dstat.sh[65062]: 04-06 12:44:27| 21   6  73   0   0|1286M  918M  169M 5360M|4517B 1620B|   0  2544k|   0   149 |2473  2145 |1.59 1.04 0.56|3.0   0  42|   0     0 |           | 11    4    0   15    0
Jun 04 12:44:28 ubuntu dstat.sh[65062]: 04-06 12:44:28| 20   2  77   0   0|1312M  891M  169M 5361M|6803B 4073B| 144k 3461k|7.00   121 |1842  1409 |1.59 1.04 0.56|4.0   0   0|   0     0 |           | 11   11    0   15    0
Jun 04 12:44:29 ubuntu dstat.sh[65062]: 04-06 12:44:29| 21   2  75   1   0|1324M  878M  169M 5361M|9422B 6736B| 268k 1203k|66.0  34.0 |2763  2967 |1.59 1.04 0.56|2.0   0 3.0|   0     0 |           | 11   29    0   15    0
Jun 04 12:44:30 ubuntu dstat.sh[65062]: 04-06 12:44:30| 20   7  73   0   0|1357M  845M  169M 5361M|5976B 2489B|   0    33M|   0   209 |2568  2119 |1.59 1.04 0.56|2.0   0  44|   0     0 |           | 11   28    0   16    0
Jun 04 12:44:31 ubuntu dstat.sh[65062]: 04-06 12:44:31| 17   3  79   0   0|1373M  830M  169M 5361M|  11k 8358B|   0     0 |   0     0 |1921  1597 |1.59 1.04 0.56|1.0   0   0|   0     0 |           | 11   29    0   16    0
Jun 04 12:44:32 ubuntu dstat.sh[65062]: 04-06 12:44:32| 30  12  57   0   0|1459M  744M  169M 5361M|7797B 1813B|   0  3691k|   0  24.9 |3698  2384 |1.71 1.07 0.58|2.0   0 156|   0     0 |           | 11   28    0   17    0
Jun 04 12:44:33 ubuntu dstat.sh[65062]: 04-06 12:44:33| 37   5  57   0   0|1511M  692M  169M 5361M|  14k 9453B|   0   100k|   0  5.01 |3136  2247 |1.71 1.07 0.58|2.0   0   0|   0     0 |           | 11   30    0   17    0
Jun 04 12:44:34 ubuntu dstat.sh[65062]: 04-06 12:44:34| 37  10  53   0   0|1399M  803M  169M 5361M|  16k   12k|   0   164k|   0  22.0 |6853  8504 |1.71 1.07 0.58|3.0   0 192|   0     0 |           | 11   28    0   17    0
Jun 04 12:44:35 ubuntu dstat.sh[65062]: 04-06 12:44:35| 73  26   1   0   0|1542M  661M  169M 5361M|5101B 1620B|   0  1388k|   0  26.0 |5342  4048 |1.71 1.07 0.58|6.0   0 386|   0     0 |           | 11   28    0   17    0
Jun 04 12:44:36 ubuntu dstat.sh[65062]: 04-06 12:44:36| 84  12   3   0   0|1754M  449M  169M 5361M|  20k   17k|   0   243k|   0  7.98 |5510  3270 |1.71 1.07 0.58|4.0   0   0|   0     0 |           | 11   34    0   17    0
Jun 04 12:44:37 ubuntu dstat.sh[65062]: 04-06 12:44:37| 79  10  11   0   0|1752M  450M  169M 5361M|  34k   29k|   0   541k|   0  67.1 |8207    14k|2.13 1.17 0.61|6.0   0  55|   0     0 |           | 11   29    0   22    0
Jun 04 12:44:38 ubuntu dstat.sh[65062]: 04-06 12:44:38| 36  13  50   0   0|1541M  661M  169M 5361M|6517B 2678B|   0   251k|   0  16.9 |3629  3452 |2.13 1.17 0.61|2.0   0 254|   0     0 |           | 11   28    0   22    0
Jun 04 12:44:39 ubuntu dstat.sh[65062]: 04-06 12:44:39| 16   2  80   0   0|1537M  665M  169M 5361M|  10k 7348B|   0   228k|   0  9.00 |2211  2297 |2.13 1.17 0.61|1.0   0   0|   0     0 |           | 11   29    0   22    0
Jun 04 12:44:40 ubuntu dstat.sh[65062]: 04-06 12:44:40| 17   9  72   0   0|1496M  705M  170M 5362M|6781B 2659B|   0    11M|   0   113 |3489  3294 |2.13 1.17 0.61|2.0   0  69|   0     0 |           | 11   28    0   23    0
Jun 04 12:44:41 ubuntu dstat.sh[65062]: 04-06 12:44:41| 19   5  75   0   0|1493M  708M  170M 5362M|8780B 5495B|   0    76M|   0   826 |2913  2466 |2.13 1.17 0.61|2.0   0   0|   0     0 |           | 11   29    0   23    0
Jun 04 12:44:42 ubuntu dstat.sh[65062]: 04-06 12:44:42| 17   6  77   0   0|1441M  761M  170M 5362M|8225B 4589B|   0   128k|   0  18.0 |3225  3224 |2.04 1.16 0.62|1.0   0  58|   0     0 |           | 11   28    0   24    0
Jun 04 12:44:43 ubuntu dstat.sh[65062]: 04-06 12:44:43|  7  24  67   0   0|1429M  773M  170M 5362M|5255B 1555B|   0   176k|   0  8.01 |5374  3481 |2.04 1.16 0.62|1.0   0 350|   0     0 |           | 11   28    0   24    0
Jun 04 12:44:44 ubuntu dstat.sh[65062]: 04-06 12:44:44| 31  33  35   0   0|1420M  781M  170M 5362M|4789B 1567B|   0  2013k|   0   106 |5798  4688 |2.04 1.16 0.62|6.0   0 628|   0     0 |           | 11   28    0   24    0
Jun 04 12:44:45 ubuntu dstat.sh[65062]: 04-06 12:44:45| 83  13   4   0   0|1629M  572M  170M 5362M|  12k 9266B|   0   572k|   0  36.0 |5268  3327 |2.04 1.16 0.62|5.0   0 2.0|   0     0 |           | 11   30    0   24    0
Jun 04 12:44:46 ubuntu dstat.sh[65062]: 04-06 12:44:46| 77   9  12   0   0|1676M  525M  170M 5362M|  38k   35k|   0  5547k|   0  73.0 |7262    13k|2.04 1.16 0.62|4.0   0   0|   0     0 |           | 11   31    0   24    0
Jun 04 12:44:47 ubuntu dstat.sh[65062]: 04-06 12:44:47| 76  21   3   0   0|1549M  652M  170M 5362M|  14k 8924B|   0   432k|   0  49.0 |6978  7907 |2.60 1.29 0.66|6.0   0 310|   0     0 |           | 11   28    0   25    0
Jun 04 12:44:48 ubuntu dstat.sh[65062]: 04-06 12:44:48| 86  14   0   0   0|1710M  491M  170M 5362M|  12k 9417B|   0   224k|   0  11.0 |5259  3296 |2.60 1.29 0.66|6.0   0   0|   0     0 |           | 11   30    0   25    0
Jun 04 12:44:49 ubuntu dstat.sh[65062]: 04-06 12:44:49| 80  11   8   0   0|1761M  440M  170M 5362M|  45k   41k|   0  1616k|   0   127 |8731    13k|2.60 1.29 0.66|7.0   0   0|   0     0 |           | 11   32    0   27    0
Jun 04 12:44:50 ubuntu dstat.sh[65062]: 04-06 12:44:50| 59  17  23   0   0|1537M  664M  170M 5362M|  19k   16k|   0   479k|   0  38.0 |7259  9846 |2.60 1.29 0.66|2.0   0 299|   0     0 |           | 11   28    0   30    0
Jun 04 12:44:51 ubuntu dstat.sh[65062]: 04-06 12:44:51| 38   5  56   0   0|1552M  649M  170M 5362M|  10k 7665B|   0   288k|   0  11.0 |2998  1929 |2.60 1.29 0.66|2.0   0   0|   0     0 |           | 11   30    0   30    0
Jun 04 12:44:52 ubuntu dstat.sh[65062]: 04-06 12:44:52| 35   8  55   0   0|1528M  673M  170M 5362M|  17k   14k|   0   289k|   0  22.1 |5682  6608 |2.55 1.31 0.67|2.0   0  71|   0     0 |           | 11   28    0   32    0
Jun 04 12:44:53 ubuntu dstat.sh[65062]: 04-06 12:44:53| 57  21  22   0   0|1465M  736M  170M 5363M|4919B 1662B|   0   212k|   0  13.0 |4534  2935 |2.55 1.31 0.67|3.0   0 307|   0     0 |           | 11   28    0   32    0
Jun 04 12:44:54 ubuntu dstat.sh[65062]: 04-06 12:44:54| 50   6  42   0   0|1529M  671M  170M 5363M|  21k   19k|   0   192k|   0  8.00 |4337  4536 |2.55 1.31 0.67|2.0   0   0|   0     0 |           | 11   31    0   27    0
Jun 04 12:44:55 ubuntu dstat.sh[65062]: 04-06 12:44:55| 53  18  28   0   0|1434M  767M  170M 5363M|  17k   12k|   0   906k|   0  80.8 |7753  9142 |2.55 1.31 0.67|4.0   0 257|   0     0 |           | 11   28    0   28    0
Jun 04 12:44:56 ubuntu dstat.sh[65062]: 04-06 12:44:56| 80  11  10   0   0|1594M  607M  170M 5363M|  11k 8663B|   0  3191k|   0   176 |4989  2866 |2.55 1.31 0.67|2.0   0   0|   0     0 |           | 11   32    0   28    0
Jun 04 12:44:57 ubuntu dstat.sh[65062]: 04-06 12:44:57| 63   7  29   0   0|1604M  596M  170M 5363M|  39k   33k|   0   244k|   0  20.0 |8868    13k|2.66 1.35 0.69|5.0   0   0|   0     0 |           | 11   29    0   31    0
Jun 04 12:44:58 ubuntu dstat.sh[65062]: 04-06 12:44:58| 64  21  15   0   0|1532M  668M  170M 5363M|4847B 1662B|   0   315k|   0  27.9 |4628  3425 |2.66 1.35 0.69|5.0   0 323|   0     0 |           | 11   28    0   28    0
Jun 04 12:44:59 ubuntu dstat.sh[65062]: 04-06 12:44:59| 52   7  39   0   0|1567M  633M  170M 5363M|  18k   15k|   0   950k|   0  9.02 |4388  3748 |2.66 1.35 0.69|3.0   0 6.0|   0     0 |           | 11   31    0   28    0
Jun 04 12:45:00 ubuntu dstat.sh[65062]: 04-06 12:45:00| 49  17  33   0   0|1434M  766M  170M 5363M|  21k   17k|   0   845k|   0  67.1 |7846    10k|2.66 1.35 0.69|3.0   0 300|   0     0 |           | 11   28    0   30    0
Jun 04 12:45:01 ubuntu dstat.sh[65062]: 04-06 12:45:01| 68  11  21   0   0|1534M  666M  170M 5363M|7909B 5385B|   0   376k|   0  9.99 |4246    13k|2.66 1.35 0.69|2.0   0  36|   0     0 |           | 11   30    0   31    0
Jun 04 12:45:02 ubuntu dstat.sh[65062]: 04-06 12:45:02| 47   6  46   1   0|1537M  662M  170M 5364M|  29k   24k|   0   236k|   0  19.0 |7573  9870 |2.69 1.38 0.70|5.0   0 3.0|   0     0 |           | 11   29    0   32    0
Jun 04 12:45:03 ubuntu dstat.sh[65062]: 04-06 12:45:03| 59  20  21   0   0|1505M  694M  170M 5364M|6078B 2637B|   0   191k|   0  12.0 |4449  2932 |2.69 1.38 0.70|3.0   0 286|   0     0 |           | 11   28    0   33    0
Jun 04 12:45:04 ubuntu dstat.sh[65062]: 04-06 12:45:04| 54   7  39   0   0|1556M  643M  170M 5364M|  19k   15k|   0     0 |   0     0 |4292  3376 |2.69 1.38 0.70|3.0   0   0|   0     0 |           | 11   31    0   33    0
Jun 04 12:45:05 ubuntu dstat.sh[65062]: 04-06 12:45:05| 53  11  35   0   0|1465M  735M  170M 5364M|  18k   13k|   0   823k|   0  63.2 |7415  9002 |2.69 1.38 0.70|3.0   0 112|   0     0 |           | 11   28    0   35    0
Jun 04 12:45:06 ubuntu dstat.sh[65062]: 04-06 12:45:06| 56   7  36   0   0|1560M  639M  170M 5364M|  11k 8396B|   0   267k|   0  14.9 |3913  2204 |2.69 1.38 0.70|2.0   0   0|   0     0 |           | 11   31    0   35    0
Jun 04 12:45:07 ubuntu dstat.sh[65062]: 04-06 12:45:07| 54   8  37   0   0|1545M  654M  170M 5364M|  24k   20k|   0   397k|   0  40.1 |7316  9110 |2.72 1.41 0.71|3.0   0  60|   0     0 |           | 11   28    0   37    0
Jun 04 12:45:08 ubuntu dstat.sh[65062]: 04-06 12:45:08| 67  31   3   0   0|1544M  656M  170M 5364M|4343B 1460B|   0   284k|   0  26.0 |5493  4950 |2.72 1.41 0.71|7.0   0 616|   0     0 |           | 11   28    0   37    0
Jun 04 12:45:09 ubuntu dstat.sh[65062]: 04-06 12:45:09| 81  19   0   0   0|1706M  493M  170M 5364M|  10k 7666B|   0   204k|   0  9.00 |5768  4728 |2.72 1.41 0.71|7.0   0 369|   0     0 |           | 11   30    0   37    0
Jun 04 12:45:10 ubuntu dstat.sh[65062]: 04-06 12:45:10| 75  22   3   0   0|1744M  455M  170M 5364M|  45k   41k|   0   820k|   0  49.0 |7716  9340 |2.72 1.41 0.71|8.0   0 455|   0     0 |           | 11   33    0   37    0
Jun 04 12:45:11 ubuntu dstat.sh[65062]: 04-06 12:45:11| 79  19   1   0   0|1649M  550M  170M 5364M|  22k   18k|   0  2356k|   0   111 |6846  7902 |2.72 1.41 0.71|7.0   0 323|   0     0 |           | 11   28    0   36    0
Jun 04 12:45:12 ubuntu dstat.sh[65062]: 04-06 12:45:12| 86  14   1   0   0|1663M  536M  170M 5364M|  11k 8496B|   0   160k|   0  7.99 |5040  2895 |2.90 1.47 0.73|7.0   0  33|   0     0 |           | 11   30    0   36    0
Jun 04 12:45:13 ubuntu dstat.sh[65062]: 04-06 12:45:13| 72  12  16   0   0|1714M  484M  170M 5365M|  36k   32k|   0   284k|   0  48.0 |7925    11k|2.90 1.47 0.73|3.0   0 114|   0     0 |           | 11   32    0   37    0
Jun 04 12:45:14 ubuntu dstat.sh[65062]: 04-06 12:45:14| 47  20  30   0   0|1458M  740M  170M 5365M|  24k   19k|   0   732k|   0  14.0 |8816    11k|2.90 1.47 0.73|3.0   0 412|   0     0 |           | 11   28    0   41    0
Jun 04 12:45:15 ubuntu dstat.sh[65062]: 04-06 12:45:15| 14  29  56   0   0|1462M  736M  170M 5365M|5645B 1621B|   0   232k|   0  19.0 |6236  4941 |2.90 1.47 0.73|4.0   0 601|   0     0 |           | 11   28    0   41    0
Jun 04 12:45:16 ubuntu dstat.sh[65062]: 04-06 12:45:16| 73  23   4   0   0|1572M  627M  170M 5365M|6109B 3586B|   0    36k|   0  6.00 |5065  3572 |2.90 1.47 0.73|3.0   0 476|   0     0 |           | 11   29    0   41    0
Jun 04 12:45:17 ubuntu dstat.sh[65062]: 04-06 12:45:17| 63   8  28   0   0|1611M  587M  170M 5365M|  28k   24k|   0   244k|   0  24.0 |6673  8357 |2.99 1.51 0.75|4.0   0   0|   0     0 |           | 11   31    0   42    0
Jun 04 12:45:18 ubuntu dstat.sh[65062]: 04-06 12:45:18| 71  18  11   0   0|1501M  697M  170M 5365M|  12k 9228B|   0  3696k|   0   160 |6692  7204 |2.99 1.51 0.75|4.0   0 265|   0     0 |           | 11   28    0   45    0
Jun 04 12:45:19 ubuntu dstat.sh[65062]: 04-06 12:45:19| 75  10  15   0   0|1587M  611M  170M 5365M|  17k   14k|   0   176k|   0  9.99 |4723  3531 |2.99 1.51 0.75|4.0   0 5.0|   0     0 |           | 11   31    0   45    0
Jun 04 12:45:20 ubuntu dstat.sh[65062]: 04-06 12:45:20| 56   6  37   0   0|1599M  598M  170M 5365M|  38k   34k|   0   853k|   0   126 |  11k   16k|2.99 1.51 0.75|2.0   0 1.0|   0     0 |           | 11   32    0   45    0
Jun 04 12:45:21 ubuntu dstat.sh[65062]: 04-06 12:45:21| 61   9  29   0   0|1526M  671M  170M 5365M|  33k   27k|   0   596k|   0  47.0 |  11k   17k|2.99 1.51 0.75|4.0   0  60|   0     0 |           | 11   29    0   45    0
Jun 04 12:45:22 ubuntu dstat.sh[65062]: 04-06 12:45:22| 81  14   5   0   0|1544M  653M  170M 5365M|8596B 5827B|   0   340k|   0  27.0 |5084  3209 |3.07 1.55 0.77|3.0   0  60|   0     0 |           | 11   29    0   45    0
Jun 04 12:45:23 ubuntu dstat.sh[65062]: 04-06 12:45:23| 63   7  29   0   0|1596M  601M  170M 5366M|  28k   25k|   0   180k|   0  9.99 |6892  8241 |3.07 1.55 0.77|4.0   0   0|   0     0 |           | 11   32    0   45    0
Jun 04 12:45:24 ubuntu dstat.sh[65062]: 04-06 12:45:24| 54   6  39   0   0|1598M  599M  170M 5366M|  45k   41k|   0   172k|   0  10.0 |  14k   22k|3.07 1.55 0.77|3.0   0   0|   0     0 |           | 11   31    0   46    0
Jun 04 12:45:25 ubuntu dstat.sh[65062]: 04-06 12:45:25| 73  17  10   0   0|1480M  717M  170M 5366M|  17k   12k|   0   148k|   0  9.01 |6960  7189 |3.07 1.55 0.77|4.0   0 260|   0     0 |           | 11   28    0   49    0
Jun 04 12:45:26 ubuntu dstat.sh[65062]: 04-06 12:45:26| 74  10  15   0   0|1590M  606M  170M 5366M|  17k   15k|   0   160k|   0  10.0 |4959  3589 |3.07 1.55 0.77|3.0   0   0|   0     0 |           | 11   31    0   49    0
Jun 04 12:45:27 ubuntu dstat.sh[65062]: 04-06 12:45:27| 61   9  30   0   0|1588M  609M  170M 5366M|  34k   30k|   0   280k|   0  17.0 |  11k   15k|2.98 1.56 0.78|3.0   0  36|   0     0 |           | 11   30    0   48    1
Jun 04 12:45:28 ubuntu dstat.sh[65062]: 04-06 12:45:28| 74  14  11   0   0|1514M  682M  170M 5366M|  15k   11k|   0   340k|   0  33.0 |5926  7041 |2.98 1.56 0.78|4.0   0  94|   0     0 |           | 11   28    0   49    0
Jun 04 12:45:29 ubuntu dstat.sh[65062]: 04-06 12:45:29| 71  10  19   0   0|1601M  595M  170M 5366M|  17k   15k|   0   480k|   0  65.0 |4949  4066 |2.98 1.56 0.78|3.0   0 1.0|   0     0 |           | 11   32    1   50    0
Jun 04 12:45:30 ubuntu dstat.sh[65062]: 04-06 12:45:30| 67  14  17   0   0|1625M  571M  170M 5366M|  24k   20k|   0   344k|   0  28.0 |7053  9799 |2.98 1.56 0.78|3.0   0 122|   0     0 |           | 11   34    0   51    0
Jun 04 12:45:31 ubuntu dstat.sh[65062]: 04-06 12:45:31| 67  10  22   0   0|1645M  552M  170M 5367M|  32k   26k|   0   152k|   0  10.0 |6259  9719 |2.98 1.56 0.78|6.0   0  59|   0     0 |           | 11   34    0   52    0
Jun 04 12:45:32 ubuntu dstat.sh[65062]: 04-06 12:45:32| 73  16  11   0   0|1511M  685M  170M 5367M|  20k   16k|   0   176k|   0  11.0 |5962  7274 |3.22 1.63 0.81|3.0   0 168|   0     0 |           | 11   33    0   54    0
Jun 04 12:45:33 ubuntu dstat.sh[65062]: 04-06 12:45:33| 74  11  14   0   0|1595M  601M  170M 5367M|  20k   14k|   0   180k|   0  12.0 |5253  5231 |3.22 1.63 0.81|4.0   0   0|   0     0 |           | 11   34    0   55    0
Jun 04 12:45:34 ubuntu dstat.sh[65062]: 04-06 12:45:34| 66  13  21   0   0|1552M  644M  170M 5367M|  22k   18k|   0     0 |   0     0 |5953  6726 |3.22 1.63 0.81|4.0   0  68|   0     0 |           | 11   34    0   56    0
Jun 04 12:45:35 ubuntu dstat.sh[65062]: 04-06 12:45:35| 61  13  25   0   0|1592M  604M  170M 5367M|  22k   18k|   0   415k|   0  44.9 |5979  6861 |3.22 1.63 0.81|5.0   0 138|   0     0 |           | 11   33    0   57    0
Jun 04 12:45:36 ubuntu dstat.sh[65062]: 04-06 12:45:36| 54  14  31   0   0|1548M  648M  170M 5367M|8411B 5776B|   0   304k|   0  23.0 |4448  3194 |3.22 1.63 0.81|3.0   0 120|   0     0 |           | 11   33    0   58    0
Jun 04 12:45:37 ubuntu dstat.sh[65062]: 04-06 12:45:37| 55   7  37   0   0|1581M  615M  170M 5367M|  19k   16k|   0   260k|   0  16.0 |4372  4843 |3.21 1.66 0.82|1.0   0   0|   0     0 |           | 11   34    0   59    0
Jun 04 12:45:38 ubuntu dstat.sh[65062]: 04-06 12:45:38| 52  15  33   0   0|1540M  655M  170M 5367M|  20k   15k|   0   156k|   0  11.0 |6280  7696 |3.21 1.66 0.82|3.0   0 139|   0     0 |           | 11   33    0   60    0
Jun 04 12:45:39 ubuntu dstat.sh[65062]: 04-06 12:45:39| 57  10  32   0   0|1562M  634M  170M 5367M|  12k 8413B|   0   196k|   0  10.0 |3896  2274 |3.21 1.66 0.82|3.0   0  43|   0     0 |           | 11   34    0   55    0
Jun 04 12:45:40 ubuntu dstat.sh[65062]: 04-06 12:45:40| 48   9  41   0   0|1509M  686M  170M 5367M|  22k   19k|   0   232k|   0  16.0 |6673  8537 |3.21 1.66 0.82|1.0   0  81|   0     0 |           | 11   34    0   56    0
Jun 04 12:45:41 ubuntu dstat.sh[65062]: 04-06 12:45:41| 33  13  53   0   0|1450M  746M  170M 5368M|  13k 8768B|   0   416k|   0  37.0 |6055  6363 |3.21 1.66 0.82|2.0   0 137|   0     0 |           | 11   32    0   58    0
Jun 04 12:45:42 ubuntu dstat.sh[65062]: 04-06 12:45:42| 40   7  53   0   0|1498M  698M  170M 5368M|9194B 6220B|   0   375k|   0  52.9 |2830  1898 |3.11 1.66 0.82|2.0   0 4.0|   0     0 |           | 11   33    0   58    0
Jun 04 12:45:43 ubuntu dstat.sh[65062]: 04-06 12:45:43| 34   7  58   0   0|1495M  700M  170M 5368M|  16k   12k|   0   244k|   0  16.0 |4782  5378 |3.11 1.66 0.82|2.0   0  34|   0     0 |           | 11   33    0   57    0
Jun 04 12:45:44 ubuntu dstat.sh[65062]: 04-06 12:45:44| 38  10  51   0   0|1487M  708M  170M 5368M|7986B 4996B|   0   155k|   0  11.9 |3888  2718 |3.11 1.66 0.82|2.0   0 103|   0     0 |           | 11   33    0   58    0
