Apr 27 05:36:30 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 27 05:36:31 ubuntu dstat.sh[66884]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 27 05:36:31 ubuntu dstat.sh[66884]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 27 05:36:49 ubuntu dstat.sh[66884]: 27-04 05:36:49| 49   7  42   0   0|1265M  945M  172M 5351M|2225B    0 |   0   539k|   0  44.9 |3177  1644 |1.72 1.08 0.57|3.0   0  50|   0     0 |           | 11    5    0   19    0
Apr 27 05:36:50 ubuntu dstat.sh[66884]: 27-04 05:36:50| 40   9  50   1   0|1279M  929M  172M 5353M|2645B    0 |   0    17M|   0   217 |4291  4704 |1.72 1.08 0.57|1.0   0  77|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:51 ubuntu dstat.sh[66884]: 27-04 05:36:51| 19   7  73   0   0|1318M  890M  172M 5353M|2875B    0 |   0  1444k|   0   168 |2629  2254 |1.72 1.08 0.57|1.0   0  63|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:52 ubuntu dstat.sh[66884]: 27-04 05:36:52| 23   2  74   0   0|1356M  852M  172M 5353M|3135B    0 |   0     0 |   0     0 |1698  1173 |1.72 1.08 0.57|1.0   0   0|   0     0 |           | 11    4    0   19    0
Apr 27 05:36:53 ubuntu dstat.sh[66884]: 27-04 05:36:53| 23   3  72   1   0|1383M  825M  172M 5353M|3782B    0 |   0  1549k|   0   190 |3427  4494 |1.72 1.08 0.57|1.0   0 1.0|   0     0 |           | 11   10    0   19    0
Apr 27 05:36:54 ubuntu dstat.sh[66884]: 27-04 05:36:54| 21   6  72   1   0|1370M  837M  173M 5353M|3661B    0 | 144k 2621k|7.00   153 |2559  2229 |1.66 1.08 0.57|1.0   0  43|   0     0 |           | 11    4    0   21    0
Apr 27 05:36:55 ubuntu dstat.sh[66884]: 27-04 05:36:55| 20   2  77   0   0|1385M  822M  173M 5354M|6047B 2451B|   0    11M|   0  81.0 |2133  1804 |1.66 1.08 0.57|2.0   0 1.0|   0     0 |           | 11   11    0   21    0
Apr 27 05:36:56 ubuntu dstat.sh[66884]: 27-04 05:36:56| 20   3  75   0   0|1386M  820M  173M 5354M|9253B 6103B| 268k 2022k|65.9  48.0 |2748  2795 |1.66 1.08 0.57|1.0   0 2.0|   0     0 |           | 11   28    0   22    0
Apr 27 05:36:57 ubuntu dstat.sh[66884]: 27-04 05:36:57| 21   6  73   0   0|1422M  785M  173M 5354M|2803B    0 |   0     0 |   0     0 |2173  1602 |1.66 1.08 0.57|1.0   0  43|   0     0 |           | 11   28    0   16    0
Apr 27 05:36:58 ubuntu dstat.sh[66884]: 27-04 05:36:58| 17   2  80   0   0|1416M  790M  173M 5354M|9510B 6978B|   0     0 |   0     0 |2027  1739 |1.66 1.08 0.57|2.0   0 6.0|   0     0 |           | 11   28    0   17    0
Apr 27 05:36:59 ubuntu dstat.sh[66884]: 27-04 05:36:59| 36  12  51   0   0|1472M  734M  173M 5354M|2284B    0 |   0    12k|   0  3.00 |3650  2364 |1.69 1.09 0.58|2.0   0 150|   0     0 |           | 11   28    0   17    0
Apr 27 05:37:00 ubuntu dstat.sh[66884]: 27-04 05:37:00| 32   5  63   0   0|1487M  719M  173M 5354M|  14k   12k|   0    33M|   0   318 |4625  4841 |1.69 1.09 0.58|2.0   0   0|   0     0 |           | 11   30    0   17    0
Apr 27 05:37:01 ubuntu dstat.sh[66884]: 27-04 05:37:01| 45  20  34   0   0|1391M  815M  173M 5354M|9530B 6767B|   0  1085k|   0  52.1 |6762  8478 |1.69 1.09 0.58|6.0   0 454|   0     0 |           | 11   28    0   18    0
Apr 27 05:37:02 ubuntu dstat.sh[66884]: 27-04 05:37:02| 83  17   0   0   0|1627M  579M  173M 5354M|5279B 2352B|   0   204k|   0  18.0 |5162  3190 |1.69 1.09 0.58|6.0   0 125|   0     0 |           | 11   29    0   18    0
Apr 27 05:37:03 ubuntu dstat.sh[66884]: 27-04 05:37:03| 82  10   7   0   0|1737M  469M  173M 5354M|  31k   30k|   0   184k|   0  12.0 |8154  9545 |1.69 1.09 0.58|5.0   0   0|   0     0 |           | 11   34    0   18    0
Apr 27 05:37:04 ubuntu dstat.sh[66884]: 27-04 05:37:04| 57  13  29   0   0|1522M  684M  173M 5355M|  17k   12k|   0  3126k|   0   122 |7384  9563 |1.80 1.12 0.59|1.0   0 272|   0     0 |           | 11   28    0   24    0
Apr 27 05:37:05 ubuntu dstat.sh[66884]: 27-04 05:37:05| 20   5  74   0   0|1512M  694M  173M 5355M|2706B    0 |   0   156k|   0  13.0 |2186  1682 |1.80 1.12 0.59|1.0   0  39|   0     0 |           | 11   28    0   23    0
Apr 27 05:37:06 ubuntu dstat.sh[66884]: 27-04 05:37:06| 16   2  80   0   0|1484M  722M  173M 5355M|  10k 7007B|   0  7997k|   0   441 |2806  3178 |1.80 1.12 0.59|1.0   0   0|   0     0 |           | 11   28    0   24    0
Apr 27 05:37:07 ubuntu dstat.sh[66884]: 27-04 05:37:07| 19   7  73   0   0|1465M  741M  173M 5355M|3377B    0 |   0   172k|   0  13.0 |2509  2041 |1.80 1.12 0.59|1.0   0  68|   0     0 |           | 11   28    0   24    0
Apr 27 05:37:08 ubuntu dstat.sh[66884]: 27-04 05:37:08| 18   2  79   0   0|1471M  735M  173M 5355M|8038B 5848B|   0   144k|   0  11.0 |2316  2453 |1.80 1.12 0.59|  0   0   0|   0     0 |           | 11   29    0   24    0
Apr 27 05:37:09 ubuntu dstat.sh[66884]: 27-04 05:37:09| 12  16  70   1   0|1414M  791M  173M 5355M|4167B 1252B|   0  5304k|   0   282 |5833  5891 |1.81 1.14 0.60|1.0   0 400|   0     0 |           | 11   28    0   24    0
Apr 27 05:37:10 ubuntu dstat.sh[66884]: 27-04 05:37:10| 46  30  24   0   0|1434M  772M  173M 5355M|2101B    0 |   0   272k|   0  22.0 |5946  4979 |1.81 1.14 0.60|5.0   0 639|   0     0 |           | 11   28    0   24    0
Apr 27 05:37:11 ubuntu dstat.sh[66884]: 27-04 05:37:11| 84  11   5   0   0|1654M  552M  173M 5355M|  12k   10k|   0    73M|   0   311 |5652  3786 |1.81 1.14 0.60|5.0   0   0|   0     0 |           | 11   31    0   24    0
Apr 27 05:37:12 ubuntu dstat.sh[66884]: 27-04 05:37:12| 70   7  21   0   0|1654M  551M  173M 5355M|  39k   36k|   0  1683k|   0  54.0 |9330    15k|1.81 1.14 0.60|5.0   0  15|   0     0 |           | 11   29    0   25    0
Apr 27 05:37:13 ubuntu dstat.sh[66884]: 27-04 05:37:13| 80  19   1   0   0|1537M  669M  173M 5355M|4969B 2107B|   0   324k|   0  25.0 |6089  5536 |1.81 1.14 0.60|6.0   0 295|   0     0 |           | 11   28    0   25    0
Apr 27 05:37:14 ubuntu dstat.sh[66884]: 27-04 05:37:14| 88  10   1   0   0|1717M  488M  173M 5355M|  14k   12k|   0   188k|   0  9.00 |5230  3212 |2.07 1.20 0.62|3.0   0 1.0|   0     0 |           | 11   33    0   25    0
Apr 27 05:37:15 ubuntu dstat.sh[66884]: 27-04 05:37:15| 79  10  10   0   0|1750M  455M  173M 5356M|  44k   39k|   0   768k|   0  49.0 |9761    24k|2.07 1.20 0.62|6.0   0  47|   0     0 |           | 11   31    0   29    0
Apr 27 05:37:16 ubuntu dstat.sh[66884]: 27-04 05:37:16| 55  15  29   0   0|1498M  707M  173M 5356M|  13k 9794B|   0    11M|   0  97.0 |6039  7350 |2.07 1.20 0.62|2.0   0 287|   0     0 |           | 11   28    0   31    0
Apr 27 05:37:17 ubuntu dstat.sh[66884]: 27-04 05:37:17| 37   4  58   0   0|1546M  659M  173M 5356M|  11k 8429B|   0   475k|   0  5.99 |3244  2676 |2.07 1.20 0.62|2.0   0   0|   0     0 |           | 11   30    0   30    0
Apr 27 05:37:18 ubuntu dstat.sh[66884]: 27-04 05:37:18| 45  16  37   0   0|1503M  702M  173M 5356M|  12k 9939B|   0   858k|   0  58.2 |6341  7376 |2.07 1.20 0.62|5.0   0 353|   0     0 |           | 11   28    0   32    0
Apr 27 05:37:19 ubuntu dstat.sh[66884]: 27-04 05:37:19| 56   8  35   0   0|1571M  634M  173M 5356M|  11k 8539B|   0  2210k|   0  86.9 |3864  2162 |1.98 1.20 0.63|4.0   0  26|   0     0 |           | 11   31    0   32    0
Apr 27 05:37:20 ubuntu dstat.sh[66884]: 27-04 05:37:20| 54   9  36   0   0|1497M  708M  173M 5356M|  23k   19k|   0   408k|   0  46.0 |8003    11k|1.98 1.20 0.63|4.0   0 162|   0     0 |           | 11   28    0   33    0
Apr 27 05:37:21 ubuntu dstat.sh[66884]: 27-04 05:37:21| 84  16   1   0   0|1548M  657M  173M 5356M|2521B    0 |   0   296k|   0  9.00 |4845  2245 |1.98 1.20 0.63|5.0   0  96|   0     0 |           | 11   28    0   32    0
Apr 27 05:37:22 ubuntu dstat.sh[66884]: 27-04 05:37:22| 60   7  31   0   0|1603M  601M  173M 5356M|  31k   28k|   0   371k|   0  34.9 |6787  8948 |1.98 1.20 0.63|4.0   0   0|   0     0 |           | 11   31    0   33    0
Apr 27 05:37:23 ubuntu dstat.sh[66884]: 27-04 05:37:23| 69  19  13   0   0|1512M  692M  173M 5356M|  15k   11k|   0   593k|   0  29.1 |7166  8471 |1.98 1.20 0.63|3.0   0 325|   0     0 |           | 11   28    0   35    0
Apr 27 05:37:24 ubuntu dstat.sh[66884]: 27-04 05:37:24| 54   6  38   0   0|1570M  635M  173M 5356M|  14k   12k|   0   368k|   0  20.0 |3854  2950 |1.98 1.21 0.64|3.0   0 1.0|   0     0 |           | 11   31    0   35    0
Apr 27 05:37:25 ubuntu dstat.sh[66884]: 27-04 05:37:25| 49  13  39   0   0|1492M  712M  173M 5356M|  20k   16k|   0  1053k|   0  80.1 |7930    10k|1.98 1.21 0.64|3.0   0 227|   0     0 |           | 11   28    0   37    0
Apr 27 05:37:26 ubuntu dstat.sh[66884]: 27-04 05:37:26| 60  11  29   0   0|1519M  685M  173M 5356M|3883B 2204B|   0   187k|   0  7.98 |3740  1890 |1.98 1.21 0.64|2.0   0  72|   0     0 |           | 11   29    0   33    0
Apr 27 05:37:27 ubuntu dstat.sh[66884]: 27-04 05:37:27| 49   6  44   0   0|1542M  662M  173M 5357M|  26k   23k|   0   630k|   0  24.1 |6313  7992 |1.98 1.21 0.64|3.0   0   0|   0     0 |           | 11   29    0   35    0
Apr 27 05:37:28 ubuntu dstat.sh[66884]: 27-04 05:37:28| 55  19  27   0   0|1459M  745M  173M 5357M|5533B 2423B|   0   204k|   0  11.0 |5090  4023 |1.98 1.21 0.64|4.0   0 293|   0     0 |           | 11   28    0   36    0
Apr 27 05:37:29 ubuntu dstat.sh[66884]: 27-04 05:37:29| 53   6  40   0   0|1519M  685M  173M 5357M|  14k   13k|   0   115k|   0  5.96 |3934  2738 |2.06 1.24 0.65|3.0   0   0|   0     0 |           | 11   31    0   36    0
Apr 27 05:37:30 ubuntu dstat.sh[66884]: 27-04 05:37:30| 54  12  34   0   0|1472M  731M  173M 5357M|  16k   12k|   0  1113k|   0  84.4 |7927  9794 |2.06 1.24 0.65|3.0   0 113|   0     0 |           | 11   28    0   35    0
Apr 27 05:37:31 ubuntu dstat.sh[66884]: 27-04 05:37:31| 54   7  38   0   0|1530M  673M  173M 5357M|  13k   10k|   0    68k|   0  7.00 |4027  2901 |2.06 1.24 0.65|3.0   0   0|   0     0 |           | 11   31    0   35    0
Apr 27 05:37:32 ubuntu dstat.sh[66884]: 27-04 05:37:32| 54  14  32   0   0|1445M  758M  173M 5357M|  18k   15k|   0   448k|   0  38.0 |7628  9755 |2.06 1.24 0.65|4.0   0 312|   0     0 |           | 11   28    0   37    0
Apr 27 05:37:33 ubuntu dstat.sh[66884]: 27-04 05:37:33| 79  22   0   0   0|1556M  648M  173M 5357M|2703B    0 |   0   228k|   0  19.0 |5459  4556 |2.06 1.24 0.65|7.0   0 437|   0     0 |           | 11   28    0   37    0
Apr 27 05:37:34 ubuntu dstat.sh[66884]: 27-04 05:37:34| 84  15   0   0   0|1721M  482M  173M 5357M|  16k   14k|   0   172k|   0  8.00 |6134  5565 |2.54 1.35 0.69|6.0   0 389|   0     0 |           | 11   32    0   37    0
Apr 27 05:37:35 ubuntu dstat.sh[66884]: 27-04 05:37:35| 76  20   3   0   0|1682M  521M  173M 5357M|  45k   41k|   0   736k|   0  47.0 |8790    12k|2.54 1.35 0.69|6.0   0 479|   0     0 |           | 11   30    0   38    0
Apr 27 05:37:36 ubuntu dstat.sh[66884]: 27-04 05:37:36| 80  19   1   0   0|1613M  590M  173M 5357M|  12k 8822B|   0   437k|   0  37.1 |5933  4990 |2.54 1.35 0.69|5.0   0 238|   0     0 |           | 11   29    0   38    0
Apr 27 05:37:37 ubuntu dstat.sh[66884]: 27-04 05:37:37| 81   9  11   0   0|1668M  535M  173M 5358M|  31k   26k|   0  1984k|   0  65.0 |6791  7606 |2.54 1.35 0.69|4.0   0   0|   0     0 |           | 11   33    0   38    0
Apr 27 05:37:38 ubuntu dstat.sh[66884]: 27-04 05:37:38| 65  15  19   0   0|1485M  718M  173M 5358M|  32k   27k|   0   164k|   0  11.0 |9279    14k|2.54 1.35 0.69|3.0   0 338|   0     0 |           | 11   28    0   41    0
Apr 27 05:37:39 ubuntu dstat.sh[66884]: 27-04 05:37:39| 18  32  49   0   0|1398M  805M  173M 5358M|3003B    0 |   0   208k|   0  17.0 |6765  5926 |2.58 1.38 0.70|3.0   0 795|   0     0 |           | 11   28    0   41    0
Apr 27 05:37:40 ubuntu dstat.sh[66884]: 27-04 05:37:40| 69  26   5   0   0|1530M  672M  173M 5358M|4840B 2351B|   0   188k|   0  13.0 |4953  3780 |2.58 1.38 0.70|4.0   0 470|   0     0 |           | 11   29    0   41    0
Apr 27 05:37:41 ubuntu dstat.sh[66884]: 27-04 05:37:41| 64   8  28   0   0|1591M  611M  173M 5358M|  27k   23k|   0   480k|   0  46.0 |6686  8359 |2.58 1.38 0.70|5.0   0  10|   0     0 |           | 11   30    0   43    0
Apr 27 05:37:42 ubuntu dstat.sh[66884]: 27-04 05:37:42| 73  18   9   0   0|1551M  651M  173M 5358M|9684B 6718B|   0   456k|   0  40.0 |6087  6103 |2.58 1.38 0.70|4.0   0 258|   0     0 |           | 11   28    0   45    0
Apr 27 05:37:43 ubuntu dstat.sh[66884]: 27-04 05:37:43| 71   8  20   0   0|1621M  581M  173M 5358M|  21k   18k|   0   160k|   0  8.99 |5566  5372 |2.58 1.38 0.70|5.0   0   0|   0     0 |           | 11   32    0   45    0
Apr 27 05:37:44 ubuntu dstat.sh[66884]: 27-04 05:37:44| 53   7  38   0   0|1621M  580M  173M 5359M|  44k   40k|   0   240k|   0  20.0 |  13k   20k|2.45 1.38 0.70|2.0   0 1.0|   0     0 |           | 11   31    0   45    0
Apr 27 05:37:45 ubuntu dstat.sh[66884]: 27-04 05:37:45| 73  14  13   0   0|1473M  729M  173M 5359M|  18k   14k|   0   432k|   0  46.0 |8073    10k|2.45 1.38 0.70|4.0   0 120|   0     0 |           | 11   28    0   45    0
Apr 27 05:37:46 ubuntu dstat.sh[66884]: 27-04 05:37:46| 72  11  17   0   0|1604M  597M  173M 5359M|  16k   14k|   0   148k|   0  8.99 |4773  3565 |2.45 1.38 0.70|3.0   0   0|   0     0 |           | 11   32    0   45    0
Apr 27 05:37:47 ubuntu dstat.sh[66884]: 27-04 05:37:47| 56   6  36   0   0|1606M  596M  173M 5359M|  38k   34k|   0  1288k|   0  10.0 |9878    15k|2.45 1.38 0.70|4.0   0   0|   0     0 |           | 11   32    0   45    0
Apr 27 05:37:48 ubuntu dstat.sh[66884]: 27-04 05:37:48| 62  14  23   0   0|1530M  671M  173M 5359M|  33k   27k|   0   156k|   0  9.99 |9540    14k|2.45 1.38 0.70|7.0   0 193|   0     0 |           | 11   28    0   49    0
Apr 27 05:37:49 ubuntu dstat.sh[66884]: 27-04 05:37:49| 78  15   7   0   0|1590M  611M  173M 5359M|8003B 5884B|   0   176k|   0  11.0 |4718  2494 |2.58 1.42 0.72|4.0   0  67|   0     0 |           | 11   30    0   49    0
Apr 27 05:37:50 ubuntu dstat.sh[66884]: 27-04 05:37:50| 58   7  34   0   0|1617M  584M  173M 5359M|  37k   33k|   0  3955k|   0   133 |9394    14k|2.58 1.42 0.72|5.0   0   0|   0     0 |           | 11   31    0   50    0
Apr 27 05:37:51 ubuntu dstat.sh[66884]: 27-04 05:37:51| 73  16  11   0   0|1529M  672M  173M 5359M|  16k   12k|   0   332k|   0  33.0 |7290  8504 |2.58 1.42 0.72|5.0   0 128|   0     0 |           | 11   28    0   51    0
Apr 27 05:37:52 ubuntu dstat.sh[66884]: 27-04 05:37:52| 70   8  21   0   0|1590M  611M  173M 5360M|  17k   15k|   0   339k|   0  23.9 |4888  3828 |2.58 1.42 0.72|3.0   0   0|   0     0 |           | 11   32    0   51    0
Apr 27 05:37:53 ubuntu dstat.sh[66884]: 27-04 05:37:53| 68  14  17   0   0|1589M  611M  173M 5360M|  27k   22k|   0   393k|   0  37.1 |7197    11k|2.58 1.42 0.72|3.0   0 120|   0     0 |           | 11   30    0   53    0
Apr 27 05:37:54 ubuntu dstat.sh[66884]: 27-04 05:37:54| 70  15  15   0   0|1556M  645M  173M 5360M|  25k   21k|   0   152k|   0  10.0 |6143  7353 |2.69 1.46 0.74|6.0   0 142|   0     0 |           | 11   30    0   53    0
Apr 27 05:37:55 ubuntu dstat.sh[66884]: 27-04 05:37:55| 72  11  16   0   0|1562M  638M  173M 5360M|  21k   18k|   0   151k|   0  9.96 |6144  7568 |2.69 1.46 0.74|4.0   0  86|   0     0 |           | 11   30    0   55    0
Apr 27 05:37:56 ubuntu dstat.sh[66884]: 27-04 05:37:56| 72  12  15   0   0|1592M  608M  173M 5360M|  18k   16k|   0   281k|   0  25.1 |5675  6328 |2.69 1.46 0.74|3.0   0  67|   0     0 |           | 11   34    0   57    0
Apr 27 05:37:57 ubuntu dstat.sh[66884]: 27-04 05:37:57| 70  10  20   1   0|1640M  560M  173M 5360M|  20k   17k|   0   268k|   0  22.0 |6037  7498 |2.69 1.46 0.74|3.0   0 3.0|   0     0 |           | 11   34    0   58    0
Apr 27 05:37:58 ubuntu dstat.sh[66884]: 27-04 05:37:58| 55  15  30   0   0|1507M  693M  173M 5360M|  14k   11k|   0   536k|   0  48.0 |5718  5830 |2.69 1.46 0.74|3.0   0 200|   0     0 |           | 11   32    0   60    0
Apr 27 05:37:59 ubuntu dstat.sh[66884]: 27-04 05:37:59| 56  11  32   0   0|1518M  683M  173M 5360M|8283B 5658B|   0  2055k|   0   121 |4121  3057 |2.71 1.49 0.75|3.0   0  60|   0     0 |           | 11   33    1   60    0
Apr 27 05:38:00 ubuntu dstat.sh[66884]: 27-04 05:38:00| 48  10  41   0   0|1514M  685M  173M 5360M|  23k   21k|   0    92k|   0  9.99 |6679  8572 |2.71 1.49 0.75|1.0   0  96|   0     0 |           | 11   34    0   61    0
Apr 27 05:38:01 ubuntu dstat.sh[66884]: 27-04 05:38:01| 56  11  32   0   0|1523M  677M  173M 5360M|  13k 9123B|   0     0 |   0     0 |5522  4953 |2.71 1.49 0.75|4.0   0  86|   0     0 |           | 11   33    0   63    0
Apr 27 05:38:02 ubuntu dstat.sh[66884]: 27-04 05:38:02| 50  10  39   0   0|1493M  707M  173M 5361M|  17k   14k|   0   379k|   0  19.9 |4590  5016 |2.71 1.49 0.75|3.0   0  87|   0     0 |           | 11   34    0   62    0
Apr 27 05:38:03 ubuntu dstat.sh[66884]: 27-04 05:38:03| 33   6  59   0   0|1452M  747M  173M 5361M|  17k   13k|   0   385k|   0  35.1 |6028  8177 |2.71 1.49 0.75|2.0   0  67|   0     0 |           | 11   32    0   64    0
Apr 27 05:38:04 ubuntu dstat.sh[66884]: 27-04 05:38:04| 40  10  49   0   0|1488M  711M  173M 5361M|3717B  685B|   0   132k|   0  7.97 |3329  1865 |2.66 1.50 0.76|1.0   0  69|   0     0 |           | 11   33    0   64    0
Apr 27 05:38:05 ubuntu dstat.sh[66884]: 27-04 05:38:05| 32   4  63   0   0|1495M  704M  173M 5361M|  17k   15k|   0   144k|   0  9.02 |4099  4961 |2.66 1.50 0.76|2.0   0   0|   0     0 |           | 11   33    0   65    0
Apr 27 05:38:06 ubuntu dstat.sh[66884]: 27-04 05:38:06| 38  13  49   0   0|1484M  715M  173M 5361M|5333B 2132B|   0   168k|   0  14.0 |4356  3593 |2.66 1.50 0.76|2.0   0 138|   0     0 |           | 11   32    0   59    0
Apr 27 05:38:07 ubuntu dstat.sh[66884]: 27-04 05:38:07| 37   4  59   1   0|1513M  686M  173M 5361M|  14k   11k|   0   308k|   0  27.0 |3434  3229 |2.66 1.50 0.76|5.0   0   0|   0     0 |           | 11   33    0   60    0
Apr 27 05:38:08 ubuntu dstat.sh[66884]: 27-04 05:38:08| 36  10  52   0   0|1462M  737M  173M 5361M|9058B 5722B|   0   504k|   0  72.0 |4452  4357 |2.66 1.50 0.76|3.0   0  65|   0     0 |           | 11   32    0   61    0
Apr 27 05:38:09 ubuntu dstat.sh[66884]: 27-04 05:38:09| 36   5  58   0   0|1479M  720M  173M 5361M|  12k 9798B|   0   148k|   0  10.0 |3389  2928 |2.52 1.49 0.76|  0   0   0|   0     0 |           | 11   34    0   61    0
Apr 27 05:38:10 ubuntu dstat.sh[66884]: 27-04 05:38:10| 35   7  57   0   0|1462M  737M  173M 5361M|  16k   12k|   0   272k|   0  24.0 |5429  6661 |2.52 1.49 0.76|2.0   0  43|   0     0 |           | 11   32    0   63    0
Apr 27 05:38:11 ubuntu dstat.sh[66884]: 27-04 05:38:11| 40   7  52   0   0|1467M  731M  173M 5361M|7665B 4888B|   0  3345k|   0   187 |3060  2064 |2.52 1.49 0.76|2.0   0 5.0|   0     0 |           | 11   33    0   62    0
Apr 27 05:38:12 ubuntu dstat.sh[66884]: 27-04 05:38:12| 34   5  61   0   0|1476M  722M  173M 5361M|  18k   15k|   0   272k|   0  23.0 |5299  6688 |2.52 1.49 0.76|4.0   0  17|   0     0 |           | 11   33    0   63    0
