Feb 20 16:33:33 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 20 16:33:33 ubuntu dstat.sh[59570]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 20 16:33:33 ubuntu dstat.sh[59570]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 20 16:33:46 ubuntu dstat.sh[59570]: 20-02 16:33:46| 42   9  48   1   0|1203M 1320M  163M 5062M|2886B  253B|   0    16M|   0   979 |4227  3719 |1.74 1.15 0.64|2.0   0  20|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:47 ubuntu dstat.sh[59570]: 20-02 16:33:47| 38   6  55   0   0|1241M 1281M  163M 5062M|5066B 1704B|   0   812k|   0  18.0 |2962  1711 |1.74 1.15 0.64|1.0   0  66|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:48 ubuntu dstat.sh[59570]: 20-02 16:33:48| 12  14  71   0   0|1139M 1384M  163M 5062M|3678B 1024B|   0     0 |   0     0 |4016  2691 |1.74 1.15 0.64|2.0   0 197|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:49 ubuntu dstat.sh[59570]: 20-02 16:33:49|  9  21  69   0   0|1080M 1443M  163M 5062M|3558B  974B|   0    28k|   0  7.01 |5506  4042 |1.74 1.15 0.64|2.0   0 354|   0     0 |           | 11    4    0   19    0
Feb 20 16:33:50 ubuntu dstat.sh[59570]: 20-02 16:33:50| 16  17  66   0   0|1086M 1436M  163M 5063M|4323B 1621B|   0    24k|   0  6.00 |6075  6775 |1.74 1.15 0.64|1.0   0 293|   0     0 |           | 11    4    0   13    0
Feb 20 16:33:51 ubuntu dstat.sh[59570]: 20-02 16:33:51| 38  12  49   0   0|1178M 1337M  163M 5070M|4320B 1708B|7678k   14M|77.7  88.7 |4203  3359 |1.76 1.17 0.65|2.0   0 131|   0     0 |           | 11    5    0   13    0
Feb 20 16:33:52 ubuntu dstat.sh[59570]: 20-02 16:33:52| 46   5  49   0   0|1212M 1302M  163M 5071M|4363B 1461B| 513k  733k|8.01  3.01 |2594  1083 |1.76 1.17 0.65|2.0   0   0|   0     0 |           | 11    5    0   13    0
Feb 20 16:33:53 ubuntu dstat.sh[59570]: 20-02 16:33:53| 43   9  47   0   0|1231M 1281M  163M 5073M|4437B 1619B|   0   775k|   0  47.0 |3033  3103 |1.76 1.17 0.65|3.0   0   0|   0     0 |           | 11    5    0   13    0
Feb 20 16:33:54 ubuntu dstat.sh[59570]: 20-02 16:33:54|  9   9  80   0   0|1242M 1270M  163M 5074M|4513B 1456B|   0  3692k|   0   132 |2945  2836 |1.76 1.17 0.65|  0   0 118|   0     0 |           | 11    4    0   13    0
Feb 20 16:33:55 ubuntu dstat.sh[59570]: 20-02 16:33:55| 16   5  79   0   0|1289M 1223M  163M 5074M|4627B 1623B|   0     0 |   0     0 |1876  1581 |1.76 1.17 0.65|1.0   0  23|   0     0 |           | 11    4    0   13    0
Feb 20 16:33:56 ubuntu dstat.sh[59570]: 20-02 16:33:56| 23   4  73   0   0|1323M 1189M  163M 5074M|4341B 1459B|   0    26M|   0   212 |1989  1777 |1.70 1.16 0.65|1.0   0   0|   0     0 |           | 11    4    0   13    0
Feb 20 16:33:57 ubuntu dstat.sh[59570]: 20-02 16:33:57| 22   3  72   1   0|1346M 1166M  163M 5074M|4964B 1609B|   0  2519k|   0   191 |3465  4580 |1.70 1.16 0.65|2.0   0 1.0|   0     0 |           | 11   10    0   13    0
Feb 20 16:33:58 ubuntu dstat.sh[59570]: 20-02 16:33:58| 20   7  72   1   0|1301M 1210M  163M 5074M|4422B 1463B|   0  2552k|   0   148 |2560  2193 |1.70 1.16 0.65|1.0   0  42|   0     0 |           | 11    4    0   15    0
Feb 20 16:33:59 ubuntu dstat.sh[59570]: 20-02 16:33:59| 20   3  76   0   0|1338M 1173M  164M 5074M|7677B 3592B| 489k  413k|24.0  7.01 |1789  1320 |1.70 1.16 0.65|  0   0   0|   0     0 |           | 11    5    0   15    0
Feb 20 16:34:00 ubuntu dstat.sh[59570]: 20-02 16:34:00| 21   3  75   1   0|1337M 1172M  164M 5075M|9336B 4458B| 273k  782k|67.1  25.1 |2494  2542 |1.70 1.16 0.65|1.0   0 2.0|   0     0 |           | 11   27    0   15    0
Feb 20 16:34:01 ubuntu dstat.sh[59570]: 20-02 16:34:01| 19   5  74   0   0|1360M 1150M  164M 5075M|8670B 5329B|   0  1276k|   0  16.0 |2545  2030 |1.65 1.16 0.66|1.0   0  44|   0     0 |           | 11   28    0   16    0
Feb 20 16:34:02 ubuntu dstat.sh[59570]: 20-02 16:34:02| 19   3  78   0   0|1407M 1103M  164M 5075M|6871B 4005B|   0  9332k|   0  42.0 |1767  1326 |1.65 1.16 0.66|1.0   0 1.0|   0     0 |           | 11   29    0   15    0
Feb 20 16:34:03 ubuntu dstat.sh[59570]: 20-02 16:34:03| 17  10  71   0   0|1387M 1122M  164M 5075M|9372B 6225B|   0    12k|   0  3.00 |3219  2394 |1.65 1.16 0.66|2.0   0 131|   0     0 |           | 11   28    0   16    0
Feb 20 16:34:04 ubuntu dstat.sh[59570]: 20-02 16:34:04| 42   9  49   0   0|1449M 1061M  164M 5075M|5439B 1945B|   0     0 |   0     0 |2862  1428 |1.65 1.16 0.66|1.0   0  25|   0     0 |           | 11   28    1   16    0
Feb 20 16:34:05 ubuntu dstat.sh[59570]: 20-02 16:34:05| 30   4  64   0   0|1445M 1064M  164M 5075M|  20k   18k|   0   535k|   0  18.0 |5056  6961 |1.65 1.16 0.66|2.0   0 1.0|   0     0 |           | 11   30    0   16    0
Feb 20 16:34:06 ubuntu dstat.sh[59570]: 20-02 16:34:06| 49  27  25   0   0|1406M 1104M  164M 5075M|7206B 3251B|   0  1981k|   0   198 |6262  6174 |1.91 1.22 0.68|6.0   0 539|   0     0 |           | 11   28    0   16    0
Feb 20 16:34:07 ubuntu dstat.sh[59570]: 20-02 16:34:07| 82  17   0   0   0|1619M  890M  164M 5075M|7982B 5559B|   0    30M|   0   172 |5812  7800 |1.91 1.22 0.68|5.0   0  78|   0     0 |           | 11   30    0   17    0
Feb 20 16:34:08 ubuntu dstat.sh[59570]: 20-02 16:34:08| 78  10  11   0   0|1713M  796M  164M 5075M|  35k   33k|   0   459k|   0  13.0 |9020    11k|1.91 1.22 0.68|3.0   0   0|   0     0 |           | 11   33    0   18    0
Feb 20 16:34:09 ubuntu dstat.sh[59570]: 20-02 16:34:09| 53  16  30   0   0|1549M  960M  164M 5075M|  14k 9543B|   0   557k|   0  53.1 |6985  8063 |1.91 1.22 0.68|2.0   0 283|   0     0 |           | 11   28    0   23    0
Feb 20 16:34:10 ubuntu dstat.sh[59570]: 20-02 16:34:10| 20   7  71   0   0|1534M  976M  164M 5075M|4797B 1619B|   0   212k|   0  12.0 |2263  1529 |1.91 1.22 0.68|2.0   0  34|   0     0 |           | 11   28    0   22    0
Feb 20 16:34:11 ubuntu dstat.sh[59570]: 20-02 16:34:11| 15   2  81   0   0|1512M  997M  164M 5075M|  11k 8493B|   0   252k|   0  22.0 |2596  3015 |1.84 1.22 0.68|2.0   0   0|   0     0 |           | 11   28    0   23    0
Feb 20 16:34:12 ubuntu dstat.sh[59570]: 20-02 16:34:12| 20   9  71   0   0|1467M 1042M  164M 5075M|4000B  972B|   0    62M|   0   393 |3162  2853 |1.84 1.22 0.68|1.0   0  68|   0     0 |           | 11   28    0   23    0
Feb 20 16:34:13 ubuntu dstat.sh[59570]: 20-02 16:34:13| 18   3  78   0   0|1468M 1041M  164M 5075M|9655B 6162B|   0  1469k|   0  6.00 |2254  2176 |1.84 1.22 0.68|1.0   0 1.0|   0     0 |           | 11   29    0   23    0
Feb 20 16:34:14 ubuntu dstat.sh[59570]: 20-02 16:34:14| 11  14  73   0   0|1374M 1135M  164M 5075M|8090B 4019B|   0   152k|   0  17.0 |4527  3661 |1.84 1.22 0.68|2.0   0 205|   0     0 |           | 11   28    0   24    0
Feb 20 16:34:15 ubuntu dstat.sh[59570]: 20-02 16:34:15|  9  24  65   0   0|1360M 1149M  164M 5075M|5519B 1135B|   0   200k|   0  11.0 |5632  3895 |1.84 1.22 0.68|4.0   0 430|   0     0 |           | 11   28    0   24    0
Feb 20 16:34:16 ubuntu dstat.sh[59570]: 20-02 16:34:16| 66  29   5   0   0|1501M 1008M  164M 5075M|5012B 1512B|   0  1344k|   0  22.0 |5377  3857 |2.09 1.28 0.70|5.0   0 404|   0     0 |           | 11   28    0   24    0
Feb 20 16:34:17 ubuntu dstat.sh[59570]: 20-02 16:34:17| 76  10  14   0   0|1643M  866M  164M 5075M|  26k   23k|   0  6709k|   0   423 |6809  6243 |2.09 1.28 0.70|5.0   0   0|   0     0 |           | 11   33    0   24    0
Feb 20 16:34:18 ubuntu dstat.sh[59570]: 20-02 16:34:18| 73  15  11   0   0|1561M  948M  164M 5076M|  33k   28k|   0   604k|   0  69.0 |9085    15k|2.09 1.28 0.70|6.0   0 145|   0     0 |           | 11   29    0   25    0
Feb 20 16:34:19 ubuntu dstat.sh[59570]: 20-02 16:34:19| 80  19   0   0   0|1601M  908M  164M 5076M|5783B 2505B|   0  1960k|   0   110 |5325  3559 |2.09 1.28 0.70|8.0   0 165|   0     0 |           | 11   29    0   25    0
Feb 20 16:34:20 ubuntu dstat.sh[59570]: 20-02 16:34:20| 85  11   3   0   0|1716M  792M  164M 5076M|  28k   26k|   0   164k|   0  12.0 |7414  7405 |2.09 1.28 0.70|3.0   0   0|   0     0 |           | 11   33    1   25    0
Feb 20 16:34:21 ubuntu dstat.sh[59570]: 20-02 16:34:21| 68  12  19   0   0|1553M  956M  164M 5076M|  39k   34k|   0   843k|   0  54.9 |9805    15k|2.41 1.36 0.73|3.0   0 180|   0     0 |           | 11   30    0   28    0
Feb 20 16:34:22 ubuntu dstat.sh[59570]: 20-02 16:34:22| 48  13  38   0   0|1463M 1045M  164M 5076M|7800B 4992B|   0   472k|   0  24.0 |4865  4377 |2.41 1.36 0.73|2.0   0 118|   0     0 |           | 11   28    1   30    0
Feb 20 16:34:23 ubuntu dstat.sh[59570]: 20-02 16:34:23| 33   4  62   0   0|1463M 1045M  164M 5076M|  18k   15k|   0   176k|   0  7.98 |4321  4656 |2.41 1.36 0.73|3.0   0   0|   0     0 |           | 11   30    0   29    0
Feb 20 16:34:24 ubuntu dstat.sh[59570]: 20-02 16:34:24| 24  19  55   0   0|1382M 1126M  164M 5076M|8007B 4867B|   0   128k|   0  19.0 |5832  5661 |2.41 1.36 0.73|3.0   0 371|   0     0 |           | 11   28    0   31    0
Feb 20 16:34:25 ubuntu dstat.sh[59570]: 20-02 16:34:25| 60  12  28   0   0|1489M 1019M  164M 5076M|5994B 3365B|   0   196k|   0  7.99 |3623  1573 |2.41 1.36 0.73|2.0   0 9.0|   0     0 |           | 11   29    0   31    0
Feb 20 16:34:26 ubuntu dstat.sh[59570]: 20-02 16:34:26| 46   6  47   0   0|1509M  999M  164M 5076M|  27k   23k|   0   297k|   0  34.1 |6698  8680 |2.37 1.37 0.74|4.0   0   0|   0     0 |           | 11   29    0   31    1
Feb 20 16:34:27 ubuntu dstat.sh[59570]: 20-02 16:34:27| 67  22  10   0   0|1454M 1053M  164M 5076M|7648B 4276B|   0   544k|   0  26.0 |5695  5113 |2.37 1.37 0.74|4.0   0 258|   0     0 |           | 11   28    0   28    0
Feb 20 16:34:28 ubuntu dstat.sh[59570]: 20-02 16:34:28| 69   8  22   0   0|1563M  945M  164M 5076M|  22k   20k|   0   240k|   0  17.0 |5177  5010 |2.37 1.37 0.74|4.0   0   0|   0     0 |           | 11   32    0   28    0
Feb 20 16:34:29 ubuntu dstat.sh[59570]: 20-02 16:34:29| 56  19  25   0   0|1505M 1002M  164M 5076M|  26k   22k|   0   441k|   0  38.1 |8496    12k|2.37 1.37 0.74|3.0   0 325|   0     0 |           | 11   28    0   31    0
Feb 20 16:34:30 ubuntu dstat.sh[59570]: 20-02 16:34:30| 59  10  30   0   0|1540M  967M  164M 5077M|8497B 6041B|   0   219k|   0  9.97 |3705  1608 |2.37 1.37 0.74|  0   0   0|   0     0 |           | 11   31    0   31    0
Feb 20 16:34:31 ubuntu dstat.sh[59570]: 20-02 16:34:31| 47   7  45   0   0|1467M 1041M  164M 5077M|  29k   24k|   0   272k|   0  22.0 |7436  9971 |2.43 1.40 0.75|5.0   0  30|   0     0 |           | 11   30    0   29    0
Feb 20 16:34:32 ubuntu dstat.sh[59570]: 20-02 16:34:32| 61  20  18   0   0|1485M 1022M  164M 5077M|6945B 3341B|   0   521k|   0  28.0 |4687  3402 |2.43 1.40 0.75|3.0   0 269|   0     0 |           | 11   28    0   30    0
Feb 20 16:34:33 ubuntu dstat.sh[59570]: 20-02 16:34:33| 48   5  45   0   0|1533M  974M  164M 5077M|  22k   19k|   0     0 |   0     0 |4357  5093 |2.43 1.40 0.75|2.0   0   0|   0     0 |           | 11   31    0   30    0
Feb 20 16:34:34 ubuntu dstat.sh[59570]: 20-02 16:34:34| 56  20  23   0   0|1444M 1063M  164M 5077M|  16k   11k|   0  1137k|   0  71.1 |6098  7183 |2.43 1.40 0.75|3.0   0 287|   0     0 |           | 11   28    0   33    0
Feb 20 16:34:35 ubuntu dstat.sh[59570]: 20-02 16:34:35| 53   6  39   0   0|1508M  999M  164M 5077M|  16k   13k|   0  2269k|   0  86.7 |4091  2757 |2.43 1.40 0.75|5.0   0 1.0|   0     0 |           | 11   31    0   33    0
Feb 20 16:34:36 ubuntu dstat.sh[59570]: 20-02 16:34:36| 49  15  36   0   0|1464M 1042M  164M 5078M|  18k   15k|   0   317k|   0  37.1 |7178  8774 |2.47 1.43 0.76|3.0   0 112|   0     0 |           | 11   28    0   35    0
Feb 20 16:34:37 ubuntu dstat.sh[59570]: 20-02 16:34:37| 55   7  36   0   0|1521M  986M  164M 5078M|9978B 7626B|   0  2631k|   0   153 |3607  2282 |2.47 1.43 0.76|2.0   0   0|   0     0 |           | 11   31    0   35    0
Feb 20 16:34:38 ubuntu dstat.sh[59570]: 20-02 16:34:38| 53   8  38   0   0|1505M 1001M  164M 5078M|  24k   19k|   0   352k|   0  36.0 |7242  9354 |2.47 1.43 0.76|3.0   0  72|   0     0 |           | 11   28    0   37    0
Feb 20 16:34:39 ubuntu dstat.sh[59570]: 20-02 16:34:39| 64  35   1   0   0|1484M 1023M  164M 5078M|3821B 1150B|   0   288k|   0  29.0 |5403  4950 |2.47 1.43 0.76|7.0   0 592|   0     0 |           | 11   28    0   37    0
Feb 20 16:34:40 ubuntu dstat.sh[59570]: 20-02 16:34:40| 79  21   0   0   0|1683M  823M  164M 5078M|  10k 7672B|   0  1328k|   0   139 |5626  4418 |2.47 1.43 0.76|7.0   0 348|   0     0 |           | 11   31    0   37    0
Feb 20 16:34:41 ubuntu dstat.sh[59570]: 20-02 16:34:41| 76  19   4   0   0|1703M  803M  164M 5078M|  52k   49k|   0   984k|   0  65.0 |8919    12k|2.83 1.52 0.80|6.0   0 392|   0     0 |           | 11   31    0   38    0
Feb 20 16:34:42 ubuntu dstat.sh[59570]: 20-02 16:34:42| 73  27   1   0   0|1509M  997M  164M 5078M|  13k 8729B|   0   432k|   0  40.0 |6323  6464 |2.83 1.52 0.80|5.0   0 450|   0     0 |           | 11   28    0   38    0
Feb 20 16:34:43 ubuntu dstat.sh[59570]: 20-02 16:34:43| 79   9  12   0   0|1644M  862M  164M 5078M|  17k   15k|   0   155k|   0  5.97 |4835  3074 |2.83 1.52 0.80|4.0   0   0|   0     0 |           | 11   33    0   36    0
Feb 20 16:34:44 ubuntu dstat.sh[59570]: 20-02 16:34:44| 67   8  24   0   0|1644M  862M  164M 5078M|  43k   38k|   0   935k|   0  5.02 |  10k   16k|2.83 1.52 0.80|4.0   0   0|   0     0 |           | 11   31    0   38    0
Feb 20 16:34:45 ubuntu dstat.sh[59570]: 20-02 16:34:45| 30  27  41   0   0|1451M 1054M  164M 5078M|9379B 5630B|   0    20k|   0  5.00 |6136  5673 |2.83 1.52 0.80|1.0   0 610|   0     0 |           | 11   28    0   41    0
Feb 20 16:34:46 ubuntu dstat.sh[59570]: 20-02 16:34:46| 20  32  47   0   0|1438M 1067M  164M 5078M|3932B 1028B|   0    36k|   0  9.01 |5963  4586 |2.85 1.54 0.81|4.0   0 589|   0     0 |           | 11   28    0   41    0
Feb 20 16:34:47 ubuntu dstat.sh[59570]: 20-02 16:34:47| 71  23   6   0   0|1537M  969M  164M 5078M|8209B 5603B|   0    12k|   0  3.00 |5073  3953 |2.85 1.54 0.81|3.0   0 405|   0     0 |           | 11   30    0   41    0
Feb 20 16:34:48 ubuntu dstat.sh[59570]: 20-02 16:34:48| 62   9  29   0   0|1555M  950M  164M 5079M|  26k   24k|   0   740k|   0  75.0 |6486  8402 |2.85 1.54 0.81|2.0   0  67|   0     0 |           | 11   30    0   43    0
Feb 20 16:34:49 ubuntu dstat.sh[59570]: 20-02 16:34:49| 71  19   9   0   0|1487M 1018M  164M 5079M|  10k 5923B|   0   466k|   0  47.8 |6178  6151 |2.85 1.54 0.81|5.0   0 200|   0     0 |           | 11   28    0   45    0
Feb 20 16:34:50 ubuntu dstat.sh[59570]: 20-02 16:34:50| 68   8  24   0   0|1566M  940M  164M 5079M|  24k   21k|   0   237k|   0  14.0 |5682  5479 |2.85 1.54 0.81|4.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 20 16:34:51 ubuntu dstat.sh[59570]: 20-02 16:34:51| 51   7  40   1   0|1568M  937M  164M 5079M|  43k   38k|   0   272k|   0  23.0 |  13k   21k|2.70 1.53 0.81|4.0   0   0|   0     0 |           | 11   31    0   45    0
Feb 20 16:34:52 ubuntu dstat.sh[59570]: 20-02 16:34:52| 70  17  13   0   0|1489M 1016M  164M 5079M|  19k   14k|   0   476k|   0  48.0 |7937  9921 |2.70 1.53 0.81|4.0   0 120|   0     0 |           | 11   28    0   45    0
Feb 20 16:34:53 ubuntu dstat.sh[59570]: 20-02 16:34:53| 70   9  20   0   0|1566M  939M  164M 5079M|  18k   16k|   0   283k|   0  20.9 |4834  3693 |2.70 1.53 0.81|3.0   0 2.0|   0     0 |           | 11   32    0   45    0
Feb 20 16:34:54 ubuntu dstat.sh[59570]: 20-02 16:34:54| 55   7  38   0   0|1566M  939M  164M 5079M|  43k   38k|   0   181k|   0  10.0 |  13k   20k|2.70 1.53 0.81|2.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 20 16:34:55 ubuntu dstat.sh[59570]: 20-02 16:34:55| 65  16  18   0   0|1443M 1061M  164M 5080M|  28k   22k|   0   176k|   0  10.0 |8878    12k|2.70 1.53 0.81|5.0   0 261|   0     0 |           | 11   28    0   49    0
Feb 20 16:34:56 ubuntu dstat.sh[59570]: 20-02 16:34:56| 77  10  12   0   0|1556M  948M  164M 5080M|  10k 8369B|   0  3101k|   0   127 |4521  2211 |2.72 1.56 0.82|3.0   0   0|   0     0 |           | 11   31    0   49    0
Feb 20 16:34:57 ubuntu dstat.sh[59570]: 20-02 16:34:57| 60   8  31   0   0|1533M  971M  164M 5080M|  37k   33k|   0   144k|   0  9.01 |9621    15k|2.72 1.56 0.82|5.0   0  34|   0     0 |           | 11   30    0   51    0
Feb 20 16:34:58 ubuntu dstat.sh[59570]: 20-02 16:34:58| 72  17  11   0   0|1496M 1008M  164M 5080M|  16k   13k|   0   861k|   0  70.1 |6754  7677 |2.72 1.56 0.82|3.0   0  94|   0     0 |           | 11   29    0   51    0
Feb 20 16:34:59 ubuntu dstat.sh[59570]: 20-02 16:34:59| 69  10  21   0   0|1597M  907M  164M 5080M|  20k   16k|   0   396k|   0  37.0 |5351  5031 |2.72 1.56 0.82|4.0   0  60|   0     0 |           | 11   30    0   51    0
Feb 20 16:35:00 ubuntu dstat.sh[59570]: 20-02 16:35:00| 72  12  14   0   0|1543M  961M  164M 5080M|  22k   18k|   0   228k|   0  21.0 |6213  9209 |2.72 1.56 0.82|4.0   0  61|   0     0 |           | 11   32    0   51    0
Feb 20 16:35:01 ubuntu dstat.sh[59570]: 20-02 16:35:01| 60   9  29   0   0|1524M  980M  164M 5080M|  36k   31k|   0   192k|   0  15.0 |8147    12k|2.75 1.58 0.84|4.0   0  93|   0     0 |           | 11   34    0   53    0
Feb 20 16:35:02 ubuntu dstat.sh[59570]: 20-02 16:35:02| 75  21   5   0   0|1498M 1006M  164M 5080M|9688B 6180B|   0   156k|   0  11.0 |5503  4683 |2.75 1.58 0.84|4.0   0 138|   0     0 |           | 11   32    0   55    0
Feb 20 16:35:03 ubuntu dstat.sh[59570]: 20-02 16:35:03| 63   7  28   0   0|1549M  955M  164M 5081M|  27k   24k|   0    12k|   0  1.00 |6744  6916 |2.75 1.58 0.84|3.0   0   0|   0     0 |           | 11   35    0   54    0
Feb 20 16:35:04 ubuntu dstat.sh[59570]: 20-02 16:35:04| 70  16  16   0   0|1485M 1018M  164M 5081M|  18k   14k|   0   288k|   0  29.0 |6368  8432 |2.75 1.58 0.84|4.0   0 140|   0     0 |           | 11   32    0   57    0
Feb 20 16:35:05 ubuntu dstat.sh[59570]: 20-02 16:35:05| 51  10  37   0   0|1527M  976M  164M 5081M|  14k   13k|   0   288k|   0  16.0 |4137  3224 |2.75 1.58 0.84|  0 1.0  67|   0     0 |           | 11   35    0   57    0
Feb 20 16:35:06 ubuntu dstat.sh[59570]: 20-02 16:35:06| 54  13  32   0   0|1544M  959M  164M 5081M|  13k 9259B|   0   352k|   0  35.0 |5615  6000 |2.77 1.61 0.85|3.0   0 120|   0     0 |           | 11   32    0   60    0
Feb 20 16:35:07 ubuntu dstat.sh[59570]: 20-02 16:35:07| 57  15  26   0   0|1551M  952M  164M 5081M|  13k   10k|   0   308k|   0  44.0 |5119    12k|2.77 1.61 0.85|3.0   0 132|   0     0 |           | 11   34    0   61    0
Feb 20 16:35:08 ubuntu dstat.sh[59570]: 20-02 16:35:08| 51  10  39   0   0|1461M 1042M  164M 5081M|  21k   18k|   0   200k|   0  14.0 |5777  7476 |2.77 1.61 0.85|2.0   0  86|   0     0 |           | 11   33    0   61    0
Feb 20 16:35:09 ubuntu dstat.sh[59570]: 20-02 16:35:09| 52  11  37   0   0|1528M  975M  164M 5081M|9001B 6101B|   0   232k|   0  17.0 |4331  3808 |2.77 1.61 0.85|1.0   0  86|   0     0 |           | 11   33    0   62    0
Feb 20 16:35:10 ubuntu dstat.sh[59570]: 20-02 16:35:10| 32   4  62   0   0|1528M  975M  164M 5081M|  21k   18k|   0   200k|   0  8.99 |5338  6888 |2.77 1.61 0.85|1.0   0 6.0|   0     0 |           | 11   34    0   62    0
Feb 20 16:35:11 ubuntu dstat.sh[59570]: 20-02 16:35:11| 35  13  52   0   0|1423M 1080M  164M 5081M|7795B 4012B|   0   304k|   0  33.0 |4758  4265 |2.71 1.61 0.85|2.0   0 135|   0     0 |           | 11   32    0   64    0
Feb 20 16:35:12 ubuntu dstat.sh[59570]: 20-02 16:35:12| 36   5  57   0   0|1476M 1027M  164M 5081M|  13k   10k|   0   148k|   0  9.00 |3057  2163 |2.71 1.61 0.85|2.0   0   0|   0     0 |           | 11   34    0   57    0
Feb 20 16:35:13 ubuntu dstat.sh[59570]: 20-02 16:35:13| 36   9  55   0   0|1422M 1080M  164M 5081M|  12k 8442B|   0   236k|   0  18.0 |5639  6348 |2.71 1.61 0.85|2.0   0  92|   0     0 |           | 11   32    0   59    0
