Apr 01 18:24:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 01 18:25:00 ubuntu dstat.sh[65024]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 01 18:25:00 ubuntu dstat.sh[65024]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 01 18:25:14 ubuntu dstat.sh[65024]: 01-04 18:25:14| 37   6  56   0   0|1257M  986M  170M 5321M|4167B 1243B|   0  4100B|   0  1.00 |2938  1620 |1.48 1.01 0.56|2.0   0  66|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:15 ubuntu dstat.sh[65024]: 01-04 18:25:15|  9  19  70   0   0|1228M 1015M  170M 5321M|4482B 1565B|   0  4092B|   0  1.00 |5134  3577 |1.48 1.01 0.56|2.0   0 301|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:16 ubuntu dstat.sh[65024]: 01-04 18:25:16|  9  23  67   0   0|1157M 1086M  170M 5321M|4886B 1623B|   0  9998k|   0  54.1 |5391  3703 |1.52 1.03 0.57|2.0   0 289|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:17 ubuntu dstat.sh[65024]: 01-04 18:25:17| 16  22  60   0   0|1116M 1126M  170M 5322M|5062B 1509B|   0    24k|   0  5.99 |6099  6333 |1.52 1.03 0.57|1.0   0 336|   0     0 |           | 11    4    0   19    0
Apr 01 18:25:18 ubuntu dstat.sh[65024]: 01-04 18:25:18| 39  13  48   0   0|1203M 1040M  170M 5322M|4174B 1028B|   0   485k|   0  3.01 |3871  2690 |1.52 1.03 0.57|2.0   0 131|   0     0 |           | 11    5    0   19    0
Apr 01 18:25:19 ubuntu dstat.sh[65024]: 01-04 18:25:19| 48   3  49   0   0|1248M  995M  170M 5322M|4957B 1619B|   0   248k|   0  22.0 |2783  1273 |1.52 1.03 0.57|2.0   0   0|   0     0 |           | 11    5    0   15    0
Apr 01 18:25:20 ubuntu dstat.sh[65024]: 01-04 18:25:20| 43   9  46   0   0|1271M  969M  170M 5325M|5056B 1457B|   0  1571k|   0  82.0 |4526  5418 |1.52 1.03 0.57|1.0   0  30|   0     0 |           | 11    4    0   16    0
Apr 01 18:25:21 ubuntu dstat.sh[65024]: 01-04 18:25:21|  3   9  87   0   0|1275M  965M  170M 5325M|5479B 1621B|   0    16M|   0   176 |2561  2069 |1.64 1.06 0.58|  0   0  88|   0     0 |           | 11    4    0   16    0
Apr 01 18:25:22 ubuntu dstat.sh[65024]: 01-04 18:25:22| 18   6  75   0   0|1294M  946M  170M 5325M|4642B 1459B|   0     0 |   0     0 |2047  1601 |1.64 1.06 0.58|1.0   0  23|   0     0 |           | 11    4    0   16    0
Apr 01 18:25:23 ubuntu dstat.sh[65024]: 01-04 18:25:23| 22   3  73   0   0|1329M  911M  170M 5325M|4860B 1713B|   0  1663k|   0  5.00 |1760  1250 |1.64 1.06 0.58|1.0   0   0|   0     0 |           | 11    4    0   14    0
Apr 01 18:25:24 ubuntu dstat.sh[65024]: 01-04 18:25:24| 23   4  71   2   0|1346M  894M  170M 5325M|4644B 1460B|   0  2591k|   0   256 |3491  4412 |1.64 1.06 0.58|2.0   0 1.0|   0     0 |           | 11   10    0   14    0
Apr 01 18:25:25 ubuntu dstat.sh[65024]: 01-04 18:25:25| 20   6  72   0   0|1276M  964M  170M 5325M|5444B 1615B|   0   179k|   0  25.9 |2638  2045 |1.64 1.06 0.58|1.0   0  42|   0     0 |           | 11    4    0   16    0
Apr 01 18:25:26 ubuntu dstat.sh[65024]: 01-04 18:25:26| 19   3  77   0   0|1317M  922M  170M 5325M|5314B 2073B| 144k    0 |7.01     0 |1589  1014 |1.83 1.11 0.60|  0   0   0|   0     0 |           | 11    5    0   16    0
Apr 01 18:25:27 ubuntu dstat.sh[65024]: 01-04 18:25:27| 14   5  80   0   0|1313M  927M  170M 5325M|8873B 5084B|   0    41M|   0   626 |3180  3622 |1.83 1.11 0.60|1.0   0 7.0|   0     0 |           | 11   17    0   16    0
Apr 01 18:25:28 ubuntu dstat.sh[65024]: 01-04 18:25:28| 12   2  83   1   0|1321M  918M  170M 5325M|7464B 4978B| 268k 1402k|66.1  80.1 |1839  1852 |1.83 1.11 0.60|  0   0 3.0|   0     0 |           | 11   31    0   16    0
Apr 01 18:25:29 ubuntu dstat.sh[65024]: 01-04 18:25:29| 18   6  75   0   0|1340M  899M  170M 5325M|5852B 2519B|   0  2376k|   0  24.0 |2323  1767 |1.83 1.11 0.60|1.0   0  43|   0     0 |           | 11   30    0   17    0
Apr 01 18:25:30 ubuntu dstat.sh[65024]: 01-04 18:25:30|  9   2  88   0   0|1361M  878M  170M 5325M|5928B 3586B|   0    48k|   0  4.00 |1157  1032 |1.83 1.11 0.60|  0   0   0|   0     0 |           | 11   31    0   17    0
Apr 01 18:25:31 ubuntu dstat.sh[65024]: 01-04 18:25:31| 10   2  87   0   0|1356M  883M  170M 5325M|9120B 6418B|   0   428k|   0  2.00 |1569  1543 |1.76 1.11 0.60|  0   0   0|   0     0 |           | 11   31    0   16    0
Apr 01 18:25:32 ubuntu dstat.sh[65024]: 01-04 18:25:32| 26  14  58   0   0|1400M  839M  170M 5325M|5998B 1817B|   0   236k|   0  8.00 |3777  2373 |1.76 1.11 0.60|2.0   0 157|   0     0 |           | 11   30    0   17    0
Apr 01 18:25:33 ubuntu dstat.sh[65024]: 01-04 18:25:33| 29   6  65   0   0|1445M  794M  170M 5325M|8140B 5553B|   0     0 |   0     0 |2685    13k|1.76 1.11 0.60|  0   0  36|   0     0 |           | 11   32    0   18    0
Apr 01 18:25:34 ubuntu dstat.sh[65024]: 01-04 18:25:34| 18   3  78   0   0|1444M  795M  170M 5325M|  11k 7921B|   0   164k|   0  9.00 |2656  2912 |1.76 1.11 0.60|  0   0   0|   0     0 |           | 11   32    0   18    0
Apr 01 18:25:35 ubuntu dstat.sh[65024]: 01-04 18:25:35| 24   4  71   0   0|1375M  864M  170M 5326M|  15k 9160B|   0   332k|   0  36.0 |5243  7111 |1.76 1.11 0.60|2.0   0 9.0|   0     0 |           | 11   30    1   17    0
Apr 01 18:25:36 ubuntu dstat.sh[65024]: 01-04 18:25:36| 61  31   8   0   0|1475M  764M  170M 5326M|5124B  648B|   0   288k|   0  24.0 |5782  4880 |1.94 1.16 0.62|6.0   0 569|   0     0 |           | 11   30    0   17    0
Apr 01 18:25:37 ubuntu dstat.sh[65024]: 01-04 18:25:37| 76  13  11   0   0|1696M  543M  170M 5326M|  12k 9454B|   0    79M|   0   424 |5139  2738 |1.94 1.16 0.62|2.0   0   0|   0     0 |           | 11   34    0   17    0
Apr 01 18:25:38 ubuntu dstat.sh[65024]: 01-04 18:25:38| 68   9  23   0   0|1721M  517M  170M 5326M|  33k   30k|   0   619k|   0  47.9 |7209    10k|1.94 1.16 0.62|2.0   0   0|   0     0 |           | 11   35    0   18    0
Apr 01 18:25:39 ubuntu dstat.sh[65024]: 01-04 18:25:39| 50  17  32   1   0|1509M  729M  170M 5326M|  16k   10k|   0   640k|   0  57.0 |6500  8337 |1.94 1.16 0.62|4.0   0 310|   0     0 |           | 11   30    0   23    0
Apr 01 18:25:40 ubuntu dstat.sh[65024]: 01-04 18:25:40| 19   3  78   0   0|1500M  738M  170M 5326M|6266B 3677B|   0   172k|   0  10.0 |1683  1200 |1.94 1.16 0.62|3.0   0   0|   0     0 |           | 11   31    0   23    0
Apr 01 18:25:41 ubuntu dstat.sh[65024]: 01-04 18:25:41| 18   4  78   0   0|1454M  784M  170M 5326M|  10k 6417B|   0   920k|   0  71.0 |3290  3768 |1.87 1.16 0.62|1.0   0  20|   0     0 |           | 11   30    0   24    0
Apr 01 18:25:42 ubuntu dstat.sh[65024]: 01-04 18:25:42| 20   6  73   0   0|1475M  763M  170M 5326M|4521B 1459B|   0  7165k|   0  52.0 |2413  1768 |1.87 1.16 0.62|1.0   0  49|   0     0 |           | 11   30    0   24    0
Apr 01 18:25:43 ubuntu dstat.sh[65024]: 01-04 18:25:43| 14   2  82   0   0|1460M  778M  170M 5326M|  11k 8506B|   0   327k|   0  14.0 |2702  3108 |1.87 1.16 0.62|1.0   0   0|   0     0 |           | 11   30    0   24    1
Apr 01 18:25:44 ubuntu dstat.sh[65024]: 01-04 18:25:44| 12  19  69   0   0|1370M  868M  170M 5326M|4656B 1568B|   0   208k|   0  11.0 |5608  4534 |1.87 1.16 0.62|1.0   0 495|   0     0 |           | 11   30    0   25    0
Apr 01 18:25:45 ubuntu dstat.sh[65024]: 01-04 18:25:45| 65  26   9   0   0|1486M  752M  170M 5326M|4682B 1621B|   0   232k|   0  21.0 |5784  4395 |1.87 1.16 0.62|6.0   0 544|   0     0 |           | 11   30    0   25    0
Apr 01 18:25:46 ubuntu dstat.sh[65024]: 01-04 18:25:46| 76  10  13   0   0|1629M  609M  170M 5326M|  24k   20k|   0   580k|   0  34.0 |5100  3748 |2.12 1.22 0.65|4.0   0   0|   0     0 |           | 11   35    0   25    0
Apr 01 18:25:47 ubuntu dstat.sh[65024]: 01-04 18:25:47| 73   8  18   0   0|1543M  695M  170M 5327M|  36k   31k|   0  2360k|   0   210 |9945    15k|2.12 1.22 0.65|5.0   0  68|   0     0 |           | 11   30    0   26    0
Apr 01 18:25:48 ubuntu dstat.sh[65024]: 01-04 18:25:48| 78  22   0   0   0|1544M  694M  170M 5327M|4560B 1662B|   0   328k|   0  16.0 |5256  3699 |2.12 1.22 0.65|6.0   0 242|   0     0 |           | 11   30    0   25    0
Apr 01 18:25:49 ubuntu dstat.sh[65024]: 01-04 18:25:49| 85  11   4   0   0|1704M  534M  170M 5327M|  23k   20k|   0   144k|   0  7.98 |5607  4472 |2.12 1.22 0.65|6.0   0   0|   0     0 |           | 11   35    0   25    0
Apr 01 18:25:50 ubuntu dstat.sh[65024]: 01-04 18:25:50| 74   9  16   0   0|1716M  521M  170M 5327M|  45k   40k|   0   124k|   0  7.99 |9088    15k|2.12 1.22 0.65|5.0   0  50|   0     0 |           | 11   33    0   27    1
Apr 01 18:25:51 ubuntu dstat.sh[65024]: 01-04 18:25:51| 54  15  31   0   0|1496M  741M  170M 5327M|  10k 5767B|   0   489k|   0  33.0 |5312  5291 |2.43 1.30 0.68|2.0   0 248|   0     0 |           | 11   30    0   30    0
Apr 01 18:25:52 ubuntu dstat.sh[65024]: 01-04 18:25:52| 36   5  58   0   0|1523M  715M  170M 5327M|  13k 9638B|   0  1536k|   0   126 |3228  2285 |2.43 1.30 0.68|2.0   0 1.0|   0     0 |           | 11   32    0   26    0
Apr 01 18:25:53 ubuntu dstat.sh[65024]: 01-04 18:25:53| 33  17  50   0   0|1440M  797M  170M 5327M|  15k   12k|   0   465k|   0  40.1 |6561  7644 |2.43 1.30 0.68|4.0   0 363|   0     0 |           | 11   30    0   28    0
Apr 01 18:25:54 ubuntu dstat.sh[65024]: 01-04 18:25:54| 62  10  28   1   0|1556M  681M  170M 5327M|6114B 3589B|   0  3243k|   0   199 |4192  2750 |2.43 1.30 0.68|2.0   0  16|   0     0 |           | 11   31    0   28    0
Apr 01 18:25:55 ubuntu dstat.sh[65024]: 01-04 18:25:55| 42   5  51   0   0|1550M  687M  170M 5327M|  29k   25k|   0   328k|   0  34.0 |7025  9668 |2.43 1.30 0.68|3.0   0   0|   0     0 |           | 11   32    0   29    0
Apr 01 18:25:56 ubuntu dstat.sh[65024]: 01-04 18:25:56| 72  20   9   0   0|1502M  735M  170M 5327M|7566B 3554B|   0   316k|   0  24.0 |5427  3983 |2.47 1.33 0.69|4.0   0 258|   0     0 |           | 11   30    0   26    0
Apr 01 18:25:57 ubuntu dstat.sh[65024]: 01-04 18:25:57| 68   7  23   0   0|1564M  673M  170M 5327M|  24k   21k|   0   144k|   0  7.99 |5104  4571 |2.47 1.33 0.69|5.0   0   0|   0     0 |           | 11   34    0   26    0
Apr 01 18:25:58 ubuntu dstat.sh[65024]: 01-04 18:25:58| 58  17  23   0   0|1483M  753M  170M 5327M|  25k   21k|   0  4564k|   0   334 |8497    12k|2.47 1.33 0.69|3.0   0 324|   0     0 |           | 11   30    0   29    0
Apr 01 18:25:59 ubuntu dstat.sh[65024]: 01-04 18:25:59| 58   8  33   0   0|1543M  693M  170M 5327M|8946B 7490B|   0     0 |   0     0 |3541  1481 |2.47 1.33 0.69|1.0   0   0|   0     0 |           | 11   33    0   29    0
Apr 01 18:26:00 ubuntu dstat.sh[65024]: 01-04 18:26:00| 48   5  46   1   0|1537M  700M  170M 5328M|  28k   23k|   0  1144k|   0  77.2 |7828    11k|2.47 1.33 0.69|5.0   0   0|   0     0 |           | 11   30    0   31    0
Apr 01 18:26:01 ubuntu dstat.sh[65024]: 01-04 18:26:01| 62  18  19   0   0|1500M  736M  170M 5328M|4688B 1617B|   0    88k|   0  7.98 |4379  2883 |2.52 1.36 0.70|3.0   0 298|   0     0 |           | 11   30    0   31    0
Apr 01 18:26:02 ubuntu dstat.sh[65024]: 01-04 18:26:02| 47   5  47   0   0|1549M  687M  170M 5328M|  22k   20k|   0  2688k|   0  95.1 |4644  5261 |2.52 1.36 0.70|  0   0 1.0|   0     0 |           | 11   33    0   31    0
Apr 01 18:26:03 ubuntu dstat.sh[65024]: 01-04 18:26:03| 56  17  27   0   0|1429M  807M  170M 5328M|  15k   11k|   0   460k|   0  29.0 |6724  7462 |2.52 1.36 0.70|3.0   0 287|   0     0 |           | 11   30    0   34    0
Apr 01 18:26:04 ubuntu dstat.sh[65024]: 01-04 18:26:04| 54   7  39   0   0|1502M  734M  170M 5328M|  16k   13k|   0   112k|   0  8.01 |3949  2759 |2.52 1.36 0.70|3.0   0   0|   0     0 |           | 11   33    0   34    0
Apr 01 18:26:05 ubuntu dstat.sh[65024]: 01-04 18:26:05| 52  10  37   0   0|1439M  797M  170M 5328M|  19k   15k|   0   432k|   0  40.0 |6971  8712 |2.52 1.36 0.70|3.0   0 112|   0     0 |           | 11   30    0   36    0
Apr 01 18:26:06 ubuntu dstat.sh[65024]: 01-04 18:26:06| 58   9  33   0   0|1542M  694M  170M 5328M|  10k 7831B|   0   156k|   0  6.99 |3519  1593 |2.56 1.38 0.71|  0   0   0|   0     0 |           | 11   33    0   36    0
Apr 01 18:26:07 ubuntu dstat.sh[65024]: 01-04 18:26:07| 51   5  42   1   0|1507M  728M  170M 5328M|  25k   21k|   0  1121k|   0  84.1 |7365  9626 |2.56 1.38 0.71|3.0   0  10|   0     0 |           | 11   30    0   38    0
Apr 01 18:26:08 ubuntu dstat.sh[65024]: 01-04 18:26:08| 69  28   3   0   0|1513M  722M  170M 5328M|4360B 1649B|   0    80k|   0  17.0 |5831  5060 |2.56 1.38 0.71|8.0   0 615|   0     0 |           | 11   30    0   36    0
Apr 01 18:26:09 ubuntu dstat.sh[65024]: 01-04 18:26:09| 80  20   0   0   0|1679M  556M  170M 5329M|  14k   12k|   0     0 |   0     0 |5981  5028 |2.56 1.38 0.71|8.0   0 365|   0     0 |           | 11   33    0   36    0
Apr 01 18:26:10 ubuntu dstat.sh[65024]: 01-04 18:26:10| 78  18   3   0   0|1728M  507M  170M 5329M|  43k   39k|   0   507k|   0  32.2 |8301    10k|2.56 1.38 0.71|8.0   0 398|   0     0 |           | 11   33    0   37    0
Apr 01 18:26:11 ubuntu dstat.sh[65024]: 01-04 18:26:11| 73  24   2   0   0|1612M  623M  170M 5329M|  19k   16k|   0   616k|   0  51.0 |7102  7465 |2.83 1.46 0.74|5.0   0 461|   0     0 |           | 11   30    0   37    0
Apr 01 18:26:12 ubuntu dstat.sh[65024]: 01-04 18:26:12| 83  13   4   0   0|1627M  608M  170M 5329M|  19k   15k|   0   136k|   0  9.99 |5647  4375 |2.83 1.46 0.74|5.0   0 6.0|   0     0 |           | 11   33    0   37    0
Apr 01 18:26:13 ubuntu dstat.sh[65024]: 01-04 18:26:13| 69  12  18   0   0|1611M  624M  170M 5329M|  39k   35k|   0   296k|   0  10.0 |8421    14k|2.83 1.46 0.74|6.0   0 177|   0     0 |           | 11   32    0   40    0
Apr 01 18:26:14 ubuntu dstat.sh[65024]: 01-04 18:26:14| 24  21  53   0   0|1358M  877M  170M 5329M|  13k 9556B|   0   176k|   0  12.0 |6513  6667 |2.83 1.46 0.74|1.0   0 409|   0     0 |           | 11   30    0   42    0
Apr 01 18:26:15 ubuntu dstat.sh[65024]: 01-04 18:26:15| 17  32  50   0   0|1366M  868M  170M 5329M|5283B 1624B|   0   192k|   0  17.0 |6042  4789 |2.83 1.46 0.74|4.0   0 612|   0     0 |           | 11   30    0   42    0
Apr 01 18:26:16 ubuntu dstat.sh[65024]: 01-04 18:26:16| 70  24   5   0   0|1536M  699M  170M 5329M|9437B 5296B|   0   344k|   0  26.0 |5101  3971 |3.01 1.52 0.77|4.0   0 404|   0     0 |           | 11   31    0   42    0
Apr 01 18:26:17 ubuntu dstat.sh[65024]: 01-04 18:26:17| 60   9  31   0   0|1568M  667M  171M 5330M|  28k   25k|   0   741k|   0  52.0 |5852  7668 |3.01 1.52 0.77|2.0   0  27|   0     0 |           | 11   33    0   43    0
Apr 01 18:26:18 ubuntu dstat.sh[65024]: 01-04 18:26:18| 71  20   9   0   0|1530M  705M  171M 5330M|  12k 6682B|   0  2777k|   0   140 |6774  6400 |3.01 1.52 0.77|4.0   0 241|   0     0 |           | 11   30    0   46    0
Apr 01 18:26:19 ubuntu dstat.sh[65024]: 01-04 18:26:19| 67   8  25   0   0|1576M  659M  171M 5330M|  25k   22k|   0   152k|   0  8.98 |5023  5325 |3.01 1.52 0.77|4.0   0 1.0|   0     0 |           | 11   34    0   46    0
Apr 01 18:26:20 ubuntu dstat.sh[65024]: 01-04 18:26:20| 51   6  41   0   0|1575M  659M  171M 5330M|  45k   39k|   0   207k|   0  16.0 |  13k   21k|3.01 1.52 0.77|5.0   0   0|   0     0 |           | 11   33    0   46    0
Apr 01 18:26:21 ubuntu dstat.sh[65024]: 01-04 18:26:21| 71  14  14   0   0|1456M  778M  171M 5330M|  21k   16k|   0   398k|   0  44.2 |8259    10k|3.01 1.54 0.78|4.0   0 121|   0     0 |           | 11   30    0   46    0
Apr 01 18:26:22 ubuntu dstat.sh[65024]: 01-04 18:26:22| 73  10  18   0   0|1579M  655M  171M 5330M|  19k   16k|   0   144k|   0  9.01 |4949  3597 |3.01 1.54 0.78|2.0   0 1.0|   0     0 |           | 11   34    0   46    0
Apr 01 18:26:23 ubuntu dstat.sh[65024]: 01-04 18:26:23| 52   8  38   0   0|1579M  655M  171M 5330M|  42k   36k|   0   180k|   0  9.98 |  11k   18k|3.01 1.54 0.78|2.0   0 2.0|   0     0 |           | 11   34    0   46    0
Apr 01 18:26:24 ubuntu dstat.sh[65024]: 01-04 18:26:24| 63  14  23   0   0|1513M  720M  171M 5330M|  31k   26k|   0   140k|   0  9.01 |9013    13k|3.01 1.54 0.78|4.0   0 205|   0     0 |           | 11   30    0   49    0
Apr 01 18:26:25 ubuntu dstat.sh[65024]: 01-04 18:26:25| 77  13   9   0   0|1545M  689M  171M 5331M|  11k 8973B|   0   120k|   0  8.00 |4658  2457 |3.01 1.54 0.78|3.0   0  55|   0     0 |           | 11   33    0   49    0
Apr 01 18:26:26 ubuntu dstat.sh[65024]: 01-04 18:26:26| 58   7  33   0   0|1556M  677M  171M 5331M|  34k   30k|   0   344k|   0  20.0 |8722    13k|2.92 1.55 0.79|2.0   0   0|   0     0 |           | 11   33    0   50    0
Apr 01 18:26:27 ubuntu dstat.sh[65024]: 01-04 18:26:27| 72  15  14   0   0|1514M  719M  171M 5331M|  22k   17k|   0   397k|   0  45.1 |7673    10k|2.92 1.55 0.79|4.0   0 105|   0     0 |           | 11   32    0   51    0
Apr 01 18:26:28 ubuntu dstat.sh[65024]: 01-04 18:26:28| 71  10  18   0   0|1567M  666M  171M 5331M|  14k   12k|   0   560k|   0  75.0 |5082  4118 |2.92 1.55 0.79|2.0   0  31|   0     0 |           | 11   36    0   50    0
Apr 01 18:26:29 ubuntu dstat.sh[65024]: 01-04 18:26:29| 65  15  19   0   0|1529M  704M  171M 5331M|  24k   19k|   0   275k|   0  21.9 |7568  9413 |2.92 1.55 0.79|4.0   0 119|   0     0 |           | 11   36    0   51    0
Apr 01 18:26:30 ubuntu dstat.sh[65024]: 01-04 18:26:30| 65   7  27   0   0|1555M  678M  171M 5331M|  34k   30k|   0   145k|   0  9.03 |7691    11k|2.92 1.55 0.79|5.0   0  17|   0     0 |           | 11   36    0   53    0
Apr 01 18:26:31 ubuntu dstat.sh[65024]: 01-04 18:26:31| 71  17  11   0   0|1504M  729M  171M 5331M|  15k   11k|   0   116k|   0  8.02 |5926  7129 |3.01 1.59 0.80|4.0   0 210|   0     0 |           | 11   34    0   55    0
Apr 01 18:26:32 ubuntu dstat.sh[65024]: 01-04 18:26:32| 71   9  19   0   0|1575M  658M  171M 5331M|  20k   16k|   0   132k|   0  9.00 |5269  4659 |3.01 1.59 0.80|5.0   0 1.0|   0     0 |           | 11   36    0   56    0
Apr 01 18:26:33 ubuntu dstat.sh[65024]: 01-04 18:26:33| 66  14  18   0   0|1611M  622M  171M 5331M|  24k   20k|   0  1509k|   0  10.9 |7135    18k|3.01 1.59 0.80|3.0   0 104|   0     0 |           | 11   36    0   56    0
Apr 01 18:26:34 ubuntu dstat.sh[65024]: 01-04 18:26:34| 62  13  26   0   0|1568M  664M  171M 5332M|  18k   14k|   0  3914k|   0   205 |5415  5354 |3.01 1.59 0.80|3.0   0 139|   0     0 |           | 11   36    0   58    0
Apr 01 18:26:35 ubuntu dstat.sh[65024]: 01-04 18:26:35| 47  13  39   0   0|1523M  710M  171M 5332M|  14k 9644B|   0   344k|   0  33.0 |5032  4450 |3.01 1.59 0.80|3.0   0 120|   0     0 |           | 11   35    0   60    0
Apr 01 18:26:36 ubuntu dstat.sh[65024]: 01-04 18:26:36| 47   6  47   0   0|1563M  669M  171M 5332M|  13k 8497B|   0   240k|   0  18.0 |3389  3226 |3.01 1.62 0.81|2.0   0   0|   0     0 |           | 11   36    0   61    0
Apr 01 18:26:37 ubuntu dstat.sh[65024]: 01-04 18:26:37| 36  12  51   0   0|1501M  731M  171M 5332M|  17k   12k|   0   196k|   0  10.0 |4288  4054 |3.01 1.62 0.81|3.0   0  96|   0     0 |           | 11   36    0   59    0
Apr 01 18:26:38 ubuntu dstat.sh[65024]: 01-04 18:26:38| 35   8  55   0   0|1482M  750M  171M 5332M|  18k   13k|   0   140k|   0  8.00 |4967  5864 |3.01 1.62 0.81|4.0   0  78|   0     0 |           | 11   35    0   61    0
Apr 01 18:26:39 ubuntu dstat.sh[65024]: 01-04 18:26:39| 50   9  41   0   0|1590M  642M  171M 5332M|9825B 6409B|   0   212k|   0  15.0 |4029  3362 |3.01 1.62 0.81|2.0   0 8.0|   0     0 |           | 11   35    2   61    0
Apr 01 18:26:40 ubuntu dstat.sh[65024]: 01-04 18:26:40| 25   6  67   0   0|1496M  736M  171M 5332M|  15k   13k|   0   212k|   0  9.99 |3771  3759 |3.01 1.62 0.81|3.0   0  86|   0     0 |           | 11   36    0   62    0
Apr 01 18:26:41 ubuntu dstat.sh[65024]: 01-04 18:26:41| 17   2  79   0   0|1485M  747M  171M 5332M|  15k   11k|   0   140k|   0  9.99 |4220  5858 |2.85 1.61 0.82|  0   0   0|   0     0 |           | 11   36    0   56    0
