Mar 24 15:00:51 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 24 15:00:51 ubuntu dstat.sh[65379]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 24 15:00:51 ubuntu dstat.sh[65379]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 24 15:01:14 ubuntu dstat.sh[65379]: 24-03 15:01:14| 20   6  70   1   0|1309M  943M  169M 5316M|4652B 1349B|   0  3941k|   0   311 |3908  4860 |1.43 0.95 0.52|1.0   0  43|   0     0 |           | 11    4    0   15    0
Mar 24 15:01:15 ubuntu dstat.sh[65379]: 24-03 15:01:15| 27   6  67   0   0|1342M  909M  169M 5316M|7147B 2840B| 144k  505k|7.01  9.02 |3312    12k|1.43 0.95 0.52|2.0   0  36|   0     0 |           | 11    5    0   16    0
Mar 24 15:01:16 ubuntu dstat.sh[65379]: 24-03 15:01:16| 18   3  77   0   0|1343M  907M  169M 5316M|7930B 4386B| 268k  735k|65.9  28.0 |2528  2593 |1.43 0.95 0.52|1.0   0 2.0|   0     0 |           | 11   27    0   16    0
Mar 24 15:01:17 ubuntu dstat.sh[65379]: 24-03 15:01:17| 19   6  75   0   0|1341M  910M  169M 5316M|8050B 4677B|   0  1574k|   0  76.9 |2652  2129 |1.43 0.95 0.52|2.0   0  44|   0     0 |           | 11   28    0   16    0
Mar 24 15:01:18 ubuntu dstat.sh[65379]: 24-03 15:01:18| 18   3  78   0   0|1349M  902M  169M 5316M|8889B 5776B|   0    11M|   0  82.1 |1796  1471 |1.39 0.95 0.53|1.0   0   0|   0     0 |           | 11   29    0   16    0
Mar 24 15:01:19 ubuntu dstat.sh[65379]: 24-03 15:01:19| 25   9  66   0   0|1340M  910M  169M 5316M|8465B 4352B|   0    12k|   0  3.00 |3410  2745 |1.39 0.95 0.53|2.0   0 156|   0     0 |           | 11   28    0   17    0
Mar 24 15:01:20 ubuntu dstat.sh[65379]: 24-03 15:01:20| 36   5  58   0   0|1407M  844M  169M 5316M|  13k 9441B|   0  2300k|   0  15.0 |3099  2366 |1.39 0.95 0.53|2.0   0   0|   0     0 |           | 11   30    0   17    0
Mar 24 15:01:21 ubuntu dstat.sh[65379]: 24-03 15:01:21| 34   6  58   0   0|1394M  857M  169M 5317M|  16k   12k|   0   212k|   0  22.0 |6075  7597 |1.39 0.95 0.53|2.0   0  69|   0     0 |           | 11   28    0   17    0
Mar 24 15:01:22 ubuntu dstat.sh[65379]: 24-03 15:01:22| 71  26   3   0   0|1510M  741M  169M 5317M|4307B 1630B|   0   204k|   0  18.0 |5460  4444 |1.39 0.95 0.53|6.0   0 508|   0     0 |           | 11   28    0   17    0
Mar 24 15:01:23 ubuntu dstat.sh[65379]: 24-03 15:01:23| 83  12   4   0   0|1705M  545M  169M 5317M|  18k   16k|   0    19M|   0   111 |5446  3659 |1.76 1.04 0.56|4.0   0   0|   0     0 |           | 11   33    1   17    0
Mar 24 15:01:24 ubuntu dstat.sh[65379]: 24-03 15:01:24| 75  11  13   0   0|1619M  631M  169M 5317M|  35k   30k|   0  1191k|   0  74.9 |9253    14k|1.76 1.04 0.56|5.0   0 140|   0     0 |           | 11   29    0   22    0
Mar 24 15:01:25 ubuntu dstat.sh[65379]: 24-03 15:01:25| 27   9  63   0   0|1524M  726M  169M 5317M|5870B 2525B|   0   463k|   0  12.0 |3139  2624 |1.76 1.04 0.56|1.0   0 171|   0     0 |           | 11   28    0   22    0
Mar 24 15:01:26 ubuntu dstat.sh[65379]: 24-03 15:01:26| 14   2  83   0   0|1501M  749M  169M 5317M|9926B 7319B|   0   176k|   0  8.02 |2267  2682 |1.76 1.04 0.56|1.0   0   0|   0     0 |           | 11   29    0   22    0
Mar 24 15:01:27 ubuntu dstat.sh[65379]: 24-03 15:01:27| 19   7  73   0   0|1458M  791M  169M 5317M|5512B 2311B|   0  2021k|   0   122 |2921  2535 |1.76 1.04 0.56|4.0   0  68|   0     0 |           | 11   28    0   23    0
Mar 24 15:01:28 ubuntu dstat.sh[65379]: 24-03 15:01:28| 16   3  79   0   0|1463M  787M  169M 5317M|9969B 7366B|   0    25M|   0   229 |2644  2718 |1.70 1.03 0.56|1.0   0   0|   0     0 |           | 11   29    0   23    0
Mar 24 15:01:29 ubuntu dstat.sh[65379]: 24-03 15:01:29| 11  15  72   0   0|1419M  831M  169M 5317M|7837B 2810B|   0  1331k|   0  54.1 |5026  4611 |1.70 1.03 0.56|2.0   0 364|   0     0 |           | 11   28    0   24    0
Mar 24 15:01:30 ubuntu dstat.sh[65379]: 24-03 15:01:30| 44  29  26   0   0|1412M  838M  169M 5317M|5315B 1458B|   0   148k|   0  19.0 |6138  5149 |1.70 1.03 0.56|5.0   0 675|   0     0 |           | 11   28    0   24    0
Mar 24 15:01:31 ubuntu dstat.sh[65379]: 24-03 15:01:31| 81  11   8   0   0|1634M  616M  169M 5317M|  21k   15k|   0   168k|   0  11.0 |5236  3241 |1.70 1.03 0.56|5.0   0   0|   0     0 |           | 11   33    0   24    0
Mar 24 15:01:32 ubuntu dstat.sh[65379]: 24-03 15:01:32| 70   7  23   0   0|1609M  641M  169M 5317M|  41k   36k|   0   380k|   0  53.0 |9447    15k|1.70 1.03 0.56|4.0   0  26|   0     0 |           | 11   29    0   25    0
Mar 24 15:01:33 ubuntu dstat.sh[65379]: 24-03 15:01:33| 77  23   0   0   0|1563M  686M  169M 5317M|6265B 1989B|   0    62M|   0   390 |6177  5401 |2.05 1.12 0.59|6.0   0 284|   0     0 |           | 11   28    0   25    0
Mar 24 15:01:34 ubuntu dstat.sh[65379]: 24-03 15:01:34| 85  11   4   0   0|1726M  524M  169M 5318M|  21k   18k|   0  1326k|   0  9.99 |5365  3597 |2.05 1.12 0.59|5.0   0 1.0|   0     0 |           | 11   34    0   25    0
Mar 24 15:01:35 ubuntu dstat.sh[65379]: 24-03 15:01:35| 74  11  13   0   0|1695M  554M  169M 5318M|  50k   44k|   0   877k|   0  52.1 |  10k   18k|2.05 1.12 0.59| 10   0  90|   0     0 |           | 11   31    0   28    0
Mar 24 15:01:36 ubuntu dstat.sh[65379]: 24-03 15:01:36| 51  14  34   0   0|1547M  702M  169M 5318M|9917B 4995B|   0   587k|   0  24.0 |4813  4400 |2.05 1.12 0.59|2.0   0 208|   0     0 |           | 11   28    0   30    0
Mar 24 15:01:37 ubuntu dstat.sh[65379]: 24-03 15:01:37| 33   4  61   0   0|1540M  709M  169M 5318M|  16k   12k|   0   148k|   0  6.00 |3473  3333 |2.05 1.12 0.59|2.0   0   0|   0     0 |           | 11   30    0   30    0
Mar 24 15:01:38 ubuntu dstat.sh[65379]: 24-03 15:01:38| 40  18  42   0   0|1456M  792M  169M 5318M|  12k 8885B|   0  1016k|   0  61.0 |6135  6830 |1.96 1.12 0.59|3.0   0 378|   0     0 |           | 11   28    0   32    0
Mar 24 15:01:39 ubuntu dstat.sh[65379]: 24-03 15:01:39| 54   7  39   0   0|1553M  695M  169M 5318M|  15k   11k|   0    64k|   0  5.00 |4012  2852 |1.96 1.12 0.59|3.0   0   0|   0     0 |           | 11   31    0   32    0
Mar 24 15:01:40 ubuntu dstat.sh[65379]: 24-03 15:01:40| 49  11  39   0   0|1412M  837M  169M 5318M|  23k   19k|   0   389k|   0  40.1 |7718    10k|1.96 1.12 0.59|5.0   0 201|   0     0 |           | 11   28    0   33    0
Mar 24 15:01:41 ubuntu dstat.sh[65379]: 24-03 15:01:41| 82  15   2   0   0|1561M  688M  169M 5318M|6258B 4303B|   0   180k|   0  9.99 |4881  2129 |1.96 1.12 0.59|1.0   0  57|   0     0 |           | 11   31    0   29    0
Mar 24 15:01:42 ubuntu dstat.sh[65379]: 24-03 15:01:42| 51   7  42   0   0|1570M  679M  169M 5318M|  35k   32k|   0   344k|   0  19.0 |8119    11k|1.96 1.12 0.59|2.0   0   0|   0     0 |           | 11   32    0   29    0
Mar 24 15:01:43 ubuntu dstat.sh[65379]: 24-03 15:01:43| 62  19  18   0   0|1497M  752M  169M 5318M|  13k 8556B|   0  6385k|   0   417 |6282  6630 |2.21 1.18 0.62|3.0   0 324|   0     0 |           | 11   28    0   32    0
Mar 24 15:01:44 ubuntu dstat.sh[65379]: 24-03 15:01:44| 53   6  40   0   0|1539M  709M  169M 5318M|  17k   14k|   0  2071k|   0   109 |4014  2939 |2.21 1.18 0.62|2.0   0 1.0|   0     0 |           | 11   31    0   32    0
Mar 24 15:01:45 ubuntu dstat.sh[65379]: 24-03 15:01:45| 49  19  31   0   0|1435M  813M  169M 5319M|  22k   17k|   0  1061k|   0  78.1 |7822    10k|2.21 1.18 0.62|3.0   0 299|   0     0 |           | 11   28    0   33    0
Mar 24 15:01:46 ubuntu dstat.sh[65379]: 24-03 15:01:46| 55   7  37   0   0|1561M  687M  169M 5319M|9990B 8039B|   0   160k|   0  7.98 |3427  1898 |2.21 1.18 0.62|1.0   0   0|   0     0 |           | 11   31    0   33    0
Mar 24 15:01:47 ubuntu dstat.sh[65379]: 24-03 15:01:47| 51   8  40   0   0|1409M  839M  169M 5319M|  27k   22k|   0   388k|   0  21.0 |7041  9187 |2.21 1.18 0.62|3.0   0  72|   0     0 |           | 11   28    0   36    0
Mar 24 15:01:48 ubuntu dstat.sh[65379]: 24-03 15:01:48| 61  18  20   0   0|1511M  737M  169M 5319M|3846B 1178B|   0   377k|   0  13.0 |4227  2420 |2.35 1.23 0.63|4.0   0 215|   0     0 |           | 11   28    0   36    0
Mar 24 15:01:49 ubuntu dstat.sh[65379]: 24-03 15:01:49| 44   5  51   0   0|1527M  720M  169M 5319M|  24k   22k|   0   247k|   0  19.9 |6168  7475 |2.35 1.23 0.63|4.0 1.0   0|   0     0 |           | 11   30    0   37    0
Mar 24 15:01:50 ubuntu dstat.sh[65379]: 24-03 15:01:50| 60  14  26   1   0|1494M  753M  169M 5319M|7945B 4157B|   0  3718k|   0   209 |5506  5274 |2.35 1.23 0.63|4.0   0 113|   0     0 |           | 11   28    0   35    0
Mar 24 15:01:51 ubuntu dstat.sh[65379]: 24-03 15:01:51| 52   6  41   0   0|1549M  698M  169M 5319M|  17k   15k|   0  4097B|   0  1.00 |4040  3355 |2.35 1.23 0.63|2.0   0 1.0|   0     0 |           | 11   31    0   35    0
Mar 24 15:01:52 ubuntu dstat.sh[65379]: 24-03 15:01:52| 54  22  24   0   0|1427M  820M  169M 5319M|  17k   13k|   0   864k|   0  73.0 |7070  9207 |2.35 1.23 0.63|8.0   0 465|   0     0 |           | 11   28    0   37    0
Mar 24 15:01:53 ubuntu dstat.sh[65379]: 24-03 15:01:53| 78  21   0   0   0|1594M  653M  169M 5319M|6960B 3951B|   0    16k|   0  4.00 |5515  4529 |2.64 1.31 0.66|7.0   0 389|   0     0 |           | 11   29    0   37    0
Mar 24 15:01:54 ubuntu dstat.sh[65379]: 24-03 15:01:54| 78  20   2   0   0|1719M  529M  169M 5320M|  29k   26k|   0   232k|   0  16.0 |6377  6499 |2.64 1.31 0.66|6.0   0 378|   0     0 |           | 11   33    0   37    0
Mar 24 15:01:55 ubuntu dstat.sh[65379]: 24-03 15:01:55| 75  20   5   0   0|1592M  655M  169M 5320M|  41k   36k|   0   492k|   0  44.0 |9268    12k|2.64 1.31 0.66|7.0   0 382|   0     0 |           | 11   29    0   38    0
Mar 24 15:01:56 ubuntu dstat.sh[65379]: 24-03 15:01:56| 80  20   0   0   0|1584M  663M  169M 5320M|5984B 2536B|   0   280k|   0  21.0 |5308  3712 |2.64 1.31 0.66|5.0   0 241|   0     0 |           | 11   29    0   38    0
Mar 24 15:01:57 ubuntu dstat.sh[65379]: 24-03 15:01:57| 74   9  17   0   0|1652M  595M  169M 5320M|  36k   32k|   0   128k|   0  7.00 |7005  8683 |2.64 1.31 0.66|3.0   0   0|   0     0 |           | 11   33    0   38    0
Mar 24 15:01:58 ubuntu dstat.sh[65379]: 24-03 15:01:58| 58  19  22   0   0|1440M  807M  169M 5320M|  30k   26k|   0    16k|   0  4.00 |8728    12k|2.67 1.33 0.68|2.0   0 412|   0     0 |           | 11   28    0   41    0
Mar 24 15:01:59 ubuntu dstat.sh[65379]: 24-03 15:01:59| 10  27  62   0   0|1402M  845M  169M 5320M|4954B 1513B|   0  2493k|   0   114 |5881  4221 |2.67 1.33 0.68|2.0   0 488|   0     0 |           | 11   28    0   41    0
Mar 24 15:02:00 ubuntu dstat.sh[65379]: 24-03 15:02:00| 57  33   9   0   0|1463M  784M  169M 5320M|6439B 3019B|   0    36k|   0  8.98 |5647  4950 |2.67 1.33 0.68|3.0   0 700|   0     0 |           | 11   29    0   41    0
Mar 24 15:02:01 ubuntu dstat.sh[65379]: 24-03 15:02:01| 65   9  27   0   0|1577M  669M  169M 5320M|  23k   19k|   0   365k|   0  27.1 |5179  5430 |2.67 1.33 0.68|5.0   0   0|   0     0 |           | 11   31    0   42    0
Mar 24 15:02:02 ubuntu dstat.sh[65379]: 24-03 15:02:02| 66  15  18   0   0|1538M  708M  169M 5320M|  17k   13k|   0  1117k|   0  64.8 |6805  8479 |2.67 1.33 0.68|4.0   0 197|   0     0 |           | 11   28    0   45    0
Mar 24 15:02:03 ubuntu dstat.sh[65379]: 24-03 15:02:03| 75  13  13   0   0|1556M  691M  169M 5320M|  14k   11k|   0   249k|   0  13.0 |4892  3455 |2.78 1.38 0.69|4.0   0  76|   0     0 |           | 11   30    0   45    0
Mar 24 15:02:04 ubuntu dstat.sh[65379]: 24-03 15:02:04| 56   7  36   0   0|1574M  672M  169M 5321M|  38k   35k|   0   204k|   0  11.0 |7742    13k|2.78 1.38 0.69|2.0   0 1.0|   0     0 |           | 11   32    0   45    0
Mar 24 15:02:05 ubuntu dstat.sh[65379]: 24-03 15:02:05| 60  11  28   0   0|1578M  668M  169M 5321M|  37k   31k|   0   547k|   0  55.9 |  10k   17k|2.78 1.38 0.69|4.0   0  60|   0     0 |           | 11   28    1   45    1
Mar 24 15:02:06 ubuntu dstat.sh[65379]: 24-03 15:02:06| 79  13   7   0   0|1539M  706M  169M 5321M|  11k 7716B|   0   251k|   0  16.9 |4866  2615 |2.78 1.38 0.69|3.0   0  60|   0     0 |           | 11   30    0   45    0
Mar 24 15:02:07 ubuntu dstat.sh[65379]: 24-03 15:02:07| 56   7  36   0   0|1572M  673M  169M 5321M|  37k   33k|   0   177k|   0  10.0 |8366    13k|2.78 1.38 0.69|3.0   0   0|   0     0 |           | 11   32    0   45    0
Mar 24 15:02:08 ubuntu dstat.sh[65379]: 24-03 15:02:08| 57   9  33   0   0|1545M  700M  169M 5321M|  46k   38k|   0   172k|   0  10.0 |  13k   20k|2.80 1.41 0.71|4.0   0  81|   0     0 |           | 11   29    0   48    0
Mar 24 15:02:09 ubuntu dstat.sh[65379]: 24-03 15:02:09| 79  16   6   0   0|1533M  712M  169M 5321M|  10k 6718B|   0   172k|   0  11.0 |4899  3133 |2.80 1.41 0.71|4.0   0 179|   0     0 |           | 11   29    0   49    0
Mar 24 15:02:10 ubuntu dstat.sh[65379]: 24-03 15:02:10| 58   7  34   0   0|1571M  674M  169M 5322M|  31k   28k|   0  2606k|   0   117 |7705    10k|2.80 1.41 0.71|2.0   0 2.0|   0     0 |           | 11   32    0   49    0
Mar 24 15:02:11 ubuntu dstat.sh[65379]: 24-03 15:02:11| 66  14  20   0   0|1510M  734M  169M 5322M|  27k   22k|   0   260k|   0  21.0 |8938    13k|2.80 1.41 0.71|4.0   0  98|   0     0 |           | 11   29    0   51    0
Mar 24 15:02:12 ubuntu dstat.sh[65379]: 24-03 15:02:12| 73  10  17   0   0|1574M  671M  169M 5322M|  16k   13k|   0   232k|   0  20.0 |4764  3649 |2.80 1.41 0.71|4.0   0  30|   0     0 |           | 11   31    0   51    0
Mar 24 15:02:13 ubuntu dstat.sh[65379]: 24-03 15:02:13| 62  12  24   0   0|1557M  688M  169M 5322M|  23k   19k|   0   395k|   0  41.9 |6926  9214 |2.73 1.42 0.71|5.0   0 122|   0     0 |           | 11   30    0   53    0
Mar 24 15:02:14 ubuntu dstat.sh[65379]: 24-03 15:02:14| 64  10  25   0   0|1533M  711M  169M 5322M|  32k   28k|   0   537k|   0  33.1 |6537  9093 |2.73 1.42 0.71|3.0   0  60|   0     0 |           | 11   31    0   52    0
Mar 24 15:02:15 ubuntu dstat.sh[65379]: 24-03 15:02:15| 70  15  14   0   0|1477M  768M  169M 5323M|  22k   16k|   0   196k|   0  11.0 |6684  9564 |2.73 1.42 0.71|7.0   0 191|   0     0 |           | 11   28    0   55    0
Mar 24 15:02:16 ubuntu dstat.sh[65379]: 24-03 15:02:16| 74  12  14   0   0|1578M  667M  169M 5322M|  20k   15k|   0   236k|   0  20.0 |5612  6963 |2.73 1.42 0.71|3.0   0  14|   0     0 |           | 11   32    0   57    0
Mar 24 15:02:17 ubuntu dstat.sh[65379]: 24-03 15:02:17| 65  12  22   0   0|1541M  703M  169M 5322M|  22k   18k|   0   168k|   0  14.0 |5531  7266 |2.73 1.42 0.71|2.0   0  69|   0     0 |           | 11   34    0   58    0
Mar 24 15:02:18 ubuntu dstat.sh[65379]: 24-03 15:02:18| 52  12  36   0   0|1456M  788M  169M 5322M|  22k   16k|   0   553k|   0  50.1 |6121  7324 |2.75 1.44 0.73|3.0   0 138|   0     0 |           | 11   33    0   59    0
Mar 24 15:02:19 ubuntu dstat.sh[65379]: 24-03 15:02:19| 57  14  28   0   0|1503M  741M  169M 5322M|  10k 6076B|   0   280k|   0  26.0 |4747  3357 |2.75 1.44 0.73|3.0   0 120|   0     0 |           | 11   33    0   60    0
Mar 24 15:02:20 ubuntu dstat.sh[65379]: 24-03 15:02:20| 52   7  40   0   0|1538M  706M  169M 5323M|  19k   15k|   0   220k|   0  16.0 |5395  5467 |2.75 1.44 0.73|3.0   0   0|   0     0 |           | 11   33    1   61    0
Mar 24 15:02:21 ubuntu dstat.sh[65379]: 24-03 15:02:21| 49  13  38   0   0|1484M  760M  169M 5323M|  21k   17k|   0   200k|   0  12.0 |5839  7138 |2.75 1.44 0.73|2.0   0 139|   0     0 |           | 11   33    0   62    0
Mar 24 15:02:22 ubuntu dstat.sh[65379]: 24-03 15:02:22| 53  10  36   0   0|1534M  710M  169M 5323M|  13k   10k|   0     0 |   0     0 |3978  2716 |2.75 1.44 0.73|4.0   0  43|   0     0 |           | 11   34    0   61    0
Mar 24 15:02:23 ubuntu dstat.sh[65379]: 24-03 15:02:23| 45   9  44   0   0|1479M  765M  169M 5323M|  23k   18k|   0   216k|   0  18.0 |6270  7959 |2.69 1.45 0.73|3.0   0  86|   0     0 |           | 11   34    0   62    0
Mar 24 15:02:24 ubuntu dstat.sh[65379]: 24-03 15:02:24| 33  10  54   0   0|1377M  866M  169M 5323M|  12k 8781B|   0   432k|   0  35.0 |5653  6679 |2.69 1.45 0.73|2.0   0 136|   0     0 |           | 11   32    0   64    0
Mar 24 15:02:25 ubuntu dstat.sh[65379]: 24-03 15:02:25| 39   5  55   0   0|1458M  785M  169M 5323M|9917B 6924B|   0   160k|   0  9.02 |3194  2340 |2.69 1.45 0.73|2.0   0   0|   0     0 |           | 11   33    0   64    0
Mar 24 15:02:26 ubuntu dstat.sh[65379]: 24-03 15:02:26| 32   7  59   0   0|1454M  789M  169M 5323M|  15k   11k|   0   212k|   0  16.0 |3991  4395 |2.69 1.45 0.73|3.0   0  34|   0     0 |           | 11   33    0   59    0
Mar 24 15:02:27 ubuntu dstat.sh[65379]: 24-03 15:02:27| 33  11  54   0   0|1451M  792M  169M 5323M|  11k 8192B|   0   160k|   0  14.0 |4175  3543 |2.69 1.45 0.73|2.0   0 104|   0     0 |           | 11   33    0   60    0
Mar 24 15:02:28 ubuntu dstat.sh[65379]: 24-03 15:02:28| 34   9  56   0   0|1423M  821M  169M 5323M|8451B 5055B|   0   333k|   0  31.0 |3772  3376 |2.64 1.46 0.74|2.0   0  60|   0     0 |           | 11   33    0   61    0
Mar 24 15:02:29 ubuntu dstat.sh[65379]: 24-03 15:02:29| 34   4  61   0   0|1466M  778M  169M 5323M|  18k   14k|   0   304k|   0  22.0 |3367  4046 |2.64 1.46 0.74|2.0   0   0|   0     0 |           | 11   33    0   62    0
Mar 24 15:02:30 ubuntu dstat.sh[65379]: 24-03 15:02:30| 40   5  54   0   0|1440M  803M  169M 5323M|  13k 8133B|   0  3249k|   0   155 |4722  4600 |2.64 1.46 0.74|2.0   0 5.0|   0     0 |           | 11   32    0   61    0
Mar 24 15:02:31 ubuntu dstat.sh[65379]: 24-03 15:02:31| 36   9  55   0   0|1486M  757M  169M 5323M|  12k 7763B|   0   156k|   0  8.98 |3938  3305 |2.64 1.46 0.74|2.0   0  43|   0     0 |           | 11   33    0   61    0
Mar 24 15:02:32 ubuntu dstat.sh[65379]: 24-03 15:02:32| 33   5  61   0   0|1445M  798M  169M 5323M|  18k   13k|   0   264k|   0  25.0 |4139  4618 |2.64 1.46 0.74|3.0   0 5.0|   0     0 |           | 11   33    0   62    0
