Jun 14 13:07:29 jammy-provider-cloud-0000007219 systemd[1]: Started Devstack devstack@dstat.service.
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jun 14 13:07:29 jammy-provider-cloud-0000007219 dstat.sh[57225]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 13:07:41 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:41| 10  20  71   0   0|1052M 1843M  159M 4700M|4828B 1512B|   0    24k|   0  5.00 |2718  4244 |1.71 0.90 0.47|1.0   0 364|   0     0 |   0     0 | 10    4    3   15    0
Jun 14 13:07:42 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:42| 13  20  68   0   0|1072M 1824M  159M 4700M|  42k 1617B|   0    52k|   0  9.98 |3477  5488 |1.65 0.91 0.47|1.0   0 356|   0     0 |   0     0 | 10    4    3   15    0
Jun 14 13:07:43 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:43| 35  13  50   0   0|1161M 1734M  159M 4701M|4894B 1569B|  56k    0 |1.00     0 |3254  5026 |1.65 0.91 0.47|3.0   0 165|   0     0 |   0     0 | 10    5    3   13    0
Jun 14 13:07:44 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:44| 49   3  49   0   0|1221M 1673M  159M 4702M|5962B 1603B| 587k   11M|22.0  75.8 |1350  1459 |1.65 0.91 0.47|3.0   0   0|   0     0 |   0     0 | 10    5    3   13    0
Jun 14 13:07:45 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:45| 35   9  56   0   0|1255M 1636M  159M 4704M|5631B 1566B|   0  1800k|   0  76.0 |2024  5797 |1.65 0.91 0.47|1.0   0 120|   0     0 |   0     0 | 10    4    3   13    0
Jun 14 13:07:46 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:46|  1   1  98   0   0|1255M 1636M  159M 4704M|5591B 1512B|   0    80k|   0  9.00 | 705  1143 |1.65 0.91 0.47|1.0   0   0|   0     0 |   0     0 | 10    4    3   13    0
Jun 14 13:07:47 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:47|  9   3  88   0   0|1280M 1612M  159M 4704M|7660B 1566B|   0   828k|   0  31.0 |1217  1604 |1.60 0.91 0.47|1.0   0  22|   0     0 |   0     0 | 10    4    3   12    0
Jun 14 13:07:48 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:48| 24   2  74   0   0|1335M 1556M  159M 4704M|4657B 1458B|   0     0 |   0     0 | 836  1088 |1.60 0.91 0.47|1.0   0   0|   0     0 |   0     0 | 10    4    3   12    0
Jun 14 13:07:49 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:49| 23   3  71   1   0|1294M 1597M  159M 4704M|6672B 1589B|   0    23M|   0   377 |2937  5457 |1.60 0.91 0.47|1.0   0 1.0|   0     0 |   0     0 | 10    4    3   14    0
Jun 14 13:07:50 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:50| 21   5  73   0   0|1316M 1574M  159M 4705M|5989B 1565B|  40k 3633k|4.00   116 |1280  1699 |1.60 0.91 0.47|1.0   0  42|   0     0 |   0     0 | 10   11    3   14    0
Jun 14 13:07:51 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:51| 21   5  73   0   0|1298M 1592M  159M 4705M|5403B 1587B| 232k 1917k|58.0  12.0 |1774  3028 |1.60 0.91 0.47|1.0   0  46|   0     0 |   0     0 | 10   28    4   14    0
Jun 14 13:07:52 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:52| 21   5  73   0   0|1267M 1623M  159M 4705M|6833B 1640B|   0    12k|   0  3.00 |1477  2323 |1.55 0.91 0.48|1.0   0  70|   0     0 |   0     0 | 10   28    4   14    0
Jun 14 13:07:53 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:53| 43   8  50   0   0|1387M 1503M  159M 4705M|6435B 1296B|   0   104k|   0  9.00 |1763  2841 |1.55 0.91 0.48|2.0   0  86|   0     0 |   0     0 | 10   28    4   14    0
Jun 14 13:07:54 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:54| 52  17  31   0   0|1366M 1523M  159M 4705M|6488B 1370B|   0    25M|   0   100 |3486  9486 |1.55 0.91 0.48|7.0   0 426|   0     0 |   0     0 | 10   28    4   16    0
Jun 14 13:07:55 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:55| 86  12   2   0   0|1567M 1322M  159M 4706M|6023B 1458B|   0  1668k|   0   150 |3415  7776 |1.55 0.91 0.48|4.0   0 154|   0     0 |   0     0 | 10   32    4   16    0
Jun 14 13:07:56 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:56| 72  11  17   0   0|1408M 1481M  159M 4706M|6349B 1694B|   0   352k|   0  39.0 |3789    11k|1.55 0.91 0.48|2.0   0 200|   0     0 |   0     0 | 10   29    4   17    0
Jun 14 13:07:57 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:57| 23   6  69   0   0|1328M 1561M  159M 4706M|5822B 1615B|   0   179k|   0  15.9 |2294  4191 |1.51 0.91 0.48|1.0   0 110|   0     0 |   0     0 | 10   28    4   16    0
Jun 14 13:07:58 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:58| 21   5  72   1   0|1312M 1577M  159M 4706M|4170B 1699B|   0  3249k|   0   183 |2606  4793 |1.51 0.91 0.48|1.0   0  68|   0     0 |   0     0 | 10   28    4   16    0
Jun 14 13:07:59 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:07:59| 23   3  73   0   0|1351M 1538M  159M 4706M|5161B 1618B|   0    10M|   0   454 |2127  3558 |1.51 0.91 0.48|1.0   0   0|   0     0 |   0     0 | 10   28    4   15    0
Jun 14 13:08:00 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:00| 10  22  69   0   0|1294M 1595M  159M 4706M|5311B 1460B|   0   813k|   0  40.1 |3228  4999 |1.51 0.91 0.48|1.0   0 522|   0     0 |   0     0 | 10   28    4   15    0
Jun 14 13:08:01 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:01| 75  17   8   0   1|1512M 1376M  159M 4706M|7458B 1621B|   0  2794k|   0  46.0 |2637  4346 |1.51 0.91 0.48|5.0   0 517|   0     0 |   0     0 | 10   28    4   15    0
Jun 14 13:08:02 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:02| 73   7  19   0   0|1584M 1304M  159M 4707M|5160B 1618B|   0  2725k|   0   147 |5745    14k|1.55 0.93 0.49|6.0   0   0|   0     0 |   0     0 | 10   30    4   17    0
Jun 14 13:08:03 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:03| 85  13   3   0   0|1464M 1424M  159M 4707M|4622B 1621B|   0   528k|   0  51.0 |3411  7231 |1.55 0.93 0.49|7.0   0 222|   0     0 |   0     0 | 10   28    4   17    0
Jun 14 13:08:04 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:04| 85  12   3   0   0|1617M 1271M  159M 4707M|6900B 1459B|   0    61M|   0   148 |4498    11k|1.55 0.93 0.49|9.0   0  88|   0     0 |   0     0 | 10   30    4   17    0
Jun 14 13:08:05 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:05| 75  11  14   0   0|1360M 1528M  159M 4707M|6372B 1617B|   0  3726k|   0   148 |6140    16k|1.55 0.93 0.49|4.0   0 202|   0     0 |   0     0 | 10   29    4   18    0
Jun 14 13:08:06 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:06| 47   9  45   0   0|1430M 1458M  159M 4710M|5334B 1533B|   0   332k|   0  23.0 |2326  4993 |1.55 0.93 0.49|3.0   0 132|   0     0 |   0     0 | 10   28    4   18    0
Jun 14 13:08:07 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:07| 54  15  31   0   0|1375M 1513M  159M 4708M|4934B 1621B|   0   320k|   0  29.0 |3947    10k|1.74 0.98 0.51|3.0   0 378|   0     0 |   0     0 | 10   28    4   19    0
Jun 14 13:08:08 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:08| 65   7  27   0   0|1468M 1418M  159M 4708M|3944B 1458B|   0   284k|   0  20.0 |3554  9162 |1.74 0.98 0.51|4.0   0   0|   0     0 |   0     0 | 10   30    4   21    0
Jun 14 13:08:09 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:09| 75  14  11   0   0|1480M 1406M  159M 4708M|3702B 1458B|   0  1380k|   0  31.0 |2887  4740 |1.74 0.98 0.51|4.0   0 258|   0     0 |   0     0 | 10   29    4   21    0
Jun 14 13:08:10 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:10| 70   8  21   0   0|1476M 1410M  159M 4709M|4663B 1619B|   0   408k|   0  24.0 |6274    15k|1.74 0.98 0.51|3.0   0  50|   0     0 |   0     0 | 10   29    4   25    0
Jun 14 13:08:11 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:11| 61  15  25   0   0|1453M 1433M  159M 4709M|4435B 1542B|   0   368k|   0  25.0 |2877  4516 |1.74 0.98 0.51|3.0   0 274|   0     0 |   0     0 | 10   28    4   25    0
Jun 14 13:08:12 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:12| 66  12  22   0   0|1418M 1468M  159M 4709M|  40k 1459B|   0   484k|   0  45.0 |6096    13k|1.92 1.03 0.53|6.0   0 249|   0     0 |   0     0 | 10   28    4   27    0
Jun 14 13:08:13 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:13| 68   8  23   0   0|1476M 1410M  159M 4709M|4300B 1513B|   0   316k|   0  23.0 |3999  7609 |1.92 1.03 0.53|3.0   0  50|   0     0 |   0     0 | 10   30    4   33    0
Jun 14 13:08:14 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:14| 66  13  21   0   0|1433M 1452M  159M 4709M|5066B 1521B|   0   472k|   0  23.0 |3729  7741 |1.92 1.03 0.53|4.0   0 287|   0     0 |   0     0 | 10   28    5   33    0
Jun 14 13:08:15 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:15| 64   8  27   0   0|1345M 1540M  159M 4709M|5864B 1420B|   0   407k|   0  36.9 |5446    11k|1.92 1.03 0.53|3.0   0  86|   0     0 |   0     0 | 10   28    5   33    0
Jun 14 13:08:16 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:16| 65   9  26   0   0|1447M 1438M  159M 4710M|4728B 1618B|   0   312k|   0  26.0 |3760  6709 |1.92 1.03 0.53|3.0   0  28|   0     0 |   0     0 | 10   29    5   31    0
Jun 14 13:08:17 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:17| 77  19   5   0   0|1491M 1394M  159M 4710M|6769B 1689B|   0   414k|   0  31.1 |3482  6744 |2.17 1.10 0.55|5.0   0 414|   0     0 |   0     0 | 10   28    5   31    0
Jun 14 13:08:18 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:18| 82  13   4   0   0|1517M 1367M  159M 4710M|9526B 1458B|   0  1948k|   0  57.0 |5102    11k|2.17 1.10 0.55|7.0   0 262|   0     0 |   0     0 | 10   28    5   31    0
Jun 14 13:08:19 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:19| 85  12   2   0   0|1575M 1309M  159M 4710M|9509B 1596B|   0   776k|   0  23.0 |3148  5907 |2.17 1.10 0.55|7.0   0 240|   0     0 |   0     0 | 10   29    5   31    0
Jun 14 13:08:20 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:20| 78  16   4   0   0|1437M 1447M  159M 4711M|7729B 1457B|   0  4718k|   0   147 |5793    14k|2.17 1.10 0.55|7.0   0 353|   0     0 |   0     0 | 10   29    5   32    0
Jun 14 13:08:21 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:21| 57  22  19   0   0|1365M 1519M  159M 4711M|5952B 1533B|   0   216k|   0  10.0 |6075    15k|2.17 1.10 0.55|4.0   0 719|   0     0 |   0     0 | 10   29    5   33    0
Jun 14 13:08:22 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:22| 21  25  54   0   0|1310M 1573M  159M 4711M|7127B 1478B|   0   232k|   0  18.0 |5216  9680 |2.08 1.10 0.55|3.0   0 864|   0     0 |   0     0 | 10   28    5   33    0
Jun 14 13:08:23 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:23| 72  22   5   0   0|1496M 1388M  159M 4711M|7230B 1398B|   0   203k|   0  14.9 |3265  6702 |2.08 1.10 0.55|4.0   0 610|   0     0 |   0     0 | 10   29    5   33    0
Jun 14 13:08:24 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:24| 77  12  10   0   0|1377M 1507M  159M 4711M|6633B 1410B|   0  1904k|   0   150 |6034    13k|2.08 1.10 0.55|4.0   0 214|   0     0 |   0     0 | 10   28    5   34    0
Jun 14 13:08:25 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:25| 81  10   9   0   0|1528M 1355M  159M 4712M|6359B 1458B|   0   684k|   0  13.0 |4516  9545 |2.08 1.10 0.55|2.0   0  57|   0     0 |   0     0 | 10   32    5   35    0
Jun 14 13:08:26 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:26| 58   6  36   0   0|1495M 1387M  159M 4712M|6696B 1458B|   0   200k|   0  18.0 |8107    20k|2.08 1.10 0.55|5.0   0  30|   0     0 |   0     0 | 10   31    5   39    0
Jun 14 13:08:27 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:27| 82  10   7   0   0|1480M 1402M  159M 4713M|4808B 1350B|   0   436k|   0  48.0 |4795    10k|2.23 1.14 0.57|4.0   0  90|   0     0 |   0     0 | 10   29    5   40    0
Jun 14 13:08:28 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:28| 69   8  23   0   0|1533M 1348M  159M 4713M|5053B 1404B|   0   148k|   0  8.00 |6971    18k|2.23 1.14 0.57|4.0   0   0|   0     0 |   0     0 | 10   31    4   41    0
Jun 14 13:08:29 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:29| 69  12  18   0   0|1428M 1453M  159M 4714M|4647B 1458B|   0     0 |   0     0 |6995    18k|2.23 1.14 0.57|5.0   0 212|   0     0 |   0     0 | 10   28    4   45    0
Jun 14 13:08:30 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:30| 84  10   6   0   0|1526M 1354M  159M 4715M|5651B 1499B|   0  1429k|   0  52.0 |5306    11k|2.23 1.14 0.57|4.0   0  55|   0     0 |   0     0 | 10   29    4   45    0
Jun 14 13:08:31 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:31| 84  12   4   0   0|1465M 1414M  159M 4715M|7698B 1619B|   0   144k|   0  9.00 |4701  8233 |2.23 1.14 0.57|6.0   0 132|   0     0 |   0     0 | 10   28    4   47    0
Jun 14 13:08:32 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:32| 78  11  10   0   0|1455M 1423M  159M 4717M|9454B 1566B|   0   512k|   0  54.0 |6080    13k|2.37 1.19 0.59|4.0   0 124|   0     0 |   0     0 | 10   29    4   48    0
Jun 14 13:08:33 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:33| 84  11   5   0   0|1512M 1365M  159M 4717M|4534B 1566B|   0   156k|   0  8.00 |4194  8359 |2.37 1.19 0.59|4.0   0 123|   0     0 |   0     0 | 10   30    4   48    0
Jun 14 13:08:34 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:34| 75  12  12   0   0|1399M 1479M  159M 4717M|5834B 1512B|   0   160k|   0  11.0 |4831    11k|2.37 1.19 0.59|4.0   0 163|   0     0 |   0     0 | 10   28    4   46    0
Jun 14 13:08:35 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:35| 83  10   7   0   0|1478M 1399M  159M 4717M|5295B 1457B|   0   420k|   0  40.0 |4281  9906 |2.37 1.19 0.59|4.0   0  62|   0     0 |   0     0 | 10   29    4   46    1
Jun 14 13:08:36 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:36| 71  13  16   0   0|1468M 1408M  159M 4718M|5672B 1459B|   0  6596k|   0   200 |2973  5799 |2.37 1.19 0.59|4.0   0 201|   0     0 |   0     0 | 10   28    4   47    0
Jun 14 13:08:37 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:37| 63  11  26   0   0|1388M 1488M  159M 4718M|5727B 1458B|   0   240k|   0  18.0 |4289    11k|2.42 1.22 0.60|4.0   0 181|   0     0 |   0     0 | 10   28    4   52    0
Jun 14 13:08:38 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:38| 65   9  25   0   0|1439M 1438M  159M 4718M|4259B 1458B|   0  2184k|   0  36.0 |3399  7663 |2.42 1.22 0.60|4.0   0  60|   0     0 |   0     0 | 10   29    4   54    0
Jun 14 13:08:39 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:39| 67  10  24   0   0|1465M 1411M  159M 4718M|3971B 1500B|   0   280k|   0  20.0 |2617  4812 |2.42 1.22 0.60|3.0   0  72|   0     0 |   0     0 | 10   29    4   54    0
Jun 14 13:08:40 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:40| 63  10  28   0   0|1394M 1482M  159M 4718M|6471B 1458B|   0   344k|   0  33.0 |3442  9191 |2.42 1.22 0.60|4.0   0  82|   0     0 |   0     0 | 10   28    4   54    0
Jun 14 13:08:41 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:41| 65   7  27   0   0|1368M 1508M  159M 4719M|6334B 1404B|   0   356k|   0  44.0 |3522  8863 |2.42 1.22 0.60|4.0   0  11|   0     0 |   0     0 | 10   28    4   57    0
Jun 14 13:08:42 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:42| 64  11  24   0   0|1474M 1402M  159M 4719M|  41k 1452B|   0  2067k|   0   133 |2512  4732 |2.47 1.25 0.62|4.0   0 125|   0     0 |   0     0 | 10   29    4   58    0
Jun 14 13:08:43 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:43| 58  16  27   0   0|1384M 1491M  159M 4719M|4198B 1355B|   0   349k|   0  32.1 |6081    13k|2.47 1.25 0.62|3.0   0 425|   0     0 |   0     0 | 10   28    4   58    0
Jun 14 13:08:44 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:44| 65   6  28   0   0|1484M 1391M  159M 4719M|6669B 1551B|   0   608k|   0  31.0 |4482  9055 |2.47 1.25 0.62|5.0   0   0|   0     0 |   0     0 | 10   30    4   63    0
Jun 14 13:08:45 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:45| 32  15  53   0   0|1360M 1514M  159M 4720M|5105B 1513B|   0   372k|   0  25.0 |3067  5685 |2.47 1.25 0.62|2.0   0 411|   0     0 |   0     0 | 10   28    4   64    0
Jun 14 13:08:46 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:46| 22   4  72   0   0|1312M 1563M  159M 4720M|5312B 1694B|   0   208k|   0  21.0 |3468  7130 |2.47 1.25 0.62|2.0   0  34|   0     0 |   0     0 | 10   28    4   66    0
Jun 14 13:08:47 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:47| 14  22  64   0   0|1328M 1546M  159M 4720M|9223B 1566B|   0   424k|   0  25.0 |3407  5299 |2.51 1.28 0.63|2.0   0 561|   0     0 |   0     0 | 10   28    4   68    0
Jun 14 13:08:48 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:48| 45   5  49   0   0|1467M 1406M  159M 4721M|  11k 1620B| 316k  712k|18.0  10.0 |1319  1443 |2.51 1.28 0.63|2.0   0 2.0|   0     0 |   0     0 | 10   28    4   68    0
Jun 14 13:08:49 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:49| 37   8  46   9   0|1414M 1452M  160M 4727M|6905B 1620B|   0    35M|   0  3094 |  12k   25k|2.51 1.28 0.63|4.0   0 124|   0     0 |   0     0 | 10   32    4   68    0
Jun 14 13:08:50 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:50| 42   7  43   6   0|1423M 1441M  161M 4728M|5391B 1617B|   0    30M|   0  2617 |8691    20k|2.51 1.28 0.63|3.0   0  28|   0     0 |   0     0 | 10   28    4   68    0
Jun 14 13:08:51 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:51| 45   5  49   1   0|1426M 1438M  161M 4728M|6213B 1740B|   0  1483k|   0   168 |1832  2912 |2.51 1.28 0.63|5.0   0 2.0|   0     0 |   0     0 | 10   30    4   66    0
Jun 14 13:08:52 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:52| 41   6  45   7   0|1492M 1371M  162M 4728M|4190B 1585B|   0    21M|   0  2830 |  13k   28k|2.47 1.29 0.64|2.0   0 2.0|   0     0 |   0     0 | 10   28    4   66    0
Jun 14 13:08:53 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:53| 25   5  68   1   0|1382M 1481M  162M 4728M|6016B 1563B|   0  9560k|   0   522 |1976  4031 |2.47 1.29 0.64|1.0   0  99|   0     0 |   0     0 | 10   28    4   66    0
Jun 14 13:08:54 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:54| 23   2  74   0   0|1428M 1435M  162M 4728M|5129B 1586B|   0   832k|   0  26.0 |1049  1408 |2.47 1.29 0.64|1.0   0 2.0|   0     0 |   0     0 | 10   28    4   66    0
Jun 14 13:08:55 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:55| 22   4  73   0   0|1400M 1462M  162M 4728M|4784B 1154B|   0  3325k|   0   182 |1227  1982 |2.47 1.29 0.64|1.0   0 5.0|   0     0 |   0     0 | 10   28    4   64    0
Jun 14 13:08:56 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:56| 25   2  73   0   0|1341M 1521M  162M 4728M|6726B 1589B|   0   136k|   0  16.0 |1066  1295 |2.47 1.29 0.64|1.0   0 1.0|   0     0 |   0     0 | 10   32    4   64    0
Jun 14 13:08:57 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:57| 23   3  74   0   0|1414M 1449M  162M 4728M|5282B 1512B|   0     0 |   0     0 | 947  1119 |2.35 1.29 0.64|1.0   0 2.0|   0     0 |   0     0 | 10   32    4   63    0
Jun 14 13:08:58 jammy-provider-cloud-0000007219 dstat.sh[57225]: 14-06 13:08:58| 23   2  74   0   0|1367M 1496M  162M 4728M|6697B 1766B|   0  4091B|   0  1.00 | 930  1108 |2.35 1.29 0.64|2.0   0 1.0|   0     0 |   0     0 | 10   32    4   63    0
