May 20 08:20:29 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 08:20:29 ubuntu dstat.sh[64862]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 08:20:29 ubuntu dstat.sh[64862]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 08:20:39 ubuntu dstat.sh[64862]: 20-05 08:20:39| 37   7  44  11   0|1238M  956M  171M 5369M|5280B 1620B|   0    46M|   0  3070 |  13k   23k|1.42 0.93 0.50|4.0   0  36|   0     0 |           | 11    8    1   19    2
May 20 08:20:40 ubuntu dstat.sh[64862]: 20-05 08:20:40| 39  12  44   3   0|1222M  985M  172M 5355M|5981B 2100B|   0    23M|   0  1436 |5937  7473 |1.42 0.93 0.50|4.0   0  94|   0     0 |           | 11    4    1   19    0
May 20 08:20:41 ubuntu dstat.sh[64862]: 20-05 08:20:41| 40   6  53   0   0|1262M  939M  172M 5360M|  10k 3870B|   0  2888k|   0   264 |2883  1569 |1.47 0.95 0.50|4.0   0  17|   0     0 |           | 11    4    1   19    0
May 20 08:20:42 ubuntu dstat.sh[64862]: 20-05 08:20:42| 43   7  49   1   0|1233M  967M  172M 5361M|8783B 2905B|   0  7426k|   0   534 |3678  3113 |1.47 0.95 0.50|2.0   0  28|   0     0 |           | 11    5    1   19    0
May 20 08:20:43 ubuntu dstat.sh[64862]: 20-05 08:20:43| 42   9  48   1   0|1241M  952M  172M 5366M|7262B 3469B|   0  1561k|   0   114 |8229    15k|1.47 0.95 0.50|2.0   0  11|   0     0 |           | 11    4    1   19    0
May 20 08:20:44 ubuntu dstat.sh[64862]: 20-05 08:20:44| 43  11  45   0   0|1211M  982M  172M 5366M|4596B 1624B|   0    88k|   0  1.00 |8749    16k|1.47 0.95 0.50|5.0   0 135|   0     0 |           | 11    4    1   19    0
May 20 08:20:45 ubuntu dstat.sh[64862]: 20-05 08:20:45| 28  26  45   1   0|1113M 1092M  172M 5355M|5204B 1620B|   0  2508k|   0   115 |6440  5232 |1.47 0.95 0.50|3.0   0 483|   0     0 |           | 11    4    1   19    0
May 20 08:20:46 ubuntu dstat.sh[64862]: 20-05 08:20:46| 40  19  40   0   0|1099M 1106M  172M 5356M|4703B 1619B|   0    32k|   0  7.99 |6619  7312 |1.51 0.97 0.51|3.0   0 326|   0     0 |           | 11    4    1   19    0
May 20 08:20:47 ubuntu dstat.sh[64862]: 20-05 08:20:47| 46  11  42   0   0|1225M  980M  172M 5356M|4278B 1458B|   0    13M|   0  62.0 |3715  2290 |1.51 0.97 0.51|2.0   0  89|   0     0 |           | 11    5    1   17    0
May 20 08:20:48 ubuntu dstat.sh[64862]: 20-05 08:20:48| 44   7  49   0   0|1256M  949M  172M 5357M|4670B 1617B|   0   216k|   0  2.99 |2707  1375 |1.51 0.97 0.51|2.0   0   0|   0     0 |           | 11    5    1   17    0
May 20 08:20:49 ubuntu dstat.sh[64862]: 20-05 08:20:49| 35  11  54   0   0|1272M  930M  172M 5359M|4628B 1697B|   0  2585k|   0  95.2 |4145  4686 |1.51 0.97 0.51|1.0   0 111|   0     0 |           | 11    4    1   17    0
May 20 08:20:50 ubuntu dstat.sh[64862]: 20-05 08:20:50|  3   3  93   0   0|1278M  924M  172M 5359M|5168B 1617B|   0   399k|   0  28.0 |1351  1540 |1.51 0.97 0.51|1.0   0  30|   0     0 |           | 11    4    1   17    0
May 20 08:20:51 ubuntu dstat.sh[64862]: 20-05 08:20:51| 21   3  73   0   0|1344M  858M  172M 5359M|4578B 1458B|   0     0 |   0     0 |1754  1368 |1.47 0.97 0.52|3.0   0   0|   0     0 |           | 11    4    1   13    0
May 20 08:20:52 ubuntu dstat.sh[64862]: 20-05 08:20:52| 23   3  73   0   0|1366M  836M  172M 5359M|4510B 1620B|   0    12M|   0  94.0 |2016  1492 |1.47 0.97 0.52|2.0   0   0|   0     0 |           | 11    4    1   13    0
May 20 08:20:53 ubuntu dstat.sh[64862]: 20-05 08:20:53| 23   2  71   2   0|1376M  826M  172M 5359M|4920B 1620B|   0  2120k|   0   238 |3524  4714 |1.47 0.97 0.52|3.0   0 1.0|   0     0 |           | 11    4    1   15    0
May 20 08:20:54 ubuntu dstat.sh[64862]: 20-05 08:20:54| 21   5  71   0   0|1326M  875M  172M 5359M|5820B 1620B| 144k 3072k|7.00   170 |2606  2292 |1.47 0.97 0.52|3.0   0  43|   0     0 |           | 11    4    1   15    0
May 20 08:20:55 ubuntu dstat.sh[64862]: 20-05 08:20:55| 24   5  70   0   0|1331M  870M  172M 5359M|8694B 3908B|   0  3695k|   0   140 |3242    13k|1.47 0.97 0.52|1.0   0  37|   0     0 |           | 11   13    1   15    0
May 20 08:20:56 ubuntu dstat.sh[64862]: 20-05 08:20:56| 20   2  75   0   0|1343M  857M  173M 5360M|  11k 7728B| 268k  524k|66.0  25.0 |2567  2356 |1.43 0.97 0.52|1.0   0 2.0|   0     0 |           | 11   28    1   16    0
May 20 08:20:57 ubuntu dstat.sh[64862]: 20-05 08:20:57| 20   6  73   0   0|1337M  864M  173M 5360M|4573B 1752B|   0     0 |   0     0 |2239  1566 |1.43 0.97 0.52|1.0   0  43|   0     0 |           | 11   28    1   16    0
May 20 08:20:58 ubuntu dstat.sh[64862]: 20-05 08:20:58| 18   3  77   0   0|1327M  874M  173M 5360M|  11k 8539B|   0    34M|   0   179 |2403  2124 |1.43 0.97 0.52|1.0   0   0|   0     0 |           | 11   28    1   17    0
May 20 08:20:59 ubuntu dstat.sh[64862]: 20-05 08:20:59| 31  14  55   0   0|1350M  851M  173M 5360M|5173B 1624B|   0    12k|   0  3.01 |3801  2429 |1.43 0.97 0.52|2.0   0 156|   0     0 |           | 11   28    1   17    0
May 20 08:21:00 ubuntu dstat.sh[64862]: 20-05 08:21:00| 35   5  59   0   0|1405M  795M  173M 5360M|  14k   10k|   0     0 |   0     0 |3044  2441 |1.43 0.97 0.52|1.0   0   0|   0     0 |           | 11   30    1   16    0
May 20 08:21:01 ubuntu dstat.sh[64862]: 20-05 08:21:01| 37  17  45   0   0|1331M  869M  173M 5360M|  16k   11k|   0   249k|   0  31.1 |6961  8680 |1.48 0.98 0.53|9.0   0 360|   0     0 |           | 11   28    1   17    0
May 20 08:21:02 ubuntu dstat.sh[64862]: 20-05 08:21:02| 78  21   0   0   0|1556M  645M  173M 5360M|4758B 1458B|   0   996k|   0  21.0 |5211  3611 |1.48 0.98 0.53|6.0   0 219|   0     0 |           | 11   28    1   17    0
May 20 08:21:03 ubuntu dstat.sh[64862]: 20-05 08:21:03| 85  12   1   0   0|1723M  478M  173M 5360M|  27k   23k|   0  7959k|   0   402 |6680  6319 |1.48 0.98 0.53|4.0   0   0|   0     0 |           | 11   33    2   17    0
May 20 08:21:04 ubuntu dstat.sh[64862]: 20-05 08:21:04| 67  12  20   0   0|1700M  500M  173M 5360M|  29k   25k|   0   690k|   0  66.2 |7628    11k|1.48 0.98 0.53|2.0   0 202|   0     0 |           | 11   28    1   22    0
May 20 08:21:05 ubuntu dstat.sh[64862]: 20-05 08:21:05| 22   9  68   0   0|1531M  669M  173M 5360M|5579B 1615B|   0   207k|   0  12.0 |2980  2314 |1.48 0.98 0.53|1.0   0 110|   0     0 |           | 11   28    1   22    0
May 20 08:21:06 ubuntu dstat.sh[64862]: 20-05 08:21:06| 19   4  77   0   0|1520M  681M  173M 5360M|9859B 7384B|   0   180k|   0  9.00 |2463  2310 |1.44 0.99 0.53|  0   0 6.0|   0     0 |           | 11   29    1   22    0
May 20 08:21:07 ubuntu dstat.sh[64862]: 20-05 08:21:07| 16   8  75   0   0|1467M  733M  173M 5360M|6248B 2783B|   0   630k|   0  45.1 |3241  3001 |1.44 0.99 0.53|1.0   0  68|   0     0 |           | 11   28    1   23    0
May 20 08:21:08 ubuntu dstat.sh[64862]: 20-05 08:21:08| 19   4  75   0   0|1457M  744M  173M 5360M|8372B 5510B|   0    48M|   0   311 |2743  2464 |1.44 0.99 0.53|2.0   0   0|   0     0 |           | 11   29    1   23    0
May 20 08:21:09 ubuntu dstat.sh[64862]: 20-05 08:21:09| 16   8  74   0   0|1410M  790M  173M 5360M|8076B 4839B|   0  1047k|   0  24.1 |3632  3437 |1.44 0.99 0.53|1.0   0  95|   0     0 |           | 11   28    1   24    0
May 20 08:21:10 ubuntu dstat.sh[64862]: 20-05 08:21:10|  7  23  67   0   0|1403M  797M  173M 5360M|4773B 1457B|   0  1907k|   0   101 |5534  3607 |1.44 0.99 0.53|2.0   0 372|   0     0 |           | 11   28    1   24    0
May 20 08:21:11 ubuntu dstat.sh[64862]: 20-05 08:21:11| 48  31  20   0   0|1442M  758M  173M 5360M|4624B 1618B|   0   232k|   0  19.0 |5805  4529 |1.65 1.04 0.55|5.0   0 570|   0     0 |           | 11   28    1   24    0
May 20 08:21:12 ubuntu dstat.sh[64862]: 20-05 08:21:12| 82  12   5   0   0|1650M  550M  173M 5360M|  16k   14k|   0   644k|   0  42.0 |5397  3379 |1.65 1.04 0.55|3.0   0   0|   0     0 |           | 11   32    1   24    0
May 20 08:21:13 ubuntu dstat.sh[64862]: 20-05 08:21:13| 68  12  19   0   0|1623M  577M  173M 5361M|  42k   37k|   0    37M|   0   238 |9993    17k|1.65 1.04 0.55|4.0   0  60|   0     0 |           | 11   30    1   24    0
May 20 08:21:14 ubuntu dstat.sh[64862]: 20-05 08:21:14| 80  20   0   0   0|1556M  644M  173M 5361M|6266B 2296B|   0   265k|   0  25.1 |5450  4125 |1.65 1.04 0.55|8.0   0 252|   0     0 |           | 11   28    1   25    0
May 20 08:21:15 ubuntu dstat.sh[64862]: 20-05 08:21:15| 85  11   3   0   0|1722M  478M  173M 5361M|  21k   19k|   0   188k|   0  9.99 |5532  4325 |1.65 1.04 0.55|7.0   0   0|   0     0 |           | 11   32    1   25    0
May 20 08:21:16 ubuntu dstat.sh[64862]: 20-05 08:21:16| 75  11  13   0   0|1732M  467M  173M 5361M|  46k   42k|   0  2186k|   0   154 |9051    16k|1.67 1.05 0.56|3.0   0  50|   0     0 |           | 11   31    1   28    0
May 20 08:21:17 ubuntu dstat.sh[64862]: 20-05 08:21:17| 51  15  34   0   0|1555M  644M  173M 5361M|  11k 6002B|   0   364k|   0  36.0 |5021  5134 |1.67 1.05 0.56|3.0   0 248|   0     0 |           | 11   28    1   30    0
May 20 08:21:18 ubuntu dstat.sh[64862]: 20-05 08:21:18| 37   4  58   0   0|1557M  642M  173M 5361M|  12k 9792B|   0   239k|   0  6.98 |2762  2051 |1.67 1.05 0.56|2.0   0   0|   0     0 |           | 11   30    1   30    0
May 20 08:21:19 ubuntu dstat.sh[64862]: 20-05 08:21:19| 30  17  51   0   0|1447M  752M  173M 5361M|  16k   11k|   0   293k|   0  30.1 |6980  8133 |1.67 1.05 0.56|4.0   0 379|   0     0 |           | 11   28    1   32    0
May 20 08:21:20 ubuntu dstat.sh[64862]: 20-05 08:21:20| 62  11  27   0   0|1545M  654M  173M 5361M|7431B 4259B|   0   191k|   0  7.97 |3761  1531 |1.67 1.05 0.56|1.0   0   0|   0     0 |           | 11   30    1   29    0
May 20 08:21:21 ubuntu dstat.sh[64862]: 20-05 08:21:21| 47   5  46   0   0|1556M  643M  173M 5361M|  31k   26k|   0   353k|   0  38.1 |7945    11k|1.78 1.08 0.57|4.0   0   0|   0     0 |           | 11   29    1   30    0
May 20 08:21:22 ubuntu dstat.sh[64862]: 20-05 08:21:22| 71  20   8   1   0|1498M  701M  173M 5361M|5393B 2086B|   0  3350k|   0   189 |5692  4242 |1.78 1.08 0.57|5.0   0 258|   0     0 |           | 11   28    1   30    0
May 20 08:21:23 ubuntu dstat.sh[64862]: 20-05 08:21:23| 68   8  23   0   0|1587M  612M  173M 5362M|  24k   21k|   0   606k|   0  21.9 |5600  5345 |1.78 1.08 0.57|5.0   0   0|   0     0 |           | 11   32    1   30    0
May 20 08:21:24 ubuntu dstat.sh[64862]: 20-05 08:21:24| 53  18  27   0   0|1441M  757M  173M 5362M|  26k   22k|   0  1059k|   0  74.9 |9540    13k|1.78 1.08 0.57|3.0   0 325|   0     0 |           | 11   28    1   31    0
May 20 08:21:25 ubuntu dstat.sh[64862]: 20-05 08:21:25| 59   8  33   0   0|1545M  653M  173M 5362M|9775B 7526B|   0   949k|   0  12.0 |3569  1565 |1.78 1.08 0.57|  0   0   0|   0     0 |           | 11   31    1   31    0
May 20 08:21:26 ubuntu dstat.sh[64862]: 20-05 08:21:26| 48   7  44   0   0|1532M  667M  173M 5362M|  28k   24k|   0   333k|   0  31.1 |7622    10k|1.88 1.12 0.58|2.0   0  21|   0     0 |           | 11   29    1   32    0
May 20 08:21:27 ubuntu dstat.sh[64862]: 20-05 08:21:27| 63  17  20   0   0|1538M  660M  173M 5362M|5854B 1656B|   0   204k|   0  10.0 |4285  2728 |1.88 1.12 0.58|3.0   0 278|   0     0 |           | 11   28    1   33    0
May 20 08:21:28 ubuntu dstat.sh[64862]: 20-05 08:21:28| 47   5  46   0   0|1581M  618M  173M 5362M|  24k   21k|   0   376k|   0  11.0 |5802  6607 |1.88 1.12 0.58|2.0   0   0|   0     0 |           | 11   31    1   30    0
May 20 08:21:29 ubuntu dstat.sh[64862]: 20-05 08:21:29| 57  17  25   1   0|1540M  658M  173M 5362M|  14k 9646B|   0   800k|   0  57.0 |5900  6330 |1.88 1.12 0.58|3.0   0 287|   0     0 |           | 11   28    1   33    0
May 20 08:21:30 ubuntu dstat.sh[64862]: 20-05 08:21:30| 54   7  38   0   0|1570M  628M  173M 5362M|  17k   14k|   0   124k|   0  6.00 |4170  3048 |1.88 1.12 0.58|4.0   0   0|   0     0 |           | 11   31    1   33    0
May 20 08:21:31 ubuntu dstat.sh[64862]: 20-05 08:21:31| 52  12  35   0   0|1425M  772M  173M 5363M|  18k   15k|   0  2587k|   0   121 |6714  8427 |2.13 1.18 0.61|5.0   0 112|   0     0 |           | 11   28    1   35    0
May 20 08:21:32 ubuntu dstat.sh[64862]: 20-05 08:21:32| 54   8  37   0   0|1553M  645M  173M 5363M|  11k   10k|   0   168k|   0  9.98 |3743  2293 |2.13 1.18 0.61|2.0   0   0|   0     0 |           | 11   31    1   35    0
May 20 08:21:33 ubuntu dstat.sh[64862]: 20-05 08:21:33| 53  10  37   1   0|1521M  676M  173M 5363M|  24k   18k|   0   425k|   0  43.1 |7304  9454 |2.13 1.18 0.61|7.0   0 111|   0     0 |           | 11   28    1   37    0
May 20 08:21:34 ubuntu dstat.sh[64862]: 20-05 08:21:34| 67  29   3   0   0|1518M  680M  173M 5363M|4870B 1694B|   0   284k|   0  25.0 |5671  4611 |2.13 1.18 0.61|7.0   0 507|   0     0 |           | 11   28    1   37    0
May 20 08:21:35 ubuntu dstat.sh[64862]: 20-05 08:21:35| 81  19   1   0   0|1680M  518M  173M 5363M|  18k   14k|   0   192k|   0  11.0 |6202  5398 |2.13 1.18 0.61|7.0   0 353|   0     0 |           | 11   31    1   37    0
May 20 08:21:36 ubuntu dstat.sh[64862]: 20-05 08:21:36| 76  21   3   0   0|1707M  490M  173M 5363M|  37k   33k|   0   940k|   0  62.0 |8054  9668 |2.44 1.26 0.64|5.0   0 446|   0     0 |           | 11   31    1   36    0
May 20 08:21:37 ubuntu dstat.sh[64862]: 20-05 08:21:37| 75  22   2   0   0|1580M  617M  173M 5363M|  24k   19k|   0   555k|   0  45.0 |7262  8109 |2.44 1.26 0.64|6.0   0 412|   0     0 |           | 11   28    1   36    0
May 20 08:21:38 ubuntu dstat.sh[64862]: 20-05 08:21:38| 83  14   3   0   0|1629M  568M  173M 5363M|  14k   11k|   0  1861k|   0  44.8 |5583  3737 |2.44 1.26 0.64|5.0   0  26|   0     0 |           | 11   30    1   36    0
May 20 08:21:39 ubuntu dstat.sh[64862]: 20-05 08:21:39| 68  13  19   0   0|1611M  586M  173M 5363M|  40k   37k|   0   140k|   0  11.0 |7846    13k|2.44 1.26 0.64|6.0   0 143|   0     0 |           | 11   31    1   38    0
May 20 08:21:40 ubuntu dstat.sh[64862]: 20-05 08:21:40| 32  23  43   0   0|1419M  778M  173M 5363M|  17k   13k|   0   184k|   0  13.0 |7186  8038 |2.44 1.26 0.64|2.0   0 468|   0     0 |           | 11   28    1   41    0
May 20 08:21:41 ubuntu dstat.sh[64862]: 20-05 08:21:41| 24  34  41   0   0|1397M  800M  173M 5363M|4986B 1696B|   0   184k|   0  19.0 |6166  5185 |2.32 1.26 0.64|5.0   0 707|   0     0 |           | 11   28    1   41    0
May 20 08:21:42 ubuntu dstat.sh[64862]: 20-05 08:21:42| 72  20   8   0   0|1541M  656M  173M 5363M|  10k 7338B|   0    12k|   0  3.00 |4999  3437 |2.32 1.26 0.64|3.0   0 285|   0     0 |           | 11   30    1   41    0
May 20 08:21:43 ubuntu dstat.sh[64862]: 20-05 08:21:43| 61   9  29   0   0|1568M  628M  173M 5364M|  27k   23k|   0   352k|   0  39.0 |6925  8676 |2.32 1.26 0.64|4.0   0  52|   0     0 |           | 11   30    1   43    0
May 20 08:21:44 ubuntu dstat.sh[64862]: 20-05 08:21:44| 69  18  12   0   0|1527M  669M  173M 5364M|9958B 6859B|   0   456k|   0  43.0 |6182  5862 |2.32 1.26 0.64|6.0   0 218|   0     0 |           | 11   28    1   45    0
May 20 08:21:45 ubuntu dstat.sh[64862]: 20-05 08:21:45| 68   9  23   0   0|1616M  580M  173M 5364M|  24k   21k|   0   179k|   0  9.97 |6035  5962 |2.32 1.26 0.64|4.0   0   0|   0     0 |           | 11   32    1   45    0
May 20 08:21:46 ubuntu dstat.sh[64862]: 20-05 08:21:46| 55   6  39   0   0|1616M  580M  173M 5364M|  40k   35k|   0   189k|   0  9.02 |  11k   17k|2.30 1.27 0.65|2.0   0   0|   0     0 |           | 11   32    1   45    0
May 20 08:21:47 ubuntu dstat.sh[64862]: 20-05 08:21:47| 68  12  20   0   0|1485M  711M  173M 5364M|  25k   21k|   0  3246k|   0   163 |9736    14k|2.30 1.27 0.65|4.0   0 114|   0     0 |           | 11   28    1   45    0
May 20 08:21:48 ubuntu dstat.sh[64862]: 20-05 08:21:48| 78  12  10   0   0|1586M  610M  173M 5364M|  11k   10k|   0   180k|   0  10.0 |5102  3119 |2.30 1.27 0.65|5.0   0 6.0|   0     0 |           | 11   30    1   45    0
May 20 08:21:49 ubuntu dstat.sh[64862]: 20-05 08:21:49| 51   6  41   0   0|1599M  596M  173M 5364M|  41k   36k|   0   188k|   0  11.0 |  11k   16k|2.30 1.27 0.65|3.0   0   0|   0     0 |           | 11   32    1   45    0
May 20 08:21:50 ubuntu dstat.sh[64862]: 20-05 08:21:50| 58  11  29   0   0|1545M  650M  173M 5365M|  39k   33k|   0   168k|   0  9.00 |  11k   17k|2.30 1.27 0.65|5.0   0 142|   0     0 |           | 11   28    1   49    0
May 20 08:21:51 ubuntu dstat.sh[64862]: 20-05 08:21:51| 79  16   5   0   0|1558M  638M  173M 5365M|8984B 5776B|   0   156k|   0  10.0 |4863  2620 |2.43 1.32 0.66|3.0   0 118|   0     0 |           | 11   29    2   49    0
May 20 08:21:52 ubuntu dstat.sh[64862]: 20-05 08:21:52| 60   7  32   0   0|1593M  603M  173M 5365M|  37k   34k|   0   156k|   0  9.00 |6846    12k|2.43 1.32 0.66|2.0   0 2.0|   0     0 |           | 11   32    1   49    0
May 20 08:21:53 ubuntu dstat.sh[64862]: 20-05 08:21:53| 70  14  15   0   0|1510M  685M  173M 5365M|  21k   16k|   0   348k|   0  34.0 |8501    11k|2.43 1.32 0.66|4.0   0 128|   0     0 |           | 11   28    1   51    0
May 20 08:21:54 ubuntu dstat.sh[64862]: 20-05 08:21:54| 72  10  17   0   0|1585M  610M  173M 5365M|  19k   16k|   0   220k|   0  12.0 |4888  3156 |2.43 1.32 0.66|2.0   0 1.0|   0     0 |           | 11   32    1   51    0
May 20 08:21:55 ubuntu dstat.sh[64862]: 20-05 08:21:55| 67  14  19   0   0|1581M  614M  173M 5366M|  28k   23k|   0   473k|   0  46.1 |7002    13k|2.43 1.32 0.66|7.0   0 155|   0     0 |           | 11   32    1   53    0
May 20 08:21:56 ubuntu dstat.sh[64862]: 20-05 08:21:56| 70  14  16   0   0|1565M  630M  173M 5365M|  27k   21k|   0  1564k|   0  19.0 |5874    14k|2.48 1.34 0.68|6.0   0 144|   0     0 |           | 11   34    1   56    0
May 20 08:21:57 ubuntu dstat.sh[64862]: 20-05 08:21:57| 76  11  12   0   0|1549M  646M  173M 5365M|  20k   16k|   0   184k|   0  11.0 |5797  7712 |2.48 1.34 0.68|4.0   0  43|   0     0 |           | 11   32    1   54    0
May 20 08:21:58 ubuntu dstat.sh[64862]: 20-05 08:21:58| 70  12  17   0   0|1604M  591M  173M 5366M|  21k   17k|   0   136k|   0  9.00 |5613  5663 |2.48 1.34 0.68|4.0   0  43|   0     0 |           | 11   32    1   56    0
May 20 08:21:59 ubuntu dstat.sh[64862]: 20-05 08:21:59| 70  13  16   0   0|1595M  600M  173M 5366M|  20k   17k|   0   168k|   0  6.98 |5632  5387 |2.48 1.34 0.68|4.0   0  68|   0     0 |           | 11   34    1   56    0
May 20 08:22:00 ubuntu dstat.sh[64862]: 20-05 08:22:00| 55  11  33   0   0|1543M  651M  173M 5366M|  23k   18k|   0   404k|   0  36.0 |6410  7265 |2.48 1.34 0.68|5.0   0 138|   0     0 |           | 11   34    1   58    0
May 20 08:22:01 ubuntu dstat.sh[64862]: 20-05 08:22:01| 60  14  27   0   0|1530M  665M  173M 5366M|8545B 5320B|   0   265k|   0  26.1 |4462  2946 |2.68 1.40 0.70|2.0   0 120|   0     0 |           | 11   33    1   58    0
May 20 08:22:02 ubuntu dstat.sh[64862]: 20-05 08:22:02| 50   5  44   0   0|1573M  621M  173M 5366M|  22k   18k|   0   216k|   0  15.0 |4922  5161 |2.68 1.40 0.70|3.0   0   0|   0     0 |           | 11   34    1   59    0
May 20 08:22:03 ubuntu dstat.sh[64862]: 20-05 08:22:03| 50  15  34   0   0|1453M  741M  173M 5366M|  18k   14k|   0   148k|   0  10.0 |6853  8160 |2.68 1.40 0.70|3.0   0 182|   0     0 |           | 11   32    1   61    0
May 20 08:22:04 ubuntu dstat.sh[64862]: 20-05 08:22:04| 61   9  29   0   0|1548M  646M  173M 5366M|9996B 7508B|   0   207k|   0  9.96 |3743  1840 |2.68 1.40 0.70|1.0   0 1.0|   0     0 |           | 11   34    1   61    0
May 20 08:22:05 ubuntu dstat.sh[64862]: 20-05 08:22:05| 42   9  48   0   0|1535M  659M  173M 5366M|  29k   23k|   0   223k|   0  17.0 |6728  9193 |2.68 1.40 0.70|1.0   0  86|   0     0 |           | 11   34    1   56    0
May 20 08:22:06 ubuntu dstat.sh[64862]: 20-05 08:22:06| 34  12  53   0   0|1416M  778M  173M 5366M|9558B 5439B|   0   381k|   0  34.1 |4969  4946 |2.63 1.41 0.71|2.0   0 141|   0     0 |           | 11   32    1   58    0
May 20 08:22:07 ubuntu dstat.sh[64862]: 20-05 08:22:07| 36   5  58   0   0|1480M  714M  173M 5366M|  12k 8759B|   0   152k|   0  10.0 |3098  2261 |2.63 1.41 0.71|2.0   0   0|   0     0 |           | 11   34    1   58    0
May 20 08:22:08 ubuntu dstat.sh[64862]: 20-05 08:22:08| 35   8  56   0   0|1368M  826M  173M 5366M|  15k   12k|   0  4257k|   0   271 |5647  6389 |2.63 1.41 0.71|4.0   0  86|   0     0 |           | 11   32    1   60    0
May 20 08:22:09 ubuntu dstat.sh[64862]: 20-05 08:22:09| 41  10  49   0   0|1430M  764M  173M 5367M|5187B 1899B|   0   463k|   0  59.8 |3221  1721 |2.63 1.41 0.71|1.0   0  54|   0     0 |           | 11   32    2   58    0
May 20 08:22:10 ubuntu dstat.sh[64862]: 20-05 08:22:10| 33   3  61   0   0|1453M  740M  173M 5367M|  19k   16k|   0   340k|   0  30.0 |4476  5157 |2.63 1.41 0.71|1.0   0   0|   0     0 |           | 11   33    1   59    0
May 20 08:22:11 ubuntu dstat.sh[64862]: 20-05 08:22:11| 38  11  51   0   0|1424M  770M  173M 5367M|6983B 3510B|   0   892k|   0  63.0 |3860  3049 |2.58 1.42 0.71|3.0   0  65|   0     0 |           | 11   32    1   60    0
May 20 08:22:12 ubuntu dstat.sh[64862]: 20-05 08:22:12| 35   4  60   0   0|1455M  738M  173M 5367M|  16k   13k|   0   116k|   0  8.02 |3754  3404 |2.58 1.42 0.71|4.0   0   0|   0     0 |           | 11   34    1   60    0
