Sep 02 04:44:58 jammy-provider-cloud-0000007554 systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 04:44:58 jammy-provider-cloud-0000007554 dstat.sh[58646]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 04:44:58 jammy-provider-cloud-0000007554 dstat.sh[58646]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 04:45:13 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:13| 47   4  49   0   0|1217M 1563M  163M 4804M|6585B 1620B|   0   424k|   0  45.0 |1215  1317 |1.40 0.87 0.48|2.0   0   0|   0     0 |   0     0 | 10    5    5   13    0
Sep 02 04:45:14 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:14| 49   6  47   0   0|1251M 1526M  163M 4806M|6757B 1568B|   0  1887k|   0   143 |2324  5366 |1.40 0.87 0.48|2.0   0   0|   0     0 |   0     0 | 10    5    5   13    0
Sep 02 04:45:15 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:15|  4   6  89   0   0|1252M 1524M  163M 4807M|8879B 1617B|   0     0 |   0     0 |1339  2169 |1.36 0.88 0.48|  0   0 118|   0     0 |   0     0 | 10    4    5   13    0
Sep 02 04:45:16 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:16| 20   4  76   0   0|1308M 1469M  163M 4807M|7595B 1697B|   0  1419k|   0  44.1 |1530  2161 |1.36 0.88 0.48|1.0   0  23|   0     0 |   0     0 | 10    4    5   13    0
Sep 02 04:45:17 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:17| 24   2  73   0   0|1345M 1432M  163M 4807M|6900B 1936B|   0    11M|   0  69.9 |1203  1632 |1.36 0.88 0.48|2.0   0   0|   0     0 |   0     0 | 10    6    6   13    0
Sep 02 04:45:18 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:18| 22   5  71   2   0|1276M 1500M  163M 4807M|  10k 1587B|   0  3902k|   0   393 |3118  6246 |1.36 0.88 0.48|1.0   0  43|   0     0 |   0     0 | 10    4    6   14    0
Sep 02 04:45:19 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:19| 23   3  73   0   0|1318M 1458M  163M 4807M|5691B 1620B| 232k 1064k|58.0  23.0 |1643  2792 |1.36 0.88 0.48|2.0   0 1.0|   0     0 |   0     0 | 10   25    6   15    0
Sep 02 04:45:20 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:20| 22   4  73   0   0|1318M 1457M  163M 4807M|6813B 1767B|   0  1228k|   0  47.0 |1397  2082 |1.33 0.88 0.48|1.0   0  45|   0     0 |   0     0 | 10   28    7   15    0
Sep 02 04:45:21 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:21| 30   9  61   0   0|1341M 1434M  163M 4807M|5895B 1695B|   0    12k|   0  3.00 |1976  2865 |1.33 0.88 0.48|2.0   0 156|   0     0 |   0     0 | 10   28    7   15    0
Sep 02 04:45:22 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:22| 45   7  47   0   0|1398M 1377M  163M 4808M|5476B 1564B|   0    47M|   0   673 |3201  7238 |1.33 0.88 0.48|5.0   0   0|   0     0 |   0     0 | 10   29    7   16    0
Sep 02 04:45:23 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:23| 67  21  12   0   0|1475M 1300M  163M 4808M|6261B 1773B|   0   377k|   0  30.1 |2613  4395 |1.33 0.88 0.48|5.0   0 456|   0     0 |   0     0 | 10   28    7   16    0
Sep 02 04:45:24 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:24| 82  15   3   0   0|1474M 1301M  163M 4808M|5425B 1694B|   0  3981k|   0  80.0 |5966    12k|1.33 0.88 0.48|7.0   0 177|   0     0 |   0     0 | 10   29    7   16    0
Sep 02 04:45:25 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:25| 47  11  40   0   0|1290M 1485M  163M 4808M|7644B 1508B|   0   415k|   0  42.9 |3129  6456 |1.55 0.93 0.50|1.0   0 209|   0     0 |   0     0 | 10   28    7   17    0
Sep 02 04:45:26 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:26| 22   5  73   0   0|1345M 1429M  163M 4808M|6098B 1621B|   0     0 |   0     0 |1425  2340 |1.55 0.93 0.50|1.0   0  48|   0     0 |   0     0 | 10   28    7   17    0
Sep 02 04:45:27 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:27| 20   7  73   0   0|1317M 1458M  163M 4808M|5393B 1620B|   0  8837k|   0  99.0 |2142  3789 |1.55 0.93 0.50|1.0   0  68|   0     0 |   0     0 | 10   28    7   17    0
Sep 02 04:45:28 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:28| 22   4  73   0   0|1287M 1488M  163M 4808M|5461B 1697B|   0   369k|   0  39.1 |2191  4149 |1.55 0.93 0.50|2.0   0  36|   0     0 |   0     0 | 10   28    7   16    0
Sep 02 04:45:29 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:29| 10  21  68   0   0|1289M 1486M  163M 4808M|7779B 1619B|   0  1219k|   0  72.0 |2634  3678 |1.55 0.93 0.50|1.0   0 349|   0     0 |   0     0 | 10   28    7   16    0
Sep 02 04:45:30 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:30| 34  27  37   0   0|1393M 1382M  163M 4808M|5954B 1568B|   0  2403k|   0  30.0 |2976  5322 |1.42 0.91 0.50|5.0   0 654|   0     0 |   0     0 | 10   28    7   15    0
Sep 02 04:45:31 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:31| 86   9   4   0   0|1580M 1195M  163M 4808M|6694B 1620B|   0   212k|   0  17.0 |2836  5641 |1.42 0.91 0.50|5.0   0   0|   0     0 |   0     0 | 10   29    7   15    0
Sep 02 04:45:32 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:32| 80  14   5   0   0|1388M 1386M  163M 4809M|6125B 1586B|   0    41M|   0   228 |5559    14k|1.42 0.91 0.50|7.0   0 269|   0     0 |   0     0 | 10   28    6   15    0
Sep 02 04:45:33 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:33| 85  11   3   0   0|1584M 1190M  163M 4809M|6362B 1620B|   0   124k|   0  8.00 |4242  7475 |1.42 0.91 0.50|7.0   0  41|   0     0 |   0     0 | 10   30    6   15    0
Sep 02 04:45:34 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:34| 78  14   6   0   0|1506M 1268M  163M 4809M|8292B 1618B|   0   388k|   0  35.0 |6172    15k|1.42 0.91 0.50|4.0   0 148|   0     0 |   0     0 | 10   31    6   15    0
Sep 02 04:45:35 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:35| 69  10  21   0   0|1410M 1363M  163M 4810M|6601B 1618B|   0   328k|   0  23.0 |3238    12k|1.71 0.98 0.52|3.0   0 150|   0     0 |   0     0 | 10   29    6   15    0
Sep 02 04:45:36 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:36| 55  17  28   0   0|1413M 1360M  163M 4810M|6132B 1695B|   0   212k|   0  15.0 |2787  6435 |1.71 0.98 0.52|3.0   0 380|   0     0 |   0     0 | 10   28    6   15    0
Sep 02 04:45:37 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:37| 60  10  29   0   0|1366M 1407M  163M 4810M|5445B 1622B|   0    26M|   0  94.1 |3396    11k|1.71 0.98 0.52|3.0   0  90|   0     0 |   0     0 | 10   28    6   18    0
Sep 02 04:45:38 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:38| 84  13   4   0   0|1521M 1252M  163M 4810M|4783B 1567B|   0   252k|   0  15.0 |2804  4794 |1.71 0.98 0.52|6.0   0 168|   0     0 |   0     0 | 10   29    6   19    0
Sep 02 04:45:39 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:39| 64  16  21   0   0|1353M 1419M  163M 4810M|5225B 1512B|   0   436k|   0  35.0 |4296    15k|1.71 0.98 0.52|3.0   0 324|   0     0 |   0     0 | 10   28    6   21    0
Sep 02 04:45:40 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:40| 63   7  29   0   0|1471M 1301M  163M 4810M|5597B 1691B|   0  3290k|   0   109 |3013  5836 |1.81 1.02 0.54|2.0   0   0|   0     0 |   0     0 | 10   31    6   22    0
Sep 02 04:45:41 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:41| 64  14  22   0   0|1422M 1350M  163M 4810M|  11k 1735B|   0   416k|   0  35.0 |3571  7382 |1.81 1.02 0.54|4.0   0 299|   0     0 |   0     0 | 10   28    6   24    0
Sep 02 04:45:42 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:42| 58  11  31   0   0|1366M 1406M  163M 4810M|6719B 1665B|   0   465k|   0  36.1 |6071    13k|1.81 1.02 0.54|5.0   0 161|   0     0 |   0     0 | 10   28    6   26    0
Sep 02 04:45:43 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:43| 64  12  24   0   0|1467M 1304M  163M 4811M|8674B 1693B|   0   236k|   0  10.0 |2916  4618 |1.81 1.02 0.54|3.0   0 126|   0     0 |   0     0 | 10   30    6   26    0
Sep 02 04:45:44 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:44| 60  11  27   0   0|1407M 1364M  163M 4811M|7172B 1617B|   0   395k|   0  42.9 |4586  8346 |1.81 1.02 0.54|3.0   0 112|   0     0 |   0     0 | 10   28    6   29    0
Sep 02 04:45:45 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:45| 59   9  31   0   0|1354M 1417M  163M 4811M|8473B 1623B|   0   449k|   0  39.1 |4158  9985 |1.91 1.05 0.55|2.0   0 123|   0     0 |   0     0 | 10   28    6   31    0
Sep 02 04:45:46 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:46| 77  19   4   0   0|1518M 1252M  163M 4812M|7548B 1458B|   0   308k|   0  24.0 |2426  3892 |1.91 1.05 0.55|8.0   0 327|   0     0 |   0     0 | 10   28    6   31    0
Sep 02 04:45:47 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:47| 77  20   2   0   0|1425M 1346M  163M 4812M|5556B 1620B|   0  4552k|   0   221 |3904  9989 |1.91 1.05 0.55|8.0   0 321|   0     0 |   0     0 | 10   28    6   30    0
Sep 02 04:45:48 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:48| 80  16   3   0   0|1458M 1313M  163M 4812M|6136B 1768B|   0  1112k|   0  37.0 |3833  7425 |1.91 1.05 0.55|6.0   0 214|   0     0 |   0     0 | 10   30    6   30    0
Sep 02 04:45:49 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:49| 76  18   6   0   0|1457M 1313M  163M 4812M|6676B 1620B|   0   152k|   0  8.00 |7138    14k|1.91 1.05 0.55|5.0   0 271|   0     0 |   0     0 | 10   29    6   27    0
Sep 02 04:45:50 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:50| 56  21  22   0   0|1302M 1468M  163M 4812M|6544B 1618B|   0   176k|   0  9.99 |6928    17k|2.24 1.13 0.58|3.0   0 635|   0     0 |   0     0 | 10   28    6   28    0
Sep 02 04:45:51 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:51|  8  24  67   0   0|1300M 1470M  163M 4812M|6701B 1620B|   0   168k|   0  8.00 |2658  3636 |2.24 1.13 0.58|1.0   0 391|   0     0 |   0     0 | 10   28    6   28    0
Sep 02 04:45:52 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:52| 10  20  68   0   0|1297M 1472M  163M 4812M|5864B 1693B|   0   164k|   0  8.99 |2426  3198 |2.24 1.13 0.58|1.0   0 290|   0     0 |   0     0 | 10   28    6   28    0
Sep 02 04:45:53 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:53| 43  31  27   0   0|1409M 1361M  163M 4812M|5351B 1515B|   0  3057k|   0  79.1 |3325  6698 |2.24 1.13 0.58|6.0   0 822|   0     0 |   0     0 | 10   28    6   28    0
Sep 02 04:45:54 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:54| 73  15  10   0   0|1477M 1293M  163M 4813M|8707B 1608B|   0   316k|   0  31.0 |5516    11k|2.24 1.13 0.58|4.0   0 135|   0     0 |   0     0 | 10   29    6   28    0
Sep 02 04:45:55 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:55| 79  14   7   0   0|1475M 1295M  163M 4813M|6513B 1621B|   0   364k|   0  39.0 |3340  6002 |2.46 1.20 0.60|5.0   0 201|   0     0 |   0     0 | 10   29    6   25    0
Sep 02 04:45:56 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:56| 63   8  28   0   0|1524M 1246M  163M 4813M|6233B 1690B|   0   423k|   0  20.9 |6903    17k|2.46 1.20 0.60|3.0   0 2.0|   0     0 |   0     0 | 10   32    6   27    0
Sep 02 04:45:57 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:57| 72  11  15   0   0|1363M 1406M  163M 4813M|7267B 1771B|   0   509k|   0  56.1 |5243    17k|2.46 1.20 0.60|4.0   0 154|   0     0 |   0     0 | 10   28    6   28    0
Sep 02 04:45:58 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:58| 83  11   7   0   0|1524M 1245M  163M 4813M|5095B 1694B|   0   180k|   0  10.0 |4951  9666 |2.46 1.20 0.60|4.0   0   0|   0     0 |   0     0 | 10   30    6   30    0
Sep 02 04:45:59 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:45:59| 69   9  21   0   0|1515M 1254M  163M 4814M|5369B 1620B|   0   148k|   0  9.00 |7222    22k|2.46 1.20 0.60|5.0   0  71|   0     0 |   0     0 | 10   31    6   35    0
Sep 02 04:46:00 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:00| 78  12   9   0   0|1468M 1300M  163M 4814M|4969B 1694B|   0   164k|   0  8.00 |5905    12k|2.50 1.23 0.62|4.0   0 196|   0     0 |   0     0 | 10   29    6   35    0
Sep 02 04:46:01 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:01| 77  11  10   0   0|1405M 1363M  163M 4814M|5618B 1512B|   0   264k|   0  24.0 |5600    11k|2.50 1.23 0.62|4.0   0  98|   0     0 |   0     0 | 10   28    6   35    0
Sep 02 04:46:02 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:02| 83  11   5   0   0|1522M 1246M  164M 4814M|6771B 1566B|   0   232k|   0  21.0 |5348  9292 |2.50 1.23 0.62|4.0   0  34|   0     0 |   0     0 | 10   29    6   35    0
Sep 02 04:46:03 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:03| 80  13   6   0   0|1448M 1319M  164M 4815M|6920B 1621B|   0   340k|   0  35.0 |3338  7991 |2.50 1.23 0.62|4.0   0 247|   0     0 |   0     0 | 10   28    6   35    0
Sep 02 04:46:04 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:04| 77  10  13   0   0|1490M 1277M  164M 4815M|6522B 1692B|   0   176k|   0  8.99 |5227    13k|2.50 1.23 0.62|4.0   0  43|   0     0 |   0     0 | 10   29    6   36    0
Sep 02 04:46:05 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:05| 81  14   3   0   0|1517M 1250M  164M 4815M|4951B 1620B|   0   152k|   0  8.00 |2374  3897 |2.78 1.31 0.65|4.0   0 120|   0     0 |   0     0 | 10   30    6   36    0
Sep 02 04:46:06 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:06| 75  15  11   0   0|1390M 1377M  164M 4815M|5458B 1621B|   0   576k|   0  65.0 |4500    12k|2.78 1.31 0.65|3.0   0 263|   0     0 |   0     0 | 10   28    6   36    0
Sep 02 04:46:07 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:07| 63   8  29   0   0|1421M 1346M  164M 4815M|8606B 1661B|   0   228k|   0  13.0 |3412  8867 |2.78 1.31 0.65|5.0   0 8.0|   0     0 |   0     0 | 10   29    6   38    0
Sep 02 04:46:08 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:08| 64  12  25   0   0|1465M 1301M  164M 4815M|5721B 1512B|   0   240k|   0  14.0 |2418  3956 |2.78 1.31 0.65|3.0   0 173|   0     0 |   0     0 | 10   28    6   39    0
Sep 02 04:46:09 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:09| 64  10  26   0   0|1391M 1376M  164M 4816M|6397B 1620B|   0   448k|   0  43.0 |4839  9463 |2.78 1.31 0.65|3.0   0 132|   0     0 |   0     0 | 10   28    6   39    0
Sep 02 04:46:10 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:10| 66   7  27   0   0|1420M 1346M  164M 4816M|6024B 1567B|   0   196k|   0  15.0 |5227  9526 |2.80 1.33 0.66|3.0   0  44|   0     0 |   0     0 | 10   29    6   40    0
Sep 02 04:46:11 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:11| 65  10  25   0   0|1467M 1299M  164M 4816M|6209B 1622B|   0  6499k|   0   192 |2608  4026 |2.80 1.33 0.66|3.0   0  40|   0     0 |   0     0 | 10   29    6   41    0
Sep 02 04:46:12 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:12| 61  12  26   0   0|1395M 1371M  164M 4816M|6299B 1766B|   0   476k|   0  47.9 |5025  9871 |2.80 1.33 0.66|4.0   0 137|   0     0 |   0     0 | 10   28    6   43    0
Sep 02 04:46:13 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:13| 61   9  29   0   0|1415M 1351M  164M 4816M|9695B 1620B|   0   352k|   0  18.0 |4966    10k|2.80 1.33 0.66|3.0   0 5.0|   0     0 |   0     0 | 10   29    6   44    0
Sep 02 04:46:14 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:14| 57  20  23   0   0|1455M 1311M  164M 4816M|7801B 1620B|   0   400k|   0  32.0 |2766  4668 |2.80 1.33 0.66|3.0   0 418|   0     0 |   0     0 | 10   30    6   44    0
Sep 02 04:46:15 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:15| 48  19  32   0   0|1310M 1456M  164M 4817M|  10k 1616B|   0   367k|   0  29.9 |5429    12k|2.82 1.36 0.67|1.0   0 388|   0     0 |   0     0 | 10   28    6   47    0
Sep 02 04:46:16 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:16| 23   4  73   0   0|1367M 1399M  164M 4817M|7154B 1515B|   0   264k|   0  11.0 |1391  1969 |2.82 1.36 0.67|1.0   0  22|   0     0 |   0     0 | 10   28    6   47    0
Sep 02 04:46:17 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:17| 22   6  71   0   0|1310M 1455M  164M 4817M|8452B 1700B|   0   232k|   0  23.0 |2489  5449 |2.82 1.36 0.67|1.0   0  61|   0     0 |   0     0 | 10   28    6   49    0
Sep 02 04:46:18 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:18| 10  21  69   0   0|1310M 1455M  164M 4817M|6794B 1621B|   0  2074k|   0  17.0 |2424  3209 |2.82 1.36 0.67|1.0   0 292|   0     0 |   0     0 | 10   28    6   49    0
Sep 02 04:46:19 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:19| 27  17  55   0   0|1394M 1371M  164M 4817M|9714B 1618B|   0   436k|   0  27.0 |2287  3373 |2.82 1.36 0.67|2.0   0 242|   0     0 |   0     0 | 10   28    6   49    0
Sep 02 04:46:20 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:20| 44   7  48   2   0|1489M 1273M  164M 4819M|7551B 1696B|   0  6016k|   0   384 |2800  5399 |2.75 1.37 0.68|3.0 1.0  23|   0     0 |   0     0 | 10   32    6   49    0
Sep 02 04:46:21 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:21| 40   6  45  10   0|1440M 1317M  164M 4824M|8290B 1845B|   0    27M|   0  2692 |  10k   23k|2.75 1.37 0.68|2.0   0 109|   0     0 |   0     0 | 10   32    6   48    0
Sep 02 04:46:22 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:22| 42   9  44   5   0|1436M 1319M  165M 4825M|8197B 1688B|   0    32M|   0  2687 |8708    21k|2.75 1.37 0.68|2.0   0  22|   0     0 |   0     0 | 10   28    6   48    0
Sep 02 04:46:23 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:23| 46   5  47   1   0|1450M 1306M  165M 4825M|4997B 1590B|   0    13M|   0   873 |2327  4024 |2.75 1.37 0.68|2.0   0 1.0|   0     0 |   0     0 | 10   30    6   47    0
Sep 02 04:46:24 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:24| 39   8  45   9   0|1497M 1257M  165M 4825M|6975B 1640B|   0    16M|   0  2425 |  11k   26k|2.75 1.37 0.68|3.0   0 3.0|   0     0 |   0     0 | 10   30    6   47    0
Sep 02 04:46:25 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:25| 29   9  61   1   0|1390M 1364M  166M 4825M|5623B 1619B|   0  3286k|   0   272 |2217  3829 |2.69 1.38 0.69|1.0   0  99|   0     0 |   0     0 | 10   28    6   46    0
Sep 02 04:46:26 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:26| 24   3  74   0   0|1434M 1320M  166M 4825M|5786B 1620B|   0   884k|   0  52.0 |1126  1582 |2.69 1.38 0.69|1.0   0 4.0|   0     0 |   0     0 | 10   28    6   46    0
Sep 02 04:46:27 jammy-provider-cloud-0000007554 dstat.sh[58646]: 02-09 04:46:27| 22   4  72   1   0|1392M 1362M  166M 4825M|5330B 1617B|   0  6555k|   0   329 |1389  2734 |2.69 1.38 0.69|1.0   0 1.0|   0     0 |   0     0 | 10   32    6   46    0
