Sep 02 06:31:44 jammy-provider-cloud-0000007556 systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 06:31:44 jammy-provider-cloud-0000007556 dstat.sh[58839]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 06:31:44 jammy-provider-cloud-0000007556 dstat.sh[58839]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 06:31:54 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:54| 36   4  60   0   0|1146M 1654M  163M 4784M|6490B 1619B|   0   588k|   0  30.0 |1205  1532 |1.35 0.90 0.48|2.0   0  50|   0     0 |   0     0 | 10    4    3   19    0
Sep 02 06:31:55 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:55| 16  12  73   0   0|1064M 1736M  163M 4784M|4862B 1621B|   0     0 |   0     0 |1886  2741 |1.35 0.90 0.48|2.0   0 205|   0     0 |   0     0 | 10    4    3   19    0
Sep 02 06:31:56 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:56| 10  20  70   0   0|1064M 1736M  163M 4785M|6386B 1621B|   0  1133k|   0   138 |3518  6080 |1.35 0.90 0.48|2.0   0 519|   0     0 |   0     0 | 10    4    3   19    0
Sep 02 06:31:57 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:57| 34  13  52   0   0|1133M 1666M  163M 4785M|5390B 1621B|   0     0 |   0     0 |3858  5446 |1.35 0.90 0.48|3.0   0 194|   0     0 |   0     0 | 10    5    3   19    0
Sep 02 06:31:58 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:58| 48   3  49   0   0|1218M 1581M  163M 4786M|5962B 1620B|   0   360k|   0  39.0 |1222  1233 |1.40 0.92 0.49|3.0   0   0|   0     0 |   0     0 | 10    5    3   19    0
Sep 02 06:31:59 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:31:59| 42   6  50   0   0|1253M 1544M  163M 4788M|6539B 1456B|   0   938k|   0  94.8 |2771  6238 |1.40 0.92 0.49|3.0   0  69|   0     0 |   0     0 | 10    4    3   18    0
Sep 02 06:32:00 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:00|  1   3  94   0   0|1254M 1543M  163M 4788M|6757B 1693B|   0  1088k|   0  31.0 | 943  1456 |1.40 0.92 0.49|1.0   0  49|   0     0 |   0     0 | 10    4    3   18    0
Sep 02 06:32:01 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:01| 18   4  77   0   0|1300M 1496M  163M 4788M|6485B 1717B|   0   893k|   0  43.1 |1459  1999 |1.40 0.92 0.49|1.0   0  22|   0     0 |   0     0 | 10    4    3   14    0
Sep 02 06:32:02 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:02| 24   2  74   0   0|1339M 1457M  163M 4788M|8422B 1620B|   0  4096B|   0  1.00 | 947  1269 |1.40 0.92 0.49|1.0   0 2.0|   0     0 |   0     0 | 10    6    3   14    0
Sep 02 06:32:03 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:03| 24   7  68   1   0|1279M 1517M  163M 4790M|5256B 1620B|   0    15M|   0   370 |3331  7769 |1.37 0.92 0.50|2.0   0  75|   0     0 |   0     0 | 10    4    3   16    0
Sep 02 06:32:04 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:04| 24   4  70   0   0|1301M 1495M  163M 4789M|8740B 1618B|   0   935k|   0  37.9 |1704  3104 |1.37 0.92 0.50|3.0   0 3.0|   0     0 |   0     0 | 10   13    3   17    0
Sep 02 06:32:05 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:05| 21   5  73   0   0|1292M 1504M  163M 4789M|4854B 1619B| 232k 1455k|58.0  66.0 |1798  2867 |1.37 0.92 0.50|1.0   0  45|   0     0 |   0     0 | 10   28    3   16    0
Sep 02 06:32:06 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:06| 20   9  72   0   0|1267M 1529M  163M 4789M|6146B 1461B|   0    12k|   0  3.01 |1611  2309 |1.37 0.92 0.50|5.0   0 111|   0     0 |   0     0 | 10   28    3   19    0
Sep 02 06:32:07 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:07| 43   8  49   0   0|1381M 1415M  163M 4789M|5816B 1620B|   0   464k|   0  79.0 |1898  2587 |1.37 0.92 0.50|2.0   0  45|   0     0 |   0     0 | 10   29    3   19    0
Sep 02 06:32:08 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:08| 48  20  32   0   0|1359M 1436M  163M 4789M|6139B 1662B|   0    47M|   0   736 |5765    12k|1.42 0.94 0.50|5.0   0 417|   0     0 |   0     0 | 10   28    3   22    0
Sep 02 06:32:09 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:09| 81  16   2   0   0|1558M 1238M  163M 4789M|5352B 1620B|   0    12k|   0  3.00 |3894  6356 |1.42 0.94 0.50|6.0   0 161|   0     0 |   0     0 | 10   31    3   22    0
Sep 02 06:32:10 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:10| 77  12  11   0   0|1402M 1393M  163M 4789M|5377B 1619B|   0   372k|   0  38.0 |4782  9233 |1.42 0.94 0.50|2.0   0 200|   0     0 |   0     0 | 10   28    3   22    0
Sep 02 06:32:11 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:11| 28   7  64   0   0|1323M 1472M  163M 4790M|5821B 1618B|   0   232k|   0  26.0 |2413  4324 |1.42 0.94 0.50|1.0   0 110|   0     0 |   0     0 | 10   28    3   23    0
Sep 02 06:32:12 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:12| 21   6  72   0   0|1294M 1501M  163M 4790M|7870B 1845B|   0  4015k|   0  81.0 |2288  3919 |1.42 0.94 0.50|2.0   0  70|   0     0 |   0     0 | 10   28    4   23    0
Sep 02 06:32:13 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:13| 23   4  73   0   0|1341M 1454M  163M 4790M|8649B 1682B|   0  8086k|   0  18.0 |1423  2350 |1.39 0.94 0.51|1.0   0   0|   0     0 |   0     0 | 10   29    4   23    0
Sep 02 06:32:14 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:14| 12  19  69   0   0|1289M 1506M  163M 4790M|8571B 1565B|   0  1287k|   0  84.9 |2801  4221 |1.39 0.94 0.51|2.0   0 290|   0     0 |   0     0 | 10   28    4   23    0
Sep 02 06:32:15 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:15| 16  24  60   0   0|1310M 1485M  163M 4790M|  12k 1697B|   0    32k|   0  8.02 |2884  4144 |1.39 0.94 0.51|4.0   0 495|   0     0 |   0     0 | 10   28    4   23    0
Sep 02 06:32:16 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:16| 81  18   1   0   0|1533M 1262M  163M 4790M|6089B 1695B|   0  2402k|   0  21.0 |2335  4049 |1.39 0.94 0.51|5.0   0 254|   0     0 |   0     0 | 10   30    4   23    0
Sep 02 06:32:17 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:17| 78   9  12   0   0|1485M 1310M  163M 4790M|9537B 1702B|   0   559k|   0  59.9 |6475    16k|1.39 0.94 0.51|5.0   0  54|   0     0 |   0     0 | 10   29    4   24    0
Sep 02 06:32:18 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:18| 81  17   3   0   0|1524M 1270M  163M 4790M|8102B 1621B|   0    27M|   0  75.1 |3274  5930 |1.84 1.04 0.54|6.0   0 256|   0     0 |   0     0 | 10   28    4   23    0
Sep 02 06:32:19 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:19| 83  13   4   0   0|1588M 1207M  163M 4790M|6219B 1693B|   0   148k|   0  8.99 |6175    13k|1.84 1.04 0.54|5.0   0  50|   0     0 |   0     0 | 10   29    4   23    0
Sep 02 06:32:20 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:20| 67  13  18   0   0|1343M 1451M  163M 4791M|5953B 1660B|   0   452k|   0  36.0 |7639    16k|1.84 1.04 0.54|2.0   0 248|   0     0 |   0     0 | 10   28    4   25    0
Sep 02 06:32:21 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:21| 44   7  49   0   0|1350M 1444M  163M 4791M|7991B 1515B|   0   281k|   0  22.0 |3062  6219 |1.84 1.04 0.54|3.0   0  57|   0     0 |   0     0 | 10   29    4   26    0
Sep 02 06:32:22 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:22| 64  15  21   0   0|1447M 1347M  163M 4791M|5448B 1564B|   0   252k|   0  17.0 |3476  6147 |1.84 1.04 0.54|3.0   0 323|   0     0 |   0     0 | 10   29    4   26    0
Sep 02 06:32:23 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:23| 59  15  26   0   0|1351M 1443M  163M 4791M|5565B 1620B|   0    39M|   0   125 |5681    13k|2.09 1.11 0.57|4.0   0 258|   0     0 |   0     0 | 10   28    4   29    0
Sep 02 06:32:24 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:24| 84   9   6   0   0|1524M 1269M  163M 4791M|7822B 1617B|   0   962k|   0  11.0 |2751  6380 |2.09 1.11 0.57|3.0   0   0|   0     0 |   0     0 | 10   31    4   31    0
Sep 02 06:32:25 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:25| 57  16  26   0   0|1379M 1414M  163M 4791M|6392B 1623B|   0   489k|   0  39.1 |5978    13k|2.09 1.11 0.57|3.0   0 325|   0     0 |   0     0 | 10   28    4   34    0
Sep 02 06:32:26 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:26| 63   7  29   0   0|1466M 1327M  163M 4792M|5328B 1619B|   0   300k|   0  26.0 |3425  9457 |2.09 1.11 0.57|3.0   0   0|   0     0 |   0     0 | 10   30    3   39    0
Sep 02 06:32:27 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:27| 62  16  21   0   0|1448M 1345M  163M 4792M|6331B 1694B|   0   376k|   0  31.0 |2666  5357 |2.09 1.11 0.57|3.0   0 299|   0     0 |   0     0 | 10   28    3   39    0
Sep 02 06:32:28 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:28| 59  13  27   0   0|1338M 1455M  163M 4792M|6681B 1513B|   0   404k|   0  37.0 |5969    13k|2.08 1.12 0.57|3.0   0 287|   0     0 |   0     0 | 10   28    3   41    0
Sep 02 06:32:29 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:29| 65   7  28   0   0|1469M 1323M  163M 4792M|7755B 1618B|   0   228k|   0  9.99 |2943  4669 |2.08 1.12 0.57|4.0   0   0|   0     0 |   0     0 | 10   31    3   42    0
Sep 02 06:32:30 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:30| 62  11  27   1   0|1417M 1375M  163M 4793M|5089B 1568B|   0   401k|   0  37.1 |3861  7129 |2.08 1.12 0.57|5.0   0 112|   0     0 |   0     0 | 10   28    3   43    0
Sep 02 06:32:31 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:31| 56  16  28   0   0|1314M 1478M  163M 4793M|6867B 1694B|   0  1468k|   0  47.0 |4690    11k|2.08 1.12 0.57|4.0   0 243|   0     0 |   0     0 | 10   28    4   44    0
Sep 02 06:32:32 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:32| 82  15   2   0   0|1541M 1251M  163M 4793M|6669B 1694B|   0  4161k|   0   144 |2847  4501 |2.08 1.12 0.57|7.0   0 248|   0     0 |   0     0 | 10   28    4   43    0
Sep 02 06:32:33 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:33| 82  15   2   0   0|1444M 1347M  163M 4793M|5758B 1620B|   0  1048k|   0  40.0 |4381  8663 |2.56 1.24 0.61|8.0   0 287|   0     0 |   0     0 | 10   28    4   43    0
Sep 02 06:32:34 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:34| 83  14   3   0   0|1497M 1294M  163M 4793M|5911B 1694B|   0   604k|   0  49.0 |3248  7091 |2.56 1.24 0.61|7.0   0 232|   0     0 |   0     0 | 10   29    4   40    0
Sep 02 06:32:35 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:35| 77  16   6   0   0|1536M 1255M  163M 4793M|5310B 1619B|   0  2327k|   0   146 |6465    16k|2.56 1.24 0.61|4.0   0 293|   0     0 |   0     0 | 10   32    4   41    0
Sep 02 06:32:36 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:36| 47  25  27   0   0|1302M 1489M  163M 4794M|5782B 1513B|   0   180k|   0  10.0 |5956    14k|2.56 1.24 0.61|3.0   0 690|   0     0 |   0     0 | 10   28    4   41    0
Sep 02 06:32:37 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:37| 10  22  68   0   0|1301M 1490M  163M 4794M|5299B 1619B|   0   172k|   0  8.00 |2480  3331 |2.56 1.24 0.61|2.0   0 344|   0     0 |   0     0 | 10   28    4   41    0
Sep 02 06:32:38 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:38| 10  21  67   0   0|1299M 1491M  163M 4794M|8801B 1638B|   0    16k|   0  4.00 |2478  3250 |2.43 1.23 0.62|3.0   0 323|   0     0 |   0     0 | 10   28    4   41    0
Sep 02 06:32:39 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:39| 55  30  15   0   0|1432M 1358M  163M 4794M|7714B 1622B|   0  2948k|   0  63.1 |3171  6795 |2.43 1.23 0.62|4.0   0 803|   0     0 |   0     0 | 10   28    4   41    0
Sep 02 06:32:40 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:40| 78  14   8   0   0|1392M 1398M  163M 4794M|7999B 1663B|   0   921k|   0  77.0 |4393    10k|2.43 1.23 0.62|4.0   0 155|   0     0 |   0     0 | 10   28    4   38    0
Sep 02 06:32:41 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:41| 80  13   6   0   0|1495M 1295M  163M 4794M|7727B 1620B|   0   304k|   0  22.0 |4628  9180 |2.43 1.23 0.62|4.0   0 113|   0     0 |   0     0 | 10   30    4   39    0
Sep 02 06:32:42 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:42| 67   8  22   0   0|1485M 1304M  163M 4795M|5302B 1620B|   0   608k|   0  35.0 |5438    17k|2.43 1.23 0.62|3.0   0  32|   0     0 |   0     0 | 10   31    4   42    0
Sep 02 06:32:43 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:43| 76  13  11   0   0|1432M 1358M  163M 4795M|5777B 1585B|   0  3506k|   0   144 |4697    12k|2.72 1.31 0.65|4.0   0  90|   0     0 |   0     0 | 10   29    4   43    0
Sep 02 06:32:44 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:44| 77  10  13   0   0|1466M 1323M  163M 4795M|5468B 1621B|   0   168k|   0  10.0 |4986    14k|2.72 1.31 0.65|6.0   0  13|   0     0 |   0     0 | 10   30    4   48    0
Sep 02 06:32:45 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:45| 70  12  17   0   0|1420M 1368M  163M 4795M|7541B 1620B|   0   160k|   0  9.00 |6323    18k|2.72 1.31 0.65|4.0   0 192|   0     0 |   0     0 | 10   29    4   52    0
Sep 02 06:32:46 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:46| 81  11   7   0   0|1509M 1279M  163M 4796M|9787B 1607B|   0   312k|   0  23.0 |3825  9639 |2.72 1.31 0.65|5.0   0  62|   0     0 |   0     0 | 10   29    4   53    0
Sep 02 06:32:47 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:47| 78  14   7   0   0|1435M 1353M  163M 4796M|6054B 1695B|   0   112k|   0  7.00 |3909  8280 |2.72 1.31 0.65|4.0   0 132|   0     0 |   0     0 | 10   28    4   53    0
Sep 02 06:32:48 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:48| 76  14   9   0   0|1430M 1358M  163M 4796M|7027B 1661B|   0   412k|   0  43.0 |4922    12k|2.74 1.34 0.66|4.0   0 124|   0     0 |   0     0 | 10   29    4   54    0
Sep 02 06:32:49 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:49| 82  10   8   0   0|1501M 1287M  163M 4796M|7278B 1621B|   0   184k|   0  11.0 |2509  4532 |2.74 1.34 0.66|4.0   0 123|   0     0 |   0     0 | 10   29    4   54    0
Sep 02 06:32:50 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:50| 73  13  12   0   0|1370M 1418M  163M 4796M|5687B 1586B|   0   156k|   0  11.0 |6796    15k|2.74 1.34 0.66|5.0   0 153|   0     0 |   0     0 | 10   28    4   59    0
Sep 02 06:32:51 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:51| 80   9   9   0   0|1525M 1263M  163M 4796M|6896B 1618B|   0   284k|   0  20.0 |3364  7517 |2.74 1.34 0.66|6.0   0  10|   0     0 |   0     0 | 10   30    4   60    0
Sep 02 06:32:52 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:52| 69  17  15   0   0|1450M 1338M  163M 4796M|6334B 1697B|   0   497k|   0  48.1 |3260  6749 |2.74 1.34 0.66|4.0   0 263|   0     0 |   0     0 | 10   28    4   60    0
Sep 02 06:32:53 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:53| 59  10  29   0   0|1345M 1442M  163M 4797M|6559B 1693B|   0   220k|   0  18.0 |3937    10k|2.76 1.37 0.67|4.0   0 181|   0     0 |   0     0 | 10   28    4   63    0
Sep 02 06:32:54 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:54| 67   6  26   0   0|1469M 1318M  163M 4797M|6191B 1616B|   0   387k|   0  18.0 |3332  6394 |2.76 1.37 0.67|3.0   0   0|   0     0 |   0     0 | 10   30    4   63    0
Sep 02 06:32:55 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:55| 63  12  25   0   0|1449M 1338M  163M 4797M|5026B 1643B|   0   401k|   0  36.1 |3066  5020 |2.76 1.37 0.67|3.0   0 132|   0     0 |   0     0 | 10   29    4   65    0
Sep 02 06:32:56 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:56| 61  10  28   0   0|1359M 1428M  163M 4797M|5797B 1620B|   0   272k|   0  24.0 |5055    10k|2.76 1.37 0.67|3.0   0  82|   0     0 |   0     0 | 10   28    4   69    0
Sep 02 06:32:57 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:57| 65   8  27   0   0|1409M 1377M  163M 4797M|5079B 1620B|   0   312k|   0  30.0 |3029  6534 |2.76 1.37 0.67|3.0   0  10|   0     0 |   0     0 | 10   29    4   71    0
Sep 02 06:32:58 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:58| 63  13  25   0   0|1457M 1330M  163M 4797M|5057B 1509B|   0   323k|   0  26.9 |2365  4322 |2.78 1.40 0.68|3.0   0 127|   0     0 |   0     0 | 10   28    4   71    0
Sep 02 06:32:59 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:32:59| 56  15  28   0   0|1352M 1434M  163M 4798M|7888B 1624B|   0   409k|   0  35.1 |5043    11k|2.78 1.40 0.68|4.0   0 258|   0     0 |   0     0 | 10   28    4   73    0
Sep 02 06:33:00 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:00| 62  14  24   0   0|1471M 1315M  163M 4798M|5182B 1690B|   0   343k|   0  25.9 |2834  6236 |2.78 1.40 0.68|4.0   0 166|   0     0 |   0     0 | 10   29    4   73    0
Sep 02 06:33:01 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:01| 35  15  50   0   0|1326M 1460M  163M 4798M|8046B 1623B|   0   293k|   0  19.0 |3415  6648 |2.78 1.40 0.68|2.0   0 410|   0     0 |   0     0 | 10   28    4   72    0
Sep 02 06:33:02 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:02| 25   2  72   0   0|1359M 1427M  163M 4798M|7003B 1617B|   0  2080k|   0  25.0 |1899  3742 |2.78 1.40 0.68|5.0   0 2.0|   0     0 |   0     0 | 10   29    4   72    0
Sep 02 06:33:03 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:03| 15  14  69   0   0|1303M 1482M  163M 4798M|7560B 1643B|   0  5228k|   0   157 |2706  4583 |2.64 1.39 0.69|1.0   0 207|   0     0 |   0     0 | 10   28    4   73    0
Sep 02 06:33:04 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:04| 20  23  55   0   0|1343M 1442M  163M 4798M|7176B 1615B|   0   538k|   0  29.9 |3181  7071 |2.64 1.39 0.69|3.0   0 421|   0     0 |   0     0 | 10   28    4   76    0
Sep 02 06:33:05 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:05| 42   9  49   0   0|1469M 1316M  163M 4799M|5190B 1513B|   0  1557k|   0  47.0 |1332  1656 |2.64 1.39 0.69|2.0   0 2.0|   0     0 |   0     0 | 10   28    4   73    0
Sep 02 06:33:06 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:06| 41   6  44   9   0|1398M 1379M  164M 4805M|5921B 1625B|   0    33M|   0  2913 |  12k   24k|2.64 1.39 0.69|1.0 1.0 124|   0     0 |   0     0 | 10   32    4   73    0
Sep 02 06:33:07 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:07| 41   9  42   6   0|1397M 1379M  164M 4806M|6059B 1616B|   0    29M|   0  2735 |  11k   23k|2.64 1.39 0.69|2.0   0  24|   0     0 |   0     0 | 10   28    4   70    0
Sep 02 06:33:08 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:08| 45   7  49   0   0|1402M 1373M  164M 4806M|6235B 1740B|   0  2201k|   0   106 |1261  1612 |2.59 1.40 0.69|2.0   0 5.0|   0     0 |   0     0 | 10   28    4   70    0
Sep 02 06:33:09 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:09| 39   8  50   3   0|1483M 1292M  165M 4807M|6101B 1620B|   0    21M|   0  2877 |  13k   28k|2.59 1.40 0.69|2.0   0 3.0|   0     0 |   0     0 | 10   30    4   66    0
Sep 02 06:33:10 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:10| 29   7  62   1   0|1346M 1428M  165M 4807M|5610B 1615B|   0  2436k|   0   362 |2944  5135 |2.59 1.40 0.69|2.0   0 101|   0     0 |   0     0 | 10   28    4   66    0
Sep 02 06:33:11 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:11| 23   3  73   0   0|1423M 1352M  165M 4807M|7698B 1567B|   0   941k|   0  62.0 |1070  1530 |2.59 1.40 0.69|1.0   0 2.0|   0     0 |   0     0 | 10   28    4   65    0
Sep 02 06:33:12 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:12| 22   4  72   1   0|1367M 1408M  165M 4807M|5781B 1516B|   0  5855k|   0   312 |1415  2456 |2.59 1.40 0.69|1.0   0 3.0|   0     0 |   0     0 | 10   28    4   65    0
Sep 02 06:33:13 jammy-provider-cloud-0000007556 dstat.sh[58839]: 02-09 06:33:13| 24   3  72   0   0|1423M 1351M  165M 4807M|6527B 1711B|   0   124k|   0  18.0 |1109  1444 |2.46 1.39 0.69|2.0   0 2.0|   0     0 |   0     0 | 10   32    4   65    0
