May 20 15:07:01 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 20 15:07:01 ubuntu dstat.sh[64874]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 20 15:07:01 ubuntu dstat.sh[64874]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 20 15:07:15 ubuntu dstat.sh[64874]: 20-05 15:07:15| 38  14  47   0   0|1235M  975M  170M 5353M|4615B 1566B|   0  1200k|   0  56.0 |5380  4833 |1.44 1.04 0.61|2.0   0 167|   0     0 |           | 11    4    1   19    0
May 20 15:07:16 ubuntu dstat.sh[64874]: 20-05 15:07:16| 30  23  45   0   0|1199M 1011M  170M 5353M|5340B 1700B|   0    36k|   0  8.99 |5895  4303 |1.48 1.05 0.61|3.0   0 390|   0     0 |           | 11    4    1   19    0
May 20 15:07:17 ubuntu dstat.sh[64874]: 20-05 15:07:17| 17  22  60   0   0|1157M 1053M  170M 5354M|4686B 1569B|   0    20k|   0  5.01 |6637  7872 |1.48 1.05 0.61|2.0   0 339|   0     0 |           | 11    4    1   17    0
May 20 15:07:18 ubuntu dstat.sh[64874]: 20-05 15:07:18| 37  13  49   0   0|1206M 1004M  170M 5354M|5026B 1616B|   0     0 |   0     0 |3884  2707 |1.48 1.05 0.61|3.0   0 131|   0     0 |           | 11    5    1   17    0
May 20 15:07:19 ubuntu dstat.sh[64874]: 20-05 15:07:19| 46   4  48   0   0|1276M  933M  170M 5354M|4592B 1512B|   0   420k|   0  31.0 |2693  1141 |1.48 1.05 0.61|2.0   0   0|   0     0 |           | 11    5    1   17    0
May 20 15:07:20 ubuntu dstat.sh[64874]: 20-05 15:07:20| 43   9  46   0   0|1294M  914M  170M 5356M|4842B 1565B|   0    18M|   0   296 |3730  3830 |1.48 1.05 0.61|4.0 4.0   0|   0     0 |           | 11    5    1   17    0
May 20 15:07:21 ubuntu dstat.sh[64874]: 20-05 15:07:21| 18  13  68   0   0|1314M  893M  170M 5357M|5121B 1695B|   0   492k|   0  35.0 |4090  3562 |1.44 1.05 0.62|2.0   0 142|   0     0 |           | 11    4    1   14    0
May 20 15:07:22 ubuntu dstat.sh[64874]: 20-05 15:07:22| 21   4  74   0   0|1373M  834M  170M 5357M|5101B 1620B|   0   160k|   0  16.0 |1844  1328 |1.44 1.05 0.62|2.0   0   0|   0     0 |           | 11    4    1   14    0
May 20 15:07:23 ubuntu dstat.sh[64874]: 20-05 15:07:23| 24   1  73   0   0|1386M  821M  170M 5357M|5025B 1566B|   0     0 |   0     0 |1719  1047 |1.44 1.05 0.62|2.0   0   0|   0     0 |           | 11    6    1   14    0
May 20 15:07:24 ubuntu dstat.sh[64874]: 20-05 15:07:24| 21   5  72   1   0|1339M  868M  170M 5357M|4599B 1564B|   0  2656k|   0   271 |4137  5126 |1.44 1.05 0.62|3.0 1.0  43|   0     0 |           | 11    4    1   16    0
May 20 15:07:25 ubuntu dstat.sh[64874]: 20-05 15:07:25| 23   3  73   1   0|1382M  825M  170M 5357M|4559B 1570B| 144k 3273k|7.02   256 |2137  1878 |1.44 1.05 0.62|3.0   0   0|   0     0 |           | 11    4    1   16    0
May 20 15:07:26 ubuntu dstat.sh[64874]: 20-05 15:07:26| 17   4  77   1   0|1385M  821M  170M 5357M|9360B 6341B| 268k   22M|65.9   410 |2703  2785 |1.49 1.07 0.62|2.0 1.0 1.0|   0     0 |           | 11   21    1   16    0
May 20 15:07:27 ubuntu dstat.sh[64874]: 20-05 15:07:27| 19   5  75   0   0|1397M  810M  170M 5358M|8322B 5332B|   0    16k|   0  2.01 |2651  2171 |1.49 1.07 0.62|2.0   0  45|   0     0 |           | 11   28    1   17    0
May 20 15:07:28 ubuntu dstat.sh[64874]: 20-05 15:07:28| 18   3  79   0   0|1440M  766M  170M 5358M|8541B 5683B|   0  2612k|   0   110 |1808  1330 |1.49 1.07 0.62|1.0   0   0|   0     0 |           | 11   29    1   17    0
May 20 15:07:29 ubuntu dstat.sh[64874]: 20-05 15:07:29| 23   9  67   0   0|1402M  804M  170M 5358M|7317B 4351B|   0    12k|   0  3.00 |3376  2702 |1.49 1.07 0.62|2.0   0 156|   0     0 |           | 11   28    1   18    0
May 20 15:07:30 ubuntu dstat.sh[64874]: 20-05 15:07:30| 37   5  57   0   0|1484M  722M  170M 5358M|9237B 6336B|   0  2265k|   0  14.0 |2896  1941 |1.49 1.07 0.62|3.0   0   0|   0     0 |           | 11   30    1   17    0
May 20 15:07:31 ubuntu dstat.sh[64874]: 20-05 15:07:31| 37   6  57   0   0|1453M  752M  170M 5358M|  19k   15k|   0    29M|   0   226 |6462  8363 |1.45 1.07 0.63|4.0   0  31|   0     0 |           | 11   28    1   18    0
May 20 15:07:32 ubuntu dstat.sh[64874]: 20-05 15:07:32| 67  27   5   0   0|1543M  662M  170M 5360M|4533B 1617B|   0   128k|   0  16.0 |6051    11k|1.45 1.07 0.63|7.0   0 583|   0     0 |           | 11   28    1   18    0
May 20 15:07:33 ubuntu dstat.sh[64874]: 20-05 15:07:33| 86  12   2   0   0|1744M  462M  170M 5358M|  12k   10k|   0   717k|   0  12.0 |5089  6744 |1.45 1.07 0.63|3.0   0   0|   0     0 |           | 11   32    1   19    0
May 20 15:07:34 ubuntu dstat.sh[64874]: 20-05 15:07:34| 76   9  14   0   0|1766M  440M  170M 5358M|  39k   34k|   0   543k|   0  54.9 |8859    13k|1.45 1.07 0.63|5.0   0  50|   0     0 |           | 11   30    1   21    0
May 20 15:07:35 ubuntu dstat.sh[64874]: 20-05 15:07:35| 38  12  48   0   0|1535M  670M  170M 5358M|7644B 4677B|   0   312k|   0  26.0 |4360  4678 |1.45 1.07 0.63|1.0   0 260|   0     0 |           | 11   28    1   23    0
May 20 15:07:36 ubuntu dstat.sh[64874]: 20-05 15:07:36| 18   3  78   0   0|1523M  683M  170M 5358M|9938B 6117B|   0  2076k|   0  16.0 |2254  2119 |1.33 1.05 0.62|1.0   0   0|   0     0 |           | 11   29    1   23    0
May 20 15:07:37 ubuntu dstat.sh[64874]: 20-05 15:07:37| 16   6  75   0   0|1475M  731M  170M 5358M|8743B 3963B|   0   180k|   0  15.0 |3248  3108 |1.33 1.05 0.62|1.0 1.0  68|   0     0 |           | 11   28    1   24    0
May 20 15:07:38 ubuntu dstat.sh[64874]: 20-05 15:07:38| 19   3  78   0   0|1466M  740M  170M 5358M|9729B 5541B|   0   208k|   0  17.0 |2004  1712 |1.33 1.05 0.62|1.0   0   0|   0     0 |           | 11   29    1   24    0
May 20 15:07:39 ubuntu dstat.sh[64874]: 20-05 15:07:39| 16   7  76   0   0|1416M  789M  170M 5358M|7808B 4647B|   0   285k|   0  28.1 |3414  3398 |1.33 1.05 0.62|1.0 1.0  67|   0     0 |           | 11   28    1   25    0
May 20 15:07:40 ubuntu dstat.sh[64874]: 20-05 15:07:40|  7  23  67   1   0|1405M  800M  171M 5358M|4790B 1617B|   0  4127k|   0   224 |5929  4620 |1.33 1.05 0.62|2.0   0 378|   0     0 |           | 11   28    1   25    0
May 20 15:07:41 ubuntu dstat.sh[64874]: 20-05 15:07:41| 40  34  26   0   0|1437M  769M  171M 5358M|5176B 1570B|   0    84M|   0   391 |6372  5139 |1.55 1.10 0.64|6.0 1.0 594|   0     0 |           | 11   28    1   25    0
May 20 15:07:42 ubuntu dstat.sh[64874]: 20-05 15:07:42| 84  12   3   0   0|1669M  536M  171M 5358M|  15k   12k|   0  1284k|   0  67.0 |5274  3177 |1.55 1.10 0.64|7.0 1.0   0|   0     0 |           | 11   31    1   25    0
May 20 15:07:43 ubuntu dstat.sh[64874]: 20-05 15:07:43| 68  10  20   0   0|1687M  519M  171M 5358M|  42k   38k|   0  2723k|   0   116 |9146    15k|1.55 1.10 0.64|6.0 1.0  30|   0     0 |           | 11   30    1   25    0
May 20 15:07:44 ubuntu dstat.sh[64874]: 20-05 15:07:44| 78  21   1   0   0|1558M  647M  171M 5359M|6871B 3061B|   0   451k|   0  42.3 |5992  5344 |1.55 1.10 0.64|6.0   0 282|   0     0 |           | 11   28    1   26    0
May 20 15:07:45 ubuntu dstat.sh[64874]: 20-05 15:07:45| 87  12   1   0   0|1729M  476M  171M 5359M|  15k   12k|   0    48k|   0  1.00 |5474  3412 |1.55 1.10 0.64|3.0 1.0   0|   0     0 |           | 11   31    2   26    0
May 20 15:07:46 ubuntu dstat.sh[64874]: 20-05 15:07:46| 80  11   9   0   0|1754M  450M  171M 5359M|  48k   44k|   0   260k|   0  11.0 |8505    15k|1.66 1.13 0.65|5.0   0  50|   0     0 |           | 11   31    1   29    0
May 20 15:07:47 ubuntu dstat.sh[64874]: 20-05 15:07:47| 56  17  26   0   0|1561M  643M  171M 5359M|  14k   10k|   0   459k|   0  34.9 |6200  6954 |1.66 1.13 0.65|3.0 1.0 247|   0     0 |           | 11   28    1   31    0
May 20 15:07:48 ubuntu dstat.sh[64874]: 20-05 15:07:48| 35   5  59   0   0|1590M  615M  171M 5359M|  13k   11k|   0   116k|   0  8.00 |3334  2821 |1.66 1.13 0.65|4.0   0   0|   0     0 |           | 11   30    1   31    0
May 20 15:07:49 ubuntu dstat.sh[64874]: 20-05 15:07:49| 27  13  59   0   0|1462M  742M  171M 5359M|  14k   10k|   0   269k|   0  24.1 |6092  6628 |1.66 1.13 0.65|4.0 1.0 206|   0     0 |           | 11   28    1   33    0
May 20 15:07:50 ubuntu dstat.sh[64874]: 20-05 15:07:50| 58  17  25   0   0|1539M  665M  171M 5359M|4128B 1567B|   0   148k|   0  10.0 |4460  2468 |1.66 1.13 0.65|3.0 1.0 173|   0     0 |           | 11   28    1   32    0
May 20 15:07:51 ubuntu dstat.sh[64874]: 20-05 15:07:51| 43   6  50   0   0|1566M  638M  171M 5359M|  24k   22k|   0   200k|   0  9.98 |5566  6475 |1.77 1.16 0.67|2.0 1.0 1.0|   0     0 |           | 11   31    1   32    0
May 20 15:07:52 ubuntu dstat.sh[64874]: 20-05 15:07:52| 65  20  15   1   0|1482M  722M  171M 5359M|  13k 8687B|   0   958k|   0  75.2 |6897  7431 |1.77 1.16 0.67|5.0   0 259|   0     0 |           | 11   28    1   33    0
May 20 15:07:53 ubuntu dstat.sh[64874]: 20-05 15:07:53| 71  10  19   0   0|1599M  605M  171M 5359M|  20k   17k|   0   260k|   0  17.0 |5055  3593 |1.77 1.16 0.67|5.0   0   0|   0     0 |           | 11   32    1   33    0
May 20 15:07:54 ubuntu dstat.sh[64874]: 20-05 15:07:54| 59  13  27   0   0|1574M  630M  171M 5360M|  30k   26k|   0   499k|   0  40.0 |9711    13k|1.77 1.16 0.67|6.0   0 209|   0     0 |           | 11   28    1   32    0
May 20 15:07:55 ubuntu dstat.sh[64874]: 20-05 15:07:55| 64  13  21   0   0|1551M  653M  171M 5360M|5662B 2123B|   0   212k|   0  12.0 |3951  2131 |1.77 1.16 0.67|3.0   0 115|   0     0 |           | 11   29    1   32    0
May 20 15:07:56 ubuntu dstat.sh[64874]: 20-05 15:07:56| 45   6  48   0   0|1575M  629M  171M 5360M|  29k   24k|   0  4488k|   0   290 |6056  8173 |2.03 1.22 0.69|5.0   0   0|   0     0 |           | 11   30    1   33    0
May 20 15:07:57 ubuntu dstat.sh[64874]: 20-05 15:07:57| 60  19  21   0   0|1523M  681M  171M 5360M|  11k 6943B|   0  1160k|   0  74.0 |5758  5419 |2.03 1.22 0.69|3.0   0 299|   0     0 |           | 11   28    1   34    0
May 20 15:07:58 ubuntu dstat.sh[64874]: 20-05 15:07:58| 52   7  41   0   0|1579M  625M  171M 5360M|  17k   14k|   0     0 |   0     0 |4178  3184 |2.03 1.22 0.69|5.0   0   0|   0     0 |           | 11   31    1   31    0
May 20 15:07:59 ubuntu dstat.sh[64874]: 20-05 15:07:59| 48  17  34   0   0|1498M  706M  171M 5360M|  20k   16k|   0  2478k|   0   100 |7173  9048 |2.03 1.22 0.69|3.0   0 287|   0     0 |           | 11   28    1   34    0
May 20 15:08:00 ubuntu dstat.sh[64874]: 20-05 15:08:00| 58   8  33   0   0|1583M  621M  171M 5360M|  11k 9315B|   0   191k|   0  7.97 |3714  1929 |2.03 1.22 0.69|1.0   0   0|   0     0 |           | 11   31    1   34    0
May 20 15:08:01 ubuntu dstat.sh[64874]: 20-05 15:08:01| 49   7  42   0   0|1484M  719M  171M 5360M|  24k   19k|   0   325k|   0  34.1 |6595  9076 |2.03 1.24 0.70|3.0   0  38|   0     0 |           | 11   28    1   36    0
May 20 15:08:02 ubuntu dstat.sh[64874]: 20-05 15:08:02| 61  14  24   0   0|1540M  663M  171M 5360M|6565B 3526B| 128k  224k|1.00  9.98 |4205  2232 |2.03 1.24 0.70|3.0   0  82|   0     0 |           | 11   29    0   36    0
May 20 15:08:03 ubuntu dstat.sh[64874]: 20-05 15:08:03| 44   5  51   0   0|1564M  639M  171M 5361M|  25k   22k|   0   164k|   0  10.0 |4903  6702 |2.03 1.24 0.70|4.0   0   0|   0     0 |           | 11   30    0   37    0
May 20 15:08:04 ubuntu dstat.sh[64874]: 20-05 15:08:04| 53  25  21   0   0|1522M  680M  171M 5361M|8866B 4379B|   0  1976k|   0  86.0 |6644  6582 |2.03 1.24 0.70|7.0   0 466|   0     0 |           | 11   28    0   38    0
May 20 15:08:05 ubuntu dstat.sh[64874]: 20-05 15:08:05| 79  21   0   0   0|1650M  553M  171M 5361M|6124B 3167B|   0   184k|   0  11.0 |5540  4386 |2.03 1.24 0.70|8.0   0 360|   0     0 |           | 11   29    0   38    0
May 20 15:08:06 ubuntu dstat.sh[64874]: 20-05 15:08:06| 76  20   4   0   0|1749M  453M  171M 5361M|  36k   31k|   0   188k|   0  9.00 |7548  8347 |2.43 1.33 0.73|8.0   0 398|   0     0 |           | 11   33    0   38    0
May 20 15:08:07 ubuntu dstat.sh[64874]: 20-05 15:08:07| 74  23   3   0   0|1732M  470M  171M 5361M|  35k   30k|   0   992k|   0  74.0 |8665    11k|2.43 1.33 0.73|7.0   0 473|   0     0 |           | 11   29    0   39    0
May 20 15:08:08 ubuntu dstat.sh[64874]: 20-05 15:08:08| 82  17   0   0   0|1597M  605M  171M 5361M|7524B 3677B|   0   304k|   0  21.0 |5552  3747 |2.43 1.33 0.73|6.0   0 157|   0     0 |           | 11   28    0   39    0
May 20 15:08:09 ubuntu dstat.sh[64874]: 20-05 15:08:09| 72  10  17   0   0|1673M  529M  171M 5361M|  34k   32k|   0   120k|   0  8.00 |7341  9143 |2.43 1.33 0.73|3.0   0   0|   0     0 |           | 11   33    0   39    0
May 20 15:08:10 ubuntu dstat.sh[64874]: 20-05 15:08:10| 57  21  22   0   0|1467M  735M  171M 5361M|  31k   26k|   0    68k|   0  7.01 |9155    13k|2.43 1.33 0.73|2.0   0 521|   0     0 |           | 11   28    0   44    0
May 20 15:08:11 ubuntu dstat.sh[64874]: 20-05 15:08:11| 11  24  63   0   0|1381M  821M  171M 5361M|4817B 1620B|   0    24k|   0  6.00 |5531  3998 |2.39 1.34 0.74|3.0   0 419|   0     0 |           | 11   28    0   42    0
May 20 15:08:12 ubuntu dstat.sh[64874]: 20-05 15:08:12| 61  33   6   0   0|1511M  691M  171M 5361M|4971B 2231B|   0    44k|   0  7.99 |5560  4619 |2.39 1.34 0.74|3.0   0 662|   0     0 |           | 11   29    0   42    0
May 20 15:08:13 ubuntu dstat.sh[64874]: 20-05 15:08:13| 62   8  29   0   0|1612M  590M  171M 5362M|  25k   23k|   0   476k|   0  38.0 |5630  6603 |2.39 1.34 0.74|3.0   0   0|   0     0 |           | 11   31    0   42    1
May 20 15:08:14 ubuntu dstat.sh[64874]: 20-05 15:08:14| 68  16  15   1   0|1580M  622M  171M 5362M|  17k   12k|   0  3586k|   0   240 |6951  8336 |2.39 1.34 0.74|4.0   0 201|   0     0 |           | 11   28    0   46    0
May 20 15:08:15 ubuntu dstat.sh[64874]: 20-05 15:08:15| 75  12  13   0   0|1617M  585M  171M 5362M|  15k   12k|   0   212k|   0  13.0 |4921  3010 |2.39 1.34 0.74|4.0   0  67|   0     0 |           | 11   31    0   46    0
May 20 15:08:16 ubuntu dstat.sh[64874]: 20-05 15:08:16| 55   7  38   0   0|1632M  569M  171M 5362M|  42k   37k|   0   188k|   0  11.0 |  12k   18k|2.44 1.37 0.75|4.0   0   0|   0     0 |           | 11   32    0   46    0
May 20 15:08:17 ubuntu dstat.sh[64874]: 20-05 15:08:17| 63  10  26   0   0|1535M  666M  171M 5362M|  33k   27k|   0   575k|   0  57.9 |  10k   16k|2.44 1.37 0.75|6.0   0  76|   0     0 |           | 11   28    0   47    0
May 20 15:08:18 ubuntu dstat.sh[64874]: 20-05 15:08:18| 77  13   9   0   0|1577M  624M  171M 5362M|  10k 7557B|   0   233k|   0  14.0 |4805  2643 |2.44 1.37 0.75|3.0   0  44|   0     0 |           | 11   30    0   47    0
May 20 15:08:19 ubuntu dstat.sh[64874]: 20-05 15:08:19| 59   7  33   0   0|1606M  594M  171M 5362M|  33k   29k|   0  1972k|   0   120 |7955    11k|2.44 1.37 0.75|3.0   0   0|   0     0 |           | 11   32    0   47    0
May 20 15:08:20 ubuntu dstat.sh[64874]: 20-05 15:08:20| 52   8  37   0   0|1605M  596M  171M 5363M|  45k   40k|   0   180k|   0  9.00 |  13k   19k|2.44 1.37 0.75|3.0   0  71|   0     0 |           | 11   29    0   50    0
May 20 15:08:21 ubuntu dstat.sh[64874]: 20-05 15:08:21| 78  17   5   0   0|1534M  667M  171M 5363M|  10k 6493B|   0   152k|   0  9.98 |5266  3619 |2.57 1.42 0.77|3.0   0 190|   0     0 |           | 11   29    0   51    0
May 20 15:08:22 ubuntu dstat.sh[64874]: 20-05 15:08:22| 65   8  27   0   0|1602M  599M  171M 5363M|  27k   24k|   0   229k|   0  12.0 |6489  7635 |2.57 1.42 0.77|2.0   0 2.0|   0     0 |           | 11   32    0   51    0
May 20 15:08:23 ubuntu dstat.sh[64874]: 20-05 15:08:23| 63  11  24   0   0|1499M  701M  171M 5363M|  32k   27k|   0   308k|   0  23.0 |  10k   15k|2.57 1.42 0.77|3.0   0  99|   0     0 |           | 11   29    0   52    0
May 20 15:08:24 ubuntu dstat.sh[64874]: 20-05 15:08:24| 78  12   9   0   0|1567M  633M  171M 5363M|  13k 8779B|   0   204k|   0  18.0 |5229  3424 |2.57 1.42 0.77|4.0   0  30|   0     0 |           | 11   30    0   52    0
May 20 15:08:25 ubuntu dstat.sh[64874]: 20-05 15:08:25| 62  12  26   0   0|1549M  651M  171M 5363M|  23k   19k|   0   339k|   0  35.9 |6648  7470 |2.57 1.42 0.77|4.0   0 120|   0     0 |           | 11   30    0   54    0
May 20 15:08:26 ubuntu dstat.sh[64874]: 20-05 15:08:26| 71   9  19   0   0|1599M  600M  171M 5363M|  30k   25k|   0   236k|   0  22.0 |6459    11k|2.68 1.46 0.79|2.0   0 1.0|   0     0 |           | 11   32    0   55    0
May 20 15:08:27 ubuntu dstat.sh[64874]: 20-05 15:08:27| 62  14  23   0   0|1562M  638M  171M 5364M|  27k   22k|   0   494k|   0  51.8 |6842  8886 |2.68 1.46 0.79|4.0   0 142|   0     0 |           | 11   33    0   54    0
May 20 15:08:28 ubuntu dstat.sh[64874]: 20-05 15:08:28| 73  14  13   0   0|1561M  639M  171M 5364M|  15k   12k|   0   193k|   0  10.0 |5106  4194 |2.68 1.46 0.79|3.0   0  86|   0     0 |           | 11   34    0   55    0
May 20 15:08:29 ubuntu dstat.sh[64874]: 20-05 15:08:29| 72  11  16   0   0|1641M  559M  171M 5364M|  22k   18k|   0   120k|   0  8.01 |5686  6208 |2.68 1.46 0.79|3.0   0  68|   0     0 |           | 11   34    0   57    0
May 20 15:08:30 ubuntu dstat.sh[64874]: 20-05 15:08:30| 65  10  23   0   0|1660M  539M  171M 5364M|  23k   20k|   0   379k|   0  36.9 |6502  8135 |2.68 1.46 0.79|3.0   0  72|   0     0 |           | 11   34    0   59    0
May 20 15:08:31 ubuntu dstat.sh[64874]: 20-05 15:08:31| 52  16  31   0   0|1579M  620M  171M 5364M|  14k   10k|   0   389k|   0  35.1 |5767  4981 |2.63 1.47 0.79|2.0   0 186|   0     0 |           | 11   33    0   60    0
May 20 15:08:32 ubuntu dstat.sh[64874]: 20-05 15:08:32| 54   8  37   0   0|1586M  613M  171M 5364M|  15k   13k|   0   332k|   0  18.0 |4693  4930 |2.63 1.47 0.79|3.0   0 1.0|   0     0 |           | 11   33    0   61    0
May 20 15:08:33 ubuntu dstat.sh[64874]: 20-05 15:08:33| 54  13  33   0   0|1610M  589M  171M 5364M|  23k   17k|   0   188k|   0  14.0 |7238    17k|2.63 1.47 0.79|3.0   0 132|   0     0 |           | 11   33    0   63    0
May 20 15:08:34 ubuntu dstat.sh[64874]: 20-05 15:08:34| 53  12  34   0   0|1530M  669M  171M 5364M|  12k 9124B|   0  2263k|   0   135 |4548  3865 |2.63 1.47 0.79|3.0   0  86|   0     0 |           | 11   33    0   64    0
May 20 15:08:35 ubuntu dstat.sh[64874]: 20-05 15:08:35| 45  10  43   0   0|1549M  650M  171M 5364M|  18k   15k|   0  1534k|   0  9.99 |4645  4983 |2.63 1.47 0.79|1.0   0  86|   0     0 |           | 11   34    0   57    0
May 20 15:08:36 ubuntu dstat.sh[64874]: 20-05 15:08:36| 32   7  61   0   0|1480M  719M  171M 5364M|  19k   14k|   0   349k|   0  29.1 |5784  7427 |2.58 1.48 0.80|3.0   0  67|   0     0 |           | 11   32    0   59    0
May 20 15:08:37 ubuntu dstat.sh[64874]: 20-05 15:08:37| 40  10  48   0   0|1461M  738M  171M 5364M|6264B 1619B|   0   136k|   0  9.00 |3410  1919 |2.58 1.48 0.80|2.0   0  68|   0     0 |           | 11   32    0   59    0
May 20 15:08:38 ubuntu dstat.sh[64874]: 20-05 15:08:38| 30   4  65   0   0|1485M  714M  171M 5364M|  20k   15k|   0   140k|   0  7.00 |3922  4070 |2.58 1.48 0.80|1.0   0   0|   0     0 |           | 11   33    0   60    0
May 20 15:08:39 ubuntu dstat.sh[64874]: 20-05 15:08:39| 37  12  50   0   0|1443M  756M  171M 5365M|  10k 5019B|   0   371k|   0  26.9 |4581  4604 |2.58 1.48 0.80|2.0   0 138|   0     0 |           | 11   32    0   59    0
May 20 15:08:40 ubuntu dstat.sh[64874]: 20-05 15:08:40| 34   5  60   0   0|1486M  712M  171M 5365M|  12k 9264B|   0   136k|   0  11.0 |2859  2108 |2.58 1.48 0.80|1.0   0   0|   0     0 |           | 11   34    0   59    0
May 20 15:08:41 ubuntu dstat.sh[64874]: 20-05 15:08:41| 35   9  56   1   0|1444M  754M  171M 5365M|  15k   11k|   0  3869k|   0   215 |5655  5997 |2.53 1.49 0.81|3.0   0  63|   0     0 |           | 11   32    0   61    0
May 20 15:08:42 ubuntu dstat.sh[64874]: 20-05 15:08:42| 40   7  53   0   0|1495M  703M  171M 5365M|9507B 6508B|   0   220k|   0  10.0 |2911  1832 |2.53 1.49 0.81|2.0   0 5.0|   0     0 |           | 11   33    0   61    0
May 20 15:08:43 ubuntu dstat.sh[64874]: 20-05 15:08:43| 34   5  59   0   0|1486M  712M  171M 5365M|  18k   14k|   0   128k|   0  7.98 |4801  5797 |2.53 1.49 0.81|2.0   0  22|   0     0 |           | 11   33    0   62    0
