Apr 16 18:57:15 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 16 18:57:15 ubuntu dstat.sh[65030]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 16 18:57:15 ubuntu dstat.sh[65030]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 16 18:58:34 ubuntu dstat.sh[65030]: 16-04 18:58:34| 55   6  39   0   0|1590M  632M  171M 5342M|  40k   35k|   0   140k|   0  7.99 |  10k   17k|3.04 1.43 0.72|3.0   0   0|   0     0 |           | 11   31    0   47    0
Apr 16 18:58:35 ubuntu dstat.sh[65030]: 16-04 18:58:35| 65  15  19   0   0|1520M  702M  171M 5342M|  31k   25k|   0  1390k|   0  12.0 |9156    13k|3.04 1.43 0.72|4.0   0 205|   0     0 |           | 11   28    0   50    0
Apr 16 18:58:36 ubuntu dstat.sh[65030]: 16-04 18:58:36| 76  14  10   0   0|1547M  674M  171M 5342M|  11k 7849B|   0   164k|   0  8.00 |4888  2847 |2.96 1.44 0.72|2.0   0  55|   0     0 |           | 11   30    0   50    0
Apr 16 18:58:37 ubuntu dstat.sh[65030]: 16-04 18:58:37| 59   8  32   0   0|1552M  670M  171M 5342M|  38k   33k|   0   124k|   0  8.00 |8244    13k|2.96 1.44 0.72|3.0   0  30|   0     0 |           | 11   31    0   51    0
Apr 16 18:58:38 ubuntu dstat.sh[65030]: 16-04 18:58:38| 73  14  12   0   0|1524M  697M  171M 5342M|  19k   14k|   0  4156k|   0   198 |7273  8808 |2.96 1.44 0.72|4.0   0  70|   0     0 |           | 11   28    0   49    0
Apr 16 18:58:39 ubuntu dstat.sh[65030]: 16-04 18:58:39| 71  10  20   0   0|1557M  665M  171M 5342M|  18k   15k|   0  1812k|   0   122 |5511  4753 |2.96 1.44 0.72|3.0   0  30|   0     0 |           | 11   30    0   50    0
Apr 16 18:58:40 ubuntu dstat.sh[65030]: 16-04 18:58:40| 65  14  19   0   0|1593M  629M  171M 5342M|  21k   17k|   0   383k|   0  41.9 |6953  8237 |2.96 1.44 0.72|4.0   0 122|   0     0 |           | 11   34    0   51    0
Apr 16 18:58:41 ubuntu dstat.sh[65030]: 16-04 18:58:41| 61  12  27   0   0|1565M  656M  171M 5343M|  32k   28k|   0   124k|   0  7.01 |7461    11k|3.20 1.52 0.75|4.0   0  60|   0     0 |           | 11   35    0   52    0
Apr 16 18:58:42 ubuntu dstat.sh[65030]: 16-04 18:58:42| 69  14  16   0   0|1480M  741M  171M 5343M|  22k   17k|   0   128k|   0  8.00 |5938  7841 |3.20 1.52 0.75|3.0   0 129|   0     0 |           | 11   33    0   54    0
Apr 16 18:58:43 ubuntu dstat.sh[65030]: 16-04 18:58:43| 71  11  17   0   0|1505M  716M  171M 5343M|  17k   13k|   0   148k|   0  9.00 |4938  4652 |3.20 1.52 0.75|7.0   0  61|   0     0 |           | 11   34    0   55    0
Apr 16 18:58:44 ubuntu dstat.sh[65030]: 16-04 18:58:44| 67  10  22   0   0|1587M  633M  171M 5343M|  25k   21k|   0   284k|   0  24.6 |5986  8596 |3.20 1.52 0.75|6.0   0  45|   0     0 |           | 11   33    0   57    0
Apr 16 18:58:45 ubuntu dstat.sh[65030]: 16-04 18:58:45| 63  14  23   0   0|1495M  726M  171M 5343M|  13k   10k|   0   413k|   0  37.5 |4862  4615 |3.20 1.52 0.75|3.0   0 140|   0     0 |           | 11   32    0   59    0
Apr 16 18:58:46 ubuntu dstat.sh[65030]: 16-04 18:58:46| 49   9  41   0   0|1553M  668M  171M 5343M|  16k   13k|   0   244k|   0  20.0 |4239  3470 |3.11 1.53 0.76|4.0   0  60|   0     0 |           | 11   33    0   58    0
Apr 16 18:58:47 ubuntu dstat.sh[65030]: 16-04 18:58:47| 52  14  34   0   0|1488M  732M  171M 5343M|  16k   12k|   0   217k|   0  15.0 |6094  6757 |3.11 1.53 0.76|2.0   0 156|   0     0 |           | 11   33    0   59    0
Apr 16 18:58:48 ubuntu dstat.sh[65030]: 16-04 18:58:48| 53   9  37   0   0|1508M  712M  171M 5343M|  17k   15k|   0   192k|   0  12.0 |4548  4794 |3.11 1.53 0.76|1.0   0  43|   0     0 |           | 11   34    0   60    0
Apr 16 18:58:49 ubuntu dstat.sh[65030]: 16-04 18:58:49| 50   8  41   0   0|1502M  718M  171M 5343M|  21k   17k|   0   208k|   0  14.0 |4951  6394 |3.11 1.53 0.76|4.0   0  43|   0     0 |           | 11   33    0   62    0
Apr 16 18:58:50 ubuntu dstat.sh[65030]: 16-04 18:58:50| 38   7  53   0   0|1456M  764M  171M 5343M|  14k   11k|   0   312k|   0  24.0 |4001  4718 |3.11 1.53 0.76|3.0   0  86|   0     0 |           | 11   33    0   57    0
Apr 16 18:58:51 ubuntu dstat.sh[65030]: 16-04 18:58:51| 35   8  56   0   0|1459M  761M  171M 5343M|  14k   10k|   0   927k|   0  22.1 |4148  4615 |3.10 1.55 0.77|3.0   0  68|   0     0 |           | 11   32    0   57    1
Apr 16 18:58:52 ubuntu dstat.sh[65030]: 16-04 18:58:52| 37   8  55   0   0|1489M  731M  171M 5344M|  11k 8203B|   0   183k|   0  13.0 |3613  3019 |3.10 1.55 0.77|2.0   0  68|   0     0 |           | 11   33    0   58    0
Apr 16 18:58:53 ubuntu dstat.sh[65030]: 16-04 18:58:53| 42   8  49   0   0|1481M  738M  171M 5344M|  12k 8770B|   0  2765k|   0   124 |4536    13k|3.10 1.55 0.77|1.0   0  70|   0     0 |           | 11   33    0   60    0
Apr 16 18:58:54 ubuntu dstat.sh[65030]: 16-04 18:58:54| 33   9  56   0   0|1460M  759M  171M 5344M|  14k   10k|   0   334k|   0  24.9 |4613  5076 |3.10 1.55 0.77|3.0   0 103|   0     0 |           | 11   33    0   58    0
Apr 16 18:58:55 ubuntu dstat.sh[65030]: 16-04 18:58:55| 38   9  53   0   0|1406M  813M  171M 5344M|6546B 3795B|   0   217k|   0  21.1 |3384  2602 |3.10 1.55 0.77|1.0   0  60|   0     0 |           | 11   33    0   59    0
Apr 16 18:58:56 ubuntu dstat.sh[65030]: 16-04 18:58:56| 32   4  63   0   0|1453M  767M  171M 5344M|  18k   15k|   0   156k|   0  9.99 |3452  3714 |2.93 1.54 0.77|1.0   0   0|   0     0 |           | 11   34    0   59    0
