Feb 19 09:51:49 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 09:51:49 ubuntu dstat.sh[59388]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 09:51:49 ubuntu dstat.sh[59388]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 09:51:59 ubuntu dstat.sh[59388]: 19-02 09:51:59| 39  10  49   0   0|1238M 1263M  165M 5080M|  11k 3428B|   0  1606k|   0  55.1 |9862    17k|1.35 0.91 0.52|2.0   0  83|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:00 ubuntu dstat.sh[59388]: 19-02 09:52:00| 44   9  46   0   0|1287M 1213M  165M 5081M|4435B 1618B|   0  1127k|   0  28.0 |  11k   18k|1.35 0.91 0.52|2.0   0  20|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:01 ubuntu dstat.sh[59388]: 19-02 09:52:01| 42   9  48   1   0|1208M 1305M  165M 5070M|4321B 1662B|   0  9417k|   0   425 |3935  3494 |1.35 0.91 0.52|2.0   0  21|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:02 ubuntu dstat.sh[59388]: 19-02 09:52:02| 45   7  49   0   0|1195M 1318M  165M 5070M|4519B 1621B|   0   556k|   0  11.0 |3251  1732 |1.41 0.93 0.53|3.0   0  54|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:03 ubuntu dstat.sh[59388]: 19-02 09:52:03| 17  11  71   0   0|1175M 1337M  165M 5070M|4633B 1499B|   0    12k|   0  3.00 |3429  2327 |1.41 0.93 0.53|1.0   0 154|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:04 ubuntu dstat.sh[59388]: 19-02 09:52:04|  9  21  69   0   0|1110M 1403M  165M 5070M|4508B 1623B|   0    16k|   0  4.01 |5167  3513 |1.41 0.93 0.53|1.0   0 282|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:05 ubuntu dstat.sh[59388]: 19-02 09:52:05|  8  22  68   0   0|1070M 1442M  165M 5070M|4514B 1457B|   0  9970k|   0  48.0 |5436  3792 |1.41 0.93 0.53|1.0   0 300|   0     0 |           | 11    4    0   19    0
Feb 19 09:52:06 ubuntu dstat.sh[59388]: 19-02 09:52:06| 25  18  57   0   0|1102M 1403M  165M 5078M|4745B 1622B|7712k   36k|78.1  4.00 |5802  6582 |1.41 0.93 0.53|3.0   0 206|   0     0 |           | 11    4    0   13    0
Feb 19 09:52:07 ubuntu dstat.sh[59388]: 19-02 09:52:07| 44   8  46   0   0|1187M 1318M  165M 5078M|4594B 1458B|  20k  472k|4.00  3.00 |3137  1709 |1.45 0.95 0.54|2.0   0  51|   0     0 |           | 11    5    0   13    0
Feb 19 09:52:08 ubuntu dstat.sh[59388]: 19-02 09:52:08| 44   7  48   0   0|1213M 1291M  165M 5079M|4915B 1618B| 491k  468k|4.00  9.99 |2932  1700 |1.45 0.95 0.54|3.0   0   0|   0     0 |           | 11    5    0   13    0
Feb 19 09:52:09 ubuntu dstat.sh[59388]: 19-02 09:52:09| 35  11  54   0   0|1222M 1280M  165M 5081M|4222B 1459B|   0   753k|   0  49.0 |4127  5116 |1.45 0.95 0.54|1.0   0 105|   0     0 |           | 11    4    0   13    0
Feb 19 09:52:10 ubuntu dstat.sh[59388]: 19-02 09:52:10|  6   5  88   0   0|1239M 1263M  165M 5081M|4794B 1618B|   0    14M|   0  73.9 |1769  1695 |1.45 0.95 0.54|1.0   0  36|   0     0 |           | 11    4    0   13    0
Feb 19 09:52:11 ubuntu dstat.sh[59388]: 19-02 09:52:11| 22   4  73   0   0|1312M 1190M  165M 5081M|5543B 1459B|   0  4256k|   0   120 |2481  1386 |1.45 0.95 0.54|1.0   0 2.0|   0     0 |           | 11    4    0   13    0
Feb 19 09:52:12 ubuntu dstat.sh[59388]: 19-02 09:52:12| 25   2  73   0   0|1329M 1173M  165M 5082M|5423B 1715B|   0   168k|   0  14.0 |1810  1305 |1.42 0.95 0.54|1.0   0 1.0|   0     0 |           | 11    6    0   13    0
Feb 19 09:52:13 ubuntu dstat.sh[59388]: 19-02 09:52:13| 20   6  72   1   0|1287M 1214M  165M 5082M|5933B 1618B|   0  1825k|   0   214 |3502  4419 |1.42 0.95 0.54|1.0   0  42|   0     0 |           | 11    4    0   15    0
Feb 19 09:52:14 ubuntu dstat.sh[59388]: 19-02 09:52:14| 19   2  77   0   0|1327M 1174M  166M 5082M|6584B 3862B| 488k    0 |24.0     0 |1637  1168 |1.42 0.95 0.54|  0   0   0|   0     0 |           | 11    5    0   15    0
Feb 19 09:52:15 ubuntu dstat.sh[59388]: 19-02 09:52:15| 22   3  74   1   0|1330M 1170M  166M 5083M|7663B 4015B| 273k   22M|67.1   152 |2967  2980 |1.42 0.95 0.54|2.0   0 3.0|   0     0 |           | 11   29    0   15    0
Feb 19 09:52:16 ubuntu dstat.sh[59388]: 19-02 09:52:16| 19   6  74   0   0|1303M 1197M  166M 5083M|8773B 5383B|   0  3803k|   0   140 |2835  2705 |1.42 0.95 0.54|2.0   0  43|   0     0 |           | 11   28    0   16    0
Feb 19 09:52:17 ubuntu dstat.sh[59388]: 19-02 09:52:17| 19   2  79   0   0|1326M 1174M  166M 5083M|9633B 6251B|   0  1384k|   0  11.0 |1777  1326 |1.38 0.95 0.55|2.0   0   0|   0     0 |           | 11   29    0   16    0
Feb 19 09:52:18 ubuntu dstat.sh[59388]: 19-02 09:52:18| 24  14  62   0   0|1366M 1134M  166M 5083M|7468B 3748B|   0  2272k|   0  17.0 |3772  2759 |1.38 0.95 0.55|3.0   0 156|   0     0 |           | 11   28    0   16    0
Feb 19 09:52:19 ubuntu dstat.sh[59388]: 19-02 09:52:19| 37   6  57   0   0|1433M 1066M  166M 5083M|  12k 9281B|   0   344k|   0  13.0 |3427  2788 |1.38 0.95 0.55|3.0   0 1.0|   0     0 |           | 11   30    0   16    0
Feb 19 09:52:20 ubuntu dstat.sh[59388]: 19-02 09:52:20| 34  11  52   0   0|1419M 1081M  166M 5083M|  16k   12k|   0  3914k|   0  29.0 |7061  8776 |1.38 0.95 0.55|7.0   0 229|   0     0 |           | 11   28    0   17    0
Feb 19 09:52:21 ubuntu dstat.sh[59388]: 19-02 09:52:21| 71  29   2   0   0|1501M  998M  166M 5083M|4570B 1456B|   0   212k|   0  15.0 |5890    11k|1.38 0.95 0.55|6.0   0 384|   0     0 |           | 11   28    0   18    0
Feb 19 09:52:22 ubuntu dstat.sh[59388]: 19-02 09:52:22| 87  10   2   0   0|1692M  807M  166M 5083M|  22k   19k|   0   116k|   0  1.00 |6050  4647 |1.67 1.02 0.57|3.0   0 1.0|   0     0 |           | 11   34    0   16    0
Feb 19 09:52:23 ubuntu dstat.sh[59388]: 19-02 09:52:23| 78  11  11   0   0|1614M  885M  166M 5083M|  33k   28k|   0  2503k|   0   179 |8501    14k|1.67 1.02 0.57|5.0   0 137|   0     0 |           | 11   28    0   22    0
Feb 19 09:52:24 ubuntu dstat.sh[59388]: 19-02 09:52:24| 27  11  61   0   0|1510M  989M  166M 5083M|4460B 1642B|   0   275k|   0  17.0 |2859  2356 |1.67 1.02 0.57|  0   0 173|   0     0 |           | 11   28    1   22    0
Feb 19 09:52:25 ubuntu dstat.sh[59388]: 19-02 09:52:25| 15   2  81   0   0|1490M 1010M  166M 5083M|  11k 8325B|   0  3899k|   0  42.0 |2847  3267 |1.67 1.02 0.57|2.0   0   0|   0     0 |           | 11   28    0   23    0
Feb 19 09:52:26 ubuntu dstat.sh[59388]: 19-02 09:52:26| 19  10  70   1   0|1450M 1049M  166M 5083M|4265B 1622B|   0    94M|   0   919 |3576  3154 |1.67 1.02 0.57|1.0   0  68|   0     0 |           | 11   28    0   23    0
Feb 19 09:52:27 ubuntu dstat.sh[59388]: 19-02 09:52:27| 16   2  81   0   0|1450M 1049M  166M 5083M|  10k 7285B|   0   252k|   0  3.99 |2270  2389 |1.54 1.00 0.57|1.0   0   0|   0     0 |           | 11   29    0   23    0
Feb 19 09:52:28 ubuntu dstat.sh[59388]: 19-02 09:52:28| 12  17  69   0   0|1411M 1088M  166M 5083M|5505B 2210B|   0   769k|   0  51.1 |4957  4031 |1.54 1.00 0.57|1.0   0 233|   0     0 |           | 11   28    0   24    0
Feb 19 09:52:29 ubuntu dstat.sh[59388]: 19-02 09:52:29|  9  24  65   0   0|1382M 1117M  166M 5083M|4609B 1567B|   0   456k|   0  88.1 |5530  3742 |1.54 1.00 0.57|2.0   0 400|   0     0 |           | 11   28    0   24    0
Feb 19 09:52:30 ubuntu dstat.sh[59388]: 19-02 09:52:30| 65  29   5   0   0|1489M 1011M  166M 5083M|4711B 1512B|   0    36k|   0  9.00 |5427  3840 |1.54 1.00 0.57|5.0   0 406|   0     0 |           | 11   28    0   24    0
Feb 19 09:52:31 ubuntu dstat.sh[59388]: 19-02 09:52:31| 79  11   9   0   0|1628M  871M  166M 5083M|  28k   25k|   0  1516k|   0  25.0 |5854  6222 |1.54 1.00 0.57|5.0   0   0|   0     0 |           | 11   33    0   24    0
Feb 19 09:52:32 ubuntu dstat.sh[59388]: 19-02 09:52:32| 70  17  12   0   0|1589M  910M  166M 5083M|  31k   26k|   0   764k|   0  75.0 |  10k   15k|1.66 1.04 0.58|8.0   0 220|   0     0 |           | 11   28    0   25    0
Feb 19 09:52:33 ubuntu dstat.sh[59388]: 19-02 09:52:33| 81  19   0   0   0|1592M  907M  166M 5084M|7286B 3917B|   0   220k|   0  10.0 |5141  3205 |1.66 1.04 0.58|8.0   0  90|   0     0 |           | 11   29    0   25    0
Feb 19 09:52:34 ubuntu dstat.sh[59388]: 19-02 09:52:34| 83  10   7   0   0|1712M  787M  166M 5084M|  34k   30k|   0   156k|   0  8.00 |6798  7610 |1.66 1.04 0.58|5.0   0   0|   0     0 |           | 11   34    0   25    0
Feb 19 09:52:35 ubuntu dstat.sh[59388]: 19-02 09:52:35| 71  13  15   0   0|1575M  923M  166M 5084M|  37k   32k|   0   380k|   0  33.0 |9725    15k|1.66 1.04 0.58|3.0   0 209|   0     0 |           | 11   28    0   30    0
Feb 19 09:52:36 ubuntu dstat.sh[59388]: 19-02 09:52:36| 47  10  42   0   0|1514M  984M  166M 5084M|4883B 1677B|   0   315k|   0  11.0 |3538  2085 |1.66 1.04 0.58|1.0   0  89|   0     0 |           | 11   28    1   30    0
Feb 19 09:52:37 ubuntu dstat.sh[59388]: 19-02 09:52:37| 31   4  64   0   0|1508M  990M  166M 5084M|  21k   18k|   0   336k|   0  24.0 |5388  6476 |1.60 1.04 0.58|1.0   0   0|   0     0 |           | 11   29    0   31    0
Feb 19 09:52:38 ubuntu dstat.sh[59388]: 19-02 09:52:38| 44  25  30   0   0|1456M 1042M  166M 5084M|6858B 2896B|   0  1194k|   0  75.1 |5486  4543 |1.60 1.04 0.58|3.0   0 379|   0     0 |           | 11   28    0   32    0
Feb 19 09:52:39 ubuntu dstat.sh[59388]: 19-02 09:52:39| 53   6  39   0   0|1532M  966M  166M 5084M|  18k   15k|   0     0 |   0     0 |3952  3005 |1.60 1.04 0.58|2.0   0 1.0|   0     0 |           | 11   31    0   31    0
Feb 19 09:52:40 ubuntu dstat.sh[59388]: 19-02 09:52:40| 52  20  28   0   0|1441M 1057M  166M 5084M|  21k   16k|   0   496k|   0  46.0 |7438    10k|1.60 1.04 0.58|5.0   0 264|   0     0 |           | 11   28    0   32    0
Feb 19 09:52:41 ubuntu dstat.sh[59388]: 19-02 09:52:41| 75  11  14   0   0|1561M  937M  166M 5084M|  14k   11k|   0   368k|   0  11.0 |4786  2440 |1.60 1.04 0.58|3.0   0   0|   0     0 |           | 11   32    0   32    0
Feb 19 09:52:42 ubuntu dstat.sh[59388]: 19-02 09:52:42| 64   7  29   0   0|1551M  946M  166M 5084M|  36k   31k|   0   436k|   0  47.0 |9827    14k|1.80 1.08 0.60|6.0   0  34|   0     0 |           | 11   28    0   35    0
Feb 19 09:52:43 ubuntu dstat.sh[59388]: 19-02 09:52:43| 61  20  17   0   0|1499M  999M  166M 5084M|4206B 1620B|   0  3440k|   0   184 |4765  3783 |1.80 1.08 0.60|3.0   0 290|   0     0 |           | 11   28    0   31    0
Feb 19 09:52:44 ubuntu dstat.sh[59388]: 19-02 09:52:44| 45   6  47   0   0|1528M  970M  166M 5085M|  22k   21k|   0   264k|   0  13.0 |5582  6072 |1.80 1.08 0.60|1.0   0   0|   0     0 |           | 11   31    0   31    0
Feb 19 09:52:45 ubuntu dstat.sh[59388]: 19-02 09:52:45| 53  21  26   0   0|1454M 1043M  166M 5085M|  15k   11k|   0  1633k|   0   104 |6477  7864 |1.80 1.08 0.60|3.0   0 299|   0     0 |           | 11   28    0   33    0
Feb 19 09:52:46 ubuntu dstat.sh[59388]: 19-02 09:52:46| 56   7  38   0   0|1528M  970M  166M 5085M|  15k   13k|   0   364k|   0  2.00 |3999  2897 |1.80 1.08 0.60|3.0   0   0|   0     0 |           | 11   31    0   33    0
Feb 19 09:52:47 ubuntu dstat.sh[59388]: 19-02 09:52:47| 50  16  32   0   0|1359M 1138M  166M 5085M|  21k   17k|   0   156k|   0  14.0 |7514  9849 |1.73 1.08 0.60|3.0   0 287|   0     0 |           | 11   28    0   33    0
Feb 19 09:52:48 ubuntu dstat.sh[59388]: 19-02 09:52:48| 57  10  32   0   0|1512M  985M  166M 5085M|  10k 7846B|   0   200k|   0  10.0 |3683  1816 |1.73 1.08 0.60|2.0   0   0|   0     0 |           | 11   31    0   33    0
Feb 19 09:52:49 ubuntu dstat.sh[59388]: 19-02 09:52:49| 49   8  42   0   0|1496M 1001M  166M 5085M|  24k   20k|   0   256k|   0  31.0 |6827  9294 |1.73 1.08 0.60|3.0   0  63|   0     0 |           | 11   28    0   35    0
Feb 19 09:52:50 ubuntu dstat.sh[59388]: 19-02 09:52:50| 61  13  25   0   0|1539M  958M  166M 5085M|4840B 2220B|   0   204k|   0  10.0 |3939  1976 |1.73 1.08 0.60|2.0   0  50|   0     0 |           | 11   29    0   35    0
Feb 19 09:52:51 ubuntu dstat.sh[59388]: 19-02 09:52:51| 45   5  49   0   0|1541M  956M  166M 5086M|  29k   25k|   0   276k|   0  26.0 |5998  8110 |1.73 1.08 0.60|2.0   0   0|   0     0 |           | 11   29    0   37    0
Feb 19 09:52:52 ubuntu dstat.sh[59388]: 19-02 09:52:52| 61  30   9   0   0|1467M 1029M  166M 5086M|6255B 2152B|   0  1392k|   0  96.0 |6164  5932 |1.99 1.15 0.63|7.0   0 564|   0     0 |           | 11   28    0   37    0
Feb 19 09:52:53 ubuntu dstat.sh[59388]: 19-02 09:52:53| 80  20   0   0   0|1674M  823M  166M 5086M|  10k 9500B|   0   872k|   0  3.00 |5576  4687 |1.99 1.15 0.63|5.0   0 376|   0     0 |           | 11   31    0   37    0
Feb 19 09:52:54 ubuntu dstat.sh[59388]: 19-02 09:52:54| 78  18   4   0   0|1722M  774M  166M 5086M|  48k   42k|   0   557k|   0  37.0 |7863    11k|1.99 1.15 0.63|7.0   0 400|   0     0 |           | 11   32    0   37    0
Feb 19 09:52:55 ubuntu dstat.sh[59388]: 19-02 09:52:55| 73  27   1   0   0|1570M  926M  166M 5086M|  20k   16k|   0   528k|   0  46.0 |6872  7929 |1.99 1.15 0.63|5.0   0 514|   0     0 |           | 11   28    0   36    0
Feb 19 09:52:56 ubuntu dstat.sh[59388]: 19-02 09:52:56| 87  10   3   0   0|1635M  861M  166M 5086M|  17k   14k|   0   156k|   0  6.00 |5345  3337 |1.99 1.15 0.63|2.0   0   0|   0     0 |           | 11   32    0   36    0
Feb 19 09:52:57 ubuntu dstat.sh[59388]: 19-02 09:52:57| 71  12  16   0   0|1554M  941M  166M 5086M|  47k   41k|   0   440k|   0  37.0 |8700    15k|1.99 1.16 0.64|4.0   0 196|   0     0 |           | 11   30    0   39    0
Feb 19 09:52:58 ubuntu dstat.sh[59388]: 19-02 09:52:58| 24  24  50   0   0|1483M 1012M  166M 5086M|  10k 5425B|   0    12k|   0  2.99 |6777  5936 |1.99 1.16 0.64|3.0   0 527|   0     0 |           | 11   28    0   41    0
Feb 19 09:52:59 ubuntu dstat.sh[59388]: 19-02 09:52:59| 40  38  21   0   0|1475M 1021M  166M 5086M|5136B 1463B|   0    48k|   0  12.0 |6063  5435 |1.99 1.16 0.64|5.0   0 834|   0     0 |           | 11   28    0   41    0
Feb 19 09:53:00 ubuntu dstat.sh[59388]: 19-02 09:53:00| 72  11  17   0   0|1584M  912M  166M 5086M|  18k   16k|   0  3247k|   0   101 |5784  4787 |1.99 1.16 0.64|2.0   0  47|   0     0 |           | 11   31    0   41    0
Feb 19 09:53:01 ubuntu dstat.sh[59388]: 19-02 09:53:01| 59  14  26   0   0|1510M  986M  166M 5087M|  24k   18k|   0   700k|   0  62.0 |7415  9474 |1.99 1.16 0.64|4.0   0 159|   0     0 |           | 11   29    0   44    0
Feb 19 09:53:02 ubuntu dstat.sh[59388]: 19-02 09:53:02| 78  17   6   0   0|1563M  932M  166M 5087M|9936B 6978B|   0   280k|   0  22.0 |5178  3631 |2.24 1.23 0.66|3.0   0 109|   0     0 |           | 11   30    0   45    0
Feb 19 09:53:03 ubuntu dstat.sh[59388]: 19-02 09:53:03| 59   7  32   0   0|1575M  920M  166M 5087M|  38k   34k|   0   168k|   0  8.00 |7411    13k|2.24 1.23 0.66|7.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 19 09:53:04 ubuntu dstat.sh[59388]: 19-02 09:53:04| 58   8  32   0   0|1546M  949M  166M 5087M|  39k   33k|   0   423k|   0  44.9 |  13k   20k|2.24 1.23 0.66|5.0   0  30|   0     0 |           | 11   29    0   45    0
Feb 19 09:53:05 ubuntu dstat.sh[59388]: 19-02 09:53:05| 76  16   7   0   0|1528M  967M  166M 5087M|  10k 7591B|   0   248k|   0  23.0 |5510  4157 |2.24 1.23 0.66|4.0   0  90|   0     0 |           | 11   29    0   45    0
Feb 19 09:53:06 ubuntu dstat.sh[59388]: 19-02 09:53:06| 63   7  30   0   0|1575M  919M  166M 5087M|  31k   28k|   0   144k|   0  9.01 |7439  9745 |2.24 1.23 0.66|2.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 19 09:53:07 ubuntu dstat.sh[59388]: 19-02 09:53:07| 50   9  38   0   0|1551M  943M  166M 5088M|  43k   38k|   0   148k|   0  11.0 |  13k   20k|2.30 1.26 0.67|4.0   0  71|   0     0 |           | 11   31    0   46    0
Feb 19 09:53:08 ubuntu dstat.sh[59388]: 19-02 09:53:08| 73  20   6   0   0|1493M 1002M  166M 5088M|  14k 9882B|   0   136k|   0  7.00 |6100  5710 |2.30 1.26 0.67|4.0   0 189|   0     0 |           | 11   28    0   49    0
Feb 19 09:53:09 ubuntu dstat.sh[59388]: 19-02 09:53:09| 68  10  23   0   0|1572M  922M  166M 5088M|  26k   23k|   0   116k|   0  7.01 |6213  6073 |2.30 1.26 0.67|4.0   0 1.0|   0     0 |           | 11   32    0   49    0
Feb 19 09:53:10 ubuntu dstat.sh[59388]: 19-02 09:53:10| 60  10  28   0   0|1536M  958M  166M 5088M|  31k   28k|   0   271k|   0  23.9 |9510    15k|2.30 1.26 0.67|3.0   0  70|   0     0 |           | 11   29    0   51    0
Feb 19 09:53:11 ubuntu dstat.sh[59388]: 19-02 09:53:11| 76  16   9   0   0|1527M  966M  166M 5088M|  12k 9699B|   0   313k|   0  35.1 |5612  5061 |2.30 1.26 0.67|2.0   0  60|   0     0 |           | 11   30    0   51    0
Feb 19 09:53:12 ubuntu dstat.sh[59388]: 19-02 09:53:12| 63  13  24   0   0|1485M 1009M  166M 5088M|  24k   18k|   0   456k|   0  43.0 |5826  6645 |2.27 1.27 0.68|5.0   0 120|   0     0 |           | 11   30    0   53    0
Feb 19 09:53:13 ubuntu dstat.sh[59388]: 19-02 09:53:13| 69  10  20   0   0|1559M  935M  166M 5088M|  30k   25k|   0   156k|   0  11.0 |8959    12k|2.27 1.27 0.68|2.0   0   0|   0     0 |           | 11   30    1   54    0
Feb 19 09:53:14 ubuntu dstat.sh[59388]: 19-02 09:53:14| 65  15  20   0   0|1540M  954M  166M 5088M|  27k   23k|   0   144k|   0  9.97 |7842    10k|2.27 1.27 0.68|4.0   0 141|   0     0 |           | 11   29    0   56    0
Feb 19 09:53:15 ubuntu dstat.sh[59388]: 19-02 09:53:15| 76  13  10   0   0|1567M  927M  166M 5088M|  13k   10k|   0   272k|   0  21.0 |4875  3920 |2.27 1.27 0.68|4.0   0  87|   0     0 |           | 11   32    0   57    0
Feb 19 09:53:16 ubuntu dstat.sh[59388]: 19-02 09:53:16| 72   9  19   0   0|1624M  870M  166M 5089M|  24k   21k|   0   156k|   0  14.0 |5938  6221 |2.27 1.27 0.68|4.0   0  35|   0     0 |           | 11   34    0   57    0
Feb 19 09:53:17 ubuntu dstat.sh[59388]: 19-02 09:53:17| 64  15  20   0   0|1488M 1005M  166M 5089M|  20k   16k|   0   599k|   0  42.9 |6856  8365 |2.25 1.28 0.69|3.0   0 172|   0     0 |           | 11   33    0   59    0
Feb 19 09:53:18 ubuntu dstat.sh[59388]: 19-02 09:53:18| 51   9  39   0   0|1534M  960M  166M 5089M|  15k   14k|   0   400k|   0  34.0 |5131  4894 |2.25 1.28 0.69|3.0   0  60|   0     0 |           | 11   33    0   61    0
Feb 19 09:53:19 ubuntu dstat.sh[59388]: 19-02 09:53:19| 55  11  33   0   0|1477M 1016M  166M 5089M|  16k   10k|   0   231k|   0  18.0 |5881  5474 |2.25 1.28 0.69|4.0   0 104|   0     0 |           | 11   33    0   62    0
Feb 19 09:53:20 ubuntu dstat.sh[59388]: 19-02 09:53:20| 53  11  36   0   0|1516M  977M  166M 5089M|  21k   17k|   0   188k|   0  10.0 |5598  7172 |2.25 1.28 0.69|3.0   0  96|   0     0 |           | 11   33    0   61    0
Feb 19 09:53:21 ubuntu dstat.sh[59388]: 19-02 09:53:21| 57  12  29   0   0|1506M  986M  166M 5089M|  15k   12k|   0   224k|   0  16.0 |5574    14k|2.25 1.28 0.69|2.0   0  79|   0     0 |           | 11   34    0   63    0
Feb 19 09:53:22 ubuntu dstat.sh[59388]: 19-02 09:53:22| 41   8  50   0   0|1507M  986M  166M 5089M|  20k   16k|   0   176k|   0  12.0 |5066  5553 |2.39 1.33 0.70|1.0   0  86|   0     0 |           | 11   34    0   64    0
Feb 19 09:53:23 ubuntu dstat.sh[59388]: 19-02 09:53:23| 31  12  56   0   0|1419M 1073M  166M 5089M|  13k 9828B|   0   405k|   0  34.1 |5498  6265 |2.39 1.33 0.70|2.0   0 113|   0     0 |           | 11   32    0   66    0
Feb 19 09:53:24 ubuntu dstat.sh[59388]: 19-02 09:53:24| 38   7  53   0   0|1478M 1014M  166M 5089M|9516B 6259B|   0  1647k|   0  12.0 |2825  1920 |2.39 1.33 0.70|2.0   0  22|   0     0 |           | 11   33    0   58    0
Feb 19 09:53:25 ubuntu dstat.sh[59388]: 19-02 09:53:25| 33   6  59   0   0|1443M 1049M  166M 5089M|  17k   14k|   0   272k|   0  18.0 |4918  6025 |2.39 1.33 0.70|1.0   0  34|   0     0 |           | 11   33    0   59    0
Feb 19 09:53:26 ubuntu dstat.sh[59388]: 19-02 09:53:26| 38  11  51   0   0|1468M 1024M  166M 5089M|7223B 3796B|   0   157k|   0  12.0 |3443  2152 |2.39 1.33 0.70|2.0   0 104|   0     0 |           | 11   33    0   60    0
Feb 19 09:53:27 ubuntu dstat.sh[59388]: 19-02 09:53:27| 34   7  59   0   0|1444M 1049M  166M 5089M|  15k   11k|   0   348k|   0  33.0 |3893  3811 |2.36 1.34 0.71|2.0   0  60|   0     0 |           | 11   33    0   61    0
Feb 19 09:53:28 ubuntu dstat.sh[59388]: 19-02 09:53:28| 38   7  53   1   0|1448M 1045M  166M 5089M|  10k 6960B|   0   985k|   0  71.0 |3778  4014 |2.36 1.34 0.71|2.0   0 5.0|   0     0 |           | 11   32    1   60    0
Feb 19 09:53:29 ubuntu dstat.sh[59388]: 19-02 09:53:29| 34   4  61   0   0|1458M 1034M  166M 5089M|  18k   15k|   0   112k|   0  7.99 |4100  4301 |2.36 1.34 0.71|4.0   0 1.0|   0     0 |           | 11   34    0   60    0
