Feb 19 18:05:27 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 18:05:28 ubuntu dstat.sh[59214]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 18:05:28 ubuntu dstat.sh[59214]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 18:05:38 ubuntu dstat.sh[59214]: 19-02 18:05:38| 43   7  49   0   0|1204M 1310M  165M 5070M|5243B 1951B|   0  1324k|   0  63.0 |3003  1733 |1.57 0.94 0.50|2.0   0  35|   0     0 |           | 11    5    0   19    0
Feb 19 18:05:39 ubuntu dstat.sh[59214]: 19-02 18:05:39| 42   5  52   1   0|1141M 1366M  165M 5075M|  10k 3417B|   0  9094k|   0   506 |3675  3434 |1.60 0.96 0.50|2.0   0  12|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:40 ubuntu dstat.sh[59214]: 19-02 18:05:40| 39   6  54   0   0|1230M 1271M  165M 5080M|  11k 4326B|   0  1680k|   0  87.8 |2763  1999 |1.60 0.96 0.50|2.0   0  18|   0     0 |           | 11    4    0   19    1
Feb 19 18:05:41 ubuntu dstat.sh[59214]: 19-02 18:05:41| 42  12  45   0   0|1234M 1266M  165M 5081M|3931B 1242B|   0    84k|   0  1.00 |  12k   20k|1.60 0.96 0.50|2.0   0 198|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:42 ubuntu dstat.sh[59214]: 19-02 18:05:42| 31  25  43   0   0|1183M 1317M  165M 5081M|4827B 1623B|   0   212k|   0  13.0 |  14k   21k|1.60 0.96 0.50|4.0   0 546|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:43 ubuntu dstat.sh[59214]: 19-02 18:05:43| 44  16  38   0   0|1157M 1348M  165M 5078M|4026B 1502B|7655k 2671k|77.5   127 |5830  7152 |1.60 0.96 0.50|4.0   0 218|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:44 ubuntu dstat.sh[59214]: 19-02 18:05:44| 53  10  36   0   0|1180M 1325M  165M 5078M|4324B 1573B|  20k   88k|4.02  7.03 |3433  1932 |1.63 0.98 0.51|4.0   0 124|   0     0 |           | 11    5    0   19    0
Feb 19 18:05:45 ubuntu dstat.sh[59214]: 19-02 18:05:45| 45   6  49   0   0|1202M 1302M  165M 5079M|4240B 1557B| 493k  537k|12.0  43.1 |2727  1320 |1.63 0.98 0.51|2.0   0   0|   0     0 |           | 11    5    0   19    0
Feb 19 18:05:46 ubuntu dstat.sh[59214]: 19-02 18:05:46| 34   9  56   0   0|1228M 1273M  165M 5081M|3989B 1335B|   0  1190k|   0  99.8 |3972  4288 |1.63 0.98 0.51|1.0   0 119|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:47 ubuntu dstat.sh[59214]: 19-02 18:05:47|  1   2  95   1   0|1232M 1269M  165M 5081M|3947B 1245B|   0  2377k|   0   145 |1288  1852 |1.63 0.98 0.51|2.0   0  23|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:48 ubuntu dstat.sh[59214]: 19-02 18:05:48| 22   4  74   0   0|1307M 1194M  165M 5081M|4189B 1350B|   0     0 |   0     0 |1873  1386 |1.63 0.98 0.51|3.0   0   0|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:49 ubuntu dstat.sh[59214]: 19-02 18:05:49| 24   1  73   0   0|1337M 1165M  165M 5081M|4468B 1294B|   0     0 |   0     0 |1704  1093 |1.58 0.98 0.52|2.0   0   0|   0     0 |           | 11    4    0   19    0
Feb 19 18:05:50 ubuntu dstat.sh[59214]: 19-02 18:05:50| 20   7  70   2   0|1255M 1246M  165M 5081M|4293B 1512B|   0    21M|   0   719 |4563  5770 |1.58 0.98 0.52|1.0   0  43|   0     0 |           | 11    4    0   21    0
Feb 19 18:05:51 ubuntu dstat.sh[59214]: 19-02 18:05:51| 23   3  74   0   0|1316M 1184M  165M 5082M|4499B 1620B| 488k 1168k|24.0  42.0 |1924  1502 |1.58 0.98 0.52|3.0   0   0|   0     0 |           | 11    4    0   21    0
Feb 19 18:05:52 ubuntu dstat.sh[59214]: 19-02 18:05:52| 19   2  78   1   0|1330M 1170M  166M 5082M|8974B 6191B| 272k  841k|67.0  57.0 |2484  2565 |1.58 0.98 0.52|1.0   0 1.0|   0     0 |           | 11   25    0   21    0
Feb 19 18:05:53 ubuntu dstat.sh[59214]: 19-02 18:05:53| 19   6  75   0   0|1344M 1156M  166M 5082M|7997B 4834B|   0     0 |   0     0 |2587  2106 |1.58 0.98 0.52|2.0   0  45|   0     0 |           | 11   28    0   22    0
Feb 19 18:05:54 ubuntu dstat.sh[59214]: 19-02 18:05:54| 19   3  77   0   0|1388M 1112M  166M 5082M|7863B 5165B|   0     0 |   0     0 |1818  1364 |1.54 0.98 0.52|3.0   0   0|   0     0 |           | 11   29    0   22    0
Feb 19 18:05:55 ubuntu dstat.sh[59214]: 19-02 18:05:55| 23  12  62   0   0|1391M 1109M  166M 5082M|7374B 4349B|   0    37M|   0   518 |4213  3421 |1.54 0.98 0.52|3.0   0 156|   0     0 |           | 11   28    0   17    0
Feb 19 18:05:56 ubuntu dstat.sh[59214]: 19-02 18:05:56| 37   6  57   0   0|1455M 1045M  166M 5082M|  13k 9325B|   0    72k|   0  4.00 |3318  2366 |1.54 0.98 0.52|2.0   0 1.0|   0     0 |           | 11   30    0   17    0
Feb 19 18:05:57 ubuntu dstat.sh[59214]: 19-02 18:05:57| 36   8  56   1   0|1414M 1086M  166M 5083M|  17k   12k|   0  2591k|   0  46.1 |6938  8898 |1.54 0.98 0.52|3.0   0 148|   0     0 |           | 11   28    0   18    0
Feb 19 18:05:58 ubuntu dstat.sh[59214]: 19-02 18:05:58| 72  26   1   0   0|1529M  970M  166M 5083M|5567B 1692B|   0    36k|   0  9.00 |5435  4362 |1.54 0.98 0.52|6.0   0 430|   0     0 |           | 11   28    0   18    0
Feb 19 18:05:59 ubuntu dstat.sh[59214]: 19-02 18:05:59| 87  11   1   0   0|1708M  791M  166M 5083M|  24k   21k|   0    96k|   0  2.99 |6659  5514 |1.81 1.04 0.54|4.0   0   0|   0     0 |           | 11   33    1   18    0
Feb 19 18:06:00 ubuntu dstat.sh[59214]: 19-02 18:06:00| 68  11  20   0   0|1636M  863M  166M 5083M|  31k   27k|   0  6435k|   0  76.2 |9287    13k|1.81 1.04 0.54|3.0   0 209|   0     0 |           | 11   28    0   24    0
Feb 19 18:06:01 ubuntu dstat.sh[59214]: 19-02 18:06:01| 20   8  71   0   0|1549M  951M  166M 5083M|4134B 1681B|   0   195k|   0  11.0 |2879  2190 |1.81 1.04 0.54|2.0   0 101|   0     0 |           | 11   28    0   24    0
Feb 19 18:06:02 ubuntu dstat.sh[59214]: 19-02 18:06:02| 16   2  81   0   0|1525M  974M  166M 5083M|  10k 7635B|   0   144k|   0  10.0 |2256  2318 |1.81 1.04 0.54|1.0   0   0|   0     0 |           | 11   29    0   24    0
Feb 19 18:06:03 ubuntu dstat.sh[59214]: 19-02 18:06:03| 19   8  73   0   0|1474M 1025M  166M 5083M|5527B 2606B|   0   248k|   0  20.0 |3071  2789 |1.81 1.04 0.54|1.0   0  68|   0     0 |           | 11   28    0   24    0
Feb 19 18:06:04 ubuntu dstat.sh[59214]: 19-02 18:06:04| 19   3  79   0   0|1477M 1023M  166M 5083M|9261B 6054B|   0   108k|   0  7.00 |1973  1801 |1.67 1.03 0.54|1.0   0   0|   0     0 |           | 11   29    0   24    0
Feb 19 18:06:05 ubuntu dstat.sh[59214]: 19-02 18:06:05| 12  14  72   0   0|1429M 1070M  166M 5083M|7236B 4002B|   0    56M|   0   403 |5849  6051 |1.67 1.03 0.54|1.0   0 349|   0     0 |           | 11   28    0   25    0
Feb 19 18:06:06 ubuntu dstat.sh[59214]: 19-02 18:06:06| 43  30  27   0   0|1426M 1073M  166M 5083M|4562B 1621B|   0  1733k|   0   103 |6161  5260 |1.67 1.03 0.54|5.0   0 691|   0     0 |           | 11   28    0   25    0
Feb 19 18:06:07 ubuntu dstat.sh[59214]: 19-02 18:06:07| 82  10   7   0   0|1650M  849M  166M 5083M|  17k   15k|   0   152k|   0  10.0 |4998  2752 |1.67 1.03 0.54|2.0   0   0|   0     0 |           | 11   33    0   24    0
Feb 19 18:06:08 ubuntu dstat.sh[59214]: 19-02 18:06:08| 70   9  20   0   0|1637M  862M  166M 5083M|  41k   35k|   0   420k|   0  53.0 |  11k   17k|1.67 1.03 0.54|5.0   0  60|   0     0 |           | 11   29    0   25    0
Feb 19 18:06:09 ubuntu dstat.sh[59214]: 19-02 18:06:09| 79  22   0   0   0|1550M  949M  166M 5083M|5463B 2193B|   0   344k|   0  28.0 |5668  4709 |2.02 1.11 0.57|6.0   0 250|   0     0 |           | 11   28    0   25    0
Feb 19 18:06:10 ubuntu dstat.sh[59214]: 19-02 18:06:10| 85  10   5   0   0|1715M  784M  166M 5084M|  26k   24k|   0    36M|   0   156 |6132  5745 |2.02 1.11 0.57|4.0   0   0|   0     0 |           | 11   34    0   25    0
Feb 19 18:06:11 ubuntu dstat.sh[59214]: 19-02 18:06:11| 74  12  13   1   0|1641M  857M  166M 5084M|  44k   39k|   0  1089k|   0  37.0 |9308    17k|2.02 1.11 0.57|3.0   0 168|   0     0 |           | 11   29    0   29    0
Feb 19 18:06:12 ubuntu dstat.sh[59214]: 19-02 18:06:12| 50  12  38   0   0|1542M  956M  166M 5084M|9585B 5092B|   0  2477k|   0   105 |4072  3036 |2.02 1.11 0.57|1.0   0 130|   0     0 |           | 11   29    0   30    0
Feb 19 18:06:13 ubuntu dstat.sh[59214]: 19-02 18:06:13| 32   4  63   0   0|1518M  980M  166M 5084M|  20k   15k|   0   248k|   0  19.0 |4630  5465 |2.02 1.11 0.57|2.0   0 4.0|   0     0 |           | 11   29    0   31    0
Feb 19 18:06:14 ubuntu dstat.sh[59214]: 19-02 18:06:14| 51  23  25   0   0|1447M 1051M  166M 5084M|8956B 4411B|   0   233k|   0  14.0 |5213  4427 |2.09 1.14 0.58|3.0   0 375|   0     0 |           | 11   28    0   32    0
Feb 19 18:06:15 ubuntu dstat.sh[59214]: 19-02 18:06:15| 50   6  42   0   0|1521M  977M  166M 5084M|  20k   18k|   0   264k|   0  11.0 |4711  4891 |2.09 1.14 0.58|1.0   0   0|   0     0 |           | 11   31    0   32    0
Feb 19 18:06:16 ubuntu dstat.sh[59214]: 19-02 18:06:16| 58  18  23   0   0|1464M 1034M  166M 5084M|  16k   12k|   0  4150k|   0   238 |8094    10k|2.09 1.14 0.58|6.0   0 259|   0     0 |           | 11   28    0   33    0
Feb 19 18:06:17 ubuntu dstat.sh[59214]: 19-02 18:06:17| 72   8  19   0   0|1568M  930M  166M 5084M|  20k   17k|   0   148k|   0  8.98 |4637  3202 |2.09 1.14 0.58|4.0   0   0|   0     0 |           | 11   32    0   33    0
Feb 19 18:06:18 ubuntu dstat.sh[59214]: 19-02 18:06:18| 63  14  24   0   0|1463M 1035M  166M 5084M|  30k   26k|   0  1524k|   0   102 |9984    14k|2.09 1.14 0.58|5.0   0 267|   0     0 |           | 11   28    0   36    0
Feb 19 18:06:19 ubuntu dstat.sh[59214]: 19-02 18:06:19| 64  12  24   0   0|1539M  958M  166M 5085M|5475B 2775B|   0   376k|   0  14.0 |3968  1912 |2.17 1.17 0.60|2.0   0  58|   0     0 |           | 11   30    0   34    0
Feb 19 18:06:20 ubuntu dstat.sh[59214]: 19-02 18:06:20| 44   5  51   0   0|1544M  954M  166M 5085M|  30k   26k|   0   609k|   0  26.0 |7507    10k|2.17 1.17 0.60|2.0 1.0   0|   0     0 |           | 11   30    0   35    0
Feb 19 18:06:21 ubuntu dstat.sh[59214]: 19-02 18:06:21| 61  18  21   0   0|1448M 1049M  166M 5085M|5006B 2623B|   0   288k|   0  25.0 |4686  3480 |2.17 1.17 0.60|4.0   0 299|   0     0 |           | 11   28    0   36    0
Feb 19 18:06:22 ubuntu dstat.sh[59214]: 19-02 18:06:22| 46   5  47   0   0|1502M  995M  166M 5085M|  23k   20k|   0   140k|   0  7.99 |5611  6106 |2.17 1.17 0.60|3.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 19 18:06:23 ubuntu dstat.sh[59214]: 19-02 18:06:23| 58  18  23   0   0|1455M 1042M  166M 5085M|  14k   10k|   0   304k|   0  27.0 |5769  6243 |2.17 1.17 0.60|4.0   0 287|   0     0 |           | 11   28    0   39    0
Feb 19 18:06:24 ubuntu dstat.sh[59214]: 19-02 18:06:24| 53   6  41   0   0|1539M  957M  166M 5085M|  18k   15k|   0   180k|   0  10.0 |4299  3377 |2.15 1.19 0.60|2.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 19 18:06:25 ubuntu dstat.sh[59214]: 19-02 18:06:25| 49  15  35   0   0|1438M 1059M  166M 5085M|  17k   13k|   0  1365k|   0  88.8 |7460  8944 |2.15 1.19 0.60|4.0   0 112|   0     0 |           | 11   28    0   38    0
Feb 19 18:06:26 ubuntu dstat.sh[59214]: 19-02 18:06:26| 54   9  36   0   0|1529M  968M  166M 5085M|  14k   11k|   0  3931k|   0   259 |4119  2623 |2.15 1.19 0.60|3.0   0 9.0|   0     0 |           | 11   31    0   38    0
Feb 19 18:06:27 ubuntu dstat.sh[59214]: 19-02 18:06:27| 51  11  37   0   0|1434M 1063M  166M 5085M|  20k   17k|   0   321k|   0  40.1 |7490  8934 |2.15 1.19 0.60|3.0   0 138|   0     0 |           | 11   28    0   40    0
Feb 19 18:06:28 ubuntu dstat.sh[59214]: 19-02 18:06:28| 69  27   4   0   0|1522M  975M  166M 5085M|4366B 1566B|   0  2500k|   0   114 |5723  4838 |2.15 1.19 0.60| 10   0 511|   0     0 |           | 11   28    0   37    0
Feb 19 18:06:29 ubuntu dstat.sh[59214]: 19-02 18:06:29| 79  20   0   0   0|1693M  804M  166M 5085M|  17k   15k|   0     0 |   0     0 |6380  6079 |2.46 1.27 0.63|5.0   0 376|   0     0 |           | 11   32    0   37    0
Feb 19 18:06:30 ubuntu dstat.sh[59214]: 19-02 18:06:30| 73  22   5   0   0|1723M  773M  166M 5086M|  43k   38k|   0   436k|   0  34.0 |8735    11k|2.46 1.27 0.63|6.0   0 498|   0     0 |           | 11   30    0   38    0
Feb 19 18:06:31 ubuntu dstat.sh[59214]: 19-02 18:06:31| 75  23   1   0   0|1577M  919M  166M 5086M|  17k   13k|   0   698k|   0  35.1 |6685  6504 |2.46 1.27 0.63|5.0   0 331|   0     0 |           | 11   28    0   38    0
Feb 19 18:06:32 ubuntu dstat.sh[59214]: 19-02 18:06:32| 79  12  10   0   0|1660M  836M  166M 5086M|  18k   15k|   0   160k|   0  10.0 |5105  3273 |2.46 1.27 0.63|4.0   0   0|   0     0 |           | 11   32    0   38    0
Feb 19 18:06:33 ubuntu dstat.sh[59214]: 19-02 18:06:33| 69  11  18   0   0|1534M  961M  166M 5086M|  43k   38k|   0   607k|   0  41.0 |  10k   16k|2.46 1.27 0.63|6.0   0 141|   0     0 |           | 11   30    0   41    0
Feb 19 18:06:34 ubuntu dstat.sh[59214]: 19-02 18:06:34| 22  26  51   0   0|1434M 1062M  166M 5086M|  10k 6667B|   0    24k|   0  5.99 |6690  6390 |2.34 1.26 0.64|1.0   0 610|   0     0 |           | 11   28    0   43    0
Feb 19 18:06:35 ubuntu dstat.sh[59214]: 19-02 18:06:35| 47  39  15   0   0|1474M 1021M  166M 5086M|4198B 1135B|   0    40k|   0  10.0 |6148  5588 |2.34 1.26 0.64|5.0   0 840|   0     0 |           | 11   28    0   43    0
Feb 19 18:06:36 ubuntu dstat.sh[59214]: 19-02 18:06:36| 69   9  21   0   0|1573M  923M  166M 5086M|  21k   18k|   0     0 |   0     0 |4776  4388 |2.34 1.26 0.64|1.0   0  12|   0     0 |           | 11   32    0   41    0
Feb 19 18:06:37 ubuntu dstat.sh[59214]: 19-02 18:06:37| 63  17  20   0   0|1532M  963M  166M 5089M|  22k   17k|   0   722k|   0  75.2 |7475    17k|2.34 1.26 0.64|6.0   0 181|   0     0 |           | 11   28    0   45    0
Feb 19 18:06:38 ubuntu dstat.sh[59214]: 19-02 18:06:38| 72  17   9   0   0|1567M  929M  166M 5086M|  11k 7781B|   0   180k|   0  9.01 |4974  4049 |2.34 1.26 0.64|4.0   0 123|   0     0 |           | 11   30    0   46    0
Feb 19 18:06:39 ubuntu dstat.sh[59214]: 19-02 18:06:39| 59   7  33   0   0|1594M  902M  166M 5087M|  35k   32k|   0   188k|   0  11.0 |8682    13k|2.32 1.27 0.64|4.0   0   0|   0     0 |           | 11   32    0   46    0
Feb 19 18:06:40 ubuntu dstat.sh[59214]: 19-02 18:06:40| 54  11  34   0   0|1484M 1011M  166M 5087M|  39k   33k|   0   408k|   0  39.0 |  12k   19k|2.32 1.27 0.64|3.0   0  60|   0     0 |           | 11   30    0   45    0
Feb 19 18:06:41 ubuntu dstat.sh[59214]: 19-02 18:06:41| 79  16   5   0   0|1539M  956M  166M 5087M|9123B 6168B|   0   408k|   0  38.0 |5568  4265 |2.32 1.27 0.64|3.0   0  60|   0     0 |           | 11   29    0   45    0
Feb 19 18:06:42 ubuntu dstat.sh[59214]: 19-02 18:06:42| 63   8  28   0   0|1585M  910M  166M 5087M|  28k   25k|   0   204k|   0  13.0 |6825  8617 |2.32 1.27 0.64|5.0   0 2.0|   0     0 |           | 11   32    0   45    0
Feb 19 18:06:43 ubuntu dstat.sh[59214]: 19-02 18:06:43| 55   5  37   0   0|1562M  933M  166M 5087M|  45k   40k|   0  1344k|   0  11.0 |  13k   21k|2.32 1.27 0.64|4.0   0 1.0|   0     0 |           | 11   30    0   47    0
Feb 19 18:06:44 ubuntu dstat.sh[59214]: 19-02 18:06:44| 72  20   8   0   0|1482M 1012M  166M 5087M|  13k   10k|   0   148k|   0  9.01 |6379  6204 |2.45 1.32 0.66|4.0   0 259|   0     0 |           | 11   28    0   49    0
Feb 19 18:06:45 ubuntu dstat.sh[59214]: 19-02 18:06:45| 68   8  24   0   0|1570M  924M  166M 5088M|  24k   22k|   0   156k|   0  11.0 |5744  5971 |2.45 1.32 0.66|4.0   0   0|   0     0 |           | 11   32    0   49    0
Feb 19 18:06:46 ubuntu dstat.sh[59214]: 19-02 18:06:46| 63   9  27   0   0|1519M  975M  166M 5088M|  37k   32k|   0   228k|   0  20.0 |  11k   17k|2.45 1.32 0.66|4.0 1.0  69|   0     0 |           | 11   29    0   51    0
Feb 19 18:06:47 ubuntu dstat.sh[59214]: 19-02 18:06:47| 79  15   6   0   0|1556M  938M  166M 5088M|8076B 5502B|   0   220k|   0  23.0 |5092  3213 |2.45 1.32 0.66|4.0   0  60|   0     0 |           | 11   29    0   52    0
Feb 19 18:06:48 ubuntu dstat.sh[59214]: 19-02 18:06:48| 63  12  24   0   0|1554M  940M  166M 5088M|  22k   19k|   0   376k|   0  38.0 |5718  6480 |2.45 1.32 0.66|4.0   0 119|   0     0 |           | 11   30    0   53    0
Feb 19 18:06:49 ubuntu dstat.sh[59214]: 19-02 18:06:49| 67  10  21   0   0|1633M  861M  166M 5088M|  29k   25k|   0   151k|   0  9.96 |6685    11k|2.41 1.33 0.67|3.0   0 1.0|   0     0 |           | 11   31    0   53    0
Feb 19 18:06:50 ubuntu dstat.sh[59214]: 19-02 18:06:50| 68  13  18   0   0|1570M  923M  166M 5088M|  27k   23k|   0   149k|   0  9.04 |7079  9139 |2.41 1.33 0.67|5.0   0 142|   0     0 |           | 11   29    0   56    0
Feb 19 18:06:51 ubuntu dstat.sh[59214]: 19-02 18:06:51| 75  13  13   0   0|1563M  931M  166M 5088M|  16k   14k|   0   212k|   0  13.0 |5339  4146 |2.41 1.33 0.67|3.0   0  86|   0     0 |           | 11   30    0   57    0
Feb 19 18:06:52 ubuntu dstat.sh[59214]: 19-02 18:06:52| 68  12  19   0   0|1575M  919M  166M 5088M|  22k   18k|   0   224k|   0  20.0 |7136  8005 |2.41 1.33 0.67|5.0   0  69|   0     0 |           | 11   32    0   57    0
Feb 19 18:06:53 ubuntu dstat.sh[59214]: 19-02 18:06:53| 65  12  23   0   0|1576M  917M  166M 5089M|  26k   22k|   0   432k|   0  46.0 |6996  8553 |2.41 1.33 0.67|5.0   0 121|   0     0 |           | 11   34    0   59    0
Feb 19 18:06:54 ubuntu dstat.sh[59214]: 19-02 18:06:54| 51  14  34   0   0|1506M  987M  166M 5089M|9618B 6959B|   0   347k|   0  34.9 |4604  3990 |2.38 1.34 0.68|2.0   0 138|   0     0 |           | 11   33    0   61    0
Feb 19 18:06:55 ubuntu dstat.sh[59214]: 19-02 18:06:55| 54   7  39   0   0|1522M  971M  166M 5089M|  16k   15k|   0   208k|   0  16.0 |4360  4480 |2.38 1.34 0.68|3.0   0   0|   0     0 |           | 11   34    0   62    0
Feb 19 18:06:56 ubuntu dstat.sh[59214]: 19-02 18:06:56| 55  11  33   0   0|1540M  953M  166M 5089M|  23k   17k|   0   240k|   0  15.0 |6002  7615 |2.38 1.34 0.68|4.0   0  99|   0     0 |           | 11   32    0   62    0
Feb 19 18:06:57 ubuntu dstat.sh[59214]: 19-02 18:06:57| 53  14  33   0   0|1512M  981M  166M 5089M|  11k 8234B|   0   341k|   0  41.1 |4327  3488 |2.38 1.34 0.68|3.0   0  86|   0     0 |           | 11   33    0   62    0
Feb 19 18:06:58 ubuntu dstat.sh[59214]: 19-02 18:06:58| 46   8  44   0   0|1462M 1031M  166M 5089M|  19k   15k|   0   156k|   0  11.0 |5047  4911 |2.38 1.34 0.68|2.0   0  86|   0     0 |           | 11   34    0   63    0
Feb 19 18:06:59 ubuntu dstat.sh[59214]: 19-02 18:06:59| 31   8  59   0   0|1365M 1127M  166M 5089M|  17k   13k|   0  4682k|   0   193 |5687  6830 |2.35 1.35 0.68|3.0   0  88|   0     0 |           | 11   32    0   65    0
Feb 19 18:07:00 ubuntu dstat.sh[59214]: 19-02 18:07:00| 40  11  48   0   0|1448M 1045M  166M 5089M|4788B 1743B|   0   148k|   0  9.98 |3234  1845 |2.35 1.35 0.68|2.0   0  47|   0     0 |           | 11   33    0   59    0
Feb 19 18:07:01 ubuntu dstat.sh[59214]: 19-02 18:07:01| 30   5  63   0   0|1456M 1037M  166M 5089M|  19k   16k|   0   468k|   0  56.9 |4671  6213 |2.35 1.35 0.68|3.0   0   0|   0     0 |           | 11   34    0   59    0
Feb 19 18:07:02 ubuntu dstat.sh[59214]: 19-02 18:07:02| 37  14  47   0   0|1379M 1113M  166M 5089M|5396B 2827B|   0   196k|   0  9.99 |4008  2724 |2.35 1.35 0.68|2.0   0 138|   0     0 |           | 11   32    0   61    0
Feb 19 18:07:03 ubuntu dstat.sh[59214]: 19-02 18:07:03| 36   6  56   0   0|1449M 1043M  166M 5089M|  14k   11k|   0   212k|   0  20.0 |3414  2707 |2.35 1.35 0.68|3.0   0   0|   0     0 |           | 11   34    0   61    0
Feb 19 18:07:04 ubuntu dstat.sh[59214]: 19-02 18:07:04| 33  10  57   0   0|1402M 1090M  166M 5089M|  12k 8895B|   0   332k|   0  35.0 |4901  5168 |2.32 1.37 0.69|3.0   0  65|   0     0 |           | 11   32    0   61    0
Feb 19 18:07:05 ubuntu dstat.sh[59214]: 19-02 18:07:05| 39   7  54   0   0|1426M 1066M  166M 5089M|  11k 8365B|   0   144k|   0  8.01 |2945  1867 |2.32 1.37 0.69|1.0   0   0|   0     0 |           | 11   34    0   61    0
Feb 19 18:07:06 ubuntu dstat.sh[59214]: 19-02 18:07:06| 32   5  62   0   0|1430M 1062M  166M 5089M|  19k   15k|   0   144k|   0  10.0 |5238  6790 |2.32 1.37 0.69|4.0   0 1.0|   0     0 |           | 11   33    0   62    0
Feb 19 18:07:07 ubuntu dstat.sh[59214]: 19-02 18:07:07| 40  11  49   0   0|1420M 1072M  166M 5089M|4826B 2204B|   0   379k|   0  26.0 |3490  2582 |2.32 1.37 0.69|2.0   0  48|   0     0 |           | 11   32    0   63    0
Feb 19 18:07:08 ubuntu dstat.sh[59214]: 19-02 18:07:08| 33   4  62   0   0|1456M 1036M  166M 5090M|  18k   15k|   0   140k|   0  8.02 |4254  4562 |2.32 1.37 0.69|2.0   0   0|   0     0 |           | 11   34    0   63    0
Feb 19 18:07:09 ubuntu dstat.sh[59214]: 19-02 18:07:09| 29  13  57   0   0|1434M 1058M  166M 5090M|  13k 9522B|   0   320k|   0  33.0 |5648  6202 |2.30 1.38 0.70|3.0   0 171|   0     0 |           | 11   32    0   63    0
