Feb 13 09:28:21 np0000000052 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 13 09:28:21 np0000000052 dstat.sh[59573]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 13 09:28:21 np0000000052 dstat.sh[59573]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 13 09:28:41 np0000000052 dstat.sh[59573]: 13-02 09:28:41| 22   3  73   0   0|1317M 1187M  166M 5079M|4817B 1458B|   0   388k|   0  25.0 |1876  1507 |1.51 0.87 0.49|2.0   0   0|   0     0 |           | 11    4    0   21    0
Feb 13 09:28:42 np0000000052 dstat.sh[59573]: 13-02 09:28:42| 23   2  73   1   0|1334M 1170M  166M 5079M|6213B 1624B|   0  1328k|   0   179 |3260  4293 |1.47 0.88 0.50|2.0   0 1.0|   0     0 |           | 11   10    0   21    0
Feb 13 09:28:43 np0000000052 dstat.sh[59573]: 13-02 09:28:43| 20   6  73   1   0|1272M 1232M  166M 5079M|5700B 1620B| 144k 2588k|13.0   149 |2649  2382 |1.47 0.88 0.50|1.0   0  42|   0     0 |           | 11    4    0   23    0
Feb 13 09:28:44 np0000000052 dstat.sh[59573]: 13-02 09:28:44| 18   3  77   0   0|1307M 1196M  166M 5079M|7313B 3994B| 347k   24M|12.0   147 |1912  1694 |1.47 0.88 0.50|1.0   0   0|   0     0 |           | 11   11    0   23    0
Feb 13 09:28:45 np0000000052 dstat.sh[59573]: 13-02 09:28:45| 22   3  74   1   0|1318M 1184M  166M 5080M|  10k 7376B| 269k 1190k|66.1  36.1 |2856  2841 |1.47 0.88 0.50|1.0   0 3.0|   0     0 |           | 11   28    0   24    0
Feb 13 09:28:46 np0000000052 dstat.sh[59573]: 13-02 09:28:46| 20   6  73   0   0|1342M 1160M  166M 5080M|4865B 1658B|   0     0 |   0     0 |2259  1649 |1.47 0.88 0.50|1.0   0  44|   0     0 |           | 11   28    0   18    0
Feb 13 09:28:47 np0000000052 dstat.sh[59573]: 13-02 09:28:47| 16   2  80   0   0|1361M 1141M  166M 5080M|  12k 8468B|   0   780k|   0  4.00 |1988  1662 |1.43 0.88 0.50|1.0   0   0|   0     0 |           | 11   28    0   19    0
Feb 13 09:28:48 np0000000052 dstat.sh[59573]: 13-02 09:28:48| 32  13  54   0   0|1418M 1084M  166M 5080M|4186B 1457B|   0    12k|   0  3.00 |3725  2498 |1.43 0.88 0.50|2.0   0 156|   0     0 |           | 11   28    0   19    0
Feb 13 09:28:49 np0000000052 dstat.sh[59573]: 13-02 09:28:49| 33   5  61   0   0|1457M 1046M  166M 5080M|  13k   12k|   0    21M|   0   119 |3669  3197 |1.43 0.88 0.50|  0   0   0|   0     0 |           | 11   30    0   19    0
Feb 13 09:28:50 np0000000052 dstat.sh[59573]: 13-02 09:28:50| 40  20  39   0   0|1409M 1093M  166M 5080M|  14k 9853B|   0  3131k|   0  49.2 |6847  8515 |1.43 0.88 0.50|6.0   0 434|   0     0 |           | 11   28    0   20    0
Feb 13 09:28:51 np0000000052 dstat.sh[59573]: 13-02 09:28:51| 81  18   0   0   0|1585M  917M  166M 5080M|4708B 1621B|   0    16k|   0  4.00 |5153  3270 |1.43 0.88 0.50|6.0   0 146|   0     0 |           | 11   28    0   20    0
Feb 13 09:28:52 np0000000052 dstat.sh[59573]: 13-02 09:28:52| 78  10  12   0   0|1689M  812M  166M 5080M|  34k   32k|   0    88k|   0  5.00 |7327  8452 |1.80 0.96 0.53|3.0   0   0|   0     0 |           | 11   34    0   20    0
Feb 13 09:28:53 np0000000052 dstat.sh[59573]: 13-02 09:28:53| 53  15  31   0   0|1469M 1033M  166M 5080M|  20k   16k|   0   675k|   0  65.9 |7293    11k|1.80 0.96 0.53|1.0   0 310|   0     0 |           | 11   28    0   26    0
Feb 13 09:28:54 np0000000052 dstat.sh[59573]: 13-02 09:28:54| 21   4  75   0   0|1532M  970M  166M 5080M|6156B 3577B|   0  6419k|   0  64.9 |1902  1436 |1.80 0.96 0.53|  0   0   0|   0     0 |           | 11   29    0   25    0
Feb 13 09:28:55 np0000000052 dstat.sh[59573]: 13-02 09:28:55| 15   4  80   0   0|1507M  995M  166M 5080M|  10k 6552B|   0   265k|   0  22.1 |2806  3407 |1.80 0.96 0.53|1.0   0  26|   0     0 |           | 11   28    0   26    0
Feb 13 09:28:56 np0000000052 dstat.sh[59573]: 13-02 09:28:56| 21   5  73   0   0|1505M  997M  166M 5080M|5532B 1803B|   0   144k|   0  5.98 |2263  1751 |1.80 0.96 0.53|  0   0  43|   0     0 |           | 11   28    1   26    0
Feb 13 09:28:57 np0000000052 dstat.sh[59573]: 13-02 09:28:57| 14   1  82   0   0|1483M 1018M  166M 5080M|  13k 8295B|   0   252k|   0  26.0 |2736  3283 |1.65 0.95 0.53|2.0   0   0|   0     0 |           | 11   28    0   27    0
Feb 13 09:28:58 np0000000052 dstat.sh[59573]: 13-02 09:28:58| 10  24  65   0   0|1387M 1115M  166M 5080M|5778B 1625B|   0   229k|   0  16.1 |6357  5293 |1.65 0.95 0.53|4.0   0 675|   0     0 |           | 11   28    0   27    0
Feb 13 09:28:59 np0000000052 dstat.sh[59573]: 13-02 09:28:59| 72  25   2   0   0|1526M  976M  166M 5080M|5395B 1756B|   0    32M|   0   174 |5629  4066 |1.65 0.95 0.53|6.0   0 365|   0     0 |           | 11   28    0   26    0
Feb 13 09:29:00 np0000000052 dstat.sh[59573]: 13-02 09:29:00| 76   8  16   0   0|1624M  877M  166M 5081M|  29k   27k|   0  1666k|   0  48.8 |6200  6335 |1.65 0.95 0.53|3.0   0   0|   0     0 |           | 11   33    0   26    0
Feb 13 09:29:01 np0000000052 dstat.sh[59573]: 13-02 09:29:01| 67  14  17   0   0|1500M 1001M  166M 5081M|  30k   25k|   0   699k|   0  78.3 |  10k   15k|1.65 0.95 0.53|6.0   0 253|   0     0 |           | 11   28    0   27    0
Feb 13 09:29:02 np0000000052 dstat.sh[59573]: 13-02 09:29:02| 84  16   0   0   0|1613M  889M  166M 5081M|4921B 2227B|   0   180k|   0  7.98 |5034  2947 |2.08 1.05 0.56|5.0   0  58|   0     0 |           | 11   29    0   27    0
Feb 13 09:29:03 np0000000052 dstat.sh[59573]: 13-02 09:29:03| 83   8   9   0   0|1697M  804M  166M 5081M|  40k   37k|   0   144k|   0  10.0 |6813  9187 |2.08 1.05 0.56|3.0   0   0|   0     0 |           | 11   34    0   27    0
Feb 13 09:29:04 np0000000052 dstat.sh[59573]: 13-02 09:29:04| 64  14  20   0   0|1549M  951M  166M 5081M|  32k   27k|   0  2470k|   0   173 |9176    15k|2.08 1.05 0.56|2.0   0 298|   0     0 |           | 11   28    0   32    0
Feb 13 09:29:05 np0000000052 dstat.sh[59573]: 13-02 09:29:05| 39   8  54   0   0|1542M  959M  166M 5081M|8921B 6877B|   0    58M|   0   385 |3178  2859 |2.08 1.05 0.56|1.0   0   0|   0     0 |           | 11   30    0   32    0
Feb 13 09:29:06 np0000000052 dstat.sh[59573]: 13-02 09:29:06| 33  13  53   0   0|1502M  998M  166M 5081M|  17k   13k|   0   277k|   0  28.1 |6225  8096 |2.08 1.05 0.56|4.0   0 330|   0     0 |           | 11   29    0   33    0
Feb 13 09:29:07 np0000000052 dstat.sh[59573]: 13-02 09:29:07| 69  14  16   0   0|1498M 1003M  166M 5081M|7756B 5382B|   0   732k|   0  15.0 |4977    17k|2.32 1.11 0.58|1.0   0  86|   0     0 |           | 11   30    0   35    0
Feb 13 09:29:08 np0000000052 dstat.sh[59573]: 13-02 09:29:08| 42   5  52   0   0|1502M  998M  166M 5082M|  28k   24k|   0   412k|   0  31.0 |6638  9300 |2.32 1.11 0.58|3.0   0   0|   0     0 |           | 11   30    0   36    0
Feb 13 09:29:09 np0000000052 dstat.sh[59573]: 13-02 09:29:09| 74  21   6   0   0|1473M 1028M  166M 5082M|7417B 3720B|   0   364k|   0  30.0 |5986  4793 |2.32 1.11 0.58|4.0   0 258|   0     0 |           | 11   28    0   36    0
Feb 13 09:29:10 np0000000052 dstat.sh[59573]: 13-02 09:29:10| 61   8  29   0   0|1567M  933M  166M 5082M|  26k   24k|   0   308k|   0  11.0 |5500  5615 |2.32 1.11 0.58|1.0   0   0|   0     0 |           | 11   32    0   36    0
Feb 13 09:29:11 np0000000052 dstat.sh[59573]: 13-02 09:29:11| 63  19  18   0   0|1527M  973M  166M 5082M|  24k   18k|   0  1916k|   0  87.0 |8880    12k|2.32 1.11 0.58|3.0   0 324|   0     0 |           | 11   28    0   37    0
Feb 13 09:29:12 np0000000052 dstat.sh[59573]: 13-02 09:29:12| 54   6  38   0   0|1564M  936M  166M 5082M|  15k   13k|   0  3179k|   0   174 |4320  3445 |2.37 1.15 0.60|2.0   0   0|   0     0 |           | 11   31    0   37    0
Feb 13 09:29:13 np0000000052 dstat.sh[59573]: 13-02 09:29:13| 50  13  36   0   0|1515M  985M  166M 5082M|  25k   19k|   0   365k|   0  35.1 |7659    10k|2.37 1.15 0.60|5.0   0 250|   0     0 |           | 11   28    0   39    0
Feb 13 09:29:14 np0000000052 dstat.sh[59573]: 13-02 09:29:14| 59  10  30   0   0|1532M  968M  166M 5082M|9840B 7325B|   0   259k|   0  14.0 |3662  1799 |2.37 1.15 0.60|  0   0  50|   0     0 |           | 11   31    0   39    0
Feb 13 09:29:15 np0000000052 dstat.sh[59573]: 13-02 09:29:15| 48   5  46   0   0|1509M  990M  166M 5082M|  29k   23k|   0  6197k|   0   369 |7952    10k|2.37 1.15 0.60|3.0   0  17|   0     0 |           | 11   28    0   37    0
Feb 13 09:29:16 np0000000052 dstat.sh[59573]: 13-02 09:29:16| 61  17  21   0   0|1489M 1010M  166M 5082M|4668B 1616B|   0   263k|   0  14.0 |4387  2720 |2.37 1.15 0.60|3.0   0 270|   0     0 |           | 11   28    0   37    0
Feb 13 09:29:17 np0000000052 dstat.sh[59573]: 13-02 09:29:17| 45   5  48   0   0|1526M  974M  166M 5083M|  26k   23k|   0   160k|   0  8.02 |5979  7143 |2.50 1.19 0.62|2.0   0   0|   0     0 |           | 11   31    0   37    0
Feb 13 09:29:18 np0000000052 dstat.sh[59573]: 13-02 09:29:18| 60  13  27   1   0|1425M 1075M  166M 5083M|9430B 5361B|   0   456k|   0  43.0 |5429  4711 |2.50 1.19 0.62|3.0   0 112|   0     0 |           | 11   28    0   39    0
Feb 13 09:29:19 np0000000052 dstat.sh[59573]: 13-02 09:29:19| 50   6  43   0   0|1498M 1001M  166M 5083M|  19k   16k|   0   172k|   0  9.00 |4549  4125 |2.50 1.19 0.62|2.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 13 09:29:20 np0000000052 dstat.sh[59573]: 13-02 09:29:20| 51  23  26   0   0|1449M 1050M  166M 5083M|  15k   12k|   0  1625k|   0   126 |7903    10k|2.50 1.19 0.62|7.0   0 488|   0     0 |           | 11   28    0   38    0
Feb 13 09:29:21 np0000000052 dstat.sh[59573]: 13-02 09:29:21| 80  20   0   0   0|1597M  902M  166M 5083M|4961B 1862B|   0   188k|   0  14.0 |5492  4631 |2.50 1.19 0.62|7.0   0 427|   0     0 |           | 11   28    1   38    0
Feb 13 09:29:22 np0000000052 dstat.sh[59573]: 13-02 09:29:22| 76  19   5   0   0|1706M  793M  166M 5083M|  35k   33k|   0     0 |   0     0 |7285  7537 |2.78 1.27 0.65|7.0   0 447|   0     0 |           | 11   34    0   38    0
Feb 13 09:29:23 np0000000052 dstat.sh[59573]: 13-02 09:29:23| 77  21   2   0   0|1603M  896M  167M 5083M|  37k   32k|   0   755k|   0  68.9 |8353    11k|2.78 1.27 0.65|7.0   0 431|   0     0 |           | 11   28    0   39    0
Feb 13 09:29:24 np0000000052 dstat.sh[59573]: 13-02 09:29:24| 83  15   2   0   0|1600M  899M  167M 5083M|  13k   11k|   0   120k|   0  8.00 |5367  3535 |2.78 1.27 0.65|5.0   0  66|   0     0 |           | 11   31    0   39    0
Feb 13 09:29:25 np0000000052 dstat.sh[59573]: 13-02 09:29:25| 75  11  14   0   0|1621M  878M  167M 5083M|  36k   32k|   0   132k|   0  10.0 |7465    11k|2.78 1.27 0.65|4.0   0 107|   0     0 |           | 11   31    0   41    0
Feb 13 09:29:26 np0000000052 dstat.sh[59573]: 13-02 09:29:26| 35  19  45   0   0|1439M 1060M  167M 5084M|  22k   17k|   0   172k|   0  12.0 |8313    11k|2.78 1.27 0.65|2.0   0 466|   0     0 |           | 11   28    0   44    0
Feb 13 09:29:27 np0000000052 dstat.sh[59573]: 13-02 09:29:27| 35  34  31   0   0|1438M 1060M  167M 5084M|4663B 1620B|   0   180k|   0  19.0 |6562  6292 |2.64 1.27 0.65|5.0   0 958|   0     0 |           | 11   28    0   42    0
Feb 13 09:29:28 np0000000052 dstat.sh[59573]: 13-02 09:29:28| 72  12  15   0   0|1573M  926M  167M 5084M|  15k   12k|   0    71k|   0  3.97 |4795  3568 |2.64 1.27 0.65|3.0   0  71|   0     0 |           | 11   31    0   42    0
Feb 13 09:29:29 np0000000052 dstat.sh[59573]: 13-02 09:29:29| 59  11  29   0   0|1514M  984M  167M 5084M|  27k   22k|   0   789k|   0  65.4 |6597    11k|2.64 1.27 0.65|4.0   0 141|   0     0 |           | 11   29    0   45    0
Feb 13 09:29:30 np0000000052 dstat.sh[59573]: 13-02 09:29:30| 77  16   7   0   0|1540M  958M  167M 5084M|  10k 6960B|   0  3297k|   0   129 |5318  3753 |2.64 1.27 0.65|3.0   0 128|   0     0 |           | 11   30    0   46    0
Feb 13 09:29:31 np0000000052 dstat.sh[59573]: 13-02 09:29:31| 57   6  35   0   0|1567M  931M  167M 5084M|  36k   32k|   0   160k|   0  8.99 |8568    12k|2.64 1.27 0.65|2.0   0   0|   0     0 |           | 11   32    0   46    0
Feb 13 09:29:32 np0000000052 dstat.sh[59573]: 13-02 09:29:32| 56   8  35   0   0|1487M 1011M  167M 5084M|  43k   36k|   0   396k|   0  40.0 |  13k   20k|2.67 1.30 0.66|5.0   0  36|   0     0 |           | 11   29    0   46    0
Feb 13 09:29:33 np0000000052 dstat.sh[59573]: 13-02 09:29:33| 77  14   8   0   0|1499M  999M  167M 5084M|  13k 8301B|   0   276k|   0  25.0 |5348  4445 |2.67 1.30 0.66|5.0   0  84|   0     0 |           | 11   29    0   46    0
Feb 13 09:29:34 np0000000052 dstat.sh[59573]: 13-02 09:29:34| 63   7  30   0   0|1557M  941M  167M 5084M|  34k   29k|   0   144k|   0  8.00 |6771  9684 |2.67 1.30 0.66|1.0   0   0|   0     0 |           | 11   32    0   46    0
Feb 13 09:29:35 np0000000052 dstat.sh[59573]: 13-02 09:29:35| 51   8  39   0   0|1552M  945M  167M 5085M|  45k   38k|   0   392k|   0  13.0 |  14k   22k|2.67 1.30 0.66|6.0   0  71|   0     0 |           | 11   31    0   47    0
Feb 13 09:29:36 np0000000052 dstat.sh[59573]: 13-02 09:29:36| 76  16   8   0   0|1486M 1011M  167M 5085M|  14k   10k|   0   156k|   0  8.01 |5640  4805 |2.67 1.30 0.66|4.0   0 190|   0     0 |           | 11   29    0   50    0
Feb 13 09:29:37 np0000000052 dstat.sh[59573]: 13-02 09:29:37| 68   7  25   0   0|1562M  935M  167M 5085M|  29k   24k|   0   120k|   0  8.00 |5754  7124 |2.70 1.33 0.67|3.0   0   0|   0     0 |           | 11   32    0   50    0
Feb 13 09:29:38 np0000000052 dstat.sh[59573]: 13-02 09:29:38| 64  13  23   0   0|1557M  939M  167M 5085M|  32k   26k|   0   232k|   0  19.0 |9325    14k|2.70 1.33 0.67|4.0   0  98|   0     0 |           | 11   29    0   52    0
Feb 13 09:29:39 np0000000052 dstat.sh[59573]: 13-02 09:29:39| 75  11  14   0   0|1580M  916M  167M 5085M|  16k   13k|   0   300k|   0  30.0 |5091  4191 |2.70 1.33 0.67|3.0   0  30|   0     0 |           | 11   31    0   52    0
Feb 13 09:29:40 np0000000052 dstat.sh[59573]: 13-02 09:29:40| 63  13  22   0   0|1524M  972M  167M 5085M|  21k   18k|   0   360k|   0  38.0 |6422  7875 |2.70 1.33 0.67|3.0   0 120|   0     0 |           | 11   30    0   53    0
Feb 13 09:29:41 np0000000052 dstat.sh[59573]: 13-02 09:29:41| 65   9  25   0   0|1546M  951M  167M 5085M|  34k   28k|   0   276k|   0  15.0 |7305    11k|2.70 1.33 0.67|4.0   0  59|   0     0 |           | 11   31    0   54    0
Feb 13 09:29:42 np0000000052 dstat.sh[59573]: 13-02 09:29:42| 72  13  15   0   0|1522M  974M  167M 5086M|  25k   19k|   0  1545k|   0  11.0 |6241  8571 |2.80 1.37 0.69|4.0   0 125|   0     0 |           | 11   29    0   57    0
Feb 13 09:29:43 np0000000052 dstat.sh[59573]: 13-02 09:29:43| 74  11  14   0   0|1593M  903M  167M 5086M|  18k   14k|   0   152k|   0  8.98 |5460  4581 |2.80 1.37 0.69|3.0   0  43|   0     0 |           | 11   30    0   58    0
Feb 13 09:29:44 np0000000052 dstat.sh[59573]: 13-02 09:29:44| 69  13  19   0   0|1634M  862M  167M 5086M|  23k   19k|   0   120k|   0  8.01 |5602  7417 |2.80 1.37 0.69|4.0   0  68|   0     0 |           | 11   30    0   57    0
Feb 13 09:29:45 np0000000052 dstat.sh[59573]: 13-02 09:29:45| 60  12  27   0   0|1567M  929M  167M 5086M|  20k   17k|   0   701k|   0  72.1 |5954  7841 |2.80 1.37 0.69|3.0   0 140|   0     0 |           | 11   33    0   60    0
Feb 13 09:29:46 np0000000052 dstat.sh[59573]: 13-02 09:29:46| 55  12  33   0   0|1526M  970M  167M 5086M|  13k   10k|   0   432k|   0  55.0 |5032  3855 |2.80 1.37 0.69|3.0   0 121|   0     0 |           | 11   33    0   61    0
Feb 13 09:29:47 np0000000052 dstat.sh[59573]: 13-02 09:29:47| 49   9  42   0   0|1524M  971M  167M 5086M|  18k   15k|   0   264k|   0  19.0 |5766  6213 |2.82 1.40 0.70|2.0   0  91|   0     0 |           | 11   34    0   62    0
Feb 13 09:29:48 np0000000052 dstat.sh[59573]: 13-02 09:29:48| 57  10  32   0   0|1493M 1003M  167M 5086M|  18k   14k|   0   187k|   0  8.97 |5852  6612 |2.82 1.40 0.70|3.0   0  48|   0     0 |           | 11   32    0   62    0
Feb 13 09:29:49 np0000000052 dstat.sh[59573]: 13-02 09:29:49| 53   9  39   0   0|1526M  969M  167M 5086M|  17k   14k|   0   233k|   0  14.0 |4575  4650 |2.82 1.40 0.70|4.0   0  45|   0     0 |           | 11   34    0   62    0
Feb 13 09:29:50 np0000000052 dstat.sh[59573]: 13-02 09:29:50| 34   7  57   0   0|1445M 1050M  167M 5086M|  20k   17k|   0   300k|   0  23.0 |6140  7616 |2.82 1.40 0.70|3.0   0 105|   0     0 |           | 11   33    0   64    0
Feb 13 09:29:51 np0000000052 dstat.sh[59573]: 13-02 09:29:51| 35  11  53   0   0|1468M 1027M  167M 5086M|8429B 5443B|   0   267k|   0  25.9 |4323  4132 |2.82 1.40 0.70|2.0   0 116|   0     0 |           | 11   32    0   65    0
Feb 13 09:29:52 np0000000052 dstat.sh[59573]: 13-02 09:29:52| 34   5  60   0   0|1492M 1003M  167M 5086M|  18k   15k|   0   152k|   0  10.0 |4096  4231 |2.75 1.41 0.71|2.0   0   0|   0     0 |           | 11   33    0   65    0
Feb 13 09:29:53 np0000000052 dstat.sh[59573]: 13-02 09:29:53| 36  11  52   0   0|1490M 1005M  167M 5087M|8683B 5796B|   0   221k|   0  18.1 |5239  5371 |2.75 1.41 0.71|2.0   0 138|   0     0 |           | 11   32    0   66    0
Feb 13 09:29:54 np0000000052 dstat.sh[59573]: 13-02 09:29:54| 36   5  58   0   0|1508M  987M  167M 5087M|  12k 8724B|   0   291k|   0  18.9 |3063  2747 |2.75 1.41 0.71|1.0   0   0|   0     0 |           | 11   33    0   67    0
Feb 13 09:29:55 np0000000052 dstat.sh[59573]: 13-02 09:29:55| 32   9  58   0   0|1453M 1042M  167M 5087M|  14k   10k|   0   224k|   0  19.0 |4225  4688 |2.75 1.41 0.71|2.0   0  60|   0     0 |           | 11   33    0   67    0
Feb 13 09:29:56 np0000000052 dstat.sh[59573]: 13-02 09:29:56| 36   6  57   0   0|1432M 1063M  167M 5087M|  14k   10k|   0   245k|   0  21.1 |3935  4202 |2.75 1.41 0.71|3.0   0 6.0|   0     0 |           | 11   33    0   61    0
Feb 13 09:29:57 np0000000052 dstat.sh[59573]: 13-02 09:29:57| 35   7  57   0   0|1418M 1077M  167M 5087M|  15k   11k|   0   152k|   0  12.0 |4116  4342 |2.69 1.42 0.72|2.0   0  43|   0     0 |           | 11   33    0   62    0
Feb 13 09:29:58 np0000000052 dstat.sh[59573]: 13-02 09:29:58| 35   6  58   0   0|1432M 1062M  167M 5087M|  15k   11k|   0   332k|   0  32.0 |3836  4007 |2.69 1.42 0.72|1.0   0 5.0|   0     0 |           | 11   33    0   63    0
Feb 13 09:29:59 np0000000052 dstat.sh[59573]: 13-02 09:29:59| 34   6  60   0   0|1462M 1032M  167M 5087M|  18k   13k|   0  1945k|   0   125 |5457  6461 |2.69 1.42 0.72|3.0   0  49|   0     0 |           | 11   33    0   64    0
Feb 13 09:30:00 np0000000052 dstat.sh[59573]: 13-02 09:30:00| 19  10  70   0   0|1445M 1050M  167M 5087M|  10k 7084B|   0   256k|   0  21.0 |4752  5293 |2.69 1.42 0.72|1.0   0 233|   0     0 |           | 11   32    0   64    0
Feb 13 09:30:01 np0000000052 dstat.sh[59573]: 13-02 09:30:01| 19   3  76   0   0|1489M 1005M  167M 5087M|7229B 3575B|   0  4189k|   0   163 |1751  1240 |2.69 1.42 0.72|  0   0 1.0|   0     0 |           | 11   33    0   64    0
