Dec 30 07:31:40 jammy-provider-cloud-0000007872 systemd[1]: Started Devstack devstack@dstat.service.
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 30 07:31:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:50| 45   8  46   0   0|1176M 1606M  165M 4798M|5682B 1621B|   0    10M|   0   467 |9522    18k|1.73 0.99 0.50|3.0   0  14|   0     0 |   0     0 | 10    4    0   18    0
Dec 30 07:31:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:51| 49   7  44   0   0|1156M 1626M  165M 4801M|6833B 1459B|   0  7122k|   0   400 |2290  5795 |1.83 1.03 0.51|6.0   0  58|   0     0 |   0     0 | 11    5    0   18    0
Dec 30 07:31:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:52| 29   2  67   0   0|1140M 1643M  165M 4798M|5742B 1616B|   0   347k|   0  20.9 |1287  1944 |1.83 1.03 0.51|1.0   0  50|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:31:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:53| 11  17  71   0   0|1057M 1725M  165M 4798M|6093B 1716B|   0  8200B|   0  2.00 |2616  4033 |1.83 1.03 0.51|3.0   0 346|   0     0 |   0     0 | 10    4    0   18    0
Dec 30 07:31:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:54| 10  18  70   0   0|1057M 1725M  165M 4799M|  41k 1615B|   0    40k|   0  9.97 |3268  5311 |1.83 1.03 0.51|1.0   0 373|   0     0 |   0     0 | 10    4    0   18    0
Dec 30 07:31:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:55| 34  12  53   0   0|1129M 1653M  165M 4799M|6223B 1619B|   0   116k|   0  2.00 |4441  9691 |1.83 1.03 0.51|3.0   0 194|   0     0 |   0     0 | 10    5    0   18    0
Dec 30 07:31:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:56| 46   5  49   0   0|1217M 1564M  165M 4799M|4913B 1620B|   0   332k|   0  31.0 |1275  1293 |1.85 1.04 0.52|3.0   0 4.0|   0     0 |   0     0 | 10    5    0   18    0
Dec 30 07:31:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:57| 42   7  49   0   0|1247M 1532M  165M 4802M|6406B 1626B|   0  1638k|   0  90.4 |1640  5575 |1.85 1.04 0.52|3.0   0  45|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:31:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:58|  2   4  93   0   0|1248M 1530M  165M 4802M|5151B 1452B|   0   490k|   0  14.9 |1156  1988 |1.85 1.04 0.52|1.0   0  73|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:31:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:59|  4   2  94   0   0|1254M 1525M  165M 4802M|5327B 1628B|   0   374k|   0  26.1 |1045  1455 |1.85 1.04 0.52|4.0   0  21|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:32:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:00| 22   4  73   0   0|1326M 1452M  165M 4802M|6392B 1618B|   0    20M|   0  46.0 |1157  1470 |1.85 1.04 0.52|2.0   0 3.0|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:32:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:01| 24   1  73   1   0|1350M 1428M  165M 4802M|5222B 1619B|   0  2023k|   0   179 |2333  4373 |1.78 1.04 0.52|1.0   0 1.0|   0     0 |   0     0 | 10   10    0   17    0
Dec 30 07:32:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:02| 22   4  73   0   0|1293M 1484M  165M 4802M|9198B 1619B|   0  5764k|   0   209 |1654  2401 |1.78 1.04 0.52|2.0   0  44|   0     0 |   0     0 | 10    4    0   19    0
Dec 30 07:32:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:03| 23   3  73   1   0|1266M 1512M  165M 4803M|5307B 1622B| 232k 1434k|58.1  15.0 |1869  3121 |1.78 1.04 0.52|3.0   0  20|   0     0 |   0     0 | 10   28    0   17    0
Dec 30 07:32:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:04| 23   4  73   0   0|1324M 1454M  165M 4803M|8961B 1458B|   0   632k|   0  13.0 |1322  1794 |1.78 1.04 0.52|2.0   0  28|   0     0 |   0     0 | 10   28    0   17    0
Dec 30 07:32:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:05| 33   9  56   0   0|1358M 1420M  165M 4803M|7619B 1615B|   0    32M|   0  86.7 |2014  3061 |1.78 1.04 0.52|3.0   0 160|   0     0 |   0     0 | 10   28    0   17    0
Dec 30 07:32:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:06| 43  12  46   1   0|1294M 1483M  165M 4803M|5760B 1626B|   0  1172k|   0  28.1 |4786  9815 |1.71 1.04 0.52|4.0   0 208|   0     0 |   0     0 | 10   28    0   18    0
Dec 30 07:32:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:07| 80  18   2   0   0|1527M 1250M  165M 4803M|7120B 1621B|   0   893k|   0   147 |2494  4655 |1.71 1.04 0.52|6.0   0 379|   0     0 |   0     0 | 10   28    0   18    0
Dec 30 07:32:08 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:08| 83  12   5   0   0|1456M 1320M  165M 4803M|  13k 1620B|   0   328k|   0  35.0 |4429    13k|1.71 1.04 0.52|4.0   0 130|   0     0 |   0     0 | 10   28    0   20    0
Dec 30 07:32:09 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:09| 36   7  54   0   0|1323M 1454M  165M 4803M|4894B 1607B|   0   290k|   0  30.8 |2714  6108 |1.71 1.04 0.52|3.0   0 185|   0     0 |   0     0 | 10   28    0   20    0
Dec 30 07:32:10 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:10| 22   4  73   0   0|1292M 1484M  165M 4803M|5933B 1631B|   0   467k|   0  23.2 |1879  3683 |1.71 1.04 0.52|2.0   0  44|   0     0 |   0     0 | 10   28    0   20    0
Dec 30 07:32:11 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:11| 23   4  74   0   0|1351M 1426M  165M 4803M|6625B 1459B|   0   120k|   0  8.00 |1239  2019 |1.66 1.04 0.53|2.0   0  27|   0     0 |   0     0 | 10   28    0   20    0
Dec 30 07:32:12 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:12| 13  16  70   1   0|1291M 1486M  165M 4803M|5049B 1621B|   0   300k|   0  30.0 |2905  5198 |1.66 1.04 0.53|3.0   0 392|   0     0 |   0     0 | 10   28    0   19    0
Dec 30 07:32:13 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:13| 56  22  23   0   0|1447M 1329M  165M 4803M|6120B 1620B|   0  2760k|   0  35.0 |2995  5257 |1.66 1.04 0.53|6.0   0 646|   0     0 |   0     0 | 10   28    0   19    0
Dec 30 07:32:14 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:14| 80   8  11   0   0|1578M 1198M  165M 4803M|6577B 1661B|   0  1040k|   0  71.0 |3749    12k|1.66 1.04 0.53|6.0   0  10|   0     0 |   0     0 | 10   30    0   20    0
Dec 30 07:32:15 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:15| 82  11   5   0   0|1436M 1340M  165M 4804M|6831B 1621B|   0    25M|   0   127 |3621  9137 |1.66 1.04 0.53|6.0   0 152|   0     0 |   0     0 | 10   28    0   20    0
Dec 30 07:32:16 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:16| 86  12   3   0   0|1591M 1185M  165M 4804M|5037B 1614B|   0   880k|   0  12.0 |5140    11k|2.09 1.14 0.56|6.0   0 169|   0     0 |   0     0 | 10   31    0   20    0
Dec 30 07:32:17 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:17| 75  10  14   0   0|1418M 1357M  165M 4804M|5681B 1620B|   0   356k|   0  27.0 |5529    13k|2.09 1.14 0.56|3.0   0 200|   0     0 |   0     0 | 10   29    0   20    0
Dec 30 07:32:18 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:18| 43   7  48   0   0|1400M 1375M  165M 4805M|8285B 1461B|   0   256k|   0  22.0 |2245  3997 |2.09 1.14 0.56|4.0   0 102|   0     0 |   0     0 | 10   29    0   20    0
Dec 30 07:32:19 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:19| 52  17  31   0   0|1380M 1396M  165M 4805M|5019B 1623B|   0   569k|   0  32.1 |4322  9243 |2.09 1.14 0.56|4.0   0 385|   0     0 |   0     0 | 10   28    0   21    0
Dec 30 07:32:20 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:20| 66   6  28   0   0|1467M 1308M  165M 4805M|5218B 1620B|   0    44M|   0   457 |3378  8394 |2.09 1.14 0.56|5.0   0 1.0|   0     0 |   0     0 | 10   30    0   23    0
Dec 30 07:32:21 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:21| 81  16   4   0   0|1509M 1266M  165M 4805M|5403B 1620B|   0   876k|   0  34.0 |2536  4668 |2.24 1.19 0.58|5.0   0 266|   0     0 |   0     0 | 10   28    0   23    0
Dec 30 07:32:22 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:22| 66  12  21   0   0|1316M 1459M  165M 4805M|8724B 1620B|   0   440k|   0  38.0 |4268    14k|2.24 1.19 0.58|6.0   0 239|   0     0 |   0     0 | 10   28    0   26    0
Dec 30 07:32:23 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:23| 68   8  23   0   0|1472M 1303M  165M 4805M|8722B 1620B|   0  6316k|   0   241 |2603  5113 |2.24 1.19 0.58|5.0   0  91|   0     0 |   0     0 | 10   29    0   27    0
Dec 30 07:32:24 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:24| 61  13  27   0   0|1394M 1381M  165M 4805M|  40k 1617B|   0   431k|   0  41.9 |4566  9804 |2.24 1.19 0.58|4.0   0 304|   0     0 |   0     0 | 10   28    0   28    0
Dec 30 07:32:25 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:25| 62  10  28   0   0|1355M 1419M  165M 4806M|5387B 1621B|   0   616k|   0  35.0 |4015  9869 |2.24 1.19 0.58|4.0   0  57|   0     0 |   0     0 | 10   29    0   31    0
Dec 30 07:32:26 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:26| 62  12  27   0   0|1468M 1306M  165M 4806M|5080B 1460B|   0   280k|   0  14.0 |2425  3360 |2.30 1.22 0.59|3.0   0 236|   0     0 |   0     0 | 10   28    0   31    0
Dec 30 07:32:27 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:27| 58  11  30   0   0|1381M 1392M  165M 4806M|5096B 1617B|   0   419k|   0  40.9 |4942  9963 |2.30 1.22 0.59|3.0   0 118|   0     0 |   0     0 | 10   28    0   36    0
Dec 30 07:32:28 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:28| 66   8  26   0   0|1415M 1358M  165M 4806M|5639B 1622B|   0   348k|   0  32.0 |4764  9199 |2.30 1.22 0.59|5.0   0  96|   0     0 |   0     0 | 10   29    0   35    0
Dec 30 07:32:29 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:29| 81  17   2   0   0|1513M 1260M  165M 4806M|6220B 1621B|   0   440k|   0  34.0 |2512  4646 |2.30 1.22 0.59|6.0   0 351|   0     0 |   0     0 | 10   28    0   35    0
Dec 30 07:32:30 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:30| 84  13   3   0   0|1410M 1363M  165M 4807M|7291B 1619B|   0   732k|   0  57.0 |4713  9879 |2.30 1.22 0.59|9.0   0 342|   0     0 |   0     0 | 10   28    0   34    0
Dec 30 07:32:31 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:31| 82  14   2   0   0|1527M 1246M  165M 4807M|4919B 1618B|   0   423k|   0  26.0 |3428  6433 |2.60 1.30 0.62|7.0   0 242|   0     0 |   0     0 | 10   30    0   34    0
Dec 30 07:32:32 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:32| 80  15   5   0   0|1454M 1318M  165M 4807M|4607B 1622B|   0   412k|   0  26.0 |5320    11k|2.60 1.30 0.62|9.0   0 320|   0     0 |   0     0 | 10   29    0   35    0
Dec 30 07:32:33 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:33| 51  26  22   0   0|1301M 1471M  165M 4807M|6589B 1511B|   0   252k|   0  14.0 |5480    13k|2.60 1.30 0.62|5.0   0 684|   0     0 |   0     0 | 10   28    0   36    0
Dec 30 07:32:34 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:34| 10  21  68   0   0|1302M 1470M  165M 4807M|5673B 1559B|   0   243k|   0  12.9 |2620  3528 |2.60 1.30 0.62|3.0   0 367|   0     0 |   0     0 | 10   28    0   36    0
Dec 30 07:32:35 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:35| 13  25  62   0   0|1311M 1461M  165M 4807M|6138B 1713B|   0   221k|   0  14.1 |2994  4489 |2.60 1.30 0.62|3.0   0 503|   0     0 |   0     0 | 10   28    0   36    0
Dec 30 07:32:36 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:36| 76  21   3   0   0|1497M 1275M  165M 4807M|5916B 1619B|   0  1275k|   0  61.0 |2961  6302 |2.87 1.38 0.65|6.0   0 587|   0     0 |   0     0 | 10   30    0   33    0
Dec 30 07:32:37 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:37| 73  15  11   0   0|1363M 1408M  165M 4808M|7224B 1620B|   0  1012k|   0  90.0 |5060    12k|2.87 1.38 0.65|5.0   0 272|   0     0 |   0     0 | 10   28    0   34    0
Dec 30 07:32:38 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:38| 83   7  11   0   0|1525M 1247M  165M 4808M|  11k 1618B|   0   216k|   0  11.0 |3905  8408 |2.87 1.38 0.65|3.0   0 4.0|   0     0 |   0     0 | 10   32    0   35    0
Dec 30 07:32:39 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:39| 47   6  45   0   0|1527M 1244M  165M 4808M|7964B 1620B|   0  1080k|   0  10.0 |8217    20k|2.87 1.38 0.65|2.0   0   0|   0     0 |   0     0 | 10   32    0   40    0
Dec 30 07:32:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:40| 72  11  16   0   0|1409M 1363M  165M 4808M|6330B 1514B|   0   513k|   0  54.1 |4996    13k|2.87 1.38 0.65|6.0   0 129|   0     0 |   0     0 | 10   28    0   45    0
Dec 30 07:32:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:41| 75  10  15   0   0|1528M 1243M  165M 4809M|6363B 1565B|   0   324k|   0  9.99 |5063    11k|2.80 1.39 0.66|5.0   0   0|   0     0 |   0     0 | 10   32    0   46    0
Dec 30 07:32:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:42| 51   9  39   0   0|1489M 1282M  165M 4809M|5562B 1615B|   0   140k|   0  8.97 |7448    19k|2.80 1.39 0.66|6.0   0  71|   0     0 |   0     0 | 10   31    0   55    0
Dec 30 07:32:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:43| 82  14   4   0   0|1491M 1279M  165M 4809M|5666B 1625B|   0  4731k|   0   137 |2975  5834 |2.80 1.39 0.66|7.0   0 213|   0     0 |   0     0 | 10   29    0   56    0
Dec 30 07:32:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:44| 72  11  17   0   0|1376M 1394M  165M 4809M|8018B 1620B|   0   124k|   0  7.00 |5366    13k|2.80 1.39 0.66|6.0   0 102|   0     0 |   0     0 | 10   29    0   60    0
Dec 30 07:32:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:45| 82  11   5   0   0|1518M 1252M  165M 4809M|5945B 1620B|   0   288k|   0  34.0 |3056  5343 |2.80 1.39 0.66|8.0   0  38|   0     0 |   0     0 | 10   28    0   60    0
Dec 30 07:32:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:46| 78  14   8   0   0|1481M 1289M  165M 4809M|8699B 1620B|   0   380k|   0  36.0 |4771    11k|2.90 1.43 0.68|6.0   0 186|   0     0 |   0     0 | 10   29    0   58    0
Dec 30 07:32:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:47| 76  13  12   0   0|1478M 1292M  165M 4810M|5492B 1512B|   0   156k|   0  8.00 |4439    11k|2.90 1.43 0.68|7.0   0 104|   0     0 |   0     0 | 10   29    0   58    0
Dec 30 07:32:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:48| 84  11   6   0   0|1478M 1292M  165M 4810M|6998B 1622B|   0   152k|   0  8.01 |3844  6858 |2.90 1.43 0.68|8.0   0 126|   0     0 |   0     0 | 10   29    0   58    0
Dec 30 07:32:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:49| 68  13  18   0   0|1386M 1383M  165M 4810M|5806B 1566B|   0  1352k|   0  63.0 |5952    13k|2.90 1.43 0.68|5.0   0 208|   0     0 |   0     0 | 10   28    0   59    0
Dec 30 07:32:50 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:50| 64  12  25   0   0|1474M 1295M  165M 4810M|6434B 1620B|   0   492k|   0  31.0 |3209  5923 |2.90 1.43 0.68|3.0   0  67|   0     0 |   0     0 | 10   30    0   60    0
Dec 30 07:32:51 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:51| 58  15  27   0   0|1406M 1363M  165M 4811M|7230B 1618B|   0  1211k|   0  57.9 |4784  9230 |2.98 1.47 0.70|4.0   0 249|   0     0 |   0     0 | 10   28    0   61    0
Dec 30 07:32:52 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:52| 64  11  24   0   0|1359M 1409M  165M 4811M|6139B 1621B|   0   388k|   0  31.0 |4188    13k|2.98 1.47 0.70|4.0   0  47|   0     0 |   0     0 | 10   29    0   65    0
Dec 30 07:32:53 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:53| 42  12  45   0   0|1403M 1365M  165M 4811M|6010B 1603B|   0   379k|   0  24.0 |2419  4097 |2.98 1.47 0.70|3.0   0 149|   0     0 |   0     0 | 10   28    0   64    0
Dec 30 07:32:54 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:54| 44   6  49   0   0|1355M 1414M  165M 4811M|  41k 1620B|   0   336k|   0  34.0 |3217  6627 |2.98 1.47 0.70|2.0   0  41|   0     0 |   0     0 | 10   28    0   65    0
Dec 30 07:32:55 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:55| 44   7  48   0   0|1369M 1400M  165M 4811M|5400B 1617B|   0   351k|   0  27.9 |2847  5429 |2.98 1.47 0.70|3.0   0 7.0|   0     0 |   0     0 | 10   29    0   65    0
Dec 30 07:32:56 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:56| 43   8  49   0   0|1412M 1357M  165M 4811M|4927B 1627B|   0   378k|   0  23.1 |2023  3232 |2.91 1.48 0.70|3.0   0  64|   0     0 |   0     0 | 10   28    0   65    1
Dec 30 07:32:57 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:57| 40  11  48   0   0|1351M 1417M  165M 4811M|4891B 1563B|   0   371k|   0  27.9 |4021  8625 |2.91 1.48 0.70|2.0   0 329|   0     0 |   0     0 | 10   28    0   65    0
Dec 30 07:32:58 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:58| 47   4  48   0   0|1421M 1347M  165M 4811M|5865B 1617B|   0   196k|   0  11.0 |2615  6274 |2.91 1.48 0.70|3.0   0 1.0|   0     0 |   0     0 | 10   29    0   65    0
Dec 30 07:32:59 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:32:59| 31  11  58   0   0|1363M 1405M  165M 4811M|5458B 1625B|   0   297k|   0  22.1 |2687  4364 |2.91 1.48 0.70|1.0   0 326|   0     0 |   0     0 | 10   29    0   64    0
Dec 30 07:33:00 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:00| 23   5  71   0   0|1305M 1463M  165M 4812M|6896B 1512B|   0   284k|   0  21.0 |4411  7988 |2.91 1.48 0.70|1.0   0  63|   0     0 |   0     0 | 10   28    0   65    0
Dec 30 07:33:01 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:01| 15  21  63   0   0|1331M 1437M  165M 4812M|5173B 1621B|   0   524k|   0  31.0 |3449  5420 |2.83 1.49 0.71|3.0   0 564|   0     0 |   0     0 | 10   28    0   67    0
Dec 30 07:33:02 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:02| 45   6  50   0   0|1461M 1306M  165M 4813M|8845B 1620B|   0   344k|   0  8.00 |1430  1594 |2.83 1.49 0.71|3.0   0 8.0|   0     0 |   0     0 | 10   32    0   67    0
Dec 30 07:33:03 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:03| 36   8  45  12   0|1404M 1355M  166M 4819M|9121B 1615B|   0    32M|   0  2780 |  11k   24k|2.83 1.49 0.71|2.0 1.0 125|   0     0 |   0     0 | 10   32    0   65    0
Dec 30 07:33:04 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:04| 41   8  43   8   0|1417M 1341M  166M 4819M|7049B 1623B|   0    36M|   0  2833 |8730    20k|2.83 1.49 0.71|3.0   0  27|   0     0 |   0     0 | 10   28    0   65    0
Dec 30 07:33:05 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:05| 45   5  48   0   0|1420M 1338M  167M 4819M|7740B 1566B|   0  6834k|   0   410 |1860  3317 |2.83 1.49 0.71|4.0   0 6.0|   0     0 |   0     0 | 10   30    0   63    0
Dec 30 07:33:06 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:06| 37   7  44   8   0|1414M 1343M  167M 4820M|5924B 1616B|   0    16M|   0  2465 |  13k   28k|2.77 1.50 0.72|2.0   0 2.0|   0     0 |   0     0 | 10   28    0   63    0
Dec 30 07:33:07 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:07| 25   6  68   0   0|1375M 1382M  167M 4820M|6068B 1512B|   0  3032k|   0   180 |1698  2604 |2.77 1.50 0.72|1.0   0 101|   0     0 |   0     0 | 10   28    0   62    0
Dec 30 07:33:08 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:08| 23   3  74   0   0|1420M 1337M  167M 4820M|  13k 1619B|   0   884k|   0  52.0 |1088  1463 |2.77 1.50 0.72|2.0   0 2.0|   0     0 |   0     0 | 10   28    0   62    0
Dec 30 07:33:09 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:33:09| 23   4  73   0   0|1392M 1364M  167M 4820M|4887B 1618B|   0  6448k|   0   320 |1356  2590 |2.77 1.50 0.72|3.0   0 5.0|   0     0 |   0     0 | 10   28    0   60    0
