Sep 07 17:50:54 jammy-provider-cloud-0000007592 systemd[1]: Started Devstack devstack@dstat.service.
Sep 07 17:50:55 jammy-provider-cloud-0000007592 dstat.sh[58831]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 07 17:50:55 jammy-provider-cloud-0000007592 dstat.sh[58831]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 07 17:51:24 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:24| 83  15   2   0   0|1522M 1240M  164M 4819M|5984B 1694B|   0  2284k|   0  17.0 |3124  5410 |2.15 1.19 0.62|7.0   0 248|   0     0 |   0     0 | 10   30    6   14    0
Sep 07 17:51:25 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:25| 78  14   7   0   0|1396M 1365M  164M 4819M|8494B 1636B|   0   539k|   0  46.9 |5141    11k|2.15 1.19 0.62|3.0   0 224|   0     0 |   0     0 | 10   29    6   14    0
Sep 07 17:51:26 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:26| 28   8  63   0   0|1313M 1449M  164M 4819M|6779B 1582B|   0   407k|   0  33.9 |2826  5444 |2.15 1.19 0.62|2.0   0 110|   0     0 |   0     0 | 10   28    6   14    0
Sep 07 17:51:27 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:27| 24   3  73   0   0|1291M 1471M  164M 4819M|7574B 1625B|   0  4017k|   0  77.2 |2139  3441 |2.06 1.18 0.62|1.0   0 6.0|   0     0 |   0     0 | 10   28    6   15    0
Sep 07 17:51:28 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:28| 19   6  74   0   0|1349M 1413M  164M 4819M|9201B 1788B|   0   492k|   0  8.00 |1491  2204 |2.06 1.18 0.62|1.0   0  62|   0     0 |   0     0 | 10   29    6   15    0
Sep 07 17:51:29 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:29| 15  14  70   0   0|1294M 1467M  164M 4819M|7181B 1618B|   0  1219k|   0  75.9 |2576  4248 |2.06 1.18 0.62|3.0   0 178|   0     0 |   0     0 | 10   28    6   17    0
Sep 07 17:51:30 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:30|  9  21  68   0   0|1294M 1468M  164M 4819M|5433B 1693B|   0    44k|   0  6.00 |2464  3281 |2.06 1.18 0.62|2.0   0 310|   0     0 |   0     0 | 10   28    7   17    0
Sep 07 17:51:31 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:31| 54  25  21   0   0|1455M 1306M  164M 4819M|5332B 1700B|   0   177k|   0  19.1 |2606  4603 |2.06 1.18 0.62|6.0   0 554|   0     0 |   0     0 | 10   28    7   17    0
Sep 07 17:51:32 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:32| 85  10   4   0   0|1521M 1240M  164M 4820M|8161B 1620B|   0   704k|   0  62.0 |3673    10k|2.29 1.25 0.64|8.0   0 7.0|   0     0 |   0     0 | 10   29    7   18    0
Sep 07 17:51:33 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:33| 82  14   4   0   0|1462M 1299M  164M 4820M|4977B 1680B|   0   408k|   0  41.0 |3081  7294 |2.29 1.25 0.64|6.0   0 149|   0     0 |   0     0 | 10   28    7   18    0
Sep 07 17:51:34 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:34| 80  13   7   0   0|1583M 1177M  164M 4820M|5312B 1612B|   0   167k|   0  10.9 |4888    12k|2.29 1.25 0.64|6.0   0 153|   0     0 |   0     0 | 10   31    7   18    0
Sep 07 17:51:35 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:35| 68  13  19   0   0|1408M 1352M  164M 4820M|5421B 1620B|   0  3684k|   0  29.0 |5582    13k|2.29 1.25 0.64|3.0   0 200|   0     0 |   0     0 | 10   29    7   20    0
Sep 07 17:51:36 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:36| 41  11  48   0   0|1392M 1368M  164M 4820M|7267B 1626B|   0   273k|   0  22.1 |1959  3176 |2.29 1.25 0.64|3.0   0  98|   0     0 |   0     0 | 10   29    7   21    0
Sep 07 17:51:37 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:37| 40  16  45   0   0|1302M 1458M  164M 4821M|5644B 1622B|   0   284k|   0  24.0 |4095  9287 |2.27 1.26 0.65|4.0   0 297|   0     0 |   0     0 | 10   28    7   21    0
Sep 07 17:51:38 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:38| 66   9  26   0   0|1467M 1293M  164M 4821M|5346B 1692B|   0   192k|   0  7.99 |2365  3613 |2.27 1.26 0.65|4.0   0  81|   0     0 |   0     0 | 10   29    7   23    0
Sep 07 17:51:39 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:39| 65  14  20   0   0|1419M 1341M  164M 4821M|5661B 1458B|   0   532k|   0  47.0 |4830    11k|2.27 1.26 0.65|5.0   0 258|   0     0 |   0     0 | 10   28    7   24    0
Sep 07 17:51:40 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:40| 73  10  17   0   0|1527M 1233M  164M 4821M|8490B 1616B|   0   180k|   0  11.0 |4756  9437 |2.27 1.26 0.65|3.0   0   0|   0     0 |   0     0 | 10   32    7   26    0
Sep 07 17:51:41 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:41| 65  16  18   0   0|1412M 1348M  164M 4821M|5829B 1697B|   0   445k|   0  38.1 |3686  9224 |2.27 1.26 0.65|4.0   0 327|   0     0 |   0     0 | 10   28    7   28    0
Sep 07 17:51:42 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:42| 58  11  31   0   0|1355M 1404M  164M 4821M|6131B 1697B|   0   829k|   0   109 |4631    12k|2.33 1.29 0.66|6.0   0 122|   0     0 |   0     0 | 10   28    7   30    0
Sep 07 17:51:43 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:43| 65  14  20   0   0|1466M 1293M  164M 4821M|6754B 1613B|   0   239k|   0  11.0 |2233  3527 |2.33 1.29 0.66|4.0   0 176|   0     0 |   0     0 | 10   29    7   30    0
Sep 07 17:51:44 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:44| 62  14  24   0   0|1391M 1368M  164M 4822M|5675B 1626B|   0   357k|   0  29.1 |5264    12k|2.33 1.29 0.66|4.0   0 288|   0     0 |   0     0 | 10   28    7   31    0
Sep 07 17:51:45 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:45| 65  10  26   0   0|1360M 1399M  164M 4822M|7445B 1620B|   0   428k|   0  38.0 |3639  9661 |2.33 1.29 0.66|5.0   0  82|   0     0 |   0     0 | 10   28    7   32    0
Sep 07 17:51:46 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:46| 65   9  26   0   0|1468M 1290M  164M 4822M|6048B 1693B|   0   212k|   0  13.0 |1953  3187 |2.33 1.29 0.66|4.0   0  30|   0     0 |   0     0 | 10   31    7   32    0
Sep 07 17:51:47 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:47| 65  20  14   0   0|1427M 1331M  164M 4823M|5789B 1460B|   0  2872k|   0   202 |5149    11k|2.46 1.33 0.68|6.0   0 420|   0     0 |   0     0 | 10   28    7   34    0
Sep 07 17:51:48 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:48| 83  13   3   0   0|1524M 1234M  164M 4823M|4916B 1619B|   0  1691k|   0  51.0 |4741  9275 |2.46 1.33 0.68|8.0   0 206|   0     0 |   0     0 | 10   29    7   34    0
Sep 07 17:51:49 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:49| 81  17   2   0   0|1476M 1282M  164M 4823M|5955B 1693B|   0   316k|   0  25.0 |3093  5562 |2.46 1.33 0.68|8.0   0 323|   0     0 |   0     0 | 10   28    7   34    0
Sep 07 17:51:50 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:50| 80  15   5   0   0|1562M 1196M  164M 4823M|5581B 1692B|   0  2530k|   0   293 |4716    11k|2.46 1.33 0.68|7.0   0 229|   0     0 |   0     0 | 10   31    7   31    0
Sep 07 17:51:51 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:51| 68  20  12   0   0|1361M 1396M  164M 4823M|5416B 1623B|   0   208k|   0  12.0 |6465    16k|2.46 1.33 0.68|4.0   0 505|   0     0 |   0     0 | 10   29    7   31    0
Sep 07 17:51:52 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:52| 17  27  55   0   0|1302M 1455M  164M 4823M|  11k 1655B|   0   171k|   0  8.96 |4386  8071 |2.34 1.33 0.68|3.0   0 582|   0     0 |   0     0 | 10   28    7   31    0
Sep 07 17:51:53 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:53| 13  25  62   0   0|1315M 1442M  164M 4823M|6425B 1627B|   0   181k|   0  14.1 |3277  5071 |2.34 1.33 0.68|4.0   0 615|   0     0 |   0     0 | 10   28    7   31    0
Sep 07 17:51:54 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:54| 76  21   3   0   0|1497M 1260M  164M 4824M|6930B 1662B|   0   388k|   0  23.0 |2711  5788 |2.34 1.33 0.68|5.0   0 585|   0     0 |   0     0 | 10   29    7   31    0
Sep 07 17:51:55 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:55| 72  16  11   0   0|1375M 1382M  164M 4824M|5541B 1458B|   0   984k|   0  71.0 |4979    12k|2.34 1.33 0.68|5.0   0 268|   0     0 |   0     0 | 10   28    7   33    0
Sep 07 17:51:56 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:56| 79   8  12   0   0|1520M 1236M  164M 4824M|6000B 1620B|   0   152k|   0  9.00 |5258  9545 |2.34 1.33 0.68|3.0   0   0|   0     0 |   0     0 | 10   32    7   36    0
Sep 07 17:51:57 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:57| 54   7  38   0   0|1473M 1283M  164M 4824M|6175B 1693B|   0   236k|   0  19.0 |8234    19k|2.32 1.34 0.69|4.0   0  30|   0     0 |   0     0 | 10   31    7   45    0
Sep 07 17:51:58 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:58| 81  13   5   0   0|1474M 1282M  164M 4824M|4808B 1623B|   0  5582k|   0   159 |4063  7800 |2.32 1.34 0.69|5.0   0  90|   0     0 |   0     0 | 10   29    6   45    0
Sep 07 17:51:59 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:59| 64   9  28   0   0|1525M 1231M  164M 4825M|5954B 1615B|   0   140k|   0  8.97 |6623    17k|2.32 1.34 0.69|4.0   0   0|   0     0 |   0     0 | 10   32    6   49    0
Sep 07 17:52:00 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:00| 65   9  24   0   0|1456M 1299M  164M 4825M|6671B 1615B|   0   159k|   0  7.97 |6829    18k|2.32 1.34 0.69|6.0   0 100|   0     0 |   0     0 | 10   28    6   54    0
Sep 07 17:52:01 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:01| 81  13   7   0   0|1515M 1241M  164M 4825M|5459B 1671B|   0   125k|   0  9.05 |2322  7146 |2.32 1.34 0.69|7.0   0 170|   0     0 |   0     0 | 10   30    6   54    0
Sep 07 17:52:02 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:02| 75  13  11   0   0|1403M 1352M  164M 4825M|5253B 1531B|   0   208k|   0  18.0 |4638    11k|2.61 1.42 0.72|7.0   0 132|   0     0 |   0     0 | 10   28    6   54    0
Sep 07 17:52:03 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:03| 79  11  11   0   0|1472M 1283M  165M 4825M|6367B 1620B|   0  3048k|   0   192 |4797  8510 |2.61 1.42 0.72|7.0   0  46|   0     0 |   0     0 | 10   30    6   54    0
Sep 07 17:52:04 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:04| 84  12   4   0   0|1472M 1282M  165M 4826M|6158B 1620B|   0   196k|   0  11.0 |4332  8758 |2.61 1.42 0.72|6.0   0 201|   0     0 |   0     0 | 10   28    6   54    0
Sep 07 17:52:05 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:05| 73  14  12   0   0|1404M 1350M  165M 4826M|6104B 1620B|   0   152k|   0  8.00 |5324    12k|2.61 1.42 0.72|6.0   0 129|   0     0 |   0     0 | 10   28    6   57    0
Sep 07 17:52:06 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:06| 82  10   8   0   0|1506M 1249M  165M 4826M|6007B 1694B|   0   196k|   0  11.0 |4042  6733 |2.61 1.42 0.72|5.0   0  34|   0     0 |   0     0 | 10   31    6   58    0
Sep 07 17:52:07 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:07| 66  14  20   0   0|1383M 1371M  165M 4826M|6213B 1686B|   0   609k|   0  60.7 |4256  9989 |2.56 1.43 0.72|6.0   0 260|   0     0 |   0     0 | 10   28    6   59    0
Sep 07 17:52:08 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:08| 66   9  26   0   0|1426M 1328M  165M 4826M|7455B 1621B|   0   248k|   0  17.0 |3219  8004 |2.56 1.43 0.72|5.0   0  34|   0     0 |   0     0 | 10   29    6   62    0
Sep 07 17:52:09 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:09| 64  10  25   0   0|1451M 1303M  165M 4826M|6784B 1700B|   0   241k|   0  19.1 |2471  4925 |2.56 1.43 0.72|5.0   0 148|   0     0 |   0     0 | 10   28    6   62    1
Sep 07 17:52:10 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:10| 63  12  25   0   0|1390M 1364M  165M 4826M|5834B 1458B|   0   692k|   0  52.0 |4411  9885 |2.56 1.43 0.72|3.0   0 132|   0     0 |   0     0 | 10   28    6   65    0
Sep 07 17:52:11 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:11| 65   9  26   0   0|1435M 1319M  165M 4827M|5543B 1616B|   0   287k|   0  25.9 |3327  8504 |2.56 1.43 0.72|3.0   0  45|   0     0 |   0     0 | 10   29    6   65    0
Sep 07 17:52:12 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:12| 69  11  20   0   0|1461M 1293M  165M 4827M|6140B 1619B|   0   184k|   0  11.0 |2648    11k|2.76 1.49 0.75|3.0   0  73|   0     0 |   0     0 | 10   30    6   65    0
Sep 07 17:52:13 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:13| 63  12  25   0   0|1410M 1344M  165M 4827M|6543B 1698B|   0   449k|   0  44.1 |3474  7008 |2.76 1.49 0.75|4.0   0 137|   0     0 |   0     0 | 10   28    6   67    0
Sep 07 17:52:14 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:14| 61  12  27   0   0|1363M 1390M  165M 4827M|7994B 1848B|   0   625k|   0  42.1 |4850    12k|2.76 1.49 0.75|4.0   0 152|   0     0 |   0     0 | 10   28    7   67    0
Sep 07 17:52:15 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:15| 62  14  25   0   0|1467M 1285M  165M 4827M|7331B 1694B|   0   268k|   0  17.0 |2476  3807 |2.76 1.49 0.75|4.0   0 271|   0     0 |   0     0 | 10   29    7   67    0
Sep 07 17:52:16 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:16| 47  16  36   0   0|1327M 1425M  165M 4828M|7042B 1657B|   0   586k|   0  35.9 |5123    12k|2.76 1.49 0.75|4.0   0 307|   0     0 |   0     0 | 10   28    7   67    0
Sep 07 17:52:17 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:17| 26   6  68   0   0|1363M 1389M  165M 4828M|6257B 1529B|   0   188k|   0  11.0 |2159  4041 |2.62 1.48 0.75|2.0   0 101|   0     0 |   0     0 | 10   29    7   66    0
Sep 07 17:52:18 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:18| 17  12  70   0   0|1305M 1447M  165M 4828M|6251B 1621B|   0   296k|   0  26.0 |3086  5369 |2.62 1.48 0.75|2.0   0 167|   0     0 |   0     0 | 10   28    7   66    0
Sep 07 17:52:19 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:19| 10  24  65   0   0|1307M 1445M  165M 4828M|5772B 1666B|   0  2045k|   0  29.1 |2778  4145 |2.62 1.48 0.75|3.0   0 389|   0     0 |   0     0 | 10   28    7   68    0
Sep 07 17:52:20 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:20| 43   7  49   0   0|1443M 1308M  165M 4828M|5797B 1657B|   0  1149k|   0  38.9 |1427  1846 |2.62 1.48 0.75|3.0   0  40|   0     0 |   0     0 | 10   28    7   68    0
Sep 07 17:52:21 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:21| 39   8  45   8   0|1494M 1251M  166M 4834M|5328B 1628B|   0    35M|   0  2870 |9792    22k|2.62 1.48 0.75| 10   0 103|   0     0 |   0     0 | 10   32    7   66    0
Sep 07 17:52:22 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:22| 41   7  43   9   0|1463M 1279M  166M 4836M|  11k 1767B|   0    29M|   0  2946 |  11k   25k|2.57 1.49 0.76|3.0   0  46|   0     0 |   0     0 | 10   28    7   66    0
Sep 07 17:52:23 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:23| 45   6  49   0   0|1385M 1357M  166M 4836M|8488B 1694B|   0  4957k|   0   195 |1336  1441 |2.57 1.49 0.76|3.0   0 8.0|   0     0 |   0     0 | 10   28    7   66    0
Sep 07 17:52:24 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:52:24| 38   8  45   8   0|1468M 1273M  166M 4836M|  11k 1620B|   0    17M|   0  2446 |  12k   27k|2.57 1.49 0.76|3.0   0 1.0|   0     0 |   0     0 | 10   30    7   66    0
