Jul 25 06:17:03 jammy-provider-cloud-0000007400 systemd[1]: Started Devstack devstack@dstat.service.
Jul 25 06:17:03 jammy-provider-cloud-0000007400 dstat.sh[57574]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 25 06:17:03 jammy-provider-cloud-0000007400 dstat.sh[57574]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 25 06:17:26 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:26| 43  13  43   0   0|1318M 1441M  162M 4825M|6336B 1620B|   0  9917k|   0  41.0 |5882    11k|1.80 1.08 0.53|4.0   0 309|   0     0 |   0     0 | 10   28    6   16    0
Jul 25 06:17:27 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:27| 83  16   0   0   0|1545M 1213M  162M 4825M|7838B 1620B|   0   144k|   0  9.00 |3069  5026 |1.80 1.08 0.53|6.0   0 242|   0     0 |   0     0 | 10   30    6   16    0
Jul 25 06:17:28 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:28| 79  13   9   0   0|1400M 1358M  162M 4826M|5421B 1620B|   0   856k|   0  74.0 |6518    12k|1.80 1.08 0.53|2.0   0 227|   0     0 |   0     0 | 10   29    6   16    0
Jul 25 06:17:29 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:29| 30   6  62   0   0|1309M 1450M  162M 4826M|5602B 1692B|   0   280k|   0  25.0 |2745  5031 |1.80 1.08 0.53|1.0   0 110|   0     0 |   0     0 | 10   28    6   16    0
Jul 25 06:17:30 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:30| 24   3  74   0   0|1352M 1406M  162M 4826M|4996B 1621B|   0     0 |   0     0 |1504  2234 |1.80 1.08 0.53|1.0   0   0|   0     0 |   0     0 | 10   29    6   17    0
Jul 25 06:17:31 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:31| 20   7  71   0   0|1340M 1419M  162M 4826M|5618B 1619B|   0    33M|   0  94.9 |2074  3316 |1.74 1.08 0.53|1.0   0  68|   0     0 |   0     0 | 10   28    6   17    0
Jul 25 06:17:32 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:32| 20   8  72   0   0|1299M 1459M  162M 4826M|6398B 1459B|   0   428k|   0  28.0 |2588  4746 |1.74 1.08 0.53|1.0   0 164|   0     0 |   0     0 | 10   28    6   17    0
Jul 25 06:17:33 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:33| 22  24  53   0   0|1352M 1406M  162M 4826M|6870B 1621B|   0    48k|   0  12.0 |3407  5753 |1.74 1.08 0.53|6.0   0 781|   0     0 |   0     0 | 10   28    6   17    0
Jul 25 06:17:34 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:34| 87  12   2   0   0|1572M 1186M  162M 4826M|7939B 1619B|   0  2883k|   0  48.0 |2796  4673 |1.74 1.08 0.53|4.0   0  95|   0     0 |   0     0 | 10   30    6   17    0
Jul 25 06:17:35 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:35| 77  12  12   0   0|1411M 1346M  162M 4826M|7191B 1621B|   0   540k|   0  68.0 |6022    17k|1.74 1.08 0.53|5.0   0 117|   0     0 |   0     0 | 10   29    6   18    0
Jul 25 06:17:36 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:36| 85  13   2   0   0|1542M 1215M  162M 4827M|8180B 1621B|   0  9203k|   0  32.0 |2964  4943 |2.00 1.15 0.56|7.0   0 180|   0     0 |   0     0 | 10   30    6   17    0
Jul 25 06:17:37 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:37| 85  10   4   0   0|1527M 1230M  162M 4827M|6232B 1619B|   0   608k|   0  23.0 |6581    19k|2.00 1.15 0.56|7.0   0  59|   0     0 |   0     0 | 10   29    6   18    0
Jul 25 06:17:38 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:38| 49  10  40   0   0|1337M 1420M  162M 4827M|6887B 1766B|   0   691k|   0  40.9 |4310  9336 |2.00 1.15 0.56|2.0   0 252|   0     0 |   0     0 | 10   28    6   17    0
Jul 25 06:17:39 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:39| 46   5  49   0   0|1356M 1401M  162M 4827M|5389B 1696B|   0   228k|   0  21.0 |1740  4257 |2.00 1.15 0.56|4.0   0  21|   0     0 |   0     0 | 10   29    6   17    0
Jul 25 06:17:40 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:40| 62  18  21   0   0|1442M 1315M  162M 4827M|5237B 1511B|   0   216k|   0  15.0 |3903  7043 |2.00 1.15 0.56|3.0   0 357|   0     0 |   0     0 | 10   28    6   18    0
Jul 25 06:17:41 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:41| 60  13  26   1   0|1320M 1436M  162M 4828M|  11k 1641B|   0    51M|   0   822 |5487    14k|2.24 1.21 0.58|4.0   0 258|   0     0 |   0     0 | 10   28    6   19    0
Jul 25 06:17:42 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:42| 88   9   4   0   0|1540M 1216M  162M 4828M|  40k 1662B|   0   452k|   0  19.0 |2149  3398 |2.24 1.21 0.58|5.0   0   0|   0     0 |   0     0 | 10   30    6   19    0
Jul 25 06:17:43 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:43| 66  12  21   0   0|1380M 1375M  162M 4829M|4943B 1659B|   0   934k|   0  48.9 |4947    15k|2.24 1.21 0.58|4.0   0 323|   0     0 |   0     0 | 10   28    6   21    0
Jul 25 06:17:44 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:44| 65   7  29   0   0|1487M 1268M  162M 4829M|5478B 1623B|   0   381k|   0  16.0 |3470  7942 |2.24 1.21 0.58|3.0   0 2.0|   0     0 |   0     0 | 10   31    6   22    0
Jul 25 06:17:45 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:45| 66  15  19   0   0|1429M 1326M  162M 4829M|7143B 1693B|   0   684k|   0  53.0 |4111    11k|2.24 1.21 0.58|3.0   0 333|   0     0 |   0     0 | 10   28    6   23    0
Jul 25 06:17:46 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:46| 64  13  24   0   0|1397M 1358M  162M 4829M|5464B 1694B|   0    31M|   0  86.0 |5692    12k|2.30 1.24 0.60|4.0   0 237|   0     0 |   0     0 | 10   28    6   26    0
Jul 25 06:17:47 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:47| 68   8  22   0   0|1489M 1266M  162M 4829M|7078B 1618B|   0   320k|   0  14.0 |2257  3583 |2.30 1.24 0.60|4.0   0  50|   0     0 |   0     0 | 10   31    6   26    0
Jul 25 06:17:48 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:48| 64   9  28   0   0|1419M 1335M  162M 4829M|5073B 1588B|   0   809k|   0  41.1 |3696  7489 |2.30 1.24 0.60|3.0   0 112|   0     0 |   0     0 | 10   28    6   28    0
Jul 25 06:17:49 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:49| 63  12  24   0   0|1393M 1362M  162M 4829M|5619B 1566B|   0   632k|   0  48.0 |5687    12k|2.30 1.24 0.60|5.0   0 217|   0     0 |   0     0 | 10   28    6   28    0
Jul 25 06:17:50 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:50| 83  15   2   0   0|1544M 1210M  162M 4829M|5350B 1693B|   0   492k|   0  34.0 |2865  5114 |2.30 1.24 0.60|6.0   0 309|   0     0 |   0     0 | 10   29    6   28    0
Jul 25 06:17:51 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:51| 86  13   1   0   0|1525M 1229M  162M 4830M|3979B 1620B|   0   788k|   0  49.0 |4294  8668 |2.76 1.35 0.64|9.0   0 255|   0     0 |   0     0 | 10   28    6   28    0
Jul 25 06:17:52 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:52| 82  15   3   0   0|1553M 1201M  162M 4830M|6564B 1619B|   0   548k|   0  39.0 |4250  8328 |2.76 1.35 0.64|6.0   0 254|   0     0 |   0     0 | 10   30    6   28    0
Jul 25 06:17:53 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:53| 78  16   6   0   0|1465M 1288M  162M 4830M|4717B 1620B|   0   604k|   0  16.0 |5057    14k|2.76 1.35 0.64|4.0   0 433|   0     0 |   0     0 | 10   29    6   27    0
Jul 25 06:17:54 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:54| 49  23  26   0   0|1372M 1381M  162M 4831M|5357B 1768B|   0   296k|   0  15.0 |6203    16k|2.76 1.35 0.64|2.0   0 777|   0     0 |   0     0 | 10   28    6   27    0
Jul 25 06:17:55 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:55| 28  28  44   0   0|1355M 1398M  162M 4831M|6033B 1620B|   0   276k|   0  21.0 |3913  7118 |2.76 1.35 0.64|5.0   0 969|   0     0 |   0     0 | 10   28    6   24    0
Jul 25 06:17:56 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:56| 80  15   5   0   0|1531M 1222M  162M 4831M|5982B 1556B|   0  4942k|   0   130 |3735  7543 |2.94 1.41 0.66|4.0   0 248|   0     0 |   0     0 | 10   29    6   24    0
Jul 25 06:17:57 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:57| 79  15   4   0   0|1438M 1315M  162M 4831M|5479B 1565B|   0   588k|   0  58.0 |3905  8575 |2.94 1.41 0.66|4.0   0 268|   0     0 |   0     0 | 10   28    6   24    0
Jul 25 06:17:58 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:58| 76   8  16   0   0|1538M 1214M  162M 4831M|6131B 1620B|   0   228k|   0  13.0 |6822    16k|2.94 1.41 0.66|6.0   0   0|   0     0 |   0     0 | 10   32    6   29    0
Jul 25 06:17:59 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:59| 71  10  19   0   0|1421M 1330M  162M 4832M|5933B 1620B|   0   548k|   0  58.0 |7322    19k|2.94 1.41 0.66|4.0   0  90|   0     0 |   0     0 | 10   28    6   35    0
Jul 25 06:18:00 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:00| 84  10   5   0   0|1535M 1216M  162M 4832M|6221B 1620B|   0   248k|   0  18.0 |5078  9260 |2.94 1.41 0.66|3.0   0  30|   0     0 |   0     0 | 10   31    6   37    0
Jul 25 06:18:01 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:01| 58   8  32   0   0|1501M 1249M  162M 4833M|5652B 1620B|   0  3927k|   0   145 |  12k   24k|2.86 1.42 0.67|4.0   0  71|   0     0 |   0     0 | 10   31    6   45    0
Jul 25 06:18:02 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:02| 78  13   9   0   0|1454M 1296M  162M 4834M|8115B 1694B|   0   196k|   0  9.00 |4840    11k|2.86 1.42 0.67|4.0   0 196|   0     0 |   0     0 | 10   29    6   47    0
Jul 25 06:18:03 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:03| 79  13   9   0   0|1502M 1247M  162M 4835M|7141B 1691B|   0   260k|   0  22.0 |6856    14k|2.86 1.42 0.67|4.0   0  30|   0     0 |   0     0 | 10   29    6   47    0
Jul 25 06:18:04 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:04| 86  11   3   0   0|1532M 1217M  162M 4835M|6961B 1514B|   0   184k|   0  11.0 |2299  3633 |2.86 1.42 0.67|6.0   0 104|   0     0 |   0     0 | 10   29    6   47    0
Jul 25 06:18:05 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:05| 76  13  10   0   0|1455M 1292M  162M 4836M|5767B 1620B|   0   488k|   0  48.0 |5862    14k|2.86 1.42 0.67|5.0   0 184|   0     0 |   0     0 | 10   28    6   48    0
Jul 25 06:18:06 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:06| 81  12   6   0   0|1540M 1207M  162M 4837M|5587B 1558B|   0   295k|   0  10.9 |4557    10k|3.03 1.48 0.69|5.0   0  63|   0     0 |   0     0 | 10   30    6   52    0
Jul 25 06:18:07 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:07| 79  14   6   0   0|1475M 1272M  162M 4837M|5529B 1628B|   0   205k|   0  10.1 |3133  5942 |3.03 1.48 0.69|5.0   0 164|   0     0 |   0     0 | 10   28    6   52    0
Jul 25 06:18:08 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:08| 77  11  13   0   0|1433M 1314M  162M 4837M|5079B 1705B|   0   588k|   0  62.0 |6590    14k|3.03 1.48 0.69|7.0   0  97|   0     0 |   0     0 | 10   29    6   54    0
Jul 25 06:18:09 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:09| 65  12  23   0   0|1486M 1261M  162M 4837M|5901B 1619B|   0   372k|   0  26.0 |2850  4929 |3.03 1.48 0.69|5.0   0 164|   0     0 |   0     0 | 10   29    6   53    0
Jul 25 06:18:10 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:10| 61  11  27   0   0|1401M 1345M  162M 4837M|7247B 1694B|   0   220k|   0  12.0 |3651  8390 |3.03 1.48 0.69|4.0   0 181|   0     0 |   0     0 | 10   28    6   54    0
Jul 25 06:18:11 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:11| 64  10  25   0   0|1395M 1351M  162M 4838M|8326B 1586B|   0   348k|   0  33.0 |4039  8298 |3.03 1.51 0.70|4.0   0  65|   0     0 |   0     0 | 10   29    6   55    0
Jul 25 06:18:12 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:12| 67   8  26   0   0|1481M 1265M  162M 4838M|  43k 1621B|   0  1797k|   0  79.0 |2470  4271 |3.03 1.51 0.70|4.0   0  67|   0     0 |   0     0 | 10   30    6   55    0
Jul 25 06:18:13 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:13| 63  10  26   0   0|1418M 1328M  162M 4838M|5538B 1621B|   0   332k|   0  27.0 |3252  8530 |3.03 1.51 0.70|3.0   0  82|   0     0 |   0     0 | 10   28    6   59    0
Jul 25 06:18:14 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:14| 67   6  26   0   0|1385M 1360M  162M 4838M|6070B 1566B|   0   440k|   0  47.0 |3598  8997 |3.03 1.51 0.70|3.0   0  37|   0     0 |   0     0 | 10   28    6   61    0
Jul 25 06:18:15 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:15| 64  10  26   0   0|1489M 1257M  162M 4838M|7911B 1619B|   0   204k|   0  14.0 |2637  4228 |3.03 1.51 0.70|3.0   0 102|   0     0 |   0     0 | 10   30    6   62    0
Jul 25 06:18:16 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:16| 56  16  26   0   0|1400M 1345M  162M 4839M|5418B 1619B|   0   400k|   0  35.0 |5477    11k|3.11 1.55 0.72|3.0   0 423|   0     0 |   0     0 | 10   28    6   64    0
Jul 25 06:18:17 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:17| 62   8  30   0   0|1495M 1250M  162M 4839M|5738B 1712B|   0   399k|   0  20.0 |3607  8280 |3.11 1.55 0.72|3.0   0   0|   0     0 |   0     0 | 10   30    6   67    0
Jul 25 06:18:18 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:18| 34  13  53   0   0|1371M 1374M  162M 4839M|6316B 1586B|   0   348k|   0  27.0 |2801  4882 |3.11 1.55 0.72|1.0   0 409|   0     0 |   0     0 | 10   28    6   69    0
Jul 25 06:18:19 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:19| 23   5  73   0   0|1313M 1431M  162M 4839M|7219B 1623B|   0   256k|   0  23.0 |2142  5843 |3.11 1.55 0.72|1.0   0  34|   0     0 |   0     0 | 10   28    5   70    0
Jul 25 06:18:20 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:20| 14  22  64   0   0|1326M 1418M  162M 4839M|6793B 1620B|   0   432k|   0  26.0 |3435  5322 |3.11 1.55 0.72|2.0   0 561|   0     0 |   0     0 | 10   28    5   72    0
Jul 25 06:18:21 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:21| 45   6  49   0   0|1462M 1281M  162M 4840M|8856B 1614B|   0   582k|   0  13.0 |1246  1356 |3.02 1.56 0.73|3.0   0 2.0|   0     0 |   0     0 | 10   28    5   72    0
Jul 25 06:18:22 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:22| 38   6  45   9   0|1405M 1331M  163M 4846M|7329B 1571B|   0    35M|   0  3035 |  12k   25k|3.02 1.56 0.73|2.0   0 118|   0     0 |   0     0 | 10   32    5   72    0
Jul 25 06:18:23 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:23| 44   6  43   6   0|1429M 1304M  164M 4847M|6951B 1620B|   0    32M|   0  2733 |9416    21k|3.02 1.56 0.73|2.0   0  34|   0     0 |   0     0 | 10   28    5   69    0
Jul 25 06:18:24 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:24| 45   6  49   0   0|1430M 1304M  164M 4847M|9857B 1619B|   0  2775k|   0  33.0 |1324  1518 |3.02 1.56 0.73|2.0   0 4.0|   0     0 |   0     0 | 10   30    5   69    0
Jul 25 06:18:25 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:25| 40   8  45   9   0|1499M 1234M  164M 4848M|7780B 1621B|   0    17M|   0  2585 |  14k   28k|3.02 1.56 0.73|2.0   0 2.0|   0     0 |   0     0 | 10   30    5   69    0
Jul 25 06:18:26 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:26| 28   5  66   0   0|1381M 1352M  164M 4848M|6033B 1510B|   0  5816k|   0   330 |1773  3246 |2.86 1.55 0.73|1.0   0  99|   0     0 |   0     0 | 10   28    5   69    0
Jul 25 06:18:27 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:27| 23   3  74   0   0|1440M 1293M  164M 4848M|  10k 1696B|   0  6744k|   0   246 |1218  1576 |2.86 1.55 0.73|1.0   0 2.0|   0     0 |   0     0 | 10   28    5   68    0
Jul 25 06:18:28 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:28| 23   2  73   0   0|1402M 1331M  164M 4848M|6043B 1734B|   0  3551k|   0   204 |1096  1807 |2.86 1.55 0.73|1.0   0 1.0|   0     0 |   0     0 | 10   28    5   68    0
Jul 25 06:18:29 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:29| 24   3  73   0   0|1346M 1387M  164M 4848M|5604B 1620B|   0   112k|   0  15.0 |1040  1291 |2.86 1.55 0.73|1.0   0 3.0|   0     0 |   0     0 | 10   32    5   68    0
Jul 25 06:18:30 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:30| 23   3  74   0   0|1420M 1313M  164M 4848M|4582B 1638B|   0     0 |   0     0 | 871  1105 |2.86 1.55 0.73|2.0   0 2.0|   0     0 |   0     0 | 10   32    5   68    0
Jul 25 06:18:31 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:31| 23   3  73   0   0|1358M 1375M  164M 4848M|5340B 1620B|   0     0 |   0     0 | 888  1099 |2.71 1.54 0.73|1.0   0 1.0|   0     0 |   0     0 | 10   32    5   68    0
Jul 25 06:18:32 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:18:32| 24   2  74   0   0|1426M 1307M  164M 4848M|6223B 1620B|   0     0 |   0     0 | 894  1137 |2.71 1.54 0.73|1.0   0 2.0|   0     0 |   0     0 | 10   32    5   67    0
