Feb 12 15:21:49 np0000000046 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 12 15:21:50 np0000000046 dstat.sh[58901]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 12 15:21:50 np0000000046 dstat.sh[58901]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 12 15:22:32 np0000000046 dstat.sh[58901]: 12-02 15:22:32| 74  11  13   0   0|1701M  811M  165M 5073M|  50k   44k|   0   869k|   0  52.8 |  10k   18k|1.69 0.91 0.48|5.0   0  56|   0     0 |           | 11   30    0   29    0
Feb 12 15:22:33 np0000000046 dstat.sh[58901]: 12-02 15:22:33| 46  16  37   0   0|1534M  978M  165M 5073M|  10k 6170B|   0  2607k|   0  92.3 |5190  5047 |1.69 0.91 0.48|3.0   0 250|   0     0 |           | 11   28    0   30    0
Feb 12 15:22:34 np0000000046 dstat.sh[58901]: 12-02 15:22:34| 35   5  59   0   0|1530M  981M  165M 5073M|  14k   10k|   0    32M|   0   162 |3550  3097 |1.72 0.93 0.49|3.0   0   0|   0     0 |           | 11   30    0   30    0
Feb 12 15:22:35 np0000000046 dstat.sh[58901]: 12-02 15:22:35| 32  19  47   0   0|1388M 1124M  165M 5073M|  16k   11k|   0  1316k|   0  57.0 |6729  7866 |1.72 0.93 0.49|3.0   0 378|   0     0 |           | 11   28    0   32    0
Feb 12 15:22:36 np0000000046 dstat.sh[58901]: 12-02 15:22:36| 59  10  30   0   0|1499M 1013M  165M 5073M|8249B 5593B|   0     0 |   0     0 |3501  1518 |1.72 0.93 0.49|  0   0   0|   0     0 |           | 11   31    0   32    0
Feb 12 15:22:37 np0000000046 dstat.sh[58901]: 12-02 15:22:37| 45   5  49   0   0|1502M 1009M  165M 5073M|  29k   24k|   0   196k|   0  17.0 |6900  9640 |1.72 0.93 0.49|3.0   0   0|   0     0 |           | 11   30    0   33    0
Feb 12 15:22:38 np0000000046 dstat.sh[58901]: 12-02 15:22:38| 70  23   6   0   0|1510M 1002M  165M 5073M|7266B 2831B|   0  4582k|   0   344 |6412  5559 |1.72 0.93 0.49|4.0   0 259|   0     0 |           | 11   28    0   33    0
Feb 12 15:22:39 np0000000046 dstat.sh[58901]: 12-02 15:22:39| 65   8  27   0   0|1570M  941M  165M 5073M|  24k   21k|   0   395k|   0  20.0 |5776  5382 |1.90 0.98 0.50|2.0   0 1.0|   0     0 |           | 11   32    0   33    0
Feb 12 15:22:40 np0000000046 dstat.sh[58901]: 12-02 15:22:40| 55  18  26   0   0|1435M 1076M  165M 5073M|  27k   21k|   0   465k|   0  44.1 |9324    13k|1.90 0.98 0.50|3.0   0 325|   0     0 |           | 11   28    0   36    0
Feb 12 15:22:41 np0000000046 dstat.sh[58901]: 12-02 15:22:41| 55   7  38   0   0|1537M  974M  165M 5073M|  12k 8541B|   0   259k|   0  12.0 |3500  1747 |1.90 0.98 0.50|2.0   0   0|   0     0 |           | 11   31    0   35    0
Feb 12 15:22:42 np0000000046 dstat.sh[58901]: 12-02 15:22:42| 48  10  41   1   0|1506M 1005M  165M 5073M|  29k   23k|   0  1348k|   0  90.3 |8561    11k|1.90 0.98 0.50|4.0   0  96|   0     0 |           | 11   28    0   37    0
Feb 12 15:22:43 np0000000046 dstat.sh[58901]: 12-02 15:22:43| 61  19  19   0   0|1518M  993M  165M 5073M|4309B 1616B|   0   192k|   0  8.98 |4149  2430 |1.90 0.98 0.50|3.0   0 204|   0     0 |           | 11   28    0   37    0
Feb 12 15:22:44 np0000000046 dstat.sh[58901]: 12-02 15:22:44| 44   5  51   0   0|1533M  978M  165M 5073M|  23k   20k|   0   874k|   0  19.0 |5383  5990 |1.99 1.01 0.52|3.0   0   0|   0     0 |           | 11   31    0   37    0
Feb 12 15:22:45 np0000000046 dstat.sh[58901]: 12-02 15:22:45| 56  21  23   0   0|1443M 1067M  165M 5074M|  14k   10k|   0   236k|   0  15.0 |5994  6204 |1.99 1.01 0.52|4.0   0 287|   0     0 |           | 11   28    0   36    0
Feb 12 15:22:46 np0000000046 dstat.sh[58901]: 12-02 15:22:46| 52   5  41   0   0|1524M  987M  165M 5074M|  16k   14k|   0   148k|   0  7.99 |3946  2642 |1.99 1.01 0.52|2.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 12 15:22:47 np0000000046 dstat.sh[58901]: 12-02 15:22:47| 50  14  36   0   0|1410M 1100M  165M 5074M|  18k   14k|   0  3088k|   0   220 |7081  9075 |1.99 1.01 0.52|4.0   0 114|   0     0 |           | 11   28    0   38    0
Feb 12 15:22:48 np0000000046 dstat.sh[58901]: 12-02 15:22:48| 52   8  39   0   0|1510M 1000M  165M 5074M|  12k   10k|   0    32k|   0  2.99 |3555  1920 |1.99 1.01 0.52|3.0   0   0|   0     0 |           | 11   31    0   38    0
Feb 12 15:22:49 np0000000046 dstat.sh[58901]: 12-02 15:22:49| 52  10  37   0   0|1525M  985M  165M 5074M|  22k   18k|   0   779k|   0  63.2 |7257  9346 |2.07 1.05 0.53|6.0   0 142|   0     0 |           | 11   28    0   37    0
Feb 12 15:22:50 np0000000046 dstat.sh[58901]: 12-02 15:22:50| 68  32   1   0   0|1520M  990M  165M 5074M|4659B 1621B|   0   156k|   0  16.0 |5501  4846 |2.07 1.05 0.53|7.0   0 534|   0     0 |           | 11   28    0   37    0
Feb 12 15:22:51 np0000000046 dstat.sh[58901]: 12-02 15:22:51| 79  20   1   0   0|1665M  846M  165M 5074M|  14k   13k|   0     0 |   0     0 |5930  5126 |2.07 1.05 0.53|3.0   0 333|   0     0 |           | 11   31    1   37    0
Feb 12 15:22:52 np0000000046 dstat.sh[58901]: 12-02 15:22:52| 72  23   4   0   0|1703M  806M  165M 5074M|  45k   40k|   0   552k|   0  33.0 |8757    11k|2.07 1.05 0.53|7.0   0 459|   0     0 |           | 11   31    0   38    0
Feb 12 15:22:53 np0000000046 dstat.sh[58901]: 12-02 15:22:53| 75  23   2   0   0|1571M  938M  165M 5074M|  18k   14k|   0   520k|   0  45.0 |6647  6872 |2.07 1.05 0.53|4.0   0 388|   0     0 |           | 11   28    1   38    0
Feb 12 15:22:54 np0000000046 dstat.sh[58901]: 12-02 15:22:54| 81  12   7   0   0|1642M  868M  165M 5074M|  23k   20k|   0   116k|   0  6.00 |5958  4945 |2.23 1.10 0.55|1.0   0   0|   0     0 |           | 11   32    1   38    0
Feb 12 15:22:55 np0000000046 dstat.sh[58901]: 12-02 15:22:55| 63  14  21   0   0|1519M  990M  165M 5075M|  42k   35k|   0  1800k|   0  29.0 |8657    14k|2.23 1.10 0.55|3.0   0 252|   0     0 |           | 11   29    0   42    0
Feb 12 15:22:56 np0000000046 dstat.sh[58901]: 12-02 15:22:56| 18  26  54   0   0|1388M 1121M  165M 5075M|8881B 4325B|   0    20k|   0  5.00 |6274  5464 |2.23 1.10 0.55|2.0   0 493|   0     0 |           | 11   28    0   43    0
Feb 12 15:22:57 np0000000046 dstat.sh[58901]: 12-02 15:22:57| 47  38  15   0   0|1428M 1082M  165M 5075M|5437B 1459B|   0    44k|   0  11.0 |6149  5669 |2.23 1.10 0.55|7.0   0 857|   0     0 |           | 11   28    0   41    0
Feb 12 15:22:58 np0000000046 dstat.sh[58901]: 12-02 15:22:58| 67   8  23   0   0|1559M  950M  165M 5075M|  20k   18k|   0   271k|   0  14.0 |5433  4580 |2.23 1.10 0.55|2.0   0   0|   0     0 |           | 11   32    0   41    0
Feb 12 15:22:59 np0000000046 dstat.sh[58901]: 12-02 15:22:59| 59  15  26   0   0|1481M 1028M  165M 5075M|  22k   17k|   0   717k|   0  76.1 |7478    11k|2.37 1.14 0.57|6.0   0 201|   0     0 |           | 11   28    0   45    0
Feb 12 15:23:00 np0000000046 dstat.sh[58901]: 12-02 15:23:00| 76  15   9   0   0|1533M  976M  165M 5075M|  10k 7563B|   0   380k|   0  13.0 |4683  2556 |2.37 1.14 0.57|3.0   0  67|   0     0 |           | 11   30    0   45    0
Feb 12 15:23:01 np0000000046 dstat.sh[58901]: 12-02 15:23:01| 59   7  34   0   0|1552M  957M  165M 5075M|  35k   32k|   0   180k|   0  10.0 |8087    13k|2.37 1.14 0.57|2.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 12 15:23:02 np0000000046 dstat.sh[58901]: 12-02 15:23:02| 52   7  38   0   0|1529M  980M  165M 5076M|  40k   34k|   0   412k|   0  38.0 |  13k   19k|2.37 1.14 0.57|3.0   0  30|   0     0 |           | 11   30    0   45    0
Feb 12 15:23:03 np0000000046 dstat.sh[58901]: 12-02 15:23:03| 77  17   6   0   0|1482M 1026M  165M 5076M|  11k 7054B|   0   383k|   0  37.9 |5613  4595 |2.37 1.14 0.57|3.0   0  91|   0     0 |           | 11   29    0   45    0
Feb 12 15:23:04 np0000000046 dstat.sh[58901]: 12-02 15:23:04| 62   7  30   0   0|1556M  952M  165M 5076M|  28k   26k|   0  2894k|   0   116 |5384  7070 |2.42 1.18 0.58|2.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 12 15:23:05 np0000000046 dstat.sh[58901]: 12-02 15:23:05| 50   7  42   0   0|1556M  952M  165M 5076M|  50k   44k|   0   205k|   0  11.0 |  14k   23k|2.42 1.18 0.58|3.0   0 6.0|   0     0 |           | 11   30    0   47    0
Feb 12 15:23:06 np0000000046 dstat.sh[58901]: 12-02 15:23:06| 74  21   6   0   0|1479M 1029M  165M 5076M|  12k 8636B|   0   156k|   0  9.00 |6093  5640 |2.42 1.18 0.58|4.0   0 254|   0     0 |           | 11   28    0   49    0
Feb 12 15:23:07 np0000000046 dstat.sh[58901]: 12-02 15:23:07| 64   8  27   0   0|1564M  944M  165M 5076M|  25k   22k|   0   140k|   0  7.98 |5392  5290 |2.42 1.18 0.58|5.0   0   0|   0     0 |           | 11   32    0   49    0
Feb 12 15:23:08 np0000000046 dstat.sh[58901]: 12-02 15:23:08| 58  12  28   0   0|1555M  953M  165M 5076M|  35k   31k|   0   252k|   0  20.0 |  10k   17k|2.42 1.18 0.58|2.0   0  68|   0     0 |           | 11   30    0   51    0
Feb 12 15:23:09 np0000000046 dstat.sh[58901]: 12-02 15:23:09| 74  15  12   0   0|1533M  975M  165M 5076M|  11k 8461B|   0   227k|   0  21.9 |4769  3370 |2.47 1.21 0.60|3.0   0  60|   0     0 |           | 11   30    0   51    0
Feb 12 15:23:10 np0000000046 dstat.sh[58901]: 12-02 15:23:10| 66  12  21   0   0|1550M  958M  165M 5077M|  20k   16k|   0   421k|   0  39.1 |5425  5952 |2.47 1.21 0.60|4.0   0 120|   0     0 |           | 11   30    0   53    0
Feb 12 15:23:11 np0000000046 dstat.sh[58901]: 12-02 15:23:11| 66   8  25   0   0|1575M  933M  165M 5077M|  29k   26k|   0   152k|   0  9.01 |6516  9599 |2.47 1.21 0.60|1.0   0   0|   0     0 |           | 11   32    0   53    0
Feb 12 15:23:12 np0000000046 dstat.sh[58901]: 12-02 15:23:12| 63  15  22   0   0|1530M  978M  165M 5077M|  32k   27k|   0   156k|   0  9.01 |7532    12k|2.47 1.21 0.60|4.0   0 141|   0     0 |           | 11   28    0   57    0
Feb 12 15:23:13 np0000000046 dstat.sh[58901]: 12-02 15:23:13| 75  14  10   0   0|1536M  971M  165M 5077M|  10k 7829B|   0   235k|   0  19.9 |4773  2740 |2.47 1.21 0.60|3.0   0  88|   0     0 |           | 11   32    0   57    0
Feb 12 15:23:14 np0000000046 dstat.sh[58901]: 12-02 15:23:14| 65  11  23   0   0|1539M  968M  165M 5077M|  26k   21k|   0   164k|   0  15.0 |6752  8452 |2.59 1.25 0.61|5.0   0  69|   0     0 |           | 11   34    0   57    0
Feb 12 15:23:15 np0000000046 dstat.sh[58901]: 12-02 15:23:15| 66  15  19   0   0|1509M  998M  165M 5077M|  18k   15k|   0  1826k|   0  45.1 |5356  6770 |2.59 1.25 0.61|2.0   0 138|   0     0 |           | 11   33    0   59    0
Feb 12 15:23:16 np0000000046 dstat.sh[58901]: 12-02 15:23:16| 49   9  41   0   0|1509M  998M  165M 5077M|  17k   14k|   0   400k|   0  37.0 |4098  4259 |2.59 1.25 0.61|2.0   0  62|   0     0 |           | 11   33    0   61    0
Feb 12 15:23:17 np0000000046 dstat.sh[58901]: 12-02 15:23:17| 54  12  33   0   0|1470M 1037M  165M 5077M|  13k 9356B|   0   212k|   0  16.0 |4623  5352 |2.59 1.25 0.61|2.0   0  60|   0     0 |           | 11   33    0   62    0
Feb 12 15:23:18 np0000000046 dstat.sh[58901]: 12-02 15:23:18| 48  11  40   0   0|1504M 1003M  165M 5077M|  20k   16k|   0   338k|   0  37.8 |4819  5200 |2.59 1.25 0.61|3.0   0  95|   0     0 |           | 11   34    0   60    0
Feb 12 15:23:19 np0000000046 dstat.sh[58901]: 12-02 15:23:19| 50  12  38   0   0|1517M  990M  165M 5077M|  16k   13k|   0   160k|   0  9.02 |5354  5958 |2.46 1.25 0.62|2.0   0  86|   0     0 |           | 11   33    0   62    0
Feb 12 15:23:20 np0000000046 dstat.sh[58901]: 12-02 15:23:20| 47   8  44   0   0|1466M 1040M  165M 5078M|  19k   14k|   0  3645k|   0   165 |4804  5444 |2.46 1.25 0.62|2.0   0  86|   0     0 |           | 11   34    0   63    0
Feb 12 15:23:21 np0000000046 dstat.sh[58901]: 12-02 15:23:21| 32   4  63   0   0|1467M 1039M  165M 5078M|  19k   15k|   0   236k|   0  23.0 |5733  7631 |2.46 1.25 0.62|2.0   0   0|   0     0 |           | 11   32    0   65    0
Feb 12 15:23:22 np0000000046 dstat.sh[58901]: 12-02 15:23:22| 37  13  48   0   0|1469M 1037M  165M 5078M|5145B 1621B|   0   196k|   0  13.0 |3646  2341 |2.46 1.25 0.62|2.0   0 135|   0     0 |           | 11   32    0   58    0
Feb 12 15:23:23 np0000000046 dstat.sh[58901]: 12-02 15:23:23| 32   3  63   0   0|1501M 1005M  165M 5078M|  15k   13k|   0   148k|   0  9.99 |3284  2867 |2.46 1.25 0.62|  0   0 1.0|   0     0 |           | 11   34    0   58    0
Feb 12 15:23:24 np0000000046 dstat.sh[58901]: 12-02 15:23:24| 35  13  51   0   0|1423M 1083M  165M 5078M|  11k 7216B|   0   224k|   0  18.0 |5531  5841 |2.42 1.26 0.62|2.0   0 138|   0     0 |           | 11   32    0   60    0
Feb 12 15:23:25 np0000000046 dstat.sh[58901]: 12-02 15:23:25| 42   8  49   0   0|1456M 1050M  166M 5078M|  11k 8898B|   0   240k|   0  17.0 |3863    11k|2.42 1.26 0.62|  0   0  36|   0     0 |           | 11   34    0   61    0
Feb 12 15:23:26 np0000000046 dstat.sh[58901]: 12-02 15:23:26| 30   8  61   0   0|1437M 1069M  166M 5078M|  14k   10k|   0   279k|   0  22.9 |4857  5370 |2.42 1.26 0.62|2.0   0  60|   0     0 |           | 11   33    0   59    0
Feb 12 15:23:27 np0000000046 dstat.sh[58901]: 12-02 15:23:27| 39   7  54   0   0|1444M 1062M  166M 5078M|  10k 7451B|   0   240k|   0  22.0 |3201  2287 |2.42 1.26 0.62|2.0   0 5.0|   0     0 |           | 11   33    0   60    0
Feb 12 15:23:28 np0000000046 dstat.sh[58901]: 12-02 15:23:28| 34   4  60   0   0|1409M 1097M  166M 5078M|  18k   16k|   0   144k|   0  9.01 |5231  6132 |2.42 1.26 0.62|2.0   0  10|   0     0 |           | 11   33    0   61    0
Feb 12 15:23:29 np0000000046 dstat.sh[58901]: 12-02 15:23:29| 38  10  52   0   0|1426M 1080M  166M 5078M|7342B 3982B|   0  2466k|   0   167 |3975  4085 |2.31 1.26 0.63|2.0   0  38|   0     0 |           | 11   32    0   62    0
Feb 12 15:23:30 np0000000046 dstat.sh[58901]: 12-02 15:23:30| 32   4  62   0   0|1444M 1062M  166M 5078M|  18k   15k|   0     0 |   0     0 |3620  3825 |2.31 1.26 0.63|1.0   0   0|   0     0 |           | 11   34    0   61    0
