Jul 19 11:34:53 jammy-provider-cloud-0000007368 systemd[1]: Started Devstack devstack@dstat.service.
Jul 19 11:34:53 jammy-provider-cloud-0000007368 dstat.sh[57642]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 19 11:34:53 jammy-provider-cloud-0000007368 dstat.sh[57642]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 19 11:35:04 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:04| 47   5  46   0   0|1202M 1607M  161M 4778M|4878B 1620B|   0  5992k|   0   307 |9267    18k|1.55 0.95 0.52|2.0   0  13|   0     0 |   0     0 | 10    4    5   19    0
Jul 19 11:35:05 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:05| 38  16  45   0   0|1101M 1708M  161M 4778M|6382B 1621B|   0  1469k|   0  11.0 |  11k   22k|1.55 0.95 0.52|2.0   0 368|   0     0 |   0     0 | 10    4    5   15    0
Jul 19 11:35:06 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:06| 34  20  45   0   0|1100M 1708M  161M 4779M|6261B 1617B|   0   779k|   0   135 |4510    12k|1.55 0.95 0.52|2.0   0 418|   0     0 |   0     0 | 10    4    5   15    0
Jul 19 11:35:07 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:07| 42  13  45   0   0|1174M 1634M  161M 4779M|8530B 1514B|   0    11M|   0  26.0 |2628  5522 |1.66 0.98 0.53|2.0   0 206|   0     0 |   0     0 | 10    5    5   15    0
Jul 19 11:35:08 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:08| 48   3  49   0   0|1235M 1573M  161M 4780M|5563B 1565B|   0   208k|   0  30.0 |1172  1267 |1.66 0.98 0.53|2.0   0   0|   0     0 |   0     0 | 10    5    4   13    0
Jul 19 11:35:09 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:09| 30   8  60   0   0|1260M 1546M  161M 4782M|5903B 1731B|   0   207k|   0  2.99 |1862  6275 |1.66 0.98 0.53|1.0   0 118|   0     0 |   0     0 | 10    4    4   14    0
Jul 19 11:35:10 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:10|  1   0  98   0   0|1259M 1546M  161M 4782M|8863B 1622B|   0     0 |   0     0 | 647   982 |1.66 0.98 0.53|  0   0 2.0|   0     0 |   0     0 | 10    4    4   14    0
Jul 19 11:35:11 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:11| 22   5  73   0   0|1324M 1482M  161M 4782M|6401B 1622B|   0  1995k|   0  15.0 |1511  1960 |1.66 0.98 0.53|2.0   0  31|   0     0 |   0     0 | 10    4    4   14    0
Jul 19 11:35:12 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:12| 27   5  67   0   0|1358M 1447M  161M 4782M|4335B 1620B|   0    39M|   0   132 |2026  4027 |1.61 0.98 0.53|2.0   0  26|   0     0 |   0     0 | 10   10    4   13    0
Jul 19 11:35:13 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:13| 22   4  73   1   0|1281M 1524M  161M 4782M|5083B 1618B|   0   951k|   0   165 |2549  4581 |1.61 0.98 0.53|1.0   0  42|   0     0 |   0     0 | 10    4    4   15    0
Jul 19 11:35:14 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:14| 22   3  74   0   0|1314M 1490M  161M 4783M|4668B 1515B| 232k 1487k|58.1  6.01 |1414  2378 |1.61 0.98 0.53|1.0   0 2.0|   0     0 |   0     0 | 10   27    4   15    0
Jul 19 11:35:15 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:15| 21   5  72   0   0|1307M 1497M  161M 4783M|8560B 1617B|   0  2787k|   0   147 |1557  2558 |1.61 0.98 0.53|1.0   0  44|   0     0 |   0     0 | 10   28    4   17    0
Jul 19 11:35:16 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:16| 25   9  66   0   0|1301M 1503M  161M 4783M|9372B 1569B|   0    12k|   0  3.01 |1826  2758 |1.61 0.98 0.53|2.0   0 156|   0     0 |   0     0 | 10   28    4   18    0
Jul 19 11:35:17 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:17| 45   6  49   0   0|1388M 1416M  161M 4783M|6347B 1621B|   0   128k|   0  8.00 |2320  5107 |1.64 1.00 0.54|2.0   0   0|   0     0 |   0     0 | 10   30    4   18    0
Jul 19 11:35:18 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:18| 63  18  21   0   0|1410M 1394M  161M 4783M|9494B 1619B|   0  9767k|   0  38.0 |4055  7813 |1.64 1.00 0.54|5.0   0 447|   0     0 |   0     0 | 10   28    4   18    0
Jul 19 11:35:19 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:19| 84  14   1   0   0|1579M 1225M  161M 4783M|6576B 1711B|   0   291k|   0  28.0 |3601    11k|1.64 1.00 0.54|6.0   0 131|   0     0 |   0     0 | 10   29    3   18    0
Jul 19 11:35:20 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:20| 61  11  29   0   0|1361M 1443M  161M 4784M|7796B 1717B|   0  4589k|   0   119 |2876  6479 |1.64 1.00 0.54|2.0   0 228|   0     0 |   0     0 | 10   29    3   19    0
Jul 19 11:35:21 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:21| 21   5  72   0   0|1339M 1465M  161M 4784M|6537B 1512B|   0   152k|   0  13.0 |2056  3499 |1.64 1.00 0.54|1.0   0  84|   0     0 |   0     0 | 10   28    3   19    0
Jul 19 11:35:22 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:22| 21   6  72   0   0|1299M 1504M  161M 4784M|6632B 1710B|   0   555k|   0  84.8 |2232  3951 |1.59 1.00 0.54|1.0   0  68|   0     0 |   0     0 | 10   28    3   18    0
Jul 19 11:35:23 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:23| 23   3  73   0   0|1356M 1447M  161M 4784M|7633B 1620B|   0  2180k|   0  23.0 |1281  2183 |1.59 1.00 0.54|2.0   0   0|   0     0 |   0     0 | 10   29    3   18    0
Jul 19 11:35:24 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:24| 15  16  70   0   0|1302M 1501M  161M 4784M|6684B 1748B|   0   637k|   0  46.1 |3147  5461 |1.59 1.00 0.54|1.0   0 415|   0     0 |   0     0 | 10   28    3   17    0
Jul 19 11:35:25 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:25| 56  21  23   0   0|1451M 1353M  161M 4784M|5115B 1696B|   0  2503k|   0  34.0 |2803  4822 |1.59 1.00 0.54|5.0   0 614|   0     0 |   0     0 | 10   28    3   17    0
Jul 19 11:35:26 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:26| 80   9  10   0   0|1589M 1214M  161M 4784M|  41k 1713B|   0   524k|   0  32.0 |4318    11k|1.59 1.00 0.54|3.0   0  10|   0     0 |   0     0 | 10   32    3   19    0
Jul 19 11:35:27 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:27| 80  13   7   0   0|1431M 1371M  161M 4784M|5388B 1621B|   0   592k|   0  73.0 |3779  9826 |1.86 1.07 0.57|5.0   0 135|   0     0 |   0     0 | 10   28    3   19    0
Jul 19 11:35:28 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:28| 83  12   4   0   0|1602M 1200M  161M 4785M|4933B 1511B|   0    10M|   0   464 |4657    11k|1.86 1.07 0.57|5.0   0 175|   0     0 |   0     0 | 10   31    3   19    0
Jul 19 11:35:29 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:29| 78  11  11   0   0|1428M 1374M  161M 4785M|6059B 1620B|   0   196k|   0  14.0 |3835    13k|1.86 1.07 0.57|2.0   0 200|   0     0 |   0     0 | 10   30    3   19    0
Jul 19 11:35:30 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:30| 44   8  48   0   0|1397M 1405M  161M 4785M|4943B 1615B|   0  2911k|   0   177 |3212  6481 |1.86 1.07 0.57|3.0   0 100|   0     0 |   0     0 | 10   28    3   22    0
Jul 19 11:35:31 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:31| 50  11  40   0   0|1331M 1470M  161M 4785M|5439B 1625B|   0   433k|   0  32.1 |4431  9415 |1.86 1.07 0.57|4.0   0 330|   0     0 |   0     0 | 10   28    3   22    0
Jul 19 11:35:32 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:32| 69   8  24   0   0|1485M 1316M  161M 4786M|5721B 1694B|   0   324k|   0  15.0 |3290  5507 |1.96 1.10 0.58|4.0   0  49|   0     0 |   0     0 | 10   30    3   24    0
Jul 19 11:35:33 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:33| 70  15  13   0   0|1453M 1348M  161M 4786M|5915B 1566B|   0    62M|   0   216 |5193  9599 |1.96 1.10 0.58|4.0   0 258|   0     0 |   0     0 | 10   28    3   27    0
Jul 19 11:35:34 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:34| 71   9  19   0   0|1547M 1253M  161M 4786M|5492B 1610B|   0  1208k|   0  28.8 |5459    12k|1.96 1.10 0.58|4.0   0   0|   0     0 |   0     0 | 10   30    3   30    0
Jul 19 11:35:35 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:35| 67  15  18   0   0|1453M 1347M  161M 4786M|4831B 1617B|   0  4157k|   0   167 |3227  6121 |1.96 1.10 0.58|3.0   0 326|   0     0 |   0     0 | 10   28    3   30    0
Jul 19 11:35:36 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:36| 61  14  24   0   0|1410M 1390M  161M 4787M|4710B 1619B|   0   456k|   0  39.0 |6012    13k|1.96 1.10 0.58|4.0   0 249|   0     0 |   0     0 | 10   28    3   33    0
Jul 19 11:35:37 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:37| 67   9  24   0   0|1489M 1311M  161M 4787M|5371B 1619B|   0  1451k|   0  26.0 |2665  4961 |2.04 1.13 0.59|2.0   0  50|   0     0 |   0     0 | 10   31    3   35    0
Jul 19 11:35:38 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:38| 65  13  22   0   0|1428M 1372M  161M 4787M|6130B 1621B|   0  1369k|   0  32.0 |3604  8292 |2.04 1.13 0.59|4.0   0 287|   0     0 |   0     0 | 10   28    3   34    0
Jul 19 11:35:39 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:39| 61   9  29   0   0|1328M 1471M  161M 4787M|6075B 1620B|   0   540k|   0  44.0 |4714    11k|2.04 1.13 0.59|3.0   0 106|   0     0 |   0     0 | 10   28    3   36    0
Jul 19 11:35:40 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:40| 68   6  26   0   0|1488M 1311M  161M 4787M|5462B 1615B|   0   231k|   0  12.0 |2281  3635 |2.04 1.13 0.59|3.0   0 6.0|   0     0 |   0     0 | 10   30    3   37    0
Jul 19 11:35:41 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:41| 66  19  13   0   0|1448M 1351M  161M 4787M|5118B 1571B|   0   594k|   0  51.2 |4671  9981 |2.04 1.13 0.59|5.0   0 420|   0     0 |   0     0 | 10   28    3   40    0
Jul 19 11:35:42 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:42| 81  17   4   0   0|1492M 1307M  161M 4788M|5336B 1512B|   0  2041k|   0  58.0 |4474  9506 |2.36 1.21 0.62| 10   0 208|   0     0 |   0     0 | 10   30    3   41    0
Jul 19 11:35:43 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:43| 79  18   1   0   0|1485M 1313M  161M 4788M|5685B 1619B|   0   643k|   0  28.0 |2877  5411 |2.36 1.21 0.62|6.0   0 276|   0     0 |   0     0 | 10   28    3   41    0
Jul 19 11:35:44 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:44| 80  13   5   0   0|1570M 1228M  161M 4788M|5990B 1621B|   0   376k|   0  25.0 |5293    11k|2.36 1.21 0.62|6.0   0 259|   0     0 |   0     0 | 10   30    3   41    0
Jul 19 11:35:45 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:45| 71  18   8   0   0|1436M 1362M  161M 4788M|7222B 1619B|   0   236k|   0  12.0 |5163    16k|2.36 1.21 0.62|3.0   0 439|   0     0 |   0     0 | 10   28    3   41    0
Jul 19 11:35:46 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:46| 25  26  48   0   0|1304M 1494M  161M 4789M|6531B 1616B|   0   243k|   0  14.0 |4736  9155 |2.36 1.21 0.62|1.0   0 650|   0     0 |   0     0 | 10   28    3   41    0
Jul 19 11:35:47 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:47|  8  21  69   0   0|1304M 1494M  161M 4789M|5200B 1619B|   0   276k|   0  16.0 |2654  3616 |2.25 1.21 0.63|4.0   0 361|   0     0 |   0     0 | 10   28    3   41    0
Jul 19 11:35:48 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:48| 57  29  15   0   0|1461M 1337M  161M 4789M|5626B 1624B|   0   770k|   0  22.1 |2985  5886 |2.25 1.21 0.63|5.0   0 832|   0     0 |   0     0 | 10   29    3   38    0
Jul 19 11:35:49 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:49| 81  12   6   0   0|1394M 1403M  161M 4789M|5744B 1458B|   0  1000k|   0  80.0 |3724  9734 |2.25 1.21 0.63|5.0   0 148|   0     0 |   0     0 | 10   29    3   38    0
Jul 19 11:35:50 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:50| 83  13   4   0   0|1519M 1279M  161M 4789M|6494B 1620B|   0   284k|   0  23.0 |3456  7394 |2.25 1.21 0.63|4.0   0 139|   0     0 |   0     0 | 10   30    3   38    0
Jul 19 11:35:51 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:51| 63   8  29   0   0|1498M 1299M  161M 4790M|5235B 1703B|   0   242k|   0  20.9 |7809    19k|2.25 1.21 0.63|4.0   0  32|   0     0 |   0     0 | 10   31    3   45    0
Jul 19 11:35:52 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:52| 80  10  10   0   0|1449M 1347M  161M 4790M|8275B 1631B|   0   459k|   0  46.3 |4332    13k|2.55 1.29 0.65|4.0   0  91|   0     0 |   0     0 | 10   28    3   48    0
Jul 19 11:35:53 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:53| 74   8  17   0   0|1549M 1247M  161M 4791M|5622B 1619B|   0   204k|   0  14.0 |7210    17k|2.55 1.29 0.65|3.0   0   0|   0     0 |   0     0 | 10   31    3   49    0
Jul 19 11:35:54 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:54| 67   8  23   0   0|1533M 1262M  161M 4792M|  10k 1621B|   0   156k|   0  8.00 |7727    19k|2.55 1.29 0.65|4.0   0  71|   0     0 |   0     0 | 10   30    3   59    0
Jul 19 11:35:55 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:55| 80  14   6   0   0|1504M 1290M  161M 4792M|6016B 1616B|   0   156k|   0  9.98 |4460    10k|2.55 1.29 0.65|4.0   0 196|   0     0 |   0     0 | 10   29    3   59    0
Jul 19 11:35:56 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:56| 79  12   8   0   0|1391M 1403M  161M 4793M|  43k 1623B|   0   240k|   0  20.0 |4596    11k|2.55 1.29 0.65|4.0   0 122|   0     0 |   0     0 | 10   28    3   60    0
Jul 19 11:35:57 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:57| 82   9   8   0   0|1548M 1246M  161M 4793M|  12k 1532B|   0   332k|   0  34.0 |4905  8740 |2.66 1.33 0.67|4.0   0  10|   0     0 |   0     0 | 10   30    3   63    0
Jul 19 11:35:58 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:58| 82  12   6   0   0|1471M 1320M  161M 4795M|7258B 1694B|   0  1560k|   0  56.0 |4645  8903 |2.66 1.33 0.67|4.0   0 247|   0     0 |   0     0 | 10   28    3   63    0
Jul 19 11:35:59 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:59| 77  11  12   0   0|1455M 1337M  161M 4795M|5619B 1695B|   0   176k|   0  10.0 |6049    14k|2.66 1.33 0.67|4.0   0  86|   0     0 |   0     0 | 10   29    3   65    0
Jul 19 11:36:00 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:00| 85  11   4   0   0|1530M 1261M  161M 4795M|6637B 1693B|   0   160k|   0  9.99 |3148  5302 |2.66 1.33 0.67|4.0   0  77|   0     0 |   0     0 | 10   29    3   65    0
Jul 19 11:36:01 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:01| 77  12  11   0   0|1404M 1387M  161M 4795M|6735B 1616B|   0   574k|   0  56.8 |5181    12k|2.66 1.33 0.67|3.0   0 262|   0     0 |   0     0 | 10   28    3   66    0
Jul 19 11:36:02 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:02| 62  11  27   0   0|1386M 1404M  161M 4795M|6890B 1667B|   0   273k|   0  16.0 |4185  9047 |2.69 1.36 0.69|3.0   0  55|   0     0 |   0     0 | 10   29    3   67    0
Jul 19 11:36:03 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:03| 64  11  26   0   0|1470M 1321M  161M 4796M|7132B 1621B|   0   200k|   0  12.0 |3224  5485 |2.69 1.36 0.69|3.0   0 126|   0     0 |   0     0 | 10   29    3   67    0
Jul 19 11:36:04 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:04| 64  10  25   0   0|1406M 1384M  161M 4796M|4540B 1584B|   0   619k|   0  47.0 |4566  9151 |2.69 1.36 0.69|3.0   0 132|   0     0 |   0     0 | 10   28    3   69    0
Jul 19 11:36:05 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:05| 65   8  27   0   0|1451M 1339M  161M 4796M|5912B 1662B|   0   340k|   0  29.0 |5122  9977 |2.69 1.36 0.69|3.0   0  43|   0     0 |   0     0 | 10   28    3   69    0
Jul 19 11:36:06 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:06| 67   8  25   0   0|1471M 1319M  161M 4796M|4569B 1566B|   0  8678k|   0   194 |3163  5537 |2.69 1.36 0.69|3.0   0  39|   0     0 |   0     0 | 10   30    3   69    0
Jul 19 11:36:07 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:07| 64  12  25   0   0|1408M 1382M  161M 4796M|5347B 1617B|   0   479k|   0  45.9 |4226  8191 |2.72 1.39 0.70|3.0   0 137|   0     0 |   0     0 | 10   28    3   69    0
Jul 19 11:36:08 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:08| 65   8  27   0   0|1378M 1411M  161M 4797M|4189B 1624B|   0   361k|   0  31.1 |3458  8686 |2.72 1.39 0.70|3.0   0  73|   0     0 |   0     0 | 10   29    3   71    0
Jul 19 11:36:09 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:09| 59  15  24   0   0|1465M 1324M  161M 4797M|5130B 1658B|   0   299k|   0  16.0 |3032  5179 |2.72 1.39 0.70|3.0   0 349|   0     0 |   0     0 | 10   28    3   71    0
Jul 19 11:36:10 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:10| 51  14  35   0   0|1323M 1466M  161M 4797M|5983B 1624B|   0   722k|   0  47.1 |6137    13k|2.72 1.39 0.70|3.0   0 286|   0     0 |   0     0 | 10   28    3   73    0
Jul 19 11:36:11 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:11| 25   6  69   0   0|1371M 1418M  161M 4797M|5340B 1620B|   0  2865k|   0   224 |1836  3115 |2.72 1.39 0.70|1.0   0 128|   0     0 |   0     0 | 10   29    3   72    0
Jul 19 11:36:12 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:12| 22  12  65   0   0|1319M 1470M  161M 4798M|4813B 1585B|   0   248k|   0  22.0 |3835  9126 |2.58 1.38 0.70|1.0   0 253|   0     0 |   0     0 | 10   28    3   75    0
Jul 19 11:36:13 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:13| 26  16  57   0   0|1392M 1396M  161M 4798M|7090B 1620B|   0  2724k|   0  31.0 |2766  4306 |2.58 1.38 0.70|2.0   0 376|   0     0 |   0     0 | 10   28    3   74    0
Jul 19 11:36:14 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:14| 42   8  49   3   0|1499M 1286M  162M 4800M|6482B 1568B|   0  5723k|   0   466 |3266  5903 |2.58 1.38 0.70|2.0   0  29|   0     0 |   0     0 | 10   32    3   74    0
Jul 19 11:36:15 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:15| 37   7  43  10   0|1441M 1338M  163M 4805M|7249B 1615B|   0    31M|   0  3307 |  13k   28k|2.58 1.38 0.70|3.0 1.0 112|   0     0 |   0     0 | 10   32    3   72    0
Jul 19 11:36:16 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:16| 43   7  47   4   0|1469M 1310M  163M 4805M|9535B 1620B|   0    30M|   0  2437 |7736    17k|2.58 1.38 0.70|2.0   0  13|   0     0 |   0     0 | 10   28    3   72    0
Jul 19 11:36:17 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:17| 43   7  47   3   0|1461M 1317M  163M 4805M|9256B 1624B|   0  6406k|   0   952 |5546    11k|2.53 1.39 0.71|1.0 1.0 2.0|   0     0 |   0     0 | 10   30    3   71    0
Jul 19 11:36:18 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:18| 38   8  48   5   0|1436M 1342M  163M 4806M|5552B 1615B|   0    16M|   0  1911 |9376    20k|2.53 1.39 0.71|1.0   0 100|   0     0 |   0     0 | 10   28    3   71    0
Jul 19 11:36:19 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:19| 23   3  73   0   0|1409M 1369M  163M 4806M|7222B 1606B|   0  1240k|   0  62.0 |1068  1452 |2.53 1.39 0.71|1.0   0 3.0|   0     0 |   0     0 | 10   28    3   71    0
Jul 19 11:36:20 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:20| 24   2  73   0   0|1352M 1426M  163M 4806M|6072B 1714B|   0   876k|   0  54.0 |1099  1545 |2.53 1.39 0.71|1.0   0 1.0|   0     0 |   0     0 | 10   28    3   71    0
Jul 19 11:36:21 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:21| 23   3  73   0   0|1426M 1352M  163M 4806M|9062B 1620B|   0  5156k|   0   275 |1452  2413 |2.53 1.39 0.71|2.0   0 4.0|   0     0 |   0     0 | 10   28    3   70    0
Jul 19 11:36:22 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:36:22| 25   2  73   0   0|1380M 1397M  163M 4806M|6009B 1664B|   0   136k|   0  19.0 |1062  1364 |2.41 1.38 0.71|1.0   0 1.0|   0     0 |   0     0 | 10   32    3   70    0
