Sep 16 10:42:54 jammy-provider-cloud-0000007627 systemd[1]: Started Devstack devstack@dstat.service.
Sep 16 10:42:54 jammy-provider-cloud-0000007627 dstat.sh[58634]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 16 10:42:54 jammy-provider-cloud-0000007627 dstat.sh[58634]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 16 10:43:12 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:12| 23   2  72   1   0|1332M 1448M  163M 4803M|5606B 1714B|   0  7041k|   0   315 |1463  2381 |1.75 0.97 0.47|1.0   0   0|   0     0 |   0     0 | 10    4    4   13    0
Sep 16 10:43:13 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:13| 23   3  72   1   0|1351M 1430M  163M 4804M|7023B 1619B|   0  2866k|   0   281 |2774  5213 |1.69 0.97 0.47|1.0   0 3.0|   0     0 |   0     0 | 10    4    4   15    0
Sep 16 10:43:14 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:14| 26   7  67   0   0|1316M 1464M  163M 4804M|5380B 1515B|   0     0 |   0     0 |1630  4444 |1.69 0.97 0.47|1.0   0  76|   0     0 |   0     0 | 10    5    4   15    0
Sep 16 10:43:15 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:15| 21   4  73   0   0|1281M 1498M  163M 4804M|7179B 1660B| 232k 1079k|57.9  15.0 |1902  2979 |1.69 0.97 0.47|1.0   0  46|   0     0 |   0     0 | 10   28    4   15    0
Sep 16 10:43:16 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:16| 23   3  73   0   0|1267M 1513M  163M 4804M|5344B 1622B|   0    15M|   0  51.1 |1352  1946 |1.69 0.97 0.47|3.0   0 5.0|   0     0 |   0     0 | 10   28    4   16    0
Sep 16 10:43:17 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:17| 38   9  51   0   0|1384M 1395M  163M 4804M|6522B 1615B|   0  4733k|   0   245 |2165  3192 |1.69 0.97 0.47|3.0   0 151|   0     0 |   0     0 | 10   29    4   16    0
Sep 16 10:43:18 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:18| 47  14  38   0   0|1340M 1440M  163M 4804M|6232B 1699B|   0   201k|   0  29.1 |4898    10k|1.80 1.00 0.49|7.0   0 389|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:19 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:19| 82  17   2   0   0|1545M 1235M  163M 4804M|5982B 1567B|   0    12k|   0  3.00 |3268  5685 |1.80 1.00 0.49|6.0   0 190|   0     0 |   0     0 | 10   31    4   18    0
Sep 16 10:43:20 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:20| 73  10  15   0   0|1405M 1374M  163M 4805M|5610B 1658B|   0   287k|   0  30.9 |4896  9407 |1.80 1.00 0.49|3.0   0 200|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:21 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:21| 29   8  63   0   0|1321M 1457M  163M 4805M|7367B 1516B|   0    33M|   0   131 |3097  5440 |1.80 1.00 0.49|2.0   0 110|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:22 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:22| 23   3  74   0   0|1286M 1492M  163M 4805M|5677B 1619B|   0   104k|   0  12.0 |2087  3728 |1.80 1.00 0.49|2.0   0  18|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:23 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:23| 22   5  73   0   0|1344M 1435M  163M 4805M|7795B 1616B|   0   447k|   0  12.0 |1574  2388 |1.73 1.00 0.49|1.0   0  52|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:24 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:24| 14  15  70   0   0|1288M 1491M  163M 4805M|5170B 1622B|   0   360k|   0  31.0 |3016  5179 |1.73 1.00 0.49|1.0   0 384|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:25 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:25| 52  24  25   0   0|1443M 1336M  163M 4805M|8333B 1697B|   0   293k|   0  24.0 |3028  5125 |1.73 1.00 0.49|5.0   0 656|   0     0 |   0     0 | 10   28    4   18    0
Sep 16 10:43:26 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:26| 79   8  10   0   0|1576M 1202M  163M 4805M|5934B 1620B|   0    17M|   0   565 |5331    10k|1.73 1.00 0.49|7.0   0   0|   0     0 |   0     0 | 10   31    4   20    0
Sep 16 10:43:27 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:27| 83  12   5   0   0|1447M 1332M  163M 4805M|5341B 1566B|   0  3189k|   0   165 |2998  9527 |1.73 1.00 0.49|5.0   0 158|   0     0 |   0     0 | 10   28    4   20    0
Sep 16 10:43:28 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:28| 84  11   4   0   0|1523M 1255M  163M 4806M|5471B 1606B|   0   204k|   0  13.0 |5759    11k|2.00 1.07 0.51|6.0   0 184|   0     0 |   0     0 | 10   29    4   19    0
Sep 16 10:43:29 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:29| 64  10  24   0   0|1408M 1370M  163M 4806M|8086B 1618B|   0   332k|   0  27.0 |5272    14k|2.00 1.07 0.51|2.0   0 168|   0     0 |   0     0 | 10   29    4   21    0
Sep 16 10:43:30 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:30| 44   8  49   0   0|1392M 1385M  163M 4806M|6444B 1621B|   0   264k|   0  22.0 |2307  3516 |2.00 1.07 0.51|2.0   0  98|   0     0 |   0     0 | 10   29    4   20    0
Sep 16 10:43:31 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:31| 37  16  46   0   0|1326M 1452M  163M 4806M|5947B 1620B|   0    63M|   0   158 |5153  9857 |2.00 1.07 0.51|3.0   0 378|   0     0 |   0     0 | 10   28    4   21    0
Sep 16 10:43:32 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:32| 66   7  27   0   0|1469M 1309M  163M 4806M|5801B 1713B|   0   196k|   0  6.00 |2898  5726 |2.00 1.07 0.51|2.0   0   0|   0     0 |   0     0 | 10   31    4   22    0
Sep 16 10:43:33 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:33| 74  13  12   0   0|1458M 1320M  163M 4806M|5609B 1621B|   0  1105k|   0  48.0 |3614  8347 |2.16 1.12 0.53|4.0   0 260|   0     0 |   0     0 | 10   28    4   24    0
Sep 16 10:43:34 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:34| 67  11  22   0   0|1472M 1305M  163M 4807M|6376B 1620B|   0   336k|   0  32.0 |5149    13k|2.16 1.12 0.53|5.0   0  86|   0     0 |   0     0 | 10   29    4   27    0
Sep 16 10:43:35 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:35| 68  12  20   0   0|1466M 1311M  163M 4807M|5458B 1457B|   0   308k|   0  16.0 |1937  3662 |2.16 1.12 0.53|4.0   0 238|   0     0 |   0     0 | 10   30    3   27    0
Sep 16 10:43:36 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:36| 64  12  24   0   0|1392M 1385M  163M 4807M|5898B 1618B|   0  8223k|   0  52.9 |5026    11k|2.16 1.12 0.53|3.0   0 299|   0     0 |   0     0 | 10   28    3   30    0
Sep 16 10:43:37 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:37| 63   8  29   0   0|1417M 1359M  163M 4807M|6668B 1622B|   0   408k|   0  39.0 |5178    11k|2.16 1.12 0.53|3.0   0  64|   0     0 |   0     0 | 10   29    3   36    0
Sep 16 10:43:38 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:38| 69  10  21   0   0|1466M 1311M  163M 4807M|6315B 1621B|   0   232k|   0  13.0 |2263  3937 |2.22 1.15 0.55|3.0   0 223|   0     0 |   0     0 | 10   29    3   38    0
Sep 16 10:43:39 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:39| 63   8  29   0   0|1397M 1379M  163M 4808M|8731B 1616B|   0   403k|   0  36.9 |3512  7898 |2.22 1.15 0.55|3.0   0 112|   0     0 |   0     0 | 10   28    3   43    0
Sep 16 10:43:40 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:40| 62  10  27   0   0|1362M 1414M  163M 4808M|5645B 1624B|   0   453k|   0  45.1 |3694  9332 |2.22 1.15 0.55|4.0   0 142|   0     0 |   0     0 | 10   28    3   46    0
Sep 16 10:43:41 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:41| 84  15   1   0   0|1529M 1246M  163M 4808M|7384B 1620B|   0   348k|   0  26.0 |2370  4298 |2.22 1.15 0.55|6.0   0 347|   0     0 |   0     0 | 10   29    3   46    0
Sep 16 10:43:42 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:42| 83  13   1   0   0|1451M 1324M  163M 4808M|5941B 1458B|   0   684k|   0  61.0 |4534  8724 |2.22 1.15 0.55|8.0   0 301|   0     0 |   0     0 | 10   28    3   47    0
Sep 16 10:43:43 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:43| 85  13   1   0   0|1546M 1229M  163M 4809M|9600B 1694B|   0   464k|   0  36.0 |4525  9167 |2.53 1.23 0.58|6.0   0 185|   0     0 |   0     0 | 10   30    3   46    0
Sep 16 10:43:44 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:44| 73  18   9   0   0|1413M 1362M  163M 4809M|8313B 1694B|   0   252k|   0  15.0 |4744    11k|2.53 1.23 0.58|4.0   0 523|   0     0 |   0     0 | 10   29    3   46    0
Sep 16 10:43:45 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:45| 33  24  41   0   0|1299M 1476M  163M 4809M|8581B 1619B|   0   212k|   0  9.99 |6144    13k|2.53 1.23 0.58|1.0   0 838|   0     0 |   0     0 | 10   28    3   43    0
Sep 16 10:43:46 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:46| 25  29  46   0   0|1359M 1416M  163M 4809M|6320B 1695B|   0   641k|   0  23.0 |3725  6782 |2.53 1.23 0.58|5.0   0 887|   0     0 |   0     0 | 10   28    3   43    0
Sep 16 10:43:47 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:47| 78  15   5   0   0|1464M 1310M  163M 4809M|6247B 1619B|   0   764k|   0  49.0 |4050  8035 |2.53 1.23 0.58|4.0   0 269|   0     0 |   0     0 | 10   29    3   43    0
Sep 16 10:43:48 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:48| 80  13   8   0   0|1442M 1332M  163M 4809M|5688B 1620B|   0  2421k|   0   169 |4320    10k|2.65 1.28 0.59|4.0   0 238|   0     0 |   0     0 | 10   28    3   43    0
Sep 16 10:43:49 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:49| 69   9  21   0   0|1521M 1253M  163M 4809M|5875B 1458B|   0   128k|   0  6.00 |6719    16k|2.65 1.28 0.59|2.0   0   0|   0     0 |   0     0 | 10   32    3   45    0
Sep 16 10:43:50 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:50| 70   9  19   0   0|1438M 1335M  163M 4810M|5439B 1694B|   0   500k|   0  64.0 |5669    16k|2.65 1.28 0.59|4.0   0  90|   0     0 |   0     0 | 10   28    3   48    0
Sep 16 10:43:51 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:51| 84  10   5   0   0|1464M 1309M  163M 4810M|5586B 1619B|   0   464k|   0  14.0 |4825    11k|2.65 1.28 0.59|4.0   0  68|   0     0 |   0     0 | 10   30    3   45    0
Sep 16 10:43:52 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:52| 79  12   8   0   0|1416M 1358M  163M 4810M|5533B 1621B|   0   156k|   0  7.00 |5509    13k|2.65 1.28 0.59|4.0   0 224|   0     0 |   0     0 | 10   28    3   46    0
Sep 16 10:43:53 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:53| 81   9   9   0   0|1468M 1306M  163M 4810M|6107B 1620B|   0   248k|   0  19.0 |7011    14k|2.75 1.32 0.61|5.0   0  41|   0     0 |   0     0 | 10   29    3   47    0
Sep 16 10:43:54 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:54| 84  10   5   0   0|1497M 1276M  163M 4811M|7541B 1620B|   0   124k|   0  7.00 |2980  5239 |2.75 1.32 0.61|4.0   0  98|   0     0 |   0     0 | 10   29    3   47    0
Sep 16 10:43:55 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:55| 77  15   8   0   0|1399M 1374M  163M 4811M|7380B 1500B|   0   464k|   0  47.0 |4840    10k|2.75 1.32 0.61|4.0   0 247|   0     0 |   0     0 | 10   28    3   47    0
Sep 16 10:43:56 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:56| 79  10  10   0   0|1478M 1295M  163M 4811M|6921B 1714B|   0   160k|   0  10.0 |4959    10k|2.75 1.32 0.61|4.0   0  43|   0     0 |   0     0 | 10   29    3   49    0
Sep 16 10:43:57 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:57| 82  13   5   0   0|1488M 1284M  163M 4811M|8686B 1714B|   0  1752k|   0  55.0 |3403  6491 |2.75 1.32 0.61|4.0   0 120|   0     0 |   0     0 | 10   29    3   49    0
Sep 16 10:43:58 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:58| 74  15  10   0   0|1434M 1338M  163M 4811M|7023B 1694B|   0  6467k|   0   201 |5818    12k|2.93 1.38 0.64|4.0   0 195|   0     0 |   0     0 | 10   28    3   49    0
Sep 16 10:43:59 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:59| 66  11  23   0   0|1428M 1344M  163M 4811M|6995B 1786B|   0   324k|   0  20.0 |3785  9110 |2.93 1.38 0.64|3.0   0 100|   0     0 |   0     0 | 10   30    3   49    0
Sep 16 10:44:00 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:00| 65  11  25   0   0|1461M 1311M  163M 4811M|5451B 1622B|   0   244k|   0  20.0 |2540  4152 |2.93 1.38 0.64|3.0   0 147|   0     0 |   0     0 | 10   28    3   49    0
Sep 16 10:44:01 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:01| 66   8  25   0   0|1410M 1362M  163M 4812M|6730B 1706B|   0   384k|   0  34.0 |4485  8402 |2.93 1.38 0.64|3.0   0 132|   0     0 |   0     0 | 10   28    3   51    0
Sep 16 10:44:02 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:02| 67   6  26   0   0|1437M 1335M  163M 4812M|7079B 1458B|   0   324k|   0  25.0 |4557  9509 |2.93 1.38 0.64|3.0   0  43|   0     0 |   0     0 | 10   28    3   52    0
Sep 16 10:44:03 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:03| 65   8  25   0   0|1471M 1301M  163M 4812M|8284B 1602B|   0   233k|   0  18.8 |2844  5137 |2.94 1.41 0.65|3.0   0  41|   0     0 |   0     0 | 10   29    3   52    0
Sep 16 10:44:04 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:04| 63  11  27   0   0|1433M 1338M  163M 4812M|7755B 1730B|   0  2112k|   0  40.4 |3782  6647 |2.94 1.41 0.65|3.0   0 138|   0     0 |   0     0 | 10   28    3   52    0
Sep 16 10:44:05 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:05| 60  14  27   0   0|1337M 1435M  163M 4812M|6317B 1624B|   0   401k|   0  31.1 |4511    11k|2.94 1.41 0.65|3.0   0 217|   0     0 |   0     0 | 10   28    3   55    0
Sep 16 10:44:06 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:06| 64  12  23   0   0|1416M 1355M  163M 4812M|5936B 1620B|   0   212k|   0  15.0 |2299  5200 |2.94 1.41 0.65|3.0   0 238|   0     0 |   0     0 | 10   29    3   56    0
Sep 16 10:44:07 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:07| 32  13  55   0   0|1338M 1433M  163M 4813M|6740B 1614B|   0   406k|   0  26.9 |3202  7264 |2.94 1.41 0.65|1.0   0 376|   0     0 |   0     0 | 10   28    3   56    0
Sep 16 10:44:08 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:08| 24   4  73   0   0|1364M 1406M  163M 4813M|7542B 1622B|   0   140k|   0  10.0 |1641  4317 |2.86 1.42 0.66|1.0   0   0|   0     0 |   0     0 | 10   29    3   56    0
Sep 16 10:44:09 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:09| 14  17  69   0   0|1305M 1465M  163M 4813M|9194B 1461B|   0   285k|   0  24.1 |2962  4862 |2.86 1.42 0.66|1.0   0 413|   0     0 |   0     0 | 10   28    3   57    0
Sep 16 10:44:10 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:10| 40   9  49   0   0|1440M 1330M  163M 4813M|7805B 1617B|   0   559k|   0  25.0 |1956  2881 |2.86 1.42 0.66|3.0   0 183|   0     0 |   0     0 | 10   28    3   59    0
Sep 16 10:44:11 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:11| 38   8  47   8   0|1500M 1265M  164M 4817M|7543B 1618B|   0    14M|   0  1167 |6817    14k|2.86 1.42 0.66|2.0 1.0  65|   0     0 |   0     0 | 10   32    3   59    0
Sep 16 10:44:12 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:12| 37   7  41  14   0|1468M 1292M  164M 4821M|6369B 1716B|   0    37M|   0  3211 |  11k   26k|2.86 1.42 0.66|3.0   0  79|   0     0 |   0     0 | 10   32    3   59    0
Sep 16 10:44:13 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:13| 44   5  46   4   0|1379M 1382M  165M 4821M|8465B 1661B|   0    12M|   0  1019 |4458  9392 |2.80 1.43 0.66|2.0   0  13|   0     0 |   0     0 | 10   28    3   58    0
Sep 16 10:44:14 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:14| 48   6  41   4   0|1478M 1282M  165M 4821M|7635B 1696B|   0    12M|   0  1258 |6540    16k|2.80 1.43 0.66|1.0 1.0  37|   0     0 |   0     0 | 10   30    3   58    0
Sep 16 10:44:15 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:15| 41   8  45   8   0|1349M 1411M  165M 4821M|6611B 1621B|   0    13M|   0  1793 |9844    21k|2.80 1.43 0.66|2.0   0  53|   0     0 |   0     0 | 10   28    3   58    0
Sep 16 10:44:16 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:16| 23   4  72   0   0|1419M 1340M  165M 4821M|5793B 1455B|   0   966k|   0  58.9 |1193  1668 |2.80 1.43 0.66|1.0   0  48|   0     0 |   0     0 | 10   28    3   57    0
Sep 16 10:44:17 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:17| 24   3  72   1   0|1376M 1383M  165M 4821M|5705B 1618B|   0  6616k|   0   312 |1294  2463 |2.80 1.43 0.66|1.0   0 1.0|   0     0 |   0     0 | 10   28    3   57    0
Sep 16 10:44:18 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:18| 24   2  74   0   0|1422M 1337M  165M 4821M|5722B 1620B|   0    36k|   0  5.00 | 840  1125 |2.65 1.42 0.67|1.0   0 2.0|   0     0 |   0     0 | 10   28    3   56    0
Sep 16 10:44:19 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:19| 23   3  73   0   0|1398M 1361M  165M 4821M|6859B 1620B|   0  3432k|   0   167 |1150  1457 |2.65 1.42 0.67|1.0   0 3.0|   0     0 |   0     0 | 10   32    3   56    0
Sep 16 10:44:20 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:20| 24   3  74   0   0|1346M 1413M  165M 4821M|6324B 1664B|   0     0 |   0     0 | 945  1106 |2.65 1.42 0.67|1.0   0 1.0|   0     0 |   0     0 | 10   32    3   53    0
Sep 16 10:44:21 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:21| 23   2  74   0   0|1414M 1345M  165M 4821M|4811B 1618B|   0     0 |   0     0 | 967  1178 |2.65 1.42 0.67|1.0   0 2.0|   0     0 |   0     0 | 10   32    3   53    0
Sep 16 10:44:22 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:22| 23   3  74   0   0|1361M 1398M  165M 4821M|8811B 1460B|   0  4101B|   0  1.00 | 993  1118 |2.65 1.42 0.67|1.0   0 1.0|   0     0 |   0     0 | 10   32    3   53    0
Sep 16 10:44:23 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:23| 24   2  74   0   0|1423M 1335M  165M 4821M|8742B 1618B|   0     0 |   0     0 | 969  1176 |2.52 1.42 0.67|1.0   0 4.0|   0     0 |   0     0 | 10   32    3   53    0
Sep 16 10:44:24 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:44:24| 26   2  73   0   0|1378M 1381M  165M 4822M|5317B 1696B|   0   557k|   0  32.0 |1077  1477 |2.52 1.42 0.67|1.0   0 1.0|   0     0 |   0     0 | 10   32    3   53    0
