Feb 16 18:11:12 np0000000000 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 16 18:11:12 np0000000000 dstat.sh[59187]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 16 18:11:12 np0000000000 dstat.sh[59187]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 16 18:11:26 np0000000000 dstat.sh[59187]: 16-02 18:11:26| 32  21  47   0   0|1241M 1273M  167M 5067M|4515B 1622B|   0   440k|   0  14.0 |5566  4057 |1.68 1.00 0.53|2.0   0 368|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:27 np0000000000 dstat.sh[59187]: 16-02 18:11:27| 20  24  55   0   0|1198M 1316M  167M 5067M|4320B 1620B|   0    92k|   0  14.0 |5804  4424 |1.68 1.00 0.53|3.0   0 418|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:28 np0000000000 dstat.sh[59187]: 16-02 18:11:28| 24  16  58   0   0|1166M 1341M  167M 5075M|4812B 1618B|7696k 4092B|77.9  1.00 |5675  6887 |1.68 1.00 0.53|3.0   0 182|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:29 np0000000000 dstat.sh[59187]: 16-02 18:11:29| 46  11  42   0   0|1218M 1288M  167M 5075M|4427B 1612B|  20k   20k|3.98  0.99 |3543  1939 |1.68 1.00 0.53|3.0   0  83|   0     0 |           | 11    5    0   19    0
Feb 16 18:11:30 np0000000000 dstat.sh[59187]: 16-02 18:11:30| 45   7  48   0   0|1242M 1263M  167M 5076M|4441B 1459B| 492k   14M|23.0   115 |2848  1435 |1.68 1.00 0.53|3.0   0   0|   0     0 |           | 11    5    0   19    0
Feb 16 18:11:31 np0000000000 dstat.sh[59187]: 16-02 18:11:31| 32  12  55   0   0|1270M 1233M  167M 5079M|4998B 1626B|   0  3493k|   0   119 |4309  4410 |1.70 1.02 0.54|2.0   0 118|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:32 np0000000000 dstat.sh[59187]: 16-02 18:11:32| 13   4  82   0   0|1319M 1184M  167M 5079M|5344B 1621B|   0   396k|   0  25.0 |1773  1698 |1.70 1.02 0.54|2.0   0  22|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:33 np0000000000 dstat.sh[59187]: 16-02 18:11:33| 23   3  73   0   0|1356M 1147M  167M 5079M|5658B 1620B|   0  2272k|   0  43.0 |1843  1288 |1.70 1.02 0.54|3.0   0 1.0|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:34 np0000000000 dstat.sh[59187]: 16-02 18:11:34| 27   5  64   1   0|1365M 1137M  167M 5079M|4917B 1619B|   0  1551k|   0   189 |4590  9389 |1.70 1.02 0.54|5.0   0  37|   0     0 |           | 11   10    0   20    0
Feb 16 18:11:35 np0000000000 dstat.sh[59187]: 16-02 18:11:35| 20   7  72   0   0|1390M 1112M  167M 5079M|5762B 1621B| 488k 2597k|24.0   147 |2711  2358 |1.70 1.02 0.54|2.0   0  42|   0     0 |           | 11    4    0   22    0
Feb 16 18:11:36 np0000000000 dstat.sh[59187]: 16-02 18:11:36| 19   3  77   0   0|1397M 1104M  167M 5079M|7820B 4004B|4097B   29M|1.00   263 |2120  2217 |1.56 1.00 0.54|2.0   0 1.0|   0     0 |           | 11   11    0   22    0
Feb 16 18:11:37 np0000000000 dstat.sh[59187]: 16-02 18:11:37| 19   3  76   1   0|1385M 1116M  167M 5080M|  10k 7198B| 268k 1160k|66.0  33.0 |2690  2710 |1.56 1.00 0.54|1.0   0  14|   0     0 |           | 11   28    0   16    0
Feb 16 18:11:38 np0000000000 dstat.sh[59187]: 16-02 18:11:38| 21   5  73   0   0|1385M 1116M  167M 5080M|5356B 1620B|   0     0 |   0     0 |2078  1428 |1.56 1.00 0.54|2.0   0  31|   0     0 |           | 11   28    0   16    0
Feb 16 18:11:39 np0000000000 dstat.sh[59187]: 16-02 18:11:39| 15   4  81   0   0|1358M 1144M  167M 5080M|  11k 8487B|   0     0 |   0     0 |2236  1924 |1.56 1.00 0.54|1.0   0  26|   0     0 |           | 11   28    0   17    0
Feb 16 18:11:40 np0000000000 dstat.sh[59187]: 16-02 18:11:40| 34  14  51   0   0|1387M 1114M  167M 5080M|5087B 1616B|   0   886k|   0  8.98 |3585  2246 |1.56 1.00 0.54|3.0   0 130|   0     0 |           | 11   28    0   17    0
Feb 16 18:11:41 np0000000000 dstat.sh[59187]: 16-02 18:11:41| 30   4  64   0   0|1410M 1091M  167M 5080M|  16k   14k|   0  7991k|   0  40.0 |4081  4682 |1.60 1.02 0.55|2.0   0   0|   0     0 |           | 11   30    0   17    0
Feb 16 18:11:42 np0000000000 dstat.sh[59187]: 16-02 18:11:42| 41  25  34   0   0|1405M 1096M  167M 5080M|  12k 7119B|   0   300k|   0  35.0 |6729  7663 |1.60 1.02 0.55|6.0   0 459|   0     0 |           | 11   28    0   18    0
Feb 16 18:11:43 np0000000000 dstat.sh[59187]: 16-02 18:11:43| 81  19   1   0   0|1610M  891M  167M 5080M|7300B 5069B|   0  8199B|   0  2.00 |5142  3112 |1.60 1.02 0.55|6.0   0 120|   0     0 |           | 11   31    0   18    0
Feb 16 18:11:44 np0000000000 dstat.sh[59187]: 16-02 18:11:44| 75  10  15   0   0|1708M  793M  167M 5080M|  34k   30k|   0   124k|   0  6.00 |8047  9411 |1.60 1.02 0.55|5.0   0   0|   0     0 |           | 11   34    0   18    0
Feb 16 18:11:45 np0000000000 dstat.sh[59187]: 16-02 18:11:45| 58  14  27   0   0|1479M 1022M  168M 5080M|  18k   14k|   0   637k|   0  65.7 |7641  9939 |1.60 1.02 0.55|2.0   0 274|   0     0 |           | 11   28    0   23    0
Feb 16 18:11:46 np0000000000 dstat.sh[59187]: 16-02 18:11:46| 20   7  72   0   0|1473M 1028M  168M 5080M|4867B 1622B|   0    24M|   0   543 |2662  1813 |1.55 1.02 0.55|2.0   0  35|   0     0 |           | 11   28    0   23    0
Feb 16 18:11:47 np0000000000 dstat.sh[59187]: 16-02 18:11:47| 14   2  82   0   0|1462M 1039M  168M 5080M|  11k 8319B|   0   890k|   0  25.1 |2536  3022 |1.55 1.02 0.55|  0   0   0|   0     0 |           | 11   29    0   23    0
Feb 16 18:11:48 np0000000000 dstat.sh[59187]: 16-02 18:11:48| 19   7  73   0   0|1414M 1087M  168M 5080M|5828B 1880B|   0  1042k|   0   110 |2764  2329 |1.55 1.02 0.55|1.0   0  68|   0     0 |           | 11   28    0   24    0
Feb 16 18:11:49 np0000000000 dstat.sh[59187]: 16-02 18:11:49| 16   2  81   0   0|1428M 1072M  168M 5080M|9714B 7397B|   0  2112k|   0  90.0 |2265  2279 |1.55 1.02 0.55|  0   0   0|   0     0 |           | 11   29    0   23    0
Feb 16 18:11:50 np0000000000 dstat.sh[59187]: 16-02 18:11:50| 12  15  72   0   0|1386M 1115M  168M 5080M|6730B 2907B|   0   253k|   0  18.1 |5584  5306 |1.55 1.02 0.55|1.0   0 489|   0     0 |           | 11   28    0   24    0
Feb 16 18:11:51 np0000000000 dstat.sh[59187]: 16-02 18:11:51| 57  32  11   0   0|1478M 1022M  168M 5080M|5080B 1457B|   0    76M|   0   380 |6291  5178 |1.83 1.08 0.57|5.0   0 551|   0     0 |           | 11   28    0   24    0
Feb 16 18:11:52 np0000000000 dstat.sh[59187]: 16-02 18:11:52| 76  10  12   0   0|1629M  871M  168M 5081M|  23k   19k|   0  1319k|   0  9.99 |5371  4318 |1.83 1.08 0.57|6.0   0   0|   0     0 |           | 11   33    0   24    0
Feb 16 18:11:53 np0000000000 dstat.sh[59187]: 16-02 18:11:53| 69  10  19   1   0|1621M  879M  168M 5081M|  38k   32k|   0  1077k|   0   102 |  11k   16k|1.83 1.08 0.57|7.0   0  75|   0     0 |           | 11   28    0   25    0
Feb 16 18:11:54 np0000000000 dstat.sh[59187]: 16-02 18:11:54| 76  23   0   0   0|1580M  920M  168M 5081M|4978B 1683B|   0  1354k|   0   127 |5302  3986 |1.83 1.08 0.57|8.0   0 236|   0     0 |           | 11   28    0   25    0
Feb 16 18:11:55 np0000000000 dstat.sh[59187]: 16-02 18:11:55| 83  10   7   0   0|1719M  782M  168M 5081M|  26k   22k|   0   184k|   0  10.0 |6490  6076 |1.83 1.08 0.57|4.0   0   0|   0     0 |           | 11   34    0   25    0
Feb 16 18:11:56 np0000000000 dstat.sh[59187]: 16-02 18:11:56| 72  13  14   0   0|1636M  863M  168M 5081M|  44k   39k|   0  1004k|   0  69.0 |  11k   17k|2.16 1.17 0.60|2.0   0 159|   0     0 |           | 11   30    0   29    0
Feb 16 18:11:57 np0000000000 dstat.sh[59187]: 16-02 18:11:57| 50  14  36   0   0|1525M  974M  168M 5081M|8955B 4578B|   0   332k|   0  14.0 |4373  3716 |2.16 1.17 0.60|2.0   0 139|   0     0 |           | 11   28    0   30    0
Feb 16 18:11:58 np0000000000 dstat.sh[59187]: 16-02 18:11:58| 29   3  66   0   0|1530M  970M  168M 5081M|  17k   14k|   0   276k|   0  16.0 |3946  4441 |2.16 1.17 0.60|1.0   0   0|   0     0 |           | 11   30    0   30    0
Feb 16 18:11:59 np0000000000 dstat.sh[59187]: 16-02 18:11:59| 47  22  30   0   0|1487M 1013M  168M 5081M|  11k 7197B|   0   192k|   0  20.0 |5853  5738 |2.16 1.17 0.60|3.0   0 379|   0     0 |           | 11   28    0   32    0
Feb 16 18:12:00 np0000000000 dstat.sh[59187]: 16-02 18:12:00| 53   5  41   0   0|1547M  952M  168M 5082M|  17k   14k|   0   164k|   0  7.99 |3796  2712 |2.16 1.17 0.60|3.0   0   0|   0     0 |           | 11   31    0   32    0
Feb 16 18:12:01 np0000000000 dstat.sh[59187]: 16-02 18:12:01| 49  15  35   0   0|1390M 1109M  168M 5082M|  21k   17k|   0   453k|   0  51.1 |7807    11k|2.15 1.18 0.61|6.0   0 258|   0     0 |           | 11   28    0   33    0
Feb 16 18:12:02 np0000000000 dstat.sh[59187]: 16-02 18:12:02| 76  12  12   0   0|1577M  922M  168M 5082M|  11k 9441B|   0   207k|   0  7.97 |4564  1885 |2.15 1.18 0.61|  0   0   0|   0     0 |           | 11   32    0   32    0
Feb 16 18:12:03 np0000000000 dstat.sh[59187]: 16-02 18:12:03| 55   7  37   0   0|1565M  934M  168M 5082M|  37k   32k|   0   329k|   0  32.1 |9885    14k|2.15 1.18 0.61|6.0   0  46|   0     0 |           | 11   30    0   33    1
Feb 16 18:12:04 np0000000000 dstat.sh[59187]: 16-02 18:12:04| 66  17  17   0   0|1500M  999M  168M 5082M|7110B 3402B|   0   364k|   0  27.0 |5102  4063 |2.15 1.18 0.61|5.0   0 279|   0     0 |           | 11   28    0   35    0
Feb 16 18:12:05 np0000000000 dstat.sh[59187]: 16-02 18:12:05| 46   5  48   0   0|1548M  951M  168M 5082M|  23k   19k|   0   220k|   0  12.0 |4920  5404 |2.15 1.18 0.61|1.0   0   0|   0     0 |           | 11   31    0   35    0
Feb 16 18:12:06 np0000000000 dstat.sh[59187]: 16-02 18:12:06| 55  17  27   0   0|1446M 1053M  168M 5082M|  18k   12k|   0  1253k|   0  92.7 |6868  8609 |2.30 1.23 0.63|5.0   0 298|   0     0 |           | 11   28    0   33    0
Feb 16 18:12:07 np0000000000 dstat.sh[59187]: 16-02 18:12:07| 54   5  41   0   0|1536M  963M  168M 5082M|  18k   13k|   0   369k|   0  2.01 |3994  2781 |2.30 1.23 0.63|3.0   0   0|   0     0 |           | 11   31    0   33    0
Feb 16 18:12:08 np0000000000 dstat.sh[59187]: 16-02 18:12:08| 47  15  37   0   0|1468M 1031M  168M 5082M|  22k   17k|   0   164k|   0  16.0 |7430  9582 |2.30 1.23 0.63|4.0   0 286|   0     0 |           | 11   28    0   36    0
Feb 16 18:12:09 np0000000000 dstat.sh[59187]: 16-02 18:12:09| 57   9  34   0   0|1530M  968M  168M 5083M|  10k 7898B|   0   192k|   0  10.0 |3603  1608 |2.30 1.23 0.63|2.0   0   0|   0     0 |           | 11   31    0   36    0
Feb 16 18:12:10 np0000000000 dstat.sh[59187]: 16-02 18:12:10| 47   5  47   1   0|1512M  986M  168M 5083M|  26k   20k|   0  2694k|   0   128 |6805  8949 |2.30 1.23 0.63|3.0   0 6.0|   0     0 |           | 11   28    0   35    0
Feb 16 18:12:11 np0000000000 dstat.sh[59187]: 16-02 18:12:11| 61  14  23   0   0|1492M 1006M  168M 5083M|5101B 1620B|   0  3056k|   0   186 |4593  3213 |2.35 1.26 0.64|3.0   0 106|   0     0 |           | 11   28    0   35    0
Feb 16 18:12:12 np0000000000 dstat.sh[59187]: 16-02 18:12:12| 41   4  53   0   0|1512M  986M  168M 5083M|  26k   23k|   0    84k|   0  6.00 |6101  7275 |2.35 1.26 0.64|4.0   0   0|   0     0 |           | 11   31    0   35    0
Feb 16 18:12:13 np0000000000 dstat.sh[59187]: 16-02 18:12:13| 61  28  11   0   0|1480M 1017M  168M 5083M|9896B 5417B|   0   869k|   0  77.0 |6717  7572 |2.35 1.26 0.64|7.0   0 606|   0     0 |           | 11   28    0   37    0
Feb 16 18:12:14 np0000000000 dstat.sh[59187]: 16-02 18:12:14| 83  18   0   0   0|1656M  842M  168M 5083M|9024B 5303B|   0     0 |   0     0 |5683  4872 |2.35 1.26 0.64|7.0   0 391|   0     0 |           | 11   29    0   37    0
Feb 16 18:12:15 np0000000000 dstat.sh[59187]: 16-02 18:12:15| 74  20   5   0   0|1716M  782M  168M 5083M|  49k   45k|   0   160k|   0  8.99 |8432    10k|2.35 1.26 0.64|6.0   0 539|   0     0 |           | 11   32    1   38    0
Feb 16 18:12:16 np0000000000 dstat.sh[59187]: 16-02 18:12:16| 78  20   3   0   0|1524M  974M  168M 5083M|  20k   16k|   0   589k|   0  60.1 |7359  7987 |2.65 1.34 0.67|5.0   0 290|   0     0 |           | 11   28    0   38    0
Feb 16 18:12:17 np0000000000 dstat.sh[59187]: 16-02 18:12:17| 80  12   8   0   0|1650M  847M  168M 5083M|  19k   16k|   0  2223k|   0  57.0 |5383  3595 |2.65 1.34 0.67|5.0   0  28|   0     0 |           | 11   32    0   38    0
Feb 16 18:12:18 np0000000000 dstat.sh[59187]: 16-02 18:12:18| 67   9  21   0   0|1535M  962M  168M 5084M|  43k   37k|   0   152k|   0  7.99 |  10k   16k|2.65 1.34 0.67|5.0   0 125|   0     0 |           | 11   30    0   39    0
Feb 16 18:12:19 np0000000000 dstat.sh[59187]: 16-02 18:12:19| 22  27  51   0   0|1432M 1065M  168M 5084M|  10k 6896B|   0    28k|   0  7.01 |7540  7579 |2.65 1.34 0.67|2.0   0 796|   0     0 |           | 11   28    0   41    0
Feb 16 18:12:20 np0000000000 dstat.sh[59187]: 16-02 18:12:20| 64  31   5   0   0|1505M  993M  168M 5084M|4715B 1653B|   0    36k|   0  8.95 |5691  4756 |2.65 1.34 0.67|5.0   0 684|   0     0 |           | 11   28    0   41    0
Feb 16 18:12:21 np0000000000 dstat.sh[59187]: 16-02 18:12:21| 62   7  31   0   0|1589M  908M  168M 5084M|  24k   23k|   0     0 |   0     0 |5034  5550 |2.75 1.38 0.69|2.0   0   0|   0     0 |           | 11   32    0   41    0
Feb 16 18:12:22 np0000000000 dstat.sh[59187]: 16-02 18:12:22| 65  17  18   1   0|1469M 1028M  168M 5084M|  19k   13k|   0  2404k|   0  90.2 |7034  9091 |2.75 1.38 0.69|5.0   0 255|   0     0 |           | 11   28    0   45    0
Feb 16 18:12:23 np0000000000 dstat.sh[59187]: 16-02 18:12:23| 73   9  16   0   0|1558M  938M  168M 5084M|  15k   12k|   0   148k|   0  7.99 |4666  2805 |2.75 1.38 0.69|4.0   0  14|   0     0 |           | 11   31    0   45    0
Feb 16 18:12:24 np0000000000 dstat.sh[59187]: 16-02 18:12:24| 53   7  40   0   0|1564M  932M  168M 5084M|  43k   38k|   0  2623k|   0   117 |  11k   18k|2.75 1.38 0.69|5.0   0 2.0|   0     0 |           | 11   32    0   45    0
Feb 16 18:12:25 np0000000000 dstat.sh[59187]: 16-02 18:12:25| 60  11  28   0   0|1498M  998M  168M 5084M|  32k   26k|   0   508k|   0  54.0 |  11k   16k|2.75 1.38 0.69|4.0   0  90|   0     0 |           | 11   28    0   45    0
Feb 16 18:12:26 np0000000000 dstat.sh[59187]: 16-02 18:12:26| 75  13  12   0   0|1567M  929M  168M 5084M|  11k   11k|   0   140k|   0  8.00 |4921  2997 |2.77 1.41 0.70|2.0   0  30|   0     0 |           | 11   31    0   45    0
Feb 16 18:12:27 np0000000000 dstat.sh[59187]: 16-02 18:12:27| 56   6  37   0   0|1575M  921M  168M 5085M|  41k   35k|   0   144k|   0  9.98 |9669    16k|2.77 1.41 0.70|4.0   0   0|   0     0 |           | 11   32    0   45    0
Feb 16 18:12:28 np0000000000 dstat.sh[59187]: 16-02 18:12:28| 56  12  31   0   0|1487M 1009M  168M 5085M|  39k   32k|   0   124k|   0  7.01 |  11k   17k|2.77 1.41 0.70|4.0   0 167|   0     0 |           | 11   29    0   48    0
Feb 16 18:12:29 np0000000000 dstat.sh[59187]: 16-02 18:12:29| 77  13   9   0   0|1570M  926M  168M 5085M|  11k 8686B|   0   124k|   0  8.01 |4869  2812 |2.77 1.41 0.70|3.0   0  93|   0     0 |           | 11   30    0   49    0
Feb 16 18:12:30 np0000000000 dstat.sh[59187]: 16-02 18:12:30| 55   6  37   0   0|1581M  914M  168M 5085M|  35k   31k|   0   123k|   0  8.95 |7602    12k|2.77 1.41 0.70|3.0   0   0|   0     0 |           | 11   31    0   50    0
Feb 16 18:12:31 np0000000000 dstat.sh[59187]: 16-02 18:12:31| 69  14  15   0   0|1520M  976M  168M 5085M|  22k   18k|   0   334k|   0  32.2 |7726    10k|2.87 1.45 0.72|4.0   0 129|   0     0 |           | 11   28    0   51    0
Feb 16 18:12:32 np0000000000 dstat.sh[59187]: 16-02 18:12:32| 69  10  21   0   0|1559M  936M  168M 5085M|  17k   14k|   0   344k|   0  35.0 |4664  3714 |2.87 1.45 0.72|4.0   0   0|   0     0 |           | 11   31    0   52    0
Feb 16 18:12:33 np0000000000 dstat.sh[59187]: 16-02 18:12:33| 64  14  22   0   0|1599M  896M  168M 5085M|  24k   20k|   0   251k|   0  20.0 |6071  9195 |2.87 1.45 0.72|3.0   0 121|   0     0 |           | 11   30    0   53    0
Feb 16 18:12:34 np0000000000 dstat.sh[59187]: 16-02 18:12:34| 67   9  23   0   0|1552M  943M  168M 5086M|  35k   29k|   0   152k|   0  10.0 |6108    21k|2.87 1.45 0.72|4.0   0  53|   0     0 |           | 11   30    0   55    0
Feb 16 18:12:35 np0000000000 dstat.sh[59187]: 16-02 18:12:35| 69  19  12   0   0|1500M  995M  168M 5086M|  17k   13k|   0   156k|   0  9.00 |6132  7117 |2.87 1.45 0.72|4.0   0 210|   0     0 |           | 11   28    0   57    0
Feb 16 18:12:36 np0000000000 dstat.sh[59187]: 16-02 18:12:36| 66  10  23   0   0|1581M  914M  168M 5086M|  24k   19k|   0   240k|   0  21.0 |5103  5639 |2.96 1.49 0.74|4.0   0 1.0|   0     0 |           | 11   34    0   57    0
Feb 16 18:12:37 np0000000000 dstat.sh[59187]: 16-02 18:12:37| 66  11  22   0   0|1566M  928M  168M 5086M|  24k   20k|   0   304k|   0  31.0 |6658  8217 |2.96 1.49 0.74|4.0   0  69|   0     0 |           | 11   33    0   60    0
Feb 16 18:12:38 np0000000000 dstat.sh[59187]: 16-02 18:12:38| 59  12  29   0   0|1537M  958M  168M 5086M|  17k   13k|   0   513k|   0  38.1 |4964  4714 |2.96 1.49 0.74|4.0 1.0 138|   0     0 |           | 11   33    0   61    1
Feb 16 18:12:39 np0000000000 dstat.sh[59187]: 16-02 18:12:39| 50  13  36   0   0|1510M  985M  168M 5086M|  12k 8816B|   0   312k|   0  29.0 |5067  4606 |2.96 1.49 0.74|4.0 1.0 122|   0     0 |           | 11   33    0   60    0
Feb 16 18:12:40 np0000000000 dstat.sh[59187]: 16-02 18:12:40| 48  11  39   0   0|1505M  989M  168M 5086M|  18k   16k|   0   171k|   0  11.9 |5249  5618 |2.96 1.49 0.74|2.0   0  95|   0     0 |           | 11   34    0   61    0
Feb 16 18:12:41 np0000000000 dstat.sh[59187]: 16-02 18:12:41| 51  10  39   0   0|1504M  991M  168M 5086M|  22k   17k|   0  3467k|   0   149 |4968  6588 |2.89 1.50 0.74|3.0   0  76|   0     0 |           | 11   33    0   63    0
Feb 16 18:12:42 np0000000000 dstat.sh[59187]: 16-02 18:12:42| 52  12  36   0   0|1501M  993M  168M 5086M|  13k   10k|   0    88k|   0  10.0 |4656  4354 |2.89 1.50 0.74|3.0   0  72|   0     0 |           | 11   33    0   64    0
Feb 16 18:12:43 np0000000000 dstat.sh[59187]: 16-02 18:12:43| 29   5  64   0   0|1504M  991M  168M 5086M|  21k   17k|   0   299k|   0  19.9 |5737  7214 |2.89 1.50 0.74|3.0   0  25|   0     0 |           | 11   33    0   63    0
Feb 16 18:12:44 np0000000000 dstat.sh[59187]: 16-02 18:12:44| 33  13  51   0   0|1444M 1050M  168M 5086M|7035B 4092B|   0   324k|   0  26.0 |4523  3966 |2.89 1.50 0.74|5.0   0 135|   0     0 |           | 11   32    0   64    0
Feb 16 18:12:45 np0000000000 dstat.sh[59187]: 16-02 18:12:45| 35   5  60   0   0|1470M 1024M  168M 5086M|  15k   12k|   0   161k|   0  9.04 |2947  2552 |2.89 1.50 0.74|2.0   0   0|   0     0 |           | 11   34    0   64    0
Feb 16 18:12:46 np0000000000 dstat.sh[59187]: 16-02 18:12:46| 35   8  55   0   0|1400M 1094M  168M 5086M|  12k 8670B|   0   203k|   0  15.9 |4815  5221 |2.81 1.51 0.75|4.0   0  79|   0     0 |           | 11   32    0   66    0
Feb 16 18:12:47 np0000000000 dstat.sh[59187]: 16-02 18:12:47| 37   9  53   0   0|1475M 1019M  168M 5086M|9603B 6481B|   0   281k|   0  21.1 |3235  2425 |2.81 1.51 0.75|3.0   0  59|   0     0 |           | 11   33    0   60    0
Feb 16 18:12:48 np0000000000 dstat.sh[59187]: 16-02 18:12:48| 29   9  61   0   0|1425M 1069M  168M 5087M|  14k   11k|   0   540k|   0  64.0 |4552  5068 |2.81 1.51 0.75|2.0   0  60|   0     0 |           | 11   33    0   61    0
Feb 16 18:12:49 np0000000000 dstat.sh[59187]: 16-02 18:12:49| 38   7  54   0   0|1393M 1101M  168M 5087M|8724B 5428B|   0   248k|   0  19.0 |3232  2572 |2.81 1.51 0.75|1.0   0 5.0|   0     0 |           | 11   33    0   62    0
Feb 16 18:12:50 np0000000000 dstat.sh[59187]: 16-02 18:12:50| 33   4  63   0   0|1420M 1074M  168M 5087M|  19k   14k|   0   152k|   0  10.0 |3756  4304 |2.81 1.51 0.75|2.0   0   0|   0     0 |           | 11   34    0   62    0
Feb 16 18:12:51 np0000000000 dstat.sh[59187]: 16-02 18:12:51| 35   8  56   0   0|1408M 1085M  168M 5087M|  13k 8659B|   0   272k|   0  24.0 |5074  5513 |2.75 1.52 0.76|2.0   0  48|   0     0 |           | 11   32    0   62    0
Feb 16 18:12:52 np0000000000 dstat.sh[59187]: 16-02 18:12:52| 36   3  60   0   0|1469M 1025M  168M 5087M|  16k   11k|   0   179k|   0  12.0 |3101  2393 |2.75 1.52 0.76|2.0   0   0|   0     0 |           | 11   34    0   62    0
