May 25 16:01:08 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 25 16:01:08 ubuntu dstat.sh[65944]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 25 16:01:08 ubuntu dstat.sh[65944]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 25 16:01:26 ubuntu dstat.sh[65944]: 25-05 16:01:26| 45  10  43   0   0|1194M 1004M  171M 5364M|4446B 1616B|   0    12M|   0  49.9 |3832  2518 |1.66 1.13 0.60|2.0   0 125|   0     0 |           | 11    5    0   20    0
May 25 16:01:27 ubuntu dstat.sh[65944]: 25-05 16:01:27| 47   4  49   0   0|1240M  957M  171M 5364M|4347B 1461B|   0   401k|   0  31.1 |2745  1142 |1.66 1.13 0.60|3.0   0   0|   0     0 |           | 11    5    0   20    0
May 25 16:01:28 ubuntu dstat.sh[65944]: 25-05 16:01:28| 43   9  48   1   0|1256M  939M  171M 5367M|4503B 1621B|   0  2706k|   0   223 |4636  5307 |1.66 1.13 0.60|1.0   0  35|   0     0 |           | 11    4    0   20    0
May 25 16:01:29 ubuntu dstat.sh[65944]: 25-05 16:01:29|  9   7  83   0   0|1262M  933M  171M 5367M|4268B 1455B|   0   746k|   0  62.8 |2632  2399 |1.53 1.11 0.60|1.0   0 107|   0     0 |           | 11    4    0   20    0
May 25 16:01:30 ubuntu dstat.sh[65944]: 25-05 16:01:30| 21   4  73   0   0|1319M  876M  171M 5367M|4618B 1619B|   0    36k|   0  1.00 |1799  1349 |1.53 1.11 0.60|2.0   0   0|   0     0 |           | 11    4    0   18    0
May 25 16:01:31 ubuntu dstat.sh[65944]: 25-05 16:01:31| 24   2  73   0   0|1336M  859M  171M 5367M|4535B 1458B|   0    19M|   0   318 |1924  1357 |1.53 1.11 0.60|2.0   0   0|   0     0 |           | 11    6    0   18    0
May 25 16:01:32 ubuntu dstat.sh[65944]: 25-05 16:01:32| 21   6  71   1   0|1275M  920M  171M 5367M|4812B 1621B|   0  2957k|   0   243 |4230  5197 |1.53 1.11 0.60|2.0   0  43|   0     0 |           | 11    4    0   20    0
May 25 16:01:33 ubuntu dstat.sh[65944]: 25-05 16:01:33| 23   2  74   0   0|1302M  893M  171M 5367M|4158B 1458B| 144k  372k|7.00  3.00 |1699  1118 |1.53 1.11 0.60|2.0   0   0|   0     0 |           | 11    4    0   20    0
May 25 16:01:34 ubuntu dstat.sh[65944]: 25-05 16:01:34| 18   2  78   0   0|1314M  881M  171M 5367M|9341B 6472B| 268k 1238k|65.9  17.0 |2566  2650 |1.49 1.11 0.60|2.0   0 2.0|   0     0 |           | 11   26    0   17    0
May 25 16:01:35 ubuntu dstat.sh[65944]: 25-05 16:01:35| 19   6  74   1   0|1332M  863M  171M 5367M|8264B 5358B|   0  2662k|   0   113 |2961  2706 |1.49 1.11 0.60|1.0   0  45|   0     0 |           | 11   28    0   17    0
May 25 16:01:36 ubuntu dstat.sh[65944]: 25-05 16:01:36| 17   4  79   0   0|1377M  817M  171M 5367M|7424B 4075B|   0    34M|   0   391 |2094  2196 |1.49 1.11 0.60|2.0   0   0|   0     0 |           | 11   29    0   17    0
May 25 16:01:37 ubuntu dstat.sh[65944]: 25-05 16:01:37| 21   9  69   0   0|1384M  810M  171M 5367M|8742B 5940B|   0  2277k|   0  17.0 |3432  2676 |1.49 1.11 0.60|2.0   0 156|   0     0 |           | 11   28    0   18    0
May 25 16:01:38 ubuntu dstat.sh[65944]: 25-05 16:01:38| 39   5  55   0   0|1451M  743M  171M 5367M|8106B 5929B|   0  4090B|   0  1.00 |2721  1480 |1.49 1.11 0.60|1.0   0   0|   0     0 |           | 11   30    0   18    0
May 25 16:01:39 ubuntu dstat.sh[65944]: 25-05 16:01:39| 34   4  61   0   0|1454M  739M  171M 5368M|  20k   16k|   0   811k|   0  18.0 |5844  7974 |1.45 1.10 0.61|2.0   0   0|   0     0 |           | 11   28    0   19    0
May 25 16:01:40 ubuntu dstat.sh[65944]: 25-05 16:01:40| 61  24  15   0   0|1487M  707M  171M 5368M|5166B 1686B|   0   172k|   0  20.0 |5504  4605 |1.45 1.10 0.61|6.0   0 578|   0     0 |           | 11   28    0   19    0
May 25 16:01:41 ubuntu dstat.sh[65944]: 25-05 16:01:41| 87  13   0   0   0|1683M  511M  171M 5368M|  12k 9460B|   0   232k|   0  1.00 |5229  3103 |1.45 1.10 0.61|6.0   0   0|   0     0 |           | 11   30    0   19    0
May 25 16:01:42 ubuntu dstat.sh[65944]: 25-05 16:01:42| 79  10  10   0   0|1753M  441M  171M 5368M|  38k   35k|   0   572k|   0  57.0 |9187    13k|1.45 1.10 0.61|4.0   0  50|   0     0 |           | 11   31    0   20    0
May 25 16:01:43 ubuntu dstat.sh[65944]: 25-05 16:01:43| 43  12  46   0   0|1534M  660M  171M 5368M|8611B 5106B|   0   504k|   0  40.0 |5128  5483 |1.45 1.10 0.61|1.0   0 260|   0     0 |           | 11   28    0   23    0
May 25 16:01:44 ubuntu dstat.sh[65944]: 25-05 16:01:44| 18   2  78   0   0|1519M  674M  171M 5368M|8429B 5571B|   0   192k|   0  9.98 |1985  1632 |1.33 1.09 0.60|1.0   0 1.0|   0     0 |           | 11   29    0   23    0
May 25 16:01:45 ubuntu dstat.sh[65944]: 25-05 16:01:45| 17   5  77   0   0|1439M  754M  171M 5368M|8085B 4715B|   0   228k|   0  21.0 |3308  3551 |1.33 1.09 0.60|1.0   0  68|   0     0 |           | 11   28    0   24    0
May 25 16:01:46 ubuntu dstat.sh[65944]: 25-05 16:01:46| 19   4  76   0   0|1458M  735M  171M 5368M|8617B 5433B|   0    44M|   0   250 |2454  2159 |1.33 1.09 0.60|1.0   0   0|   0     0 |           | 11   29    0   24    0
May 25 16:01:47 ubuntu dstat.sh[65944]: 25-05 16:01:47| 15   8  76   0   0|1420M  773M  171M 5368M|8277B 4640B|   0  1009k|   0  28.0 |3773  3685 |1.33 1.09 0.60|1.0   0  98|   0     0 |           | 11   28    0   25    0
May 25 16:01:48 ubuntu dstat.sh[65944]: 25-05 16:01:48|  8  22  68   0   0|1394M  800M  171M 5368M|4614B 1569B|   0   272k|   0  14.0 |5494  3653 |1.33 1.09 0.60|1.0   0 377|   0     0 |           | 11   28    0   25    0
May 25 16:01:49 ubuntu dstat.sh[65944]: 25-05 16:01:49| 50  32  18   0   0|1449M  744M  171M 5368M|4758B 1458B|   0   276k|   0  22.0 |5783  4497 |1.55 1.13 0.62|5.0   0 564|   0     0 |           | 11   28    0   25    0
May 25 16:01:50 ubuntu dstat.sh[65944]: 25-05 16:01:50| 81   9   9   0   0|1656M  538M  171M 5368M|  16k   13k|   0  1008k|   0  62.0 |5282  3529 |1.55 1.13 0.62|7.0   0   0|   0     0 |           | 11   32    0   25    0
May 25 16:01:51 ubuntu dstat.sh[65944]: 25-05 16:01:51| 70  10  20   0   0|1662M  531M  171M 5368M|  40k   36k|   0  2579k|   0   113 |  11k   16k|1.55 1.13 0.62|8.0   0  30|   0     0 |           | 11   31    0   25    0
May 25 16:01:52 ubuntu dstat.sh[65944]: 25-05 16:01:52| 78  21   0   0   0|1561M  632M  171M 5368M|6155B 3132B|   0    41M|   0   251 |6238  5551 |1.55 1.13 0.62|6.0   0 281|   0     0 |           | 11   28    0   26    0
May 25 16:01:53 ubuntu dstat.sh[65944]: 25-05 16:01:53| 87  12   1   0   0|1705M  488M  171M 5368M|  17k   16k|   0  3424k|   0   189 |5749  4856 |1.55 1.13 0.62|4.0   0   0|   0     0 |           | 11   32    0   26    0
May 25 16:01:54 ubuntu dstat.sh[65944]: 25-05 16:01:54| 81  10   8   0   0|1733M  459M  171M 5369M|  45k   41k|   0  1456k|   0  51.0 |8630    15k|1.98 1.23 0.66|4.0   0  51|   0     0 |           | 11   31    0   29    0
May 25 16:01:55 ubuntu dstat.sh[65944]: 25-05 16:01:55| 46  15  37   0   0|1520M  672M  172M 5369M|  12k 8418B|   0   252k|   0  26.0 |5849  6585 |1.98 1.23 0.66|2.0   0 248|   0     0 |           | 11   28    0   31    0
May 25 16:01:56 ubuntu dstat.sh[65944]: 25-05 16:01:56| 42   8  50   0   0|1518M  675M  172M 5369M|  12k 9249B|   0   201k|   0  17.0 |4207    14k|1.98 1.23 0.66|2.0   0  36|   0     0 |           | 11   30    0   32    0
May 25 16:01:57 ubuntu dstat.sh[65944]: 25-05 16:01:57| 34  10  55   1   0|1428M  764M  172M 5369M|  16k   12k|   0   336k|   0  23.0 |6215  7064 |1.98 1.23 0.66|2.0   0 164|   0     0 |           | 11   28    0   34    0
May 25 16:01:58 ubuntu dstat.sh[65944]: 25-05 16:01:58| 57  17  26   0   0|1505M  687M  172M 5369M|4490B 1616B|   0   207k|   0  11.0 |4591  2741 |1.98 1.23 0.66|3.0   0 213|   0     0 |           | 11   28    0   34    0
May 25 16:01:59 ubuntu dstat.sh[65944]: 25-05 16:01:59| 47   5  46   0   0|1548M  644M  172M 5369M|  23k   21k|   0   112k|   0  8.00 |5760  6275 |2.14 1.28 0.67|1.0   0   0|   0     0 |           | 11   31    0   32    0
May 25 16:02:00 ubuntu dstat.sh[65944]: 25-05 16:02:00| 63  19  19   0   0|1454M  739M  172M 5369M|  14k 9618B|   0   902k|   0  74.1 |7271  7954 |2.14 1.28 0.67|4.0   0 258|   0     0 |           | 11   28    0   33    0
May 25 16:02:01 ubuntu dstat.sh[65944]: 25-05 16:02:01| 72  10  17   0   0|1582M  610M  172M 5369M|  19k   15k|   0   152k|   0  12.0 |5213  3589 |2.14 1.28 0.67|4.0   0   0|   0     0 |           | 11   32    0   33    0
May 25 16:02:02 ubuntu dstat.sh[65944]: 25-05 16:02:02| 64  10  24   0   0|1584M  608M  172M 5369M|  31k   27k|   0  5016k|   0   351 |  10k   13k|2.14 1.28 0.67|6.0   0 116|   0     0 |           | 11   29    0   35    0
May 25 16:02:03 ubuntu dstat.sh[65944]: 25-05 16:02:03| 66  16  17   0   0|1517M  675M  172M 5369M|4306B 1656B|   0   232k|   0  11.0 |4249  2525 |2.14 1.28 0.67|3.0   0 208|   0     0 |           | 11   28    0   31    0
May 25 16:02:04 ubuntu dstat.sh[65944]: 25-05 16:02:04| 47   5  47   0   0|1550M  642M  172M 5369M|  23k   21k|   0   184k|   0  8.99 |5420  6027 |2.21 1.31 0.69|3.0   0 1.0|   0     0 |           | 11   31    0   31    0
May 25 16:02:05 ubuntu dstat.sh[65944]: 25-05 16:02:05| 55  19  26   0   0|1427M  764M  172M 5370M|  14k   10k|   0   958k|   0  72.2 |6578  7611 |2.21 1.31 0.69|3.0   0 300|   0     0 |           | 11   28    0   33    0
May 25 16:02:06 ubuntu dstat.sh[65944]: 25-05 16:02:06| 53   6  40   0   0|1512M  680M  172M 5370M|  17k   13k|   0     0 |   0     0 |4119  2876 |2.21 1.31 0.69|3.0   0   0|   0     0 |           | 11   31    0   33    0
May 25 16:02:07 ubuntu dstat.sh[65944]: 25-05 16:02:07| 50  14  36   0   0|1395M  796M  172M 5370M|  22k   17k|   0  2699k|   0   104 |8049  9807 |2.21 1.31 0.69|5.0   0 209|   0     0 |           | 11   28    0   33    0
May 25 16:02:08 ubuntu dstat.sh[65944]: 25-05 16:02:08| 63  13  24   0   0|1493M  698M  172M 5370M|6196B 1457B|   0   200k|   0  10.0 |3832  1851 |2.21 1.31 0.69|3.0   0  79|   0     0 |           | 11   28    0   33    0
May 25 16:02:09 ubuntu dstat.sh[65944]: 25-05 16:02:09| 42   5  51   0   0|1520M  671M  172M 5370M|  29k   24k|   0   196k|   0  18.0 |6123  7762 |2.28 1.34 0.70|4.0   0   0|   0     0 |           | 11   30    0   33    1
May 25 16:02:10 ubuntu dstat.sh[65944]: 25-05 16:02:10| 58  15  26   0   0|1497M  694M  172M 5370M|7452B 4212B|   0  1126k|   0  75.9 |5045  4227 |2.28 1.34 0.70|4.0   0 112|   0     0 |           | 11   28    0   35    0
May 25 16:02:11 ubuntu dstat.sh[65944]: 25-05 16:02:11| 53   7  40   0   0|1566M  626M  172M 5370M|  17k   15k|   0     0 |   0     0 |4630  3606 |2.28 1.34 0.70|3.0   0   0|   0     0 |           | 11   31    0   35    0
May 25 16:02:12 ubuntu dstat.sh[65944]: 25-05 16:02:12| 50  22  29   0   0|1471M  720M  172M 5370M|  17k   13k|   0   506k|   0  47.2 |7458  9216 |2.28 1.34 0.70|5.0   0 392|   0     0 |           | 11   28    0   37    0
May 25 16:02:13 ubuntu dstat.sh[65944]: 25-05 16:02:13| 77  23   0   0   0|1605M  585M  172M 5370M|3993B 1512B|   0   184k|   0  14.0 |5388  4086 |2.28 1.34 0.70|8.0   0 336|   0     0 |           | 11   28    0   37    0
May 25 16:02:14 ubuntu dstat.sh[65944]: 25-05 16:02:14| 79  20   1   0   0|1739M  452M  172M 5370M|  21k   18k|   0   160k|   0  9.00 |5902  5222 |2.74 1.45 0.74|7.0   0 363|   0     0 |           | 11   33    0   37    0
May 25 16:02:15 ubuntu dstat.sh[65944]: 25-05 16:02:15| 74  21   4   0   0|1760M  431M  172M 5371M|  46k   41k|   0   971k|   0  73.0 |9069    12k|2.74 1.45 0.74|9.0   0 386|   0     0 |           | 11   29    0   36    0
May 25 16:02:16 ubuntu dstat.sh[65944]: 25-05 16:02:16| 76  24   1   0   0|1604M  586M  172M 5371M|  11k 7661B|   0   276k|   0  18.0 |5986  5351 |2.74 1.45 0.74|5.0   0 379|   0     0 |           | 11   28    0   36    0
May 25 16:02:17 ubuntu dstat.sh[65944]: 25-05 16:02:17| 81  10   7   0   0|1658M  532M  172M 5371M|  18k   16k|   0   156k|   0  7.99 |5326  4614 |2.74 1.45 0.74|2.0   0   0|   0     0 |           | 11   33    0   36    0
May 25 16:02:18 ubuntu dstat.sh[65944]: 25-05 16:02:18| 67  13  19   0   0|1638M  552M  172M 5371M|  46k   39k|   0  8204B|   0  2.00 |9542    15k|2.74 1.45 0.74|7.0   0 191|   0     0 |           | 11   30    0   39    0
May 25 16:02:19 ubuntu dstat.sh[65944]: 25-05 16:02:19| 27  20  51   0   0|1497M  693M  172M 5371M|8420B 4821B|   0    12k|   0  3.00 |5724  4645 |2.52 1.42 0.73|1.0   0 423|   0     0 |           | 11   28    0   41    0
May 25 16:02:20 ubuntu dstat.sh[65944]: 25-05 16:02:20| 25  34  40   0   0|1466M  725M  172M 5371M|4721B 1515B|   0    52k|   0  13.0 |6129  5085 |2.52 1.42 0.73|4.0   0 730|   0     0 |           | 11   28    0   41    0
May 25 16:02:21 ubuntu dstat.sh[65944]: 25-05 16:02:21| 73  19   8   0   0|1574M  616M  172M 5371M|  10k 7537B|   0   328k|   0  19.0 |4984  3337 |2.52 1.42 0.73|3.0   0 258|   0     0 |           | 11   30    0   41    0
May 25 16:02:22 ubuntu dstat.sh[65944]: 25-05 16:02:22| 59   8  31   0   0|1590M  600M  172M 5371M|  27k   23k|   0  2626k|   0   147 |6825  9194 |2.52 1.42 0.73|5.0   0  66|   0     0 |           | 11   30    0   43    0
May 25 16:02:23 ubuntu dstat.sh[65944]: 25-05 16:02:23| 76  18   6   0   0|1539M  651M  172M 5371M|9258B 6123B|   0   412k|   0  38.0 |5905  5719 |2.52 1.42 0.73|4.0   0 208|   0     0 |           | 11   28    0   45    0
May 25 16:02:24 ubuntu dstat.sh[65944]: 25-05 16:02:24| 68   9  22   0   0|1616M  574M  172M 5371M|  23k   20k|   0   178k|   0  9.91 |5175  5258 |2.56 1.45 0.75|3.0   0 1.0|   0     0 |           | 11   32    0   45    0
May 25 16:02:25 ubuntu dstat.sh[65944]: 25-05 16:02:25| 53   7  38   0   0|1617M  573M  172M 5372M|  45k   40k|   0  1259k|   0  25.1 |  12k   20k|2.56 1.45 0.75|4.0   0   0|   0     0 |           | 11   31    0   45    0
May 25 16:02:26 ubuntu dstat.sh[65944]: 25-05 16:02:26| 71  14  14   0   0|1492M  697M  172M 5372M|  20k   16k|   0   453k|   0  48.1 |7459  9570 |2.56 1.45 0.75|5.0   0 120|   0     0 |           | 11   28    0   45    0
May 25 16:02:27 ubuntu dstat.sh[65944]: 25-05 16:02:27| 72  11  16   0   0|1603M  587M  172M 5372M|  16k   13k|   0   224k|   0  12.0 |4928  3451 |2.56 1.45 0.75|5.0   0   0|   0     0 |           | 11   31    0   45    0
May 25 16:02:28 ubuntu dstat.sh[65944]: 25-05 16:02:28| 57   6  36   0   0|1611M  578M  172M 5372M|  42k   39k|   0   179k|   0  9.97 |  10k   17k|2.56 1.45 0.75|2.0   0   0|   0     0 |           | 11   32    0   45    0
May 25 16:02:29 ubuntu dstat.sh[65944]: 25-05 16:02:29| 62  13  23   0   0|1548M  640M  172M 5372M|  33k   27k|   0   173k|   0  10.0 |8832    13k|2.67 1.49 0.76|4.0   0 206|   0     0 |           | 11   28    0   49    0
May 25 16:02:30 ubuntu dstat.sh[65944]: 25-05 16:02:30| 80  15   4   0   0|1589M  600M  172M 5372M|8895B 5368B|   0   204k|   0  13.0 |4787  2337 |2.67 1.49 0.76|5.0   0  55|   0     0 |           | 11   29    0   49    0
May 25 16:02:31 ubuntu dstat.sh[65944]: 25-05 16:02:31| 57   7  35   0   0|1623M  566M  172M 5373M|  37k   32k|   0   168k|   0  7.99 |8334    12k|2.67 1.49 0.76|4.0   0   0|   0     0 |           | 11   31    0   50    0
May 25 16:02:32 ubuntu dstat.sh[65944]: 25-05 16:02:32| 72  13  14   0   0|1574M  615M  172M 5373M|  23k   18k|   0   597k|   0  74.1 |8351    11k|2.67 1.49 0.76|4.0   0  98|   0     0 |           | 11   28    0   51    0
May 25 16:02:33 ubuntu dstat.sh[65944]: 25-05 16:02:33| 73  10  17   0   0|1575M  614M  172M 5373M|  15k   13k|   0   283k|   0  25.9 |4665  3497 |2.67 1.49 0.76|3.0   0  30|   0     0 |           | 11   31    0   51    0
May 25 16:02:34 ubuntu dstat.sh[65944]: 25-05 16:02:34| 65  14  21   0   0|1566M  622M  172M 5373M|  23k   19k|   0   365k|   0  36.1 |7055  8939 |2.78 1.53 0.78|3.0   0 123|   0     0 |           | 11   32    0   53    0
May 25 16:02:35 ubuntu dstat.sh[65944]: 25-05 16:02:35| 66  10  23   0   0|1549M  639M  172M 5373M|  29k   26k|   0   180k|   0  14.0 |7038  9866 |2.78 1.53 0.78|2.0   0  61|   0     0 |           | 11   35    0   54    0
May 25 16:02:36 ubuntu dstat.sh[65944]: 25-05 16:02:36| 71  14  15   0   0|1501M  687M  172M 5373M|  23k   18k|   0   148k|   0  10.0 |6002  8123 |2.78 1.53 0.78|4.0   0 125|   0     0 |           | 11   32    0   54    0
May 25 16:02:37 ubuntu dstat.sh[65944]: 25-05 16:02:37| 73  13  14   0   0|1548M  640M  172M 5373M|  17k   14k|   0   124k|   0  8.01 |5629  4742 |2.78 1.53 0.78|3.0   0  43|   0     0 |           | 11   34    0   55    0
May 25 16:02:38 ubuntu dstat.sh[65944]: 25-05 16:02:38| 69  11  19   0   0|1573M  614M  172M 5373M|  22k   19k|   0  3138k|   0   127 |6097  6773 |2.78 1.53 0.78|3.0   0  69|   0     0 |           | 11   34    0   56    0
May 25 16:02:39 ubuntu dstat.sh[65944]: 25-05 16:02:39| 65  13  22   0   0|1526M  662M  172M 5373M|  22k   19k|   0   437k|   0  42.1 |5903  7345 |2.80 1.56 0.79|6.0   0 128|   0     0 |           | 11   34    0   58    0
May 25 16:02:40 ubuntu dstat.sh[65944]: 25-05 16:02:40| 55  13  32   0   0|1585M  603M  172M 5373M|  12k 8649B|   0   367k|   0  34.9 |4906  4091 |2.80 1.56 0.79|3.0   0 130|   0     0 |           | 11   33    0   58    0
May 25 16:02:41 ubuntu dstat.sh[65944]: 25-05 16:02:41| 52  10  37   0   0|1560M  627M  172M 5374M|  16k   13k|   0   208k|   0  16.0 |4530  4138 |2.80 1.56 0.79|2.0   0  69|   0     0 |           | 11   34    0   59    0
May 25 16:02:42 ubuntu dstat.sh[65944]: 25-05 16:02:42| 57  10  32   0   0|1503M  684M  172M 5374M|  20k   16k|   0   188k|   0  10.0 |5972  7164 |2.80 1.56 0.79|3.0   0  70|   0     0 |           | 11   32    0   61    0
May 25 16:02:43 ubuntu dstat.sh[65944]: 25-05 16:02:43| 54  10  36   0   0|1582M  605M  172M 5374M|  13k   11k|   0   343k|   0  17.0 |4466  3933 |2.80 1.56 0.79|1.0   0  43|   0     0 |           | 11   34    0   61    0
May 25 16:02:44 ubuntu dstat.sh[65944]: 25-05 16:02:44| 40   9  50   0   0|1540M  647M  172M 5374M|  21k   18k|   0   313k|   0  42.1 |5939  6833 |2.97 1.61 0.82|1.0   0  87|   0     0 |           | 11   34    0   56    0
May 25 16:02:45 ubuntu dstat.sh[65944]: 25-05 16:02:45| 34  12  53   0   0|1439M  748M  172M 5374M|  11k 7243B|   0   384k|   0  32.0 |5345  5460 |2.97 1.61 0.82|2.0   0 136|   0     0 |           | 11   32    0   58    0
May 25 16:02:46 ubuntu dstat.sh[65944]: 25-05 16:02:46| 39   5  55   0   0|1491M  696M  172M 5374M|  11k 8238B|   0   143k|   0  9.96 |2807  1691 |2.97 1.61 0.82|1.0   0   0|   0     0 |           | 11   34    0   58    0
May 25 16:02:47 ubuntu dstat.sh[65944]: 25-05 16:02:47| 35   7  58   0   0|1454M  733M  172M 5374M|  16k   12k|   0   225k|   0  16.1 |4633  5893 |2.97 1.61 0.82|2.0   0  34|   0     0 |           | 11   32    0   60    0
May 25 16:02:48 ubuntu dstat.sh[65944]: 25-05 16:02:48| 37   9  53   0   0|1465M  721M  172M 5374M|8875B 6236B|   0   200k|   0  13.0 |3729  2724 |2.97 1.61 0.82|2.0   0 104|   0     0 |           | 11   33    0   58    0
May 25 16:02:49 ubuntu dstat.sh[65944]: 25-05 16:02:49| 33   7  58   0   0|1468M  719M  172M 5374M|  13k 9878B|   0   340k|   0  32.0 |4217  4399 |2.81 1.60 0.82|2.0   0  60|   0     0 |           | 11   33    0   59    0
May 25 16:02:50 ubuntu dstat.sh[65944]: 25-05 16:02:50| 38   6  54   0   0|1450M  737M  172M 5374M|  11k 7416B|   0  2216k|   0   150 |3929  3765 |2.81 1.60 0.82|1.0   0 5.0|   0     0 |           | 11   33    0   60    0
May 25 16:02:51 ubuntu dstat.sh[65944]: 25-05 16:02:51| 36   4  59   0   0|1469M  717M  172M 5374M|  21k   16k|   0   112k|   0  8.03 |4818  5266 |2.81 1.60 0.82|2.0   0   0|   0     0 |           | 11   33    0   60    1
